open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-05,sma-07,sma-25,long_jcrosk,short_kdj,sma-compare,ask,bid,is_short,nlpreds,action,predicted_action,reward
1.76,1.92,1.7440031395413276,1.6940809320054209,1.75,0,1.91,314898.0,1.7799999999998914,1.7714285714285296,1.6727999999999934,0,0,0,163884.2452316076,151013.75476839236,1,go_short,go_short,go_long,9.877915
21.839,21.9,22.06196128928316,22.303372233533057,21.577,1,21.705,11466.2,21.871800000000064,21.907999999999884,22.34768000000001,1,0,1,5715.45726162043,5750.74273837957,0,go_long,go_long,go_long,57.83931816
0.02085,0.02085,0.0208432839753311,0.0210067926505086,0.02085,0,0.02085,52136.0,0.0208199999999978,0.0208071428571415,0.0210379999999998,0,0,0,26067.999999999996,26067.999999999996,1,go_short,go_short,do_nothing,1.70293572
0.10626,0.10643,0.1064769683496982,0.1077085653653137,0.0842,1,0.09767,3997054.0,0.1052200000000023,0.1062285714285716,0.1082755999999994,0,0,1,1914344.4524101408,2082709.5475898592,0,go_long,go_long,go_long,44.37281928
0.0585,0.0586,0.0590577696859902,0.0593242766501818,0.0583,1,0.0585,121059.0,0.0589000000000043,0.0590428571428613,0.0592760000000014,0,0,1,60529.5,60529.5,0,go_short,go_long,do_nothing,14.05400473
32.2,32.3,31.9335773543068,32.23740852015151,29.4,1,29.4,10036.67,31.74999999999916,31.935714285713026,32.36400000000016,0,0,1,4790.228863636364,5246.441136363636,0,go_long,go_long,go_short,7.61268998
0.2255,0.2255,0.2254726386213151,0.2254294716693946,0.2255,1,0.2255,2147.4,0.2256000000000003,0.2255714285714347,0.2252200000000009,1,0,0,1073.7,1073.7,0,go_long,go_long,go_short,7.62101762
0.151,0.151,0.1525658565644814,0.1550764872881588,0.147,1,0.1495,138516.7,0.1514999999999995,0.1517857142857193,0.1555400000000008,0,0,1,68912.63444259568,69604.06555740433,0,go_long,go_long,do_nothing,76.66141434
0.0397,0.0397,0.0394729637969862,0.0396296918038957,0.03801,1,0.03816,7359200.0,0.0393879999999998,0.0394485714285711,0.0397184,1,0,1,3606820.857950167,3752379.142049833,0,go_long,go_long,go_short,228.5532769
0.00273,0.00273,0.0027375311338181,0.0027426049692003,0.00273,1,0.00273,40.0,0.0027340000000001,0.0027357142857144,0.002742,0,0,1,20.0,20.0,1,go_short,go_short,do_nothing,13.68073483
43.2,48.7,42.97600073660615,42.296981141390376,43.1,0,47.2,120956.73,43.79000000000048,43.128571428569295,41.83200000000062,0,0,0,63154.398849557525,57802.33115044248,1,go_short,go_short,go_long,57.05210033
0.06731,0.06749,0.0675537446218512,0.0675933123900758,0.06727,1,0.06727,39090.0,0.0674480000000046,0.06747428571429,0.0676948000000015,0,0,1,19539.190815871603,19550.809184128404,0,do_nothing,go_long,do_nothing,34.44631128
516.85,517.35,525.4675536370345,533.2485277095025,497.95,1,498.75,3983.02,522.7999999999947,523.8071428571378,536.2180000000011,0,0,1,1956.017354273336,2027.002645726664,0,go_short,go_long,go_short,2.40777209
1.22,1.22,1.2263077768723305,1.230112903467732,1.22,1,1.22,1031.1,1.2239999999998932,1.227142857142816,1.2243999999999904,0,0,0,515.55,515.55,1,go_short,go_short,go_long,7.72016
3.395,3.399,3.3937912372259302,3.410345691480522,3.327,1,3.335,593039.2,3.387200000000014,3.385857142857165,3.4209199999999464,1,0,0,293876.0374442793,299163.1625557206,0,go_long,go_long,go_long,6.0629757
0.12182,0.12185,0.1229212465389729,0.1239649334227813,0.12034,1,0.12076,757160.0,0.1229160000000054,0.1226257142857192,0.124407600000002,0,0,0,376925.72182372824,380234.2781762717,0,go_long,go_long,go_long,10.09411484
0.134,0.1345,0.1340553253243216,0.1354098493302652,0.126,1,0.1285,999799.0,0.133399999999995,0.1338571428571436,0.1355599999999998,0,0,1,489425.4152380952,510373.58476190484,0,go_long,go_long,do_nothing,0.82253059
0.876,0.8885000000000001,0.8741006633124849,0.8680130540215452,0.8755000000000001,0,0.888,591424.9,0.8767000000000016,0.8766428571428552,0.8667999999999999,0,0,0,297724.09931972786,293700.8006802721,1,go_short,go_short,do_nothing,17.50670155
84.65,87.9,83.25857025062555,82.87276082036806,84.1,0,86.6,12739.12,83.65000000000157,83.22142857142588,82.51600000000046,0,0,0,6442.089296350365,6297.030703649636,1,go_short,go_short,go_long,96.56078418
0.004037,0.00407,0.0039475640771404,0.0039286990071823,0.0040149999999999,0,0.004056,13429330.0,0.0039614000000001,0.0039521428571429,0.00390772,0,0,0,6730429.072037564,6698900.927962437,1,go_short,go_short,go_short,37.31001425
2.38,2.64,2.150913888536896,2.019347493950891,2.38,0,2.62,2175041.1,2.3319999999998644,2.199999999999948,1.9539999999999973,0,0,0,1139721.5364,1035319.5636,1,do_nothing,go_short,go_long,40.26553619
172.15,172.15,174.09462923652592,175.25092592592594,170.65,0,171.2,582.0,173.28000000000006,173.99285714285725,175.35,0,0,1,290.1948449104412,291.80515508955875,0,go_long,go_long,do_nothing,18.41330292
0.876,0.8885000000000001,0.8741006633124849,0.8680130540215452,0.8755000000000001,0,0.888,591424.9,0.8767000000000016,0.8766428571428552,0.8667999999999999,0,0,0,297724.09931972786,293700.8006802721,1,go_short,go_short,do_nothing,17.50670155
0.0637,0.0638,0.0637770108668393,0.0637514822719252,0.0635,0,0.0637,116773.0,0.0636800000000046,0.0637714285714329,0.0637920000000015,0,0,1,58386.5,58386.5,0,go_long,go_long,go_short,11.22675779
0.07935,0.07935,0.0792711609568951,0.0796142245753247,0.07827,1,0.07861,142174.0,0.0790660000000052,0.0790985714285756,0.0795860000000016,0,0,1,70753.97657634845,71420.02342365157,0,go_long,go_long,do_nothing,14.09126503
0.00236,0.00237,0.0023493472551759,0.0023556267409025,0.00235,1,0.00235,80750.0,0.0023520000000001,0.0023471428571429,0.002354,0,0,0,40289.27813163482,40460.72186836518,1,go_short,go_short,do_nothing,1.04210785
0.00254,0.00256,0.0025531817222616,0.0025706963746376,0.00254,0,0.00255,1900520.0,0.0025440000000001,0.0025471428571429,0.0025716,0,0,1,952126.9155206286,948393.0844793712,1,go_short,go_short,go_short,9.27968076
