,open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-25,long_jcrosk,short_kdj,sma-05,sma-07,sma-compare,is_short,action,imit-action,nlpreds,reward
28,34209.1,34303.1,34350.26607427377,34172.03944871696,33828.0,1,34221.2,32.686,34091.14799999992,0,0,34246.400000000096,34320.228571428524,0,0,do_nothing,go_short,do_nothing,-22.25361925
29,502.04,507.4,501.889784106815,498.3409572195296,499.13,1,505.79,8236.709,497.00479999999953,0,0,502.59800000000143,502.8685714285734,0,0,do_nothing,go_short,do_nothing,-40.60031338
30,277.64,279.1,279.98416893530225,282.205557657944,276.3,1,276.99,10433.807,282.90520000000083,0,0,278.19200000000336,278.73428571427576,1,0,do_nothing,go_short,do_nothing,-24.20138401
31,176.51,176.62,179.6178558825293,181.6504128618754,173.03,1,175.2,19425.893,182.5096000000012,1,0,176.93800000000397,177.7614285714188,1,0,do_nothing,go_short,do_nothing,-23.93858996
32,13710.1,13813.0,13981.913646754814,14190.231551203486,13343.5,1,13507.9,314.516,14252.823999999964,0,0,13912.96000000004,13939.442857142816,1,0,do_nothing,go_short,do_nothing,-21.69068822
33,0.2138,0.2152,0.2132130791218772,0.2115511396011396,0.2132,0,0.2132,1376893.1,0.2126439999999999,0,0,0.213,0.2136,0,0,do_nothing,go_short,do_nothing,-32.27582991
34,23803.5,23803.5,24508.82027569156,25558.324263931445,21675.6,1,21980.2,122.782,25962.716000000004,0,0,23725.41999999999,24102.242857142843,1,0,do_nothing,go_short,do_nothing,-13.87953171
35,36175.9,36330.0,35022.93407693917,33596.76965811966,35548.0,0,36034.9,59.669,33555.308,0,0,36108.280000000006,35753.857142857145,0,0,do_nothing,go_short,do_nothing,-14.15512864
36,0.5971000000000001,0.6000000000000001,0.6022585275109641,0.6068887567548907,0.5956,0,0.599,6325334.5,0.6085999999999991,0,0,0.5985199999999965,0.5996142857142949,1,0,do_nothing,go_short,do_nothing,-24.21436039
37,0.001976,0.001984,0.0019747048960318,0.0019770498575498,0.001976,0,0.001982,14599251.0,0.0019762399999999,0,0,0.0019736,0.0019728571428571,0,0,do_nothing,go_long,do_nothing,-25.46109628
38,793.86,794.26,776.2449386126162,767.5282051282051,774.39,0,774.65,1900.441,761.8916,0,0,792.74,782.1342857142855,0,0,do_nothing,go_short,do_nothing,-25.47168713
39,0.02207,0.02214,0.0221932183668685,0.0224014223291055,0.02117,1,0.02129,62432381.0,0.0225019999999998,0,0,0.022071999999999,0.0221142857142853,1,0,do_nothing,go_long,do_nothing,-27.36503872
40,1231.4,1236.9,1221.4938636851348,1208.9981674502585,1214.7,1,1219.1,1787.691,1209.6240000000146,1,0,1228.3200000000145,1226.1857142857048,0,0,do_nothing,go_short,do_nothing,-24.12768934
41,0.03613,0.03616,0.035705176714466,0.0355107082293786,0.03553,1,0.03572,16184205.0,0.0354563999999997,1,0,0.0359919999999983,0.0358228571428566,0,0,do_nothing,go_long,do_nothing,-24.88834791
42,0.03636,0.03637,0.0380690037501542,0.0393864808019732,0.03508,0,0.03585,25778533.0,0.0398971999999996,0,0,0.0367059999999981,0.0373585714285709,1,0,do_nothing,go_long,do_nothing,-24.17574262
43,5.472,5.556,5.449507878837513,5.355992877492879,5.44,0,5.491,330972.4,5.3616800000000016,0,0,5.468200000000001,5.4738571428571445,0,0,do_nothing,go_short,do_nothing,-22.85587156
44,3.227,3.232,3.2528388970542634,3.2785416353070245,3.179,1,3.187,139614.1,3.2955999999999896,0,0,3.225800000000002,3.2415714285714468,1,0,do_nothing,go_short,do_nothing,-24.20938908
45,1.586,1.588,1.573532435916256,1.5628339827025393,1.5590000000000002,1,1.565,247527.7,1.5617999999999863,1,0,1.5803999999999987,1.577857142857155,0,0,do_nothing,go_short,do_nothing,-24.2208129
46,0.05926,0.05929,0.0595434422780984,0.0599065137875183,0.0586,1,0.05865,4264845.0,0.0601143999999995,1,0,0.0591039999999983,0.0591785714285708,1,0,do_nothing,go_short,do_nothing,-24.22797422
47,0.11983,0.124,0.1186380924865461,0.1216682193732193,0.11938,0,0.12192,35454611.0,0.1205583999999999,0,0,0.120606,0.1178485714285714,0,0,do_nothing,go_short,do_nothing,-24.67484796
48,1793.84,1794.24,1787.5596076587112,1782.9706261290123,1755.0,1,1772.87,98383.17,1785.0187999999916,1,0,1789.8500000000272,1790.3742857142445,0,0,do_nothing,go_short,do_nothing,-23.90163566
49,7.526,7.684,7.525213932802909,7.368982905982905,7.492,0,7.588,4676854.2,7.373639999999999,0,0,7.4968,7.522428571428571,0,0,do_nothing,go_short,do_nothing,-22.24784133
50,4.93,5.273,5.624102522153868,5.891297577033307,4.462,0,5.197,3645404.1,6.005879999999995,0,0,5.314199999999971,5.397428571428556,1,0,do_nothing,go_short,do_nothing,-22.63212279
51,0.6115,0.6182000000000001,0.6075846887049418,0.6066820512820512,0.6082000000000001,0,0.6129,1279292.0,0.6038799999999999,0,0,0.61262,0.6129428571428573,0,0,do_nothing,go_short,do_nothing,-28.40723462
52,6.6217,6.6428,6.60313565195165,6.584456980056981,6.5368,0,6.5644,37046.0,6.58688,0,0,6.626019999999995,6.631400000000001,0,0,do_nothing,go_short,do_nothing,-26.67600134
