open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-05,sma-07,sma-25,long_jcrosk,short_kdj,sma-compare,ask,bid,is_short,nlpreds,predicted_action,reward
0.0125,0.01263,0.0122802781504884,0.0122191089482019,0.01242,1,0.01251,7368682.0,0.0124240000000004,0.012364285714285,0.0121275999999998,0,0,0,3685814.147141143,3682867.852858857,0,go_long,go_short,7.84792227
7.467,7.468,7.487295020641623,7.66102351991429,6.149,1,6.833,10809627.8,7.41920000000002,7.456000000000006,7.742039999999999,0,0,1,5165187.885132867,5644439.914867133,1,go_short,do_nothing,7.00467532
0.14744,0.14745,0.1479785793275241,0.1475575703773974,0.14584,1,0.14603,22439561.0,0.1479420000000023,0.148345714285716,0.148865600000001,0,0,1,11165874.17054554,11273686.829454457,1,go_short,go_short,-4.35081344
14.462,14.493,14.630259691828352,14.69418707166517,14.336,1,14.389,612204.26,14.53100000000027,14.599999999999756,14.728800000000046,0,0,1,305327.61766108626,306876.64233891375,1,go_short,go_short,-17.96084814
2.5279,2.5441000000000003,2.518649875423251,2.500210729907921,2.5081,0,2.5429,902701.0,2.5205999999999955,2.5240285714285706,2.506588000000005,0,0,0,452685.6458349767,450015.3541650232,1,go_short,do_nothing,-12.1519586
1.954,1.995,1.997963097878112,2.002220469444555,1.95,0,1.991,467108.6,1.9834000000000351,1.9847142857142928,2.013440000000003,1,0,1,235744.79660329528,231363.80339670466,1,go_short,do_nothing,-14.12007204
0.00526,0.00528,0.0052665737416322,0.0052638226599437,0.00525,0,0.00527,50037863.0,0.0052660000000008,0.0052685714285707,0.0052639999999999,0,0,0,25042691.169040836,24995171.83095916,0,go_long,go_long,-10.85872201
6.346,6.6530000000000005,6.3153164761672125,6.285382344255521,6.304,0,6.643,772835.7,6.305800000000219,6.292142857142684,6.264960000000064,0,0,0,395253.4879590422,377582.2120409577,1,go_short,go_short,-13.66352489
0.0153239999999999,0.015432,0.0153445705215001,0.0151049976541151,0.015276,0,0.015318,1113475122.0,0.0152679999999998,0.0153120000000002,0.01526632,0,0,0,556628546.4002368,556846575.5997633,0,go_long,go_long,-11.75543054
46.76,48.5,45.01828891638141,43.97595577524615,46.63,0,48.37,41932.9,45.74600000000023,45.2271428571432,43.85720000000001,0,0,0,21321.290581309786,20611.609418690216,1,go_short,go_short,-19.33950243
0.007814,0.0079259999999999,0.0080092661057864,0.0081599140981621,0.007756,1,0.00783,712610043.0,0.0078875999999998,0.0079574285714288,0.00816036,0,0,1,356669434.71554595,355940608.2844541,0,go_long,do_nothing,22.92751492
0.9076,0.908,0.8939436852103914,0.8829588145433244,0.9036,1,0.9078,48854.0,0.9033199999999528,0.9004857142857607,0.8782520000000129,0,0,0,24429.69108736367,24424.308912636334,1,go_long,go_long,-22.28898432
0.0078049999999999,0.007823,0.0078109526795826,0.0077961108708845,0.007756,0,0.0077989999999999,315396301.0,0.0078099999999999,0.0078034285714287,0.0078248799999999,0,0,0,157637512.91329148,157758788.08670855,0,go_long,go_long,-10.70337952
21.945,21.955,22.04418002633665,22.03506604894204,21.812,1,21.901,204459.93,22.039200000000104,22.043285714285613,22.01212000000001,0,0,0,102127.37597340692,102332.55402659308,1,go_short,go_long,-21.14293357
1.053,1.0558,1.0539782307084071,1.0558550466573486,1.0513,0,1.0557,166328.0,1.0533800000000146,1.0551428571428625,1.052144000000001,0,0,0,83270.48399487838,83057.51600512164,1,go_short,go_short,-17.97684316
0.02544,0.02573,0.025382266859745,0.025264949687708,0.02544,1,0.02567,25781483.0,0.0255119999999999,0.0255185714285709,0.0250859999999998,0,0,0,12948751.097828211,12832731.902171787,0,go_long,do_nothing,10.17801164
0.0049229999999999,0.005398,0.0060333172020861,0.0064312243624805,0.004363,1,0.005042,3602267890.0,0.0055643999999999,0.0059202857142858,0.0065704799999999,0,0,1,1822642719.6568172,1779625170.3431828,0,go_long,go_long,60.23596897
0.00977,0.01026,0.0100709186959085,0.0103552888811282,0.00939,0,0.01022,129206783.0,0.0096040000000005,0.0098228571428564,0.0104651999999999,0,0,1,66057694.96048024,63149088.03951975,0,go_long,go_short,-3.63766179
7.306,7.346,7.310427214048612,7.285949547355476,7.281,1,7.286,277395.0,7.309199999999839,7.343000000000155,7.273119999999931,0,0,0,138507.39925986843,138887.6007401316,1,go_short,go_short,3.67751686
0.01184,0.01186,0.0118200344889127,0.0118479410386566,0.01175,0,0.01178,16546889.0,0.011790000000001,0.0117728571428564,0.0118767999999999,0,0,0,8252428.129551227,8294460.870448772,0,go_long,go_long,-24.62833634
4.0939,4.6035,4.641993312296743,5.199198717948717,3.7,0,4.6,39395.0,4.16654,4.428285714285713,5.207255999999998,0,0,1,20844.155097252096,18550.844902747904,1,go_short,go_long,-0.51777543
