ask,bid,sma-compare,is_short,action,predicted_action,reward
5.0,5.0,0,0,go_long,go_long,0.3599013
63.23260126086778,64.76739873913223,1,0,go_long,go_short,0.2598638
43.42695015264521,43.573049847354774,0,0,go_long,do_nothing,0.2419936
0.5,0.5,0,0,go_long,go_long,0.2012311
9.0,9.0,0,0,go_long,go_long,0.2547218
125.15869493289864,125.84130506710136,0,0,go_long,go_short,0.0445101
1.5000000000000002,1.5000000000000002,1,0,go_long,go_short,0.0124728
10.0,10.0,0,0,go_long,do_nothing,0.023545
19.499920785483024,19.500079214516973,0,0,go_long,go_short,0.2893707
27.983486201216163,28.016513798783834,1,0,go_long,go_short,0.1221821
58.00000000000001,58.00000000000001,0,0,go_long,go_short,0.0406843
21355.429111992675,21792.570888007325,1,0,go_long,do_nothing,0.29351563
