open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-25,long_jcrosk,short_kdj,sma-compare,ask,bid,is_short,predicted_action,reward
20.506,20.756,20.86594871231183,21.02037747219602,20.27,0,20.756,1649.0,21.077399999999983,0,0,1,829.4955164558189,819.5044835441811,0,do_nothing,-4.02994746
0.2588,0.2588,0.2615910910189341,0.2641780404841283,0.2518,1,0.2518,25359.0,0.265316,0,0,1,12505.672150411285,12853.327849588719,0,do_nothing,-3.48675779
17.72,17.75,17.878166446888756,18.03803947769929,17.505,1,17.557,155603.0,18.03787999999992,0,0,1,77442.01238767468,78160.9876123253,0,go_long,-3.56806288
614.284,622.52,632.7003975731676,641.1370820437882,605.099,0,621.974,1096388.0,645.38272,0,0,1,551603.9774157174,544784.0225842826,0,go_short,-3.92682603
390.013,398.385,417.8652510993692,429.6831953096735,359.61,1,390.35,4132803.0,427.8411200000006,0,0,1,2067293.8761191908,2065509.123880809,0,go_short,-4.01544029
13.1191,13.1191,12.804570486612633,13.206725846463094,9.7299,1,10.3376,91046.0,13.353552000000215,0,0,1,40124.87389956814,50921.12610043186,1,go_long,-4.02390349
358.644,360.0,362.96883361598,366.1527505116102,357.125,1,358.886,519146.0,366.5381199999991,0,0,1,259660.5456998314,259485.45430016864,0,go_long,-3.54207765
3.576,3.576,3.623264130379166,3.653110197242996,3.542,1,3.548,353.0,3.651439999999999,0,0,1,175.80628860190902,177.19371139809095,0,do_nothing,-2.797398
2.352,2.364,2.4348958288232634,2.551423469157387,2.08,1,2.096,54025.0,2.5779599999999965,0,0,1,25457.823741007192,28567.1762589928,0,go_short,-3.305468
13.812,13.812,14.031336398523466,14.548226052963862,12.105,1,12.186,163471.0,14.641599999999965,0,0,1,76623.49434571891,86847.5056542811,0,do_nothing,-3.92815534
288.05,288.1,292.7217262124897,295.3185694177616,279.75,1,283.05,122730.0,296.45999999999896,1,0,1,60827.747329714584,61902.25267028541,0,do_nothing,-3.3535581
15.21,15.31,15.632736165432288,15.772336125286625,15.119,1,15.31,4008.0,15.827840000000004,0,0,1,2010.5661861074705,1997.4338138925293,0,go_long,-3.6358074
175.3,175.3,173.8664663750503,174.22271854077923,165.95,1,169.9,291928.0,174.2699999999988,1,0,1,143680.6697566628,148247.3302433372,0,go_long,-3.3461275
0.2597,0.2606,0.270206497697333,0.2781016039324921,0.2544,0,0.257,1617567.0,0.284208,0,0,1,804557.22663054,813009.77336946,0,go_short,-3.67115784
0.332,0.333,0.340716362042228,0.3500579790423924,0.329,1,0.33,13471.0,0.3520400000000014,0,0,1,6715.151057401813,6755.848942598187,0,go_long,-3.4378132
0.473,0.473,0.4797361811869839,0.4846228429103817,0.463,1,0.464,32257.0,0.4845600000000008,0,0,1,15973.583778014941,16283.416221985057,0,go_short,-3.63225654
0.767,0.767,0.789381319072385,0.8003187327218358,0.762,1,0.766,27127.0,0.8021599999999998,0,0,1,13554.652315720808,13572.347684279192,0,do_nothing,-3.68231868
1.852,1.852,1.86123564234562,1.867158803973504,1.816,1,1.835,52532.0,1.870559999999996,0,0,1,26144.8928668294,26387.1071331706,0,go_short,-3.75252436
1.30694,1.69584,1.5321889883254791,1.6350054076312412,0.99849,1,1.23214,96970.0,1.6698996000000066,0,0,1,47056.6566630433,49913.343336956685,0,go_long,-4.8802764
2.964,2.964,2.9965829686037866,3.008451537201451,2.653,1,2.835,741695.0,3.025519999999996,0,0,1,362597.91774443875,379097.0822555613,0,go_short,-3.80206462
0.7319,0.7444000000000001,0.7539911741673482,0.763079797483471,0.7126,1,0.7173,4727925.0,0.7668640000000008,0,0,1,2340146.7033535745,2387778.2966464255,0,do_nothing,-3.27620161
3.01,3.012,2.999229674429611,3.0292292823508333,2.915,1,2.915,24487.0,3.0393600000000003,0,0,1,12047.190717299578,12439.809282700422,0,go_long,-3.9055052
4.777,4.777,4.901669460141092,4.914987452128851,2.36,1,4.442,30142.0,4.949599999999997,0,0,1,14523.35003796507,15618.649962034926,0,go_long,-3.81422391
4.586,4.623,5.009294025713271,5.305544766470498,3.4,1,4.02,306.0,5.407879999999998,0,0,1,142.93748547524982,163.06251452475018,0,do_nothing,-3.91498416
6.276,6.298,6.366622230023796,6.608327635327634,6.276,0,6.298,187.0,6.606159999999999,0,0,1,93.6635915380945,93.3364084619055,0,go_short,-3.97812128
0.85243,0.85304,0.8580575837926151,0.8633995147638882,0.84038,1,0.8427600000000001,50499.0,0.8649828000000229,0,0,1,25105.46737533846,25393.532624661537,0,go_long,-3.3210235
0.4577,0.46,0.4619990242674596,0.4636399383637836,0.4425,1,0.4479,722504.0,0.4619360000000009,0,0,0,357342.6916961131,365161.30830388697,0,do_nothing,-4.00721631
0.3883,0.3897,0.3936718129404429,0.3997785684245016,0.3838,1,0.3857,218983.0,0.4011600000000011,0,0,1,109123.69909560723,109859.30090439276,0,go_short,-3.78651593
7.124,7.124,7.300653072719855,7.413452808149403,7.017,1,7.038,62505.0,7.46900000000002,0,0,1,31062.716424233866,31442.283575766138,0,do_nothing,-3.3315732
0.1161,0.1161,0.1150962974716983,0.1186087810591444,0.0899,1,0.096,166385.0,0.1201919999999948,0,0,1,75308.62800565771,91076.37199434229,1,go_long,-3.39753687
287.35,287.35,299.091803749341,307.5532980824806,267.7,1,275.95,174110.0,311.23399999999964,1,0,1,85293.19101721996,88816.80898278007,0,do_nothing,-3.2625867
7.503,7.526,7.657659966402869,7.725379425228996,7.4,1,7.471,9929.0,7.74312000000001,0,0,1,4953.8906771737675,4975.109322826232,0,do_nothing,-2.94801
45491.4,45895.3,45412.81715613955,45337.93689745663,45469.8,0,45760.1,9986460.0,45347.92799999986,0,0,0,5007933.110644757,4978526.889355243,1,do_nothing,-3.55305116
111.75,112.25,113.67421122182805,114.99194879098164,109.75,1,111.0,223260.0,115.70199999999876,0,0,1,111254.14141414141,112005.85858585859,0,do_nothing,1.5262944
126.1,126.2,126.99792082295384,127.98597390118762,121.55,1,123.9,198203.0,128.25799999999873,0,0,1,98229.40680000001,99973.59319999999,0,go_long,-0.9341213
115.1,121.3,113.7380174136604,111.88172850108458,114.8,0,120.45,665554.0,110.95599999999872,0,0,0,340335.29738908936,325218.7026109106,0,go_long,0.1481648
107.15,107.15,107.13679032449488,107.65313772307374,105.4,1,106.25,71174.0,107.76399999999876,0,0,1,35436.914245548265,35737.085754451735,0,go_short,0.718264
109.15,109.25,112.20583292284655,112.73493306348136,104.95,1,106.9,1019177.0,112.88799999999874,0,0,1,504281.5149271002,514895.48507289984,0,go_short,-0.1034096
108.5,108.5,109.15594069250363,109.99226167314472,105.45,1,106.6,530849.0,110.14999999999876,0,0,1,263079.9786145979,267769.0213854021,0,do_nothing,-0.0098552
119.8,119.8,120.03080983560986,121.74865172669269,117.1,1,117.4,95417.0,120.93199999999874,0,0,1,47225.78330522766,48191.216694772345,0,go_long,-0.8150226
127.1,127.35,125.87774744491972,126.82386659014372,117.15,1,121.15,1511925.0,126.03799999999876,1,0,1,737843.7613293051,774081.2386706949,0,go_short,-0.2428279
121.1,121.25,122.7806841172332,123.64351764627132,120.35,1,120.45,63262.0,123.73799999999872,0,0,1,31545.88242599876,31716.117574001237,0,go_short,-0.1021986
1.2695,1.2727,1.3014012627730398,1.3242851601520569,1.2352,1,1.2482,413.0,1.3279679999999987,1,0,1,204.7529888390197,208.24701116098024,1,go_short,-0.32683
1.248,1.257,1.2367686893105738,1.2278862323213868,1.248,0,1.256,115.0,1.222639999999999,0,0,0,57.68370607028754,57.316293929712465,1,go_long,-4.245396
105.45,105.45,105.66626155168994,106.56123572963892,102.2,1,104.2,498628.0,106.38399999999874,0,0,1,247827.5106129263,250800.4893870737,0,do_nothing,1.3036224
1.32,1.32,1.351635845601735,1.371619238664309,1.2406,1,1.266,1739.0,1.3765839999999985,0,0,1,851.3433874709976,887.6566125290022,1,go_long,2.654213
0.9031,1.0461,1.0139636218348564,1.0856765937747228,0.9031,0,1.0461,1439.0,1.1115679999999957,0,0,1,772.2849887133183,666.7150112866817,1,do_nothing,0.587927
0.9152,0.9303,0.8834633623767164,0.8618586604261266,0.9152,0,0.9286,1143.0,0.8578919999999954,0,0,0,575.6534331272372,567.3465668727628,1,do_nothing,-1.324945
177.1,177.45,181.76912513083911,187.3498059022492,169.2,1,169.55,37435.0,189.4159999999989,1,0,1,18309.834847829225,19125.16515217078,0,do_nothing,-0.01196
1.0497,1.067,0.9852523282966598,0.9637189410623204,1.042,0,1.0562,3329.0,0.9607159999999942,0,0,0,1669.6375896291372,1659.3624103708628,1,go_short,1.927727
367.3,367.3,368.0455064335693,369.2681476183693,365.0,1,365.0,8184.0,369.3419999999997,0,0,1,4079.147890208931,4104.85210979107,0,do_nothing,-1.6821248
308.85,309.05,310.3194149423977,312.837152536659,305.0,0,306.1,24286.0,314.2399999999997,0,0,1,12088.697617692495,12197.302382307505,0,do_nothing,1.7696082
277.0,277.2,277.0194794077372,277.5732951931729,272.2,1,272.85,23549.0,277.6159999999996,0,0,1,11685.631808675093,11863.368191324906,0,go_short,0.9522594
426.95,427.2,428.5997704526537,429.2863193742868,424.25,1,426.3,31921.0,429.95399999999967,0,0,1,15948.341400527395,15972.658599472605,0,go_short,-3.0883836
520.4,520.4,522.9652937212616,528.6160136266419,516.0,1,516.6,8731.0,529.1479999999999,1,0,1,4349.502989392478,4381.497010607522,0,do_nothing,-0.9245169
590.4,590.4,592.5772225917505,594.7155708356205,580.25,1,585.6,230316.0,595.9340000000008,0,0,1,114687.96734693876,115628.03265306124,0,go_long,-0.6936274
605.0,606.2,608.2275576509012,610.5188029341056,596.2,1,598.55,102395.0,610.9420000000008,0,0,1,50923.125129824264,51471.87487017573,0,go_long,-0.1484304
664.95,679.9,706.0958470384833,726.0020260964054,584.5,1,621.55,558782.0,729.0840000000012,0,0,1,269965.7614457831,288816.2385542169,0,go_long,-0.2715846
679.15,679.15,681.9242666370352,684.2267311255544,674.4,1,675.3,7432.0,684.4980000000013,0,0,1,3705.4373361881208,3726.5626638118797,0,go_long,-0.4933267
442.4,443.35,445.934915419964,450.2946180062066,439.45,0,439.6,13395.0,452.5120000000012,0,0,1,6676.238095238095,6718.761904761905,0,go_long,4.6861056
592.15,593.55,601.6115813860738,605.9553544160134,587.35,1,589.95,20769.0,607.0160000000013,0,0,1,10365.173462482026,10403.826537517976,0,go_long,-1.4891092
1.247,1.2487,1.2590103147366092,1.2654126482989536,1.2338,1,1.2338,191.0,1.259780000000004,0,0,0,94.99185746533375,96.00814253466623,1,go_long,-0.882517
130.7,131.15,131.888666661969,132.3911450390505,130.05,1,130.35,55563.0,132.63799999999873,0,0,1,27744.252250526722,27818.747749473285,0,go_long,-1.45476654
0.2481,0.249,0.2453319305375554,0.2433314844262382,0.2468,1,0.2473,6954.0,0.2427679999999942,0,0,0,3471.3851433185305,3482.6148566814695,1,go_long,1.051245
112.15,112.25,112.65500322302134,113.02300128097691,109.7,1,111.5,323620.0,113.13999999999876,0,0,1,161339.7272524033,162280.2727475967,0,go_long,-0.60470567
379.1,379.1,380.4057645077714,381.3145245061036,375.25,1,377.05,119916.0,381.6800000000004,1,0,1,59795.44772862527,60120.55227137472,0,go_long,0.75776844
459.2,459.2,461.9488357293306,463.4550594011537,457.3,1,457.35,91318.0,464.14600000000047,0,0,1,45566.840106922704,45751.1598930773,0,go_long,-1.71339632
0.346,0.35,0.3397288139203605,0.3348870438148891,0.346,0,0.3481,2233.0,0.3331000000000015,0,0,0,1119.8779714738512,1113.122028526149,1,go_long,1.467604
0.2725,0.2741,0.2675709615283494,0.2644095329611203,0.2725,0,0.2741,105.0,0.2642560000000043,0,0,0,52.653677277716795,52.34632272228321,1,go_long,-1.86624
443.3,443.95,447.9684178025025,452.5508512428579,439.75,1,440.9,67116.0,454.3420000000004,0,0,1,33466.912915629946,33649.087084370054,0,go_long,0.26279107
0.3223,0.3373,0.3193216760486877,0.318272996960904,0.3223,0,0.3323,1424.0,0.3182120000000048,0,0,0,722.8768713718301,701.1231286281699,1,go_long,-0.833763
