,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),close_date,ema-12 (exit),sma-07 (exit),close (exit),high (exit),sma-compare (exit),short-large-rl (exit),ema-26 (exit),low (exit),long-large-rl (exit),short_kdj (exit),volume (exit),sma-05 (exit),short-small-rl (exit),sma-25 (exit),long-small-rl (exit),mean-grad-hist (exit),open (exit),long_jcrosk (exit)
104,LPT/USDT:USDT,2024-02-17 11:00:00+00:00,first_buy,roi,15.471,17.501,14.759483549499043,14.36944544769866,15.471,0,17.25,8073575.2,0,False,15.084599999999739,14.84442857142832,14.152439999999801,23.44155717,0.3878331130298604,0,go_long,go_long,go_short,go_short,2024-03-08 21:15:00+00:00,20.37908432833591,22.830428571428303,23.327,23.444,0,go_short,21.957331935261134,22.573,go_short,False,419535.2,22.77319999999972,go_long,19.942879999999782,go_long,1,22.617,0
39,LDO/USDT:USDT,2024-08-04 17:15:00+00:00,first_buy,roi,1.2565,1.2570999999999999,1.2746122350069817,1.297119042818178,1.1972,1,1.2166000000000001,5056635.0,0,False,1.2559400000000278,1.2629285714285916,1.3094720000000064,22.20644929,0.36472281175462434,1,go_long,go_long,go_short,go_short,2024-11-25 15:45:00+00:00,1.5944943622986438,1.6212428571428863,1.6892,1.6907,0,go_short,1.6181448098553826,1.6387,go_short,False,6414040.0,1.6173400000000249,go_long,1.5981280000000024,go_long,0,1.6565,0
103,LPT/USDT:USDT,2024-02-16 08:15:00+00:00,first_buy,roi,11.225,12.285,10.50402639422419,9.680893251826614,11.12,0,12.222,4829100.0,0,False,11.37739999999975,10.993857142856886,9.362199999999804,24.18882143,0.39552593130741914,0,go_long,go_long,go_short,go_short,2024-02-17 10:45:00+00:00,14.139001083514552,14.408428571428319,15.471,15.765,0,go_short,14.306662376680688,14.165,go_short,False,5410216.6,14.502399999999739,go_long,14.034239999999802,go_long,0,14.203,0
102,LPT/USDT:USDT,2023-12-17 15:15:00+00:00,first_buy,roi,7.945,8.431,7.760991863611828,7.639891105486799,7.88,0,8.359,1060565.4,0,False,7.864199999999745,7.789428571428303,7.594599999999782,24.19503833,0.3962041084832085,0,go_long,go_long,go_short,go_short,2024-02-16 08:00:00+00:00,9.477604711972743,10.570999999999744,11.225,11.44,0,go_short,10.191667556810406,11.159,go_short,False,1855179.5,11.00139999999975,go_long,9.203479999999804,go_long,0,11.159,0
36,LDO/USDT:USDT,2024-03-19 07:00:00+00:00,first_buy,roi,2.3476,2.351,2.3857596188325885,2.4150918132575034,2.31,1,2.3491,902785.0,0,False,2.3724000000000123,2.371842857142872,2.415924000000017,23.76414566,0.3886823215553782,0,go_long,go_long,go_short,go_short,2024-03-25 05:00:00+00:00,3.169593695312154,3.2079285714285857,3.2625,3.2648,0,go_short,3.1962777241049682,3.2279,go_short,False,847152.0,3.2209600000000167,go_long,3.156404000000018,go_long,0,3.2484,0
139,COMP/USDT:USDT,2023-08-17 21:45:00+00:00,first_buy,roi,45.97,46.03,44.77624925965948,45.55028243283499,34.86,1,36.3,457007.131,0,False,44.18400000000048,44.87142857142663,45.78279999999881,23.43513439,0.38167300134191423,1,go_long,go_long,go_short,go_short,2023-11-02 02:45:00+00:00,48.17177176693991,49.022857142855,49.86,49.93,0,go_short,48.7611200586348,48.52,go_short,False,50920.232,48.9740000000005,go_long,48.31159999999895,go_long,0,48.66,0
140,COMP/USDT:USDT,2023-11-02 10:15:00+00:00,first_buy,roi,49.27,49.59,49.173818348259324,49.13841058761923,49.11,0,49.31,36816.331,0,False,49.252000000000514,49.25857142856928,49.24279999999894,21.14131008,0.3445114195065749,0,go_long,go_long,go_short,go_short,2024-02-23 15:30:00+00:00,60.28395857022976,61.89142857142646,65.91,66.19,0,go_short,61.458747485753385,61.73,go_short,False,164354.69,63.00000000000098,go_long,59.67999999999895,go_long,0,62.58,0
141,COMP/USDT:USDT,2024-02-23 15:45:00+00:00,first_buy,roi,65.92,76.0,62.7697094110221,61.00218386132385,65.88,0,69.98,489261.146,0,False,64.99400000000098,63.427142857140744,60.14879999999894,23.84654956,0.3886650513815581,0,go_long,go_long,go_short,go_short,2024-02-29 05:30:00+00:00,94.28715967057035,95.38285714285497,97.17,97.18,0,go_short,95.20454862721141,94.89,go_short,False,32133.063,95.25600000000097,go_long,94.47959999999888,go_long,0,94.89,0
101,LPT/USDT:USDT,2023-08-13 00:00:00+00:00,first_buy,roi,7.335,7.962,7.164248775272627,6.960461219965425,7.305,0,7.622,10314895.4,1,False,7.280199999999877,7.213285714285461,6.985999999999812,24.78304053,0.40592671576194006,0,go_long,go_long,go_short,go_short,2023-12-17 15:00:00+00:00,7.582362393925743,7.683857142856874,7.945,7.95,0,go_short,7.652263111541251,7.682,go_short,False,375882.3,7.702599999999745,go_long,7.558479999999781,go_long,0,7.687,0
41,1000SHIB/USDT:USDT,2021-05-11 00:15:00+00:00,second_buy,roi,0.034835,0.036354,0.03421613562907227,0.030872259259259256,0.034644,0,0.035113,333968278.0,0,False,0.0357752,0.03618542857142857,0.031042799999999995,23.6701517,0.3863667190589737,0,do_nothing,go_short,do_nothing,do_nothing,2021-05-12 17:45:00+00:00,0.02661416043264656,0.025145714285714264,0.022466,0.025876,1,do_nothing,0.025627574003815927,0.021588,do_nothing,False,2722351333.0,0.024881399999999984,go_short,0.02687355999999999,do_nothing,1,0.025672999999999998,1
