,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),open (exit),close (exit),sma-07 (exit),mean-grad-hist (exit),volume (exit),sma-compare (exit),short_kdj (exit),ema-12 (exit),sma-25 (exit),ema-26 (exit),low (exit),long_jcrosk (exit),sma-05 (exit),high (exit)
2045,AAVE/USDT:USDT,2021-01-11 04:30:00+00:00,first_buy,trailing_stop_loss,114.146,114.992,113.85038985454392,117.49463346989931,106.399,0,108.105,17291.0,0,False,110.04059999999981,111.37800000000013,120.1463600000002,-1.1424955,-0.0211301227583591,1,110.895,108.776,111.06757142857154,1,5857.4,1,False,114.12251420749381,114.09276000000017,111.29824185660836,108.066,0,110.32559999999981,111.499
2046,AAVE/USDT:USDT,2021-01-11 07:00:00+00:00,first_buy,trailing_stop_loss,108.625,109.31,110.44558926328399,113.50277241434611,104.372,1,105.756,18944.0,0,False,109.1731999999998,110.05185714285724,113.41484000000015,4.7991866,0.09058927732509912,1,115.621,114.96,113.70985714285723,0,8311.8,0,False,113.04220499314542,111.08616000000018,112.80018837368516,113.902,0,114.4093999999998,115.935
2047,AAVE/USDT:USDT,2021-01-11 10:00:00+00:00,first_buy,trailing_stop_loss,115.037,123.845,114.18785170081051,113.6924120306902,114.557,0,121.82,32017.1,0,False,115.71659999999979,115.1212857142858,111.7178400000002,-3.9074295,-0.06413996128831118,0,117.682,116.709,118.19042857142868,1,4626.2,0,False,114.99018657478133,112.98496000000016,116.24526517809484,116.5,0,119.3645999999998,118.582
2048,AAVE/USDT:USDT,2021-01-11 11:15:00+00:00,first_buy,trailing_stop_loss,116.642,117.297,115.65245515069563,114.79772830998272,111.381,1,112.392,21772.1,0,False,117.47899999999979,117.73928571428584,113.04468000000016,-2.3684485,-0.042173526029256954,0,111.332,109.723,111.87728571428582,1,7262.6,0,False,113.43797718170816,113.86868000000017,112.71521010484912,108.385,0,112.1613999999998,111.346
2049,AAVE/USDT:USDT,2021-01-11 13:45:00+00:00,first_buy,trailing_stop_loss,109.722,110.327,112.21625470410311,113.14420109417422,107.247,1,109.472,10073.0,0,False,111.1757999999998,111.56371428571438,113.88040000000018,-4.087432,-0.07464033215765169,1,109.414,106.806,111.01214285714296,1,4510.8,1,False,112.67470471682799,113.70312000000018,111.38390782654878,106.69,0,109.8719999999998,109.896
2043,AAVE/USDT:USDT,2021-01-11 03:15:00+00:00,first_buy,trailing_stop_loss,117.13,118.282,118.69185437074702,120.96831465970408,111.843,1,112.296,15426.7,1,False,116.28419999999983,116.98914285714298,122.9174800000002,-4.6602425,-0.08291708291708291,1,112.295,110.339,115.82985714285726,1,17660.3,1,False,120.18095801824451,122.4976000000002,117.40679985217056,109.089,0,114.95719999999983,113.985
2140,AAVE/USDT:USDT,2021-02-19 16:15:00+00:00,first_buy,trailing_stop_loss,428.05,433.636,431.2386301638455,434.8066276517067,415.0,1,417.397,34322.9,0,False,427.3085999999988,428.43242857142894,437.6570000000002,1.89803765,0.045334905953623855,1,457.305,445.358,454.79314285714315,1,14136.8,0,False,441.1002574136329,439.3891600000002,448.8831366466354,442.935,0,454.6711999999993,457.305
2141,AAVE/USDT:USDT,2021-02-20 08:00:00+00:00,first_buy,trailing_stop_loss,445.267,449.301,447.15850023946075,440.84638649410454,435.913,1,437.673,16307.8,0,False,451.8661999999993,452.2618571428575,440.1438800000002,3.0443542,0.06942479648626797,0,479.413,477.555,485.2324285714289,1,10828.8,0,False,477.49291475524296,482.2461200000003,482.9544035242005,473.75,0,483.7485999999993,482.793
2142,AAVE/USDT:USDT,2021-02-20 15:00:00+00:00,first_buy,trailing_stop_loss,477.582,477.582,479.57464913586193,476.2701803289287,453.289,1,460.986,33971.4,0,False,477.44459999999935,480.9840000000003,482.6601600000003,0.28794421,0.006239757257965263,1,480.477,471.868,479.8020000000005,1,5558.0,0,False,479.6588118895148,478.2534400000002,480.40282716814033,470.874,1,478.24119999999937,480.713
2247,AAVE/USDT:USDT,2021-04-29 17:00:00+00:00,first_buy,trailing_stop_loss,439.269,439.271,443.0277212270309,447.7166245860538,426.291,1,427.0,23528.9,0,False,439.13160000000124,441.68942857142883,450.85044000000113,4.9817354,0.11654353655149852,1,488.74,482.086,495.0907142857147,1,11009.6,1,False,496.89116814076897,498.6228400000011,495.0013027348066,481.0,0,492.8770000000013,489.198
2246,AAVE/USDT:USDT,2021-04-28 23:00:00+00:00,first_buy,trailing_stop_loss,457.376,459.735,463.1031993616596,466.35731765716656,451.843,1,455.927,7659.6,0,False,460.8518000000014,462.0757142857146,470.12756000000104,-2.42415545,-0.05309503820947258,1,440.806,439.272,444.3924285714288,1,4301.7,1,False,449.3739545529381,452.16848000000107,445.94185235921833,438.381,0,443.21560000000125,442.766
2245,AAVE/USDT:USDT,2021-04-28 06:30:00+00:00,first_buy,trailing_stop_loss,431.989,435.559,445.2093697716363,446.7546254969457,427.386,1,432.898,17601.9,0,False,441.23280000000113,444.6075714285717,450.76524000000086,2.17930638,0.0503149815287555,1,459.899,457.442,462.6284285714288,1,4750.6,0,False,467.19174306973986,471.129240000001,464.4079628819614,457.1,0,463.0002000000013,461.21
