,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,short-small-rl (exit),long-small-rl (exit),long_jcrosk (exit),long-large-rl (exit),volume (exit),sma-compare (exit),high (exit),close (exit),low (exit),mean-grad-hist (exit),sma-25 (exit),short-bid-rl (exit),short-large-rl (exit),short_kdj (exit),ema-12 (exit),sma-07 (exit),open (exit),ema-26 (exit),long-bid-rl (exit),sma-05 (exit)
82,BAL/USDT:USDT,2020-09-01 13:45:00+00:00,first_buy,trailing_stop_loss,32.942,33.324,33.28805953189665,34.61583903133903,32.913,0,33.247,3029.6,0,False,32.8832,32.702999999999996,34.57364,-29.8037895,-0.4981064717423426,0,go_long,go_long,go_long,go_long,go_long,go_long,2020-09-23 19:00:00+00:00,go_long,go_long,0,go_long,9447.7,1,14.234,14.133,14.108,1,14.435039999999999,go_long,go_long,False,14.355549033529579,14.244000000000023,14.109,14.28567357796843,go_long,14.189999999999975
79,LPT/USDT:USDT,2024-08-23 13:30:00+00:00,first_buy,trailing_stop_loss,13.102,13.416,12.928402370147483,12.84252473160917,13.041,0,13.414,209566.1,0,False,12.998999999999779,12.934428571428427,12.828519999999699,-18.52794552,-0.3065897449797271,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-11-03 14:30:00+00:00,do_nothing,go_long,0,go_long,16097.3,1,9.304,9.224,9.184,1,9.57247999999974,go_long,go_long,False,9.526931226295039,9.340999999999855,9.304,9.405966605682089,go_long,9.295199999999863
77,LPT/USDT:USDT,2024-06-24 09:45:00+00:00,first_buy,trailing_stop_loss,15.626,15.722,15.79572677147476,15.983158295608513,14.864,0,15.625,171205.8,0,False,15.73339999999979,15.732857142856968,15.976959999999654,-21.83292936,-0.3578802342716869,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-08-05 01:00:00+00:00,do_nothing,go_long,0,go_long,89192.8,1,10.622,10.333,10.2,1,11.028279999999668,go_long,go_long,False,10.942691521886664,10.748571428571298,10.538,10.809603416333633,go_long,10.671199999999782
76,LPT/USDT:USDT,2024-05-22 11:15:00+00:00,first_buy,trailing_stop_loss,22.315,22.853,21.906051283705878,21.714079626735412,22.221,0,22.518,167280.4,0,False,22.071999999999704,21.97228571428542,21.675399999999687,-20.11406898,-0.3305152979887625,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-06-24 09:30:00+00:00,do_nothing,go_long,1,go_long,23230.3,0,15.743,15.625,15.584,1,16.010279999999653,go_long,go_long,False,16.011810959257193,15.756428571428396,15.727,15.826768002651988,go_long,15.772399999999788
74,LPT/USDT:USDT,2024-02-18 18:00:00+00:00,first_buy,trailing_stop_loss,19.709,20.699,18.864826004504803,18.375233859208915,19.634,0,19.932,2308170.6,0,False,19.137999999999746,19.120857142856895,18.182199999999785,-14.19556,-0.23717456259727096,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-04-03 00:30:00+00:00,do_nothing,go_long,0,go_long,40215.9,1,16.506,16.227,16.178,1,16.634119999999715,go_long,go_long,False,16.609283956016533,16.573857142856838,16.454,16.558346401727242,go_long,16.50559999999974
67,LPT/USDT:USDT,2023-03-03 01:45:00+00:00,first_buy,trailing_stop_loss,6.525,6.527,6.758686538917832,6.856877078081492,5.899,1,6.263,363172.3,0,False,6.6561999999998935,6.736285714285473,6.91943999999982,-21.09817213,-0.3468863977262484,1,go_long,do_nothing,go_long,go_long,go_long,go_long,2023-06-05 16:00:00+00:00,do_nothing,go_long,0,go_long,91832.7,1,4.865,4.628,4.628,1,4.972239999999814,go_long,go_long,False,4.95179013552074,4.8949999999997615,4.8629999999999995,4.900885603949894,go_long,4.856999999999839
94,BAL/USDT:USDT,2022-08-12 10:30:00+00:00,first_buy,trailing_stop_loss,9.719,9.811,7.035676824953942,6.724267793242088,7.335,0,7.521,4615745.1,0,False,7.347999999999756,7.085285714285966,6.585880000000086,-22.14457934,-0.3630906030888305,0,go_long,go_long,go_long,go_long,go_long,go_long,2022-10-13 10:15:00+00:00,go_long,go_long,0,go_long,27491.6,1,4.744,4.727,4.724,1,4.784720000000097,go_long,go_long,False,4.784882720725399,4.74728571428596,4.743,4.752388280038791,go_long,4.743999999999806
66,LPT/USDT:USDT,2023-01-25 14:15:00+00:00,first_buy,trailing_stop_loss,8.502,8.761,7.581307807105062,7.248656968791204,8.324,0,8.411,2047385.6,0,False,7.955999999999877,7.774999999999748,7.093239999999815,-16.38880229,-0.2704184316430125,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2023-03-03 01:30:00+00:00,do_nothing,go_long,0,go_long,205179.7,1,6.783,6.524,6.5,1,6.95211999999982,go_long,go_long,False,6.904387244328012,6.83942857142833,6.78,6.84881136417562,go_long,6.789799999999893
96,BAL/USDT:USDT,2022-10-23 04:00:00+00:00,first_buy,trailing_stop_loss,6.253,6.277,6.180255225761739,6.150911231368206,6.185,1,6.2,325661.1,1,False,6.210599999999802,6.207000000000244,6.1377200000000895,-14.02704653,-0.23062925438616683,0,go_long,go_long,go_long,go_long,go_long,go_long,2023-06-05 16:00:00+00:00,go_long,go_long,0,go_long,143808.4,1,5.088,4.925,4.925,1,5.14440000000014,go_long,go_long,False,5.1355769421076385,5.102714285714482,5.081,5.1054212106139225,go_long,5.074399999999839
100,BAL/USDT:USDT,2024-03-07 14:00:00+00:00,first_buy,trailing_stop_loss,5.715,5.758,5.679673763376607,5.654737024184028,5.712,0,5.73,66996.2,0,False,5.693399999999851,5.6862857142858685,5.652000000000145,-29.89764469,-0.48706700748816345,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-06-18 01:30:00+00:00,go_long,go_long,0,go_long,172414.4,1,3.237,3.187,3.122,1,3.2895200000001195,go_long,go_long,False,3.281160680040776,3.251571428571569,3.232,3.258665062017487,go_long,3.2389999999998538
131,APE/USDT:USDT,2023-12-10 04:30:00+00:00,first_buy,trailing_stop_loss,1.8820000000000001,1.887,1.847902276631949,1.833152802496372,1.863,0,1.875,1962587.0,1,False,1.862399999999975,1.8521428571428282,1.8270000000000133,-16.18731298,-0.26951903063603067,0,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,2024-04-12 13:15:00+00:00,do_nothing,go_long,0,do_nothing,3586804.0,1,1.587,1.5697999999999999,1.5547,1,1.6183000000000192,go_long,do_nothing,False,1.615797815346277,1.6011428571428372,1.5869,1.603922942985346,go_long,1.5915399999999622
129,APE/USDT:USDT,2023-06-14 20:15:00+00:00,first_buy,trailing_stop_loss,2.153,2.159,2.1522062448846757,2.1724247436932433,2.011,1,2.075,9156196.0,0,False,2.141599999999971,2.1489999999999854,2.177360000000015,-20.57757643,-0.34162059676924655,1,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,2023-08-17 21:30:00+00:00,do_nothing,go_long,1,do_nothing,6101485.0,1,1.744,1.722,1.72,1,1.7818400000000114,go_long,do_nothing,False,1.7757527368613426,1.7627142857142541,1.741,1.7654999196160985,go_long,1.7583999999999729
128,APE/USDT:USDT,2023-05-08 01:45:00+00:00,first_buy,trailing_stop_loss,3.534,3.555,3.5484505608731833,3.56898569021909,3.392,1,3.452,2145723.0,0,False,3.535799999999983,3.5445714285714183,3.578480000000016,-22.89874206,-0.3898143649684104,1,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,2023-06-14 20:00:00+00:00,do_nothing,go_long,0,do_nothing,887593.0,1,2.158,2.153,2.143,1,2.1825600000000147,go_long,do_nothing,False,2.1802187231887027,2.1605714285714135,2.154,2.1662437439546167,go_long,2.1599999999999713
127,APE/USDT:USDT,2023-01-25 15:45:00+00:00,first_buy,trailing_stop_loss,6.096,6.15,5.824567840595412,5.7069448866252905,5.973,0,6.056,4508246.0,0,False,5.8843999999999275,5.84271428571427,5.648800000000015,-19.85278593,-0.32749261851094746,0,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,2023-05-08 01:30:00+00:00,do_nothing,go_long,0,do_nothing,274756.0,0,3.561,3.534,3.528,1,3.584200000000016,go_long,do_nothing,False,3.578344545436617,3.557571428571418,3.557,3.5659870264864892,go_long,3.559199999999983
124,APE/USDT:USDT,2022-08-04 02:00:00+00:00,first_buy,trailing_stop_loss,7.633,7.633,7.321616587405466,7.288230649913355,7.508,0,7.547,1989636.0,0,False,7.387799999999973,7.342142857142811,7.25740000000003,-30.86394202,-0.5107525329825224,0,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,2022-11-08 19:15:00+00:00,do_nothing,go_long,1,do_nothing,1535071.0,1,4.014,3.95,3.926,1,4.24352000000002,go_long,do_nothing,False,4.209898770220491,4.06071428571427,3.941,4.128174848466925,go_long,3.9865999999999233
122,APE/USDT:USDT,2022-05-01 23:00:00+00:00,first_buy,trailing_stop_loss,16.31,16.344,16.369594009216286,16.589661001545846,15.59,1,15.839,3143727.0,1,False,16.224600000000017,16.265714285714235,16.701160000000034,-31.26068261,-0.6573929724627546,1,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,2022-06-10 12:30:00+00:00,do_nothing,go_long,0,do_nothing,338499.0,0,5.677,5.664,5.629,0,5.634880000000026,go_long,do_nothing,False,5.634101587515963,5.615999999999959,5.64,5.62164407625786,go_long,5.620199999999983
120,APE/USDT:USDT,2022-03-17 21:45:00+00:00,first_buy,trailing_stop_loss,8.803,8.869,8.143410814751398,7.939360398860399,8.426,0,8.653,3662401.0,0,False,8.375800000000002,8.249285714285714,7.8575599999999985,55.88008495,0.9217399889259408,0,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,2022-05-01 14:45:00+00:00,do_nothing,go_long,0,do_nothing,8370190.0,1,16.971,16.415,16.087,1,17.253200000000028,go_long,do_nothing,False,17.24424580177418,17.015857142857097,16.92,17.030517039531734,go_long,16.940200000000022
114,BNB/USDT:USDT,2022-11-04 14:45:00+00:00,first_buy,trailing_stop_loss,355.94,358.95,352.5214321087638,349.9429889135641,355.94,0,358.06,58181.32,0,False,353.9899999999926,353.7799999999967,350.410799999998,-20.41680552,-0.335108446562794,0,go_long,go_long,go_long,go_long,go_long,go_long,2023-08-22 15:45:00+00:00,go_long,go_long,0,go_long,20772.82,0,207.8,206.95,206.87,0,208.31999999999516,go_long,go_long,False,207.9922985772941,206.79571428570642,207.43,207.309986056694,go_long,206.89399999999188
