,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),volume (exit),ema-12 (exit),mean-grad-hist (exit),sma-07 (exit),imit-enter-short (exit),nlp-exit-short (exit),close (exit),imit-exit-short (exit),long_jcrosk (exit),nlp-enter-short (exit),sma-05 (exit),ema-26 (exit),open (exit),short_kdj (exit),nlp-enter-long (exit),high (exit),sma-25 (exit),low (exit)
417,ADA/USDT:USDT,2024-12-19 02:15:00+00:00,second_buy,trailing_stop_loss,0.9484,0.9514,0.9620784819538447,0.9776285254073342,0.9165000000000001,1,0.9268000000000001,521270.0,0,False,0.9533599999999904,0.9587285714285692,0.9748160000000232,-1.27810865,-0.1380435949544711,go_short,go_short,go_short,go_short,go_short,94470.0,1.0158278312770261,0,1.0360999999999967,go_short,go_short,1.0472,go_short,0,go_short,1.0362199999999873,1.0303695789191312,1.0349,False,go_short,1.0478,1.0161760000000237,1.0338
257,BNB/USDT:USDT,2024-01-03 12:15:00+00:00,first_buy,trailing_stop_loss,323.5,323.95,321.9825768264809,321.6388413462657,250.3,1,298.15,40188912.0,0,False,320.68000000000774,323.5285714285695,322.4900000000013,0.65315395,0.08413077291207206,go_long,go_long,go_long,go_long,go_long,167589.0,320.5249203573615,1,320.3785714285681,go_long,go_long,319.6,go_long,0,go_long,320.2400000000066,320.3643167016267,320.15,False,go_long,320.15,320.40200000000135,319.4
0,BTC/USDT:USDT,2021-03-03 00:15:00+00:00,first_buy,trailing_stop_loss,48460.1,48460.1,48048.67425859604,47811.66851851852,48166.2,0,48366.9,238966.0,0,False,48304.31999999999,48165.71428571428,47784.848,1.6744577,0.1729262632667847,go_long,go_long,go_long,go_long,go_long,1386299.0,58083.29216788293,1,57557.15714285715,go_long,go_long,57244.7,go_long,0,go_long,57544.419999999765,57724.05690044699,57333.0,False,go_long,57333.1,58115.91200000001,57152.9
255,BNB/USDT:USDT,2023-11-07 09:45:00+00:00,first_buy,trailing_stop_loss,250.5,250.5,250.74514653765766,251.19829147460118,247.95,1,248.9,731059.0,0,False,250.29000000000678,250.59285714285457,251.28400000000133,-0.61982664,-0.07109359425556791,go_long,go_long,go_long,go_long,go_long,163899.0,239.85906098834548,1,239.70714285714044,go_long,go_long,240.15,go_long,0,go_long,239.35000000000818,239.72903159030946,239.25,False,go_long,240.65,240.0180000000012,239.25
96,AAVE/USDT:USDT,2024-08-27 21:15:00+00:00,first_buy,trailing_stop_loss,122.08,122.14,122.42310683177254,123.28726050137702,120.61,1,120.96,9024.0,0,False,121.91599999999735,122.16999999999963,123.0603999999981,3.01414617,0.35553529039767573,go_long,go_long,go_long,go_long,go_long,20682.0,166.97287036673634,0,165.77857142857047,go_long,go_long,165.53,go_long,0,go_long,165.55999999999753,166.07551338095712,166.11,False,go_long,166.29,167.10599999999772,165.48
95,AAVE/USDT:USDT,2024-08-01 17:15:00+00:00,first_buy,trailing_stop_loss,107.92,107.92,109.75658809000879,110.41145785173354,106.59,1,106.95,17188.0,0,False,108.30199999999684,108.93285714285678,112.10879999999798,1.12372314,0.13104694381076526,go_long,go_long,go_long,go_long,go_long,2615.0,123.47344134148719,1,122.46571428571391,go_long,go_long,122.1,go_long,0,go_long,122.27799999999733,122.68912625573118,122.51,False,go_long,122.51,123.1739999999981,122.09
94,AAVE/USDT:USDT,2024-07-03 19:30:00+00:00,first_buy,trailing_stop_loss,86.79,86.79,87.4103505345557,87.90876456393958,85.56,1,85.97,35860.0,0,False,86.99399999999659,87.14142857142842,88.09839999999785,1.8265674,0.23586456974079123,go_long,go_long,go_long,go_long,go_long,24206.0,110.68837447987222,1,109.55285714285677,go_long,go_long,107.72,go_long,0,go_long,109.03799999999683,110.26687683364675,107.62,False,go_long,108.74,112.224799999998,107.62
93,AAVE/USDT:USDT,2024-06-07 18:15:00+00:00,first_buy,trailing_stop_loss,101.03,101.24,100.95327619581494,102.25530713691825,87.76,1,89.05,736095.0,0,False,99.76999999999683,100.8614285714284,102.9239999999977,-0.31328179,-0.039089830782726466,go_long,go_long,go_long,go_long,go_long,22604.0,88.06386572905475,1,87.37714285714272,go_long,go_long,86.59,go_long,0,go_long,87.32599999999658,87.67223244992947,87.12,False,go_long,87.14,88.17359999999786,86.47
92,AAVE/USDT:USDT,2024-05-13 02:30:00+00:00,first_buy,trailing_stop_loss,82.37,82.39,82.71542346874288,82.90800313849513,81.54,1,81.82,34085.0,0,False,82.46199999999749,82.66857142857164,82.90879999999757,0.93998628,0.12780325994436725,go_long,go_long,go_long,go_long,go_long,45988.0,103.31173170787172,1,103.04285714285699,go_long,go_long,101.0,go_long,0,go_long,102.62999999999684,103.11750823141764,102.88,False,go_long,102.89,103.48439999999769,100.99
91,AAVE/USDT:USDT,2024-04-13 20:15:00+00:00,first_buy,trailing_stop_loss,83.77,84.7,87.52833374283817,90.64619190842609,67.55,1,76.85,1226472.0,0,False,85.62399999999761,87.09285714285737,91.56999999999717,0.35978992,0.051926564889768635,go_long,go_long,go_long,go_long,go_long,2666.0,82.99504338957475,1,82.89142857142879,go_long,go_long,82.36,go_long,0,go_long,82.7339999999975,82.87822773578705,82.66,False,go_long,82.89,82.96079999999756,82.36
