,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),sma-05 (exit),volume (exit),ema-26 (exit),high (exit),imit-enter-short (exit),short_kdj (exit),nlp-enter-long (exit),open (exit),imit-exit-short (exit),nlp-enter-short (exit),ema-12 (exit),low (exit),long_jcrosk (exit),nlp-exit-short (exit),close (exit),sma-25 (exit),mean-grad-hist (exit),sma-07 (exit)
910,QTUM/USDT:USDT,2021-05-19 12:45:00+00:00,first_buy,stop_loss,13.533,13.536,13.926965289827292,14.683668914466985,11.5,1,11.504,419392.6,1,False,13.236999999999828,13.516142857142913,14.893639999999998,-23.42891563,-0.3838781280322533,go_long,go_long,go_long,go_long,go_long,7.464999999999837,328590.5,7.6048834994707875,7.5600000000000005,go_long,False,go_long,7.471,go_long,go_long,7.975263149166452,7.018,0,go_long,7.067,7.975920000000007,1,7.5674285714286285
260,XLM/USDT:USDT,2021-05-19 13:00:00+00:00,second_buy,stop_loss,0.39798000000000006,0.41772000000000004,0.47556800047498415,0.5226621575142582,0.2215,1,0.2642,161179933.0,0,False,0.4394759999999991,0.4598842857142836,0.5398740000000007,-24.23523736,-0.3957865132354156,go_short,go_short,go_short,go_short,go_short,0.3862239999999991,93708803.0,0.44086523117114046,0.297,go_short,False,go_short,0.2642,go_short,go_short,0.5024649606613502,0.214,0,go_short,0.25,0.5270724000000008,1,0.4231457142857122
565,TRB/USDT:USDT,2021-05-10 20:00:00+00:00,first_buy,stop_loss,129.104,130.969,133.5458325118882,136.60974727424477,122.985,1,124.418,32593.8,0,False,130.57180000000022,132.59114285714318,136.30612000000005,-19.78071829,-0.3968924452023197,go_long,go_long,go_long,go_long,go_long,80.63800000000013,23244.4,82.6811815665629,79.99,go_long,False,go_long,77.73,go_long,go_long,85.16059549143564,75.8,0,go_long,77.13,86.67960000000002,1,81.58428571428598
566,TRB/USDT:USDT,2021-05-19 11:15:00+00:00,first_buy,stop_loss,76.1,76.46,77.32394192619324,78.88180083576502,73.96,1,74.35,10151.8,0,False,76.04600000000016,76.97571428571455,78.4,-23.5021136,-0.3942013929656643,go_long,go_long,go_long,go_long,go_long,65.33000000000013,49366.0,69.36265205495158,66.61,go_long,False,go_long,66.61,go_long,go_long,73.84716069781533,55.47,1,go_long,55.76,75.10920000000002,1,66.91571428571454
603,TRB/USDT:USDT,2024-07-17 11:30:00+00:00,first_buy,stop_loss,82.219,82.7,81.08670605385922,79.91506013237,81.63,1,82.198,54515.2,1,False,82.70460000000307,82.07785714285828,79.47883999999956,-22.81438257,-0.396104766290535,go_long,go_long,go_long,go_long,go_long,54.94560000000322,119662.2,55.57577818880211,55.172,go_long,False,go_long,54.493,go_long,go_long,56.36787372730523,52.348,0,go_long,53.381,56.50579999999961,1,55.31385714285841
293,XLM/USDT:USDT,2024-11-10 01:30:00+00:00,second_buy,stop_loss,0.10287,0.10332000000000001,0.10206327521202085,0.10158488344096764,0.10213000000000001,1,0.10247,6513557.0,1,False,0.10234800000000063,0.10230142857142943,0.1014148000000013,-24.0382974,-0.39268136819488014,go_short,go_short,go_short,go_short,go_short,0.13695000000000065,46779616.0,0.13578013423967902,0.14253000000000002,go_short,False,go_short,0.13832,go_short,go_short,0.13430579686513952,0.13818000000000003,0,go_short,0.14121,0.1332584000000013,0,0.1364314285714293
802,DOT/USDT:USDT,2024-04-01 05:45:00+00:00,first_buy,stop_loss,9.627,9.635,9.644552721430568,9.639773457859407,9.503,1,9.522,732986.0,0,False,9.642800000000197,9.66285714285759,9.647399999999703,-24.35077197,-0.39918159138829035,go_long,go_long,go_short,go_long,go_long,6.737200000000189,6402470.7,6.7699035038748505,6.757,go_long,False,go_short,6.753,go_long,go_long,6.893091159500604,6.122,0,go_long,6.404,6.926359999999704,1,6.759000000000431
568,TRB/USDT:USDT,2021-06-11 03:00:00+00:00,first_buy,stop_loss,48.26,48.68,48.620343379772535,49.39541466060404,48.14,0,48.64,3486.0,0,False,48.328000000000294,48.297142857143044,49.52759999999993,-23.06857396,-0.394588186281221,go_long,go_long,go_long,go_long,go_long,31.144000000000425,11133.8,31.724225940385995,31.2,go_long,False,go_long,30.73,go_long,go_long,32.64349791188772,30.35,0,go_long,30.36,32.965200000000024,1,31.45142857142873
370,AAVE/USDT:USDT,2022-11-07 01:00:00+00:00,first_buy,stop_loss,86.66,86.66,87.23126114610845,88.11438683502844,85.72,1,85.91,18482.1,1,False,86.61200000000558,86.73857142857476,88.19400000000068,-23.76994836,-0.39486841973896536,go_long,go_long,go_long,go_long,go_long,52.724000000005766,44316.3,53.066038896520475,52.92,go_long,False,go_long,52.35,go_long,go_long,53.56582712488543,52.35,0,go_long,52.57,53.51880000000071,1,52.97000000000334
516,1000SHIB/USDT:USDT,2021-10-04 11:30:00+00:00,second_buy,stop_loss,0.008702999999999999,0.008818,0.00864006491760506,0.008566401537180711,0.008695999999999999,1,0.008702999999999999,750525994.0,0,False,0.008691799999999947,0.00869457142857158,0.008517079999999937,-24.22276959,-0.3952649841239867,go_short,go_short,go_short,go_short,go_short,0.011525799999999947,5445270499.0,0.011314753226484175,0.012100000000000001,go_short,False,go_short,0.011848,go_short,go_short,0.010774148712444184,0.011582,0,go_short,0.011689,0.010783239999999939,0,0.011471285714285873
