,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,short-small-rl (exit),long-small-rl (exit),volume (exit),open (exit),sma-25 (exit),mean-grad-hist (exit),short_kdj (exit),long-large-rl (exit),long_jcrosk (exit),low (exit),sma-05 (exit),ema-12 (exit),high (exit),sma-compare (exit),ema-26 (exit),short-large-rl (exit),long-bid-rl (exit),close (exit),sma-07 (exit),short-bid-rl (exit)
286,CTC/USDT:USDT,2022-11-01 08:45:00+00:00,second_buy,roi,0.5833,0.63,0.5692307044060319,0.5571991018087536,0.5833,0,0.6143000000000001,713374.0,1,False,0.5824200000000034,0.5735714285714274,0.5537780000000011,28.42172208,0.1251706941860973,0,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,2022-11-03 15:45:00+00:00,do_nothing,go_long,0.0,0.5305500000000001,0.5299360000000014,0,False,do_nothing,1,0.5305500000000001,0.5312000000000031,0.5313103927633956,0.5305500000000001,0,0.5296033192493366,do_nothing,go_long,0.5305500000000001,0.5299571428571415,go_long
268,CRO/USDT:USDT,2023-06-11 19:15:00+00:00,first_buy,roi,0.0548,0.05485,0.05477267676088945,0.05475891102626914,0.054650000000000004,1,0.054700000000000006,129439.0,0,False,0.05479999999999687,0.05478571428571159,0.054742000000000006,1.49672929,0.006704727666748078,0,go_long,do_nothing,go_short,go_long,go_short,go_short,2023-06-21 11:30:00+00:00,do_nothing,go_long,0.0,0.055150000000000005,0.05523000000000005,1,False,go_short,0,0.055150000000000005,0.05522999999999671,0.05516885145737048,0.055150000000000005,0,0.0552260553617073,go_long,go_short,0.055150000000000005,0.05528571428571164,go_short
257,CRO/USDT:USDT,2022-02-17 15:00:00+00:00,first_buy,roi,0.45990000000000003,0.45990000000000003,0.46314936330306544,0.4676379031297875,0.45470000000000005,1,0.45530000000000004,349556.0,0,False,0.45970999999999973,0.46062142857142746,0.46815200000000035,7.81194386,0.03374144468335198,1,go_long,do_nothing,go_short,go_long,go_short,go_short,2022-04-06 08:45:00+00:00,do_nothing,go_long,0.0,0.46295000000000003,0.4654720000000004,0,False,go_short,0,0.46295000000000003,0.4631399999999979,0.46538684272159114,0.46295000000000003,1,0.46427067473984285,go_long,go_short,0.46295000000000003,0.4638357142857123,go_short
295,CTC/USDT:USDT,2022-11-24 18:00:00+00:00,second_buy,roi,0.34090000000000004,0.34095000000000003,0.3412044402802697,0.343030776634623,0.335,1,0.33525000000000005,19439.0,0,False,0.3397900000000026,0.3406999999999981,0.34294600000000147,8.19844173,0.03584068783868326,1,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,2022-11-28 16:15:00+00:00,do_nothing,go_long,0.0,0.323,0.3307380000000018,1,False,do_nothing,0,0.323,0.3269700000000025,0.330626370637209,0.323,1,0.33001480499243974,do_nothing,go_long,0.323,0.32852142857142674,go_long
297,CTC/USDT:USDT,2022-12-09 00:15:00+00:00,second_buy,roi,0.4188,0.4293,0.4190377912972657,0.4165865260304438,0.41655000000000003,1,0.42210000000000003,51975.0,0,False,0.41972000000000237,0.4196285714285692,0.41677400000000125,8.93737699,0.0389610217178869,0,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,2022-12-09 22:00:00+00:00,do_nothing,go_long,0.0,0.4052,0.4080980000000014,1,False,do_nothing,0,0.4052,0.40586000000000233,0.4075141989404602,0.4052,1,0.40655552705447967,do_nothing,go_long,0.4052,0.4062571428571407,go_long
264,CRO/USDT:USDT,2023-01-18 16:30:00+00:00,first_buy,roi,0.07395,0.07425000000000001,0.07559982039185968,0.07626285026486071,0.07175000000000001,1,0.07205,3545894.0,0,False,0.0749399999999969,0.07565714285714084,0.07628600000000023,9.3552587,0.042101351806623825,1,go_long,do_nothing,go_short,go_long,go_short,go_short,2023-02-11 06:45:00+00:00,do_nothing,go_long,0.0,0.076,0.07605199999999993,1,False,go_short,0,0.076,0.07607999999999684,0.07605497889599096,0.076,0,0.07607886215254384,go_long,go_short,0.076,0.07612142857142677,go_short
294,CTC/USDT:USDT,2022-11-22 07:15:00+00:00,second_buy,roi,0.34790000000000004,0.3498,0.3489475781004515,0.3492696743797714,0.34675,1,0.3498,3.0,0,False,0.34868000000000227,0.3490285714285692,0.34887000000000135,8.25991338,0.03625288754644005,0,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,2022-11-24 17:45:00+00:00,do_nothing,go_long,0.0,0.34090000000000004,0.3432080000000014,1,False,do_nothing,0,0.34090000000000004,0.34153000000000255,0.34365323876539283,0.34090000000000004,0,0.3422870657857733,do_nothing,go_long,0.34090000000000004,0.3415142857142838,go_long
270,CRO/USDT:USDT,2023-06-24 01:45:00+00:00,first_buy,roi,0.05845,0.0585,0.05842344099678962,0.058351914101190325,0.058350000000000006,1,0.05845,4090.0,0,False,0.05845999999999659,0.05845714285714016,0.05837600000000005,2.03390388,0.008991869227292254,0,go_long,do_nothing,go_short,go_long,go_short,go_short,2023-07-14 22:30:00+00:00,do_nothing,go_long,0.0,0.0591,0.05950600000000004,0,False,go_short,0,0.0591,0.05909999999999642,0.05939032727734591,0.0591,0,0.05915862107634808,go_long,go_short,0.0591,0.059085714285711376,go_short
271,CRO/USDT:USDT,2023-07-14 22:45:00+00:00,first_buy,roi,0.0591,0.05915000000000001,0.059157294756909916,0.05937252525680177,0.059000000000000004,0,0.05915000000000001,1443.0,0,False,0.05911999999999642,0.05910714285713995,0.059444000000000045,4.21621463,0.01892845178830448,0,go_long,do_nothing,go_short,go_long,go_short,go_short,2023-07-22 04:30:00+00:00,do_nothing,go_long,0.0,0.0606,0.06081600000000008,0,False,go_short,0,0.0606,0.06066999999999673,0.0607507004322063,0.0606,1,0.060705518630085616,go_long,go_short,0.0606,0.06069285714285426,go_short
292,CTC/USDT:USDT,2022-11-20 17:45:00+00:00,second_buy,roi,0.36875,0.36875,0.3700849363619769,0.3703058006798046,0.3679,1,0.3679,2.0,0,False,0.368880000000002,0.3703285714285692,0.36942800000000114,7.9705535,0.035035035035035036,0,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,2022-11-20 22:45:00+00:00,do_nothing,go_long,0.0,0.36595000000000005,0.3666320000000014,1,False,do_nothing,1,0.36595000000000005,0.36595000000000205,0.36685318449323057,0.36595000000000005,0,0.36600102536304435,do_nothing,go_long,0.36595000000000005,0.3657857142857122,go_long
