,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),ema-12 (exit),mean-grad-hist (exit),sma-compare (exit),sma-07 (exit),low (exit),short_kdj (exit),sma-05 (exit),volume (exit),sma-25 (exit),long-large-rl (exit),open (exit),close (exit),ema-26 (exit),high (exit),short-large-rl (exit),long_jcrosk (exit),short-small-rl (exit),long-small-rl (exit)
46,INJ/USDT:USDT,2022-11-03 09:15:00+00:00,first_buy,stop_loss,2.9130000000000003,2.915,2.8202140432814833,2.7651346891217106,2.862,0,2.9,1035016.7,0,False,2.8524000000000074,2.8260000000000067,2.7942800000000045,-24.14443519,-0.39445924260766335,0,go_long,go_long,go_long,go_long,2.2388274239854615,1,1,2.124428571428582,1.998,False,2.079600000000011,1154519.9,2.2568400000000084,go_long,2.058,2.008,2.175302031128247,2.088,go_long,1,go_long,go_long
19,OGN/USDT:USDT,2022-08-19 06:45:00+00:00,first_buy,stop_loss,0.1961,0.1963,0.19445593078709944,0.19736070847519804,0.1627,1,0.18180000000000002,38947253.0,0,False,0.193900000000013,0.19480000000000133,0.19545599999999852,-24.94518365,-0.4067512051691033,1,go_long,go_long,go_long,go_long,0.1341905643534429,1,1,0.1280571428571439,0.1149,False,0.12608000000001265,11098916.0,0.13561599999999893,go_long,0.1268,0.1163,0.13048964426456852,0.1279,go_long,0,go_long,go_long
18,OGN/USDT:USDT,2022-05-31 02:30:00+00:00,first_buy,stop_loss,0.2721,0.28340000000000004,0.25416334198218127,0.24162959678789095,0.269,0,0.2821,12053678.0,0,False,0.26996000000001197,0.26110000000000205,0.23756399999999828,-16.81208643,-0.2744597695666428,0,go_long,go_long,go_long,go_long,0.1986055651532139,1,0,0.19690000000000135,0.196,False,0.196900000000013,2214024.0,0.19619999999999851,go_long,0.19770000000000001,0.1961,0.19675700911202662,0.1978,go_long,1,go_long,go_long
16,OGN/USDT:USDT,2022-05-10 00:00:00+00:00,first_buy,stop_loss,0.2787,0.28290000000000004,0.2870950576148078,0.29472131487395725,0.2631,1,0.26930000000000004,10056163.0,0,False,0.28150000000001313,0.28510000000000174,0.2933519999999981,-23.9946715,-0.39226523357182974,1,go_long,go_long,go_long,go_long,0.19598815237284042,1,1,0.18342857142857327,0.1723,False,0.18046000000001286,6351176.0,0.1987559999999981,go_long,0.1778,0.17370000000000002,0.18834394274139807,0.18080000000000002,go_long,0,go_long,go_long
15,OGN/USDT:USDT,2022-05-01 23:00:00+00:00,first_buy,stop_loss,0.449,0.4505,0.4485997608673704,0.4490572531552008,0.4474,0,0.4481,1165965.0,1,False,0.44968000000001335,0.44900000000000206,0.4498479999999979,-24.11869503,-0.3953719697147832,0,go_long,go_long,go_long,go_long,0.29675502006387383,1,1,0.2889714285714303,0.2777,False,0.28634000000001314,5096271.0,0.2948479999999981,go_long,0.28340000000000004,0.2787,0.29033052263568193,0.2862,go_long,0,go_long,go_long
14,OGN/USDT:USDT,2021-05-19 13:00:00+00:00,first_buy,stop_loss,0.7010000000000001,0.7269,0.7993601366215842,0.8860930360415475,0.4071,1,0.44260000000000005,4438658.0,0,False,0.7323200000000026,0.7654000000000077,0.9151480000000056,-37.62400327,-0.6146422234074744,1,go_long,go_long,go_long,go_long,0.2807313339803873,1,1,0.27494285714286243,0.2639,False,0.2730400000000137,996791.0,0.28102799999999634,go_long,0.26940000000000003,0.2646,0.2755721607825934,0.27,go_long,0,go_long,go_long
13,OGN/USDT:USDT,2021-05-19 12:45:00+00:00,first_buy,stop_loss,0.8286,0.8286,0.8642256160073268,0.9215724789248714,0.6967,1,0.7010000000000001,1476984.0,1,False,0.8126000000000027,0.8349571428571506,0.9366600000000056,-24.0578142,-0.39408038466526335,1,go_long,go_long,go_long,go_long,0.9215724789248714,1,1,0.8349571428571506,0.6967,False,0.8126000000000027,1476984.0,0.9366600000000056,go_long,0.8286,0.7010000000000001,0.8642256160073268,0.8286,go_long,1,go_long,go_long
20,OGN/USDT:USDT,2022-11-08 19:45:00+00:00,first_buy,stop_loss,0.1163,0.11910000000000001,0.12862969899309645,0.13302089291985453,0.10450000000000001,1,0.1184,19379822.0,0,False,0.12382000000001266,0.12577142857142962,0.13483199999999892,-27.46844831,-0.4474232903105973,1,go_long,go_long,go_long,go_long,0.07941256221571187,1,1,0.07744285714285801,0.0766,False,0.07736000000001106,4734011.0,0.07985999999999914,go_long,0.07680000000000001,0.077,0.07818168010160223,0.07740000000000001,go_long,0,go_long,go_long
12,OGN/USDT:USDT,2021-05-13 00:15:00+00:00,first_buy,stop_loss,1.2086000000000001,1.2195,1.323416661064225,1.374950213044322,1.1034,1,1.2036,1942774.0,0,False,1.283540000000004,1.3069285714285763,1.3829800000000079,-24.29408998,-0.3963014878943475,1,go_long,go_long,go_long,go_long,0.9392182772388611,1,1,0.8693714285714363,0.8178000000000001,False,0.8428400000000027,972551.0,0.9486760000000056,go_long,0.8494,0.8290000000000001,0.8939030007359318,0.8506,go_long,0,go_long,go_long
9,LINK/USDT:USDT,2024-05-24 10:00:00+00:00,first_buy,stop_loss,17.582,17.753,17.25101750044831,17.145356475558746,17.553,0,17.66,615420.95,0,False,17.423200000000456,17.28442857142814,17.20739999999997,-25.04149154,-0.40823096309958296,0,go_long,go_long,go_long,go_long,11.277371161127839,1,1,11.010285714285347,10.85,False,10.975800000000364,414680.13,11.347039999999966,go_long,10.955,10.873,11.106665808893965,10.972,go_long,0,go_long,go_long
