,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),nlp-exit-short (entry),close_date,sma-compare (exit),long_jcrosk (exit),nlp-exit-short (exit),short-bid-rl (exit),sma-07 (exit),ema-26 (exit),nlp-enter-short (exit),imit-enter-short (exit),sma-05 (exit),low (exit),imit-exit-short (exit),short_kdj (exit),long-bid-rl (exit),open (exit),high (exit),nlp-enter-long (exit),short-large-rl (exit),ema-12 (exit),close (exit),sma-25 (exit),short-small-rl (exit),volume (exit),long-large-rl (exit),long-small-rl (exit),mean-grad-hist (exit)
41,BEER/USDT:USDT,2024-07-25 12:45:00+00:00,first_buy,stop_loss,1.89e-05,1.91e-05,1.9099743281228268e-05,1.9443681313509296e-05,1.814e-05,1,1.826e-05,1394804.0,0,False,1.8931999999999123e-05,1.900571428571466e-05,1.9417600000000158e-05,-3.33241661,-0.3969910470649816,1,go_long,go_long,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,2024-08-05 01:00:00+00:00,1,0,go_long,go_long,1.254142857142897e-05,1.2638952920332376e-05,go_long,go_long,1.236199999999915e-05,1.159e-05,go_long,False,go_long,1.214e-05,1.233e-05,go_long,do_nothing,1.2936208265038146e-05,1.1760000000000001e-05,1.3024800000000169e-05,go_long,1117584.0,do_nothing,go_long,1
42,BEER/USDT:USDT,2024-08-05 01:15:00+00:00,first_buy,stop_loss,1.1750000000000001e-05,1.183e-05,1.2280652471050471e-05,1.2741674319479765e-05,9.49e-06,1,1.031e-05,8362355.0,0,False,1.187199999999915e-05,1.2155714285714685e-05,1.2913200000000168e-05,-3.49465162,-0.4168350717028989,1,go_long,go_long,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,2024-12-02 07:30:00+00:00,1,0,go_long,go_long,1.36575714285718e-05,1.3671425059977479e-05,go_long,go_long,1.3628999999999212e-05,1.3536e-05,go_long,False,go_long,1.3554000000000001e-05,1.3572000000000002e-05,go_long,do_nothing,1.3754795651212103e-05,1.3536e-05,1.3748480000000192e-05,go_long,731.0,do_nothing,go_long,1
62,CETUS/USDT:USDT,2024-10-13 00:45:00+00:00,second_buy,stop_loss,0.22989,0.23270000000000002,0.22526091239369156,0.21940423125454583,0.2291,0,0.23152000000000003,972.0,0,False,0.22799800000000148,0.22691714285714373,0.2185391999999994,-2.7017973,-0.3910895842265414,0,go_short,go_short,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,2024-11-06 05:00:00+00:00,0,0,go_short,go_long,0.2130671428571441,0.21039322095781363,go_short,go_short,0.21313200000000224,0.21133000000000002,go_short,False,go_long,0.21424,0.21436000000000002,go_short,go_long,0.20484253561570814,0.21133000000000002,0.20345199999999955,go_long,12335.0,go_long,go_long,0
61,CETUS/USDT:USDT,2024-03-21 16:30:00+00:00,second_buy,stop_loss,0.14714000000000002,0.18358000000000002,0.1484356331766857,0.14277199580096597,0.14714000000000002,0,0.16514,99015.0,1,False,0.15116800000000102,0.1502171428571431,0.14179999999999945,-2.89924318,-0.34993010494065535,0,go_short,go_short,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,2024-10-13 00:30:00+00:00,0,0,go_short,go_long,0.2262742857142866,0.22412289646527184,go_short,go_short,0.2263680000000015,0.22681,go_short,False,go_long,0.22987000000000002,0.22998000000000002,go_short,go_long,0.2184349697549095,0.22957000000000002,0.2175323999999994,go_long,1422.0,go_long,go_long,0
60,CETUS/USDT:USDT,2023-05-11 14:15:00+00:00,second_buy,stop_loss,0.11526000000000002,0.11694000000000002,0.11832931190797645,0.11995125356125359,0.11158000000000001,0,0.11639000000000001,22733.0,0,False,0.117008,0.1172385714285714,0.11996720000000004,-2.78387232,-0.34342144569887834,1,go_short,go_short,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,2024-03-21 16:15:00+00:00,0,0,go_short,go_long,0.14767000000000025,0.14539847557244673,go_short,go_short,0.147708000000001,0.14617000000000002,go_short,False,go_long,0.15018,0.15051,go_short,go_long,0.14098255546504326,0.14761000000000002,0.14049239999999943,go_long,12195.0,go_long,go_long,0
56,CAKE/USDT:USDT,2021-03-27 20:00:00+00:00,second_buy,stop_loss,17.001,18.618,17.54200704045113,17.20884204274267,16.5,1,16.5,1700.0,1,False,17.699999999999967,17.785714285714256,17.192840000000004,-3.261742,-0.3957584250917584,0,go_short,go_short,go_short,go_short,go_long,go_short,go_long,go_long,go_long,go_long,go_short,2021-04-09 19:00:00+00:00,0,0,go_short,go_long,22.13742857142857,22.044681581800095,go_short,go_short,22.490799999999957,22.8,go_short,False,go_long,22.8,22.8,go_short,go_long,21.778986963664522,22.8,21.78767999999992,go_short,0.0,go_long,go_long,0
46,BLAST/USDT:USDT,2024-07-03 19:45:00+00:00,first_buy,stop_loss,0.01683,0.017,0.01735752656988698,0.0177903408311413,0.0165,0,0.01699,13540.0,0,False,0.01699200000000002,0.017118571428571434,0.017924000000000023,-3.37563122,-0.3960374587244816,1,go_long,go_long,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,2024-08-04 15:00:00+00:00,1,0,go_long,go_long,0.01066528571428571,0.010699495185703196,go_long,go_long,0.010579200000000078,0.01034,go_long,False,go_long,0.01043,0.010469,go_long,do_nothing,0.010823857316689688,0.010393999999999999,0.010847640000000056,go_long,23518.0,do_nothing,go_long,1
48,BNB/USDT:USDT,2021-02-24 00:15:00+00:00,second_buy,stop_loss,229.716,231.295,223.47585720435728,219.007349002849,223.617,0,223.617,1349.0,0,False,226.6462,225.47271428571426,218.55840000000003,-3.86848933,-0.39569906419491874,0,go_short,go_short,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,2021-03-11 14:00:00+00:00,0,0,go_short,go_long,288.29671428571385,287.8373624971009,go_short,go_short,290.9610000000002,294.97,go_short,False,go_long,295.021,306.956,go_short,go_long,284.35012442860796,305.5,281.81524000000024,go_long,7800.0,go_long,go_long,0
49,BNB/USDT:USDT,2021-03-11 14:15:00+00:00,second_buy,stop_loss,304.379,317.244,292.2011528821623,286.70952261908144,304.158,0,316.202,6586.0,0,False,297.6576000000002,293.2924285714281,283.2829200000003,-3.75010959,-0.39572294311496664,0,go_short,go_short,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,2021-04-09 12:15:00+00:00,0,0,go_short,go_long,434.01742857142693,431.98286569316895,go_short,go_short,435.40939999999983,435.643,go_short,False,go_long,437.246,440.152,go_short,go_long,426.37767909808,440.0,424.5796000000002,go_long,2899.0,go_long,go_long,0
50,BNB/USDT:USDT,2021-04-09 12:30:00+00:00,second_buy,stop_loss,440.0,444.546,433.0624248172968,427.3126658315556,439.0,1,439.0,5119.0,1,False,437.30859999999984,435.42914285714124,425.6108400000002,-3.818111,-0.39572716224196863,0,go_short,go_short,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,2021-04-12 09:00:00+00:00,0,0,go_short,go_long,589.2574285714273,582.9416064225746,go_short,go_short,591.8340000000003,591.246,go_short,False,go_long,593.958,605.0,go_short,go_long,567.7075467228141,603.0,567.96044,go_long,9638.0,go_long,go_long,0
