,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,open (exit),long_jcrosk (exit),close (exit),mean-grad-hist (exit),volume (exit),short_kdj (exit),high (exit),sma-05 (exit),sma-07 (exit),ema-12 (exit),ema-26 (exit),low (exit),sma-25 (exit)
57,STMX/USDT:USDT,2023-07-21 03:15:00+00:00,second_buy,trailing_stop_loss,0.00478,0.0048000000000000004,0.004758605804268661,0.004749992805272947,0.004770000000000001,0,0.00479,66248800.0,0,False,0.004766000000000847,0.004761428571427884,0.00475559999999996,-24.85067317,-0.4054989616801537,0.006070000000000001,0,0.0061,0,572544271.0,False,0.0061200000000000004,0.006072000000000849,0.006109999999999313,0.006105395925665267,0.006123770788876209,0.006030000000000001,0.006191199999999963
72,STMX/USDT:USDT,2024-05-23 14:45:00+00:00,second_buy,trailing_stop_loss,0.008150000000000001,0.00816,0.008255435416722127,0.00835924164196079,0.008110000000000001,1,0.00813,25155085.0,0,False,0.008172000000001142,0.00820571428571366,0.008375200000000006,28.1062467,0.4585957432557327,0.00429,0,0.00436,0,162072213.0,False,0.004370000000000001,0.00428200000000112,0.004264285714285093,0.004108303127529625,0.004210346546098962,0.004260000000000001,0.004068800000000012
71,STMX/USDT:USDT,2024-04-24 15:45:00+00:00,second_buy,trailing_stop_loss,0.00807,0.00812,0.008221109155386234,0.00831063488894718,0.008,1,0.008010000000000001,59231662.0,0,False,0.008100000000001073,0.00815428571428507,0.008375200000000001,-4.96975515,-0.08108955527551455,0.008490000000000001,0,0.0086,0,94941944.0,False,0.00863,0.00840800000000114,0.008387142857142224,0.008233740914289535,0.008334478817764114,0.008450000000000001,0.008191600000000009
70,STMX/USDT:USDT,2024-03-30 23:30:00+00:00,second_buy,trailing_stop_loss,0.011720000000000001,0.01173,0.01178672330985313,0.011873873830723332,0.01162,0,0.011630000000000001,31751489.0,0,False,0.011710000000001046,0.011729999999999324,0.011919999999999993,18.78193423,0.3064905137552614,0.00799,0,0.00808,0,34312736.0,False,0.00808,0.007994000000001087,0.007981428571427923,0.007827143663469099,0.007923135251679255,0.007980000000000001,0.007805199999999996
69,STMX/USDT:USDT,2024-03-10 12:45:00+00:00,second_buy,trailing_stop_loss,0.01127,0.01127,0.011335798036061452,0.011385807806045659,0.0111,1,0.01118,105231507.0,0,False,0.011288000000001023,0.011291428571427885,0.011466399999999977,-2.39168532,-0.0390266960384066,0.01136,0,0.01148,0,16195304.0,False,0.01149,0.011424000000001036,0.011425714285713597,0.011379925989872945,0.011418642337220347,0.011340000000000001,0.011414399999999986
68,STMX/USDT:USDT,2024-03-01 22:00:00+00:00,second_buy,trailing_stop_loss,0.009880000000000002,0.0099,0.00991085893585097,0.009857625853125735,0.00986,0,0.009880000000000002,15577749.0,0,False,0.009914000000001007,0.009908571428570755,0.009919999999999962,-7.33588878,-0.1196986293368927,0.01098,0,0.011090000000000001,0,82583746.0,False,0.011120000000000001,0.01089600000000102,0.010851428571427879,0.01076763009658639,0.010838935169634205,0.010960000000000001,0.010747199999999981
67,STMX/USDT:USDT,2024-02-20 15:30:00+00:00,second_buy,trailing_stop_loss,0.007850000000000001,0.00786,0.007930139069748326,0.007997524124693178,0.00753,1,0.007580000000000001,141223489.0,0,False,0.007826000000000994,0.007892857142856478,0.008035199999999966,-20.52304302,-0.33488640801680797,0.0099,0,0.00996,0,239732282.0,False,0.010020000000000001,0.009856000000001006,0.009822857142856469,0.009618346579000204,0.009737862295449384,0.009880000000000002,0.009589199999999963
66,STMX/USDT:USDT,2024-01-03 12:15:00+00:00,second_buy,trailing_stop_loss,0.00876,0.00876,0.008779408679246613,0.008913429058714457,0.0068200000000000005,1,0.007620000000000001,506474464.0,0,False,0.008620000000000991,0.008761428571427875,0.008977599999999957,-4.01022766,-0.0654369356021645,0.007980000000000001,0,0.0081,0,64397221.0,False,0.008110000000000001,0.007976000000000996,0.007969999999999337,0.007902265833337467,0.007955704979316284,0.00796,0.007889999999999965
65,STMX/USDT:USDT,2023-12-11 03:30:00+00:00,second_buy,trailing_stop_loss,0.00872,0.00873,0.008881022760857202,0.009076437197081498,0.008650000000000001,0,0.00873,70495638.0,0,False,0.008644000000000988,0.00870285714285645,0.009182799999999953,0.23203395,0.003786185149967556,0.00892,0,0.00876,1,143384612.0,False,0.008950000000000001,0.00892200000000099,0.008979999999999305,0.009016903383411615,0.008990210257291452,0.008610000000000001,0.009033599999999958
64,STMX/USDT:USDT,2023-11-10 11:00:00+00:00,second_buy,trailing_stop_loss,0.00894,0.008950000000000001,0.008655557345757287,0.008513553550741378,0.00881,0,0.00889,147695714.0,0,False,0.008814000000000922,0.008729999999999308,0.008485199999999957,-4.65636228,-0.07597443619382696,0.008960000000000001,0,0.00919,0,302319260.0,False,0.0092,0.008886000000000976,0.008842857142856455,0.00878520420614147,0.008844769971765505,0.00894,0.008768799999999957
63,STMX/USDT:USDT,2023-11-01 18:15:00+00:00,second_buy,trailing_stop_loss,0.008020000000000001,0.0081,0.007957277047679684,0.007946869426154286,0.008,0,0.00807,165360374.0,0,False,0.007982000000000898,0.007954285714285018,0.007945199999999953,-3.47437292,-0.05669482028325104,0.00843,1,0.008440000000000001,0,106910251.0,False,0.008530000000000001,0.008398000000000927,0.008371428571427883,0.008273322984003328,0.008351326330962508,0.008400000000000001,0.008276799999999956
