,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,low (exit),volume (exit),long-large-rl (exit),short-large-rl (exit),ema-26 (exit),open (exit),ema-12 (exit),sma-compare (exit),sma-25 (exit),close (exit),high (exit),long_jcrosk (exit),mean-grad-hist (exit),short-bid-rl (exit),sma-07 (exit),sma-05 (exit),long-small-rl (exit),short_kdj (exit),long-bid-rl (exit),short-small-rl (exit)
54,BAL/USDT:USDT,2022-07-27 22:45:00+00:00,first_buy,long-exit-profit,6.074,6.096,5.92219347742053,5.722491881812519,6.034,1,6.058,82915.2,1,False,6.018999999999664,5.987857142857362,5.682160000000144,1.1731049,0.019153675640965175,0,go_long,go_long,go_long,go_long,go_long,go_long,2022-07-28 03:00:00+00:00,6.062,288721.9,go_long,go_long,6.056424537740934,6.071,5.965065212380806,0,6.027160000000148,6.187,6.246,0,0,go_long,6.067857142857362,6.070999999999663,go_long,False,go_long,go_long
58,BAL/USDT:USDT,2022-07-29 05:15:00+00:00,first_buy,long-exit-profit,6.41,6.419,6.312723387291337,6.266213879655186,6.313,1,6.339,30963.5,0,False,6.344999999999668,6.3457142857145055,6.232080000000146,0.4920384,0.008074877338400442,0,go_long,go_long,go_long,go_long,go_long,go_long,2022-07-29 06:30:00+00:00,6.341,19717.7,go_long,go_long,6.3518939765809135,6.371,6.3026358299282075,0,6.281160000000146,6.405,6.415,0,1,go_long,6.377571428571648,6.378799999999669,go_long,False,go_long,go_long
53,BAL/USDT:USDT,2022-07-27 22:00:00+00:00,first_buy,long-exit-profit,5.956,5.997,5.837485401872956,5.637093997421812,5.95,1,5.989,64032.9,0,False,5.940199999999665,5.921000000000219,5.577040000000145,0.7643778,0.012504448950081154,0,go_long,go_long,go_long,go_long,go_long,go_long,2022-07-27 22:30:00+00:00,6.01,109045.0,go_long,go_long,5.897501382406081,6.02,5.695651232357521,0,5.649480000000145,6.074,6.089,0,1,go_long,5.970571428571647,5.994399999999665,go_long,False,go_long,go_long
51,BAL/USDT:USDT,2022-07-22 07:45:00+00:00,first_buy,long-exit-profit,5.8870000000000005,5.895,5.792728017952858,5.744826752272696,5.791,1,5.796,59394.2,1,False,5.844199999999668,5.833142857143082,5.716800000000149,0.58543805,0.009608470667146336,0,go_long,go_long,go_long,go_long,go_long,go_long,2022-07-22 09:00:00+00:00,5.804,23466.1,go_long,go_long,5.822183800985545,5.821,5.776378011416691,0,5.754360000000149,5.865,5.872,0,1,go_long,5.84285714285737,5.842599999999668,go_long,False,go_long,go_long
27,LPT/USDT:USDT,2024-02-18 18:00:00+00:00,first_buy,long-exit-profit,19.709,20.699,18.864826004504803,18.375233859208915,19.634,0,19.932,2308170.6,0,False,19.137999999999746,19.120857142856895,18.182199999999785,1.48892046,0.024876373939642215,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-03-08 18:30:00+00:00,19.821,942499.2,go_long,go_long,18.824637236433386,20.309,17.720213292523788,0,17.274719999999782,20.724,21.088,0,0,go_long,19.47999999999973,19.81439999999972,go_long,False,go_long,do_nothing
28,LPT/USDT:USDT,2024-03-08 18:45:00+00:00,first_buy,long-exit-profit,20.728,21.0,19.08484689236671,17.927308604188692,20.204,1,20.516,547780.2,1,False,20.19959999999972,19.736857142856874,17.46759999999978,1.874183,0.031461642981549416,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-03-08 19:15:00+00:00,20.486,763892.4,go_long,go_long,19.602298662582083,20.548000000000002,18.35026320660896,0,17.85387999999978,21.206,21.375,0,1,go_long,20.39385714285687,20.66159999999972,go_long,False,go_long,do_nothing
29,LPT/USDT:USDT,2024-03-08 19:30:00+00:00,first_buy,long-exit-profit,21.209,22.168,19.98117579141561,18.625428895008298,21.08,0,22.065,934567.4,0,False,21.01279999999972,20.7484285714283,18.09279999999978,2.475657,0.04151531934345568,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-03-08 19:45:00+00:00,21.89,1651005.0,go_long,go_long,20.4486872081209,22.064,18.95095268056324,0,18.367319999999783,23.02,23.8,0,0,go_long,21.198999999999728,21.471999999999717,go_long,False,go_long,do_nothing
30,LPT/USDT:USDT,2024-03-08 20:00:00+00:00,first_buy,long-exit-profit,23.026,23.191,20.829966099179224,19.245474704225224,22.36,1,22.927,807816.0,1,False,21.95419999999972,21.572999999999727,18.632239999999783,0.9249552,0.015503930698276987,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-03-08 21:15:00+00:00,22.573,419535.2,go_long,go_long,21.957331935261134,22.617,20.37908432833591,0,19.942879999999782,23.327,23.444,0,1,go_long,22.830428571428303,22.77319999999972,go_long,False,go_long,do_nothing
31,LPT/USDT:USDT,2024-03-08 21:30:00+00:00,first_buy,long-exit-profit,23.325,24.521,22.228050099067115,20.62633734105177,23.063,1,23.717,977284.1,0,False,23.006799999999718,22.92999999999973,20.25255999999978,0.4932671,0.00831160574614085,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-03-09 00:45:00+00:00,23.435,221219.6,go_long,go_long,23.40448191181265,23.496,22.44806375303492,0,22.918079999999776,23.962,23.981,0,0,go_long,23.56557142857116,23.63559999999972,go_long,False,go_long,do_nothing
32,LPT/USDT:USDT,2024-03-09 01:00:00+00:00,first_buy,long-exit-profit,23.971,23.992,23.447023156149164,22.539392363921223,23.569,0,23.681,214698.3,0,False,23.62999999999972,23.626571428571165,23.04467999999978,2.6513125,0.04473527570263625,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-03-09 01:15:00+00:00,23.677,874910.5,go_long,go_long,23.653942670587753,23.683,22.70625218881595,0,23.21423999999978,24.792,25.268,0,0,go_long,23.807285714285452,23.92699999999972,go_long,False,go_long,do_nothing
