,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),long-small-rl (exit),sma-05 (exit),sma-25 (exit),long_jcrosk (exit),sma-07 (exit),open (exit),close (exit),short-large-rl (exit),low (exit),mean-grad-hist (exit),short-bid-rl (exit),sma-compare (exit),long-bid-rl (exit),volume (exit),ema-26 (exit),ema-12 (exit),short_kdj (exit),short-small-rl (exit),long-large-rl (exit),high (exit)
335,ATOM/USDT:USDT,2020-04-21 23:45:00+00:00,first_buy,roi,2.29,2.29,2.288612148761703,2.2878750062645667,2.271,1,2.2720000000000002,11616.49,0,False,2.288799999999985,2.2894285714285627,2.289799999999987,361.67962224,5.890034949401146,1,go_long,go_short,go_long,go_long,go_long,go_long,go_long,18.746200000000023,18.37727999999995,0,18.764857142857092,18.611,18.611,go_long,18.611,1,go_long,0,go_long,0.0,18.613796520605305,18.493057613573864,False,go_short,go_long,18.611
210,ALGO/USDT:USDT,2020-06-16 15:45:00+00:00,first_buy,roi,0.232,0.2335,0.23378412922214623,0.23579330484330488,0.23170000000000002,0,0.23220000000000002,285979.2,0,False,0.23123999999999997,0.23255714285714282,0.235764,170.26737363,2.772696479151244,1,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,1.08279999999999,1.0755200000000074,0,1.087171428571428,1.0706,1.0706,do_nothing,1.0706,1,go_long,0,go_long,0.0,1.0810718661820027,1.0785435091414006,False,go_long,do_nothing,1.0706
112,COMP/USDT:USDT,2021-05-01 16:30:00+00:00,second_buy,short-exit-profit,808.46,819.68,797.125756820132,788.0172614020628,806.0,0,816.4,5067.721,0,False,801.1440000000009,798.1614285714287,789.6791999999996,26.0107732,0.4252504615612394,0,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,525.2580000000006,585.3743999999988,0,535.4471428571431,522.54,479.2,go_long,478.49,1,go_short,1,go_short,10750.745,550.0785553198406,576.5304110287216,False,do_nothing,go_long,523.0
126,COMP/USDT:USDT,2022-05-07 22:15:00+00:00,second_buy,short-exit-profit,97.25,98.07,99.7786731900703,100.6682490624947,97.23,1,97.68,5102.952,0,False,98.79000000000028,99.39714285714169,101.03359999999859,24.2934035,0.39642184706237615,1,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,61.66200000000036,66.98799999999854,1,62.08714285714169,61.25,58.85,go_long,58.62,1,go_short,1,go_short,31805.575,63.370012484358575,66.07538075732933,False,do_nothing,go_long,61.4
127,COMP/USDT:USDT,2022-05-12 05:30:00+00:00,second_buy,short-exit-profit,58.84,60.51,62.676164409841874,65.54090810863826,57.81,1,58.86,37885.242,0,False,60.978000000000364,61.37999999999884,66.49319999999854,24.25412189,0.39576091092119897,1,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,36.66000000000009,37.73719999999863,1,36.865714285713175,36.82,35.91,go_long,35.66,1,go_short,1,go_short,23826.429,37.1362438247636,38.05626611929822,False,do_nothing,go_long,36.89
130,COMP/USDT:USDT,2022-08-10 17:00:00+00:00,second_buy,short-exit-profit,63.9,70.2,63.234038565745855,62.04039390212786,63.85,0,68.49,346692.396,1,False,63.918000000000085,63.395714285712856,61.7231999999987,24.13092987,0.3940563839594078,0,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,42.601999999999734,46.029199999998745,0,43.41857142856987,42.97,39.94,go_long,39.7,1,go_short,1,go_short,59669.947,44.3147574106251,45.54962231289566,False,do_nothing,go_long,43.27
132,COMP/USDT:USDT,2023-01-27 16:45:00+00:00,second_buy,short-exit-profit,55.29,57.65,54.69039829651848,54.15625349122793,55.06,0,57.55,93872.88,0,False,55.18399999999987,54.8371428571408,54.02679999999872,24.2078317,0.39499160960880353,0,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,36.77799999999959,37.35319999999853,1,36.934285714283455,36.64,36.0,go_long,36.0,1,go_short,1,go_short,13130.601,36.99004127892079,37.2240560835896,False,do_nothing,go_long,36.83
116,COMP/USDT:USDT,2021-05-26 11:30:00+00:00,second_buy,short-exit-profit,456.01,461.37,449.44023880491,444.3439910261894,453.68,0,455.49,2338.711,0,False,451.43200000000087,449.7914285714287,445.75919999999866,24.52537743,0.402046156629742,0,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,281.61000000000075,288.5639999999992,0,283.53285714285704,280.14,274.65,go_long,274.53,1,go_short,1,go_short,3176.92,284.0776168306608,288.4340476234526,False,do_nothing,go_long,280.9
138,COMP/USDT:USDT,2024-02-26 14:00:00+00:00,second_buy,short-exit-profit,76.59,78.03,75.96699695281255,75.21629231161343,76.44,0,76.74,72565.482,0,False,76.5579999999998,76.38999999999787,75.00239999999863,26.7726056,0.4370756155156971,0,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,51.03399999999992,54.15079999999849,0,51.85999999999716,49.48,45.89,go_long,42.35,1,go_short,1,go_short,152276.561,51.96433051726502,53.617632713479104,False,do_nothing,go_long,50.03
119,COMP/USDT:USDT,2021-07-06 04:30:00+00:00,second_buy,short-exit-profit,518.15,521.6,504.98874272912707,497.9295765467557,513.0,0,517.64,10045.985,0,False,510.67200000000173,507.4899999999992,498.216399999999,24.14410836,0.39559605921951263,0,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,320.0480000000029,334.1079999999991,0,322.1671428571425,316.77,313.72,go_long,313.59,1,go_short,1,go_short,5919.369,325.0735090899087,331.4366221599338,False,do_nothing,go_long,318.11
121,COMP/USDT:USDT,2021-07-26 06:30:00+00:00,second_buy,short-exit-profit,431.67,438.22,421.7495614743212,414.0900971639265,430.0,0,433.2,9300.94,1,False,425.71000000000276,423.25999999999993,415.261999999999,24.24375027,0.397179131586,0,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,313.0180000000007,318.5551999999985,0,315.6085714285709,313.14,295.99,go_long,293.94,1,go_short,1,go_short,25949.899,315.1142946463714,318.39609124838375,False,do_nothing,go_long,313.73
