,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),short-large-rl (exit),volume (exit),sma-07 (exit),open (exit),short-small-rl (exit),low (exit),long-small-rl (exit),sma-compare (exit),long-large-rl (exit),long_jcrosk (exit),short-bid-rl (exit),sma-05 (exit),close (exit),ema-12 (exit),sma-25 (exit),short_kdj (exit),mean-grad-hist (exit),high (exit),long-bid-rl (exit),ema-26 (exit)
272,BCH/USDT:USDT,2023-06-24 13:15:00+00:00,second_buy,stop_loss,193.73,201.12,191.83124161482883,190.3912468782476,193.67,1,194.86,508205.902,1,False,193.0380000000036,192.19142857141722,189.10480000000163,-17.43153853,-0.28517922580898386,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_long,79713.235,241.63714285713118,240.86,do_nothing,240.59,do_nothing,0,go_long,0,go_short,241.58400000000347,242.01,234.0128197032698,232.1396000000017,False,1,242.66,go_short,237.8244816995898
271,BCH/USDT:USDT,2023-06-23 15:45:00+00:00,second_buy,stop_loss,146.05,161.16,145.87507078150537,144.22600659353287,145.88,0,156.72,924089.467,0,False,147.00200000000353,145.90142857141726,143.89760000000172,-17.03944665,-0.27833069745848216,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_long,127713.093,191.2871428571315,193.08,do_nothing,191.2,do_nothing,0,go_long,0,go_short,192.25600000000358,193.77,190.03374662850743,188.93960000000163,False,0,194.28,go_short,191.28055827207044
270,BCH/USDT:USDT,2023-01-12 16:45:00+00:00,second_buy,stop_loss,120.6,123.4,115.05266932222189,112.67256569584157,120.0,0,121.78,191112.189,0,False,117.84200000000331,116.18428571427418,111.51400000000186,-19.38102901,-0.31671409283565216,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_long,134855.964,143.87714285713156,145.04,do_nothing,144.66,do_nothing,0,go_long,0,go_short,144.32400000000354,146.04,143.2264871210155,143.28320000000176,False,0,146.96,go_short,143.9032654690518
269,BCH/USDT:USDT,2022-11-09 10:30:00+00:00,second_buy,stop_loss,96.09,96.99,99.04204381241271,100.31699227360457,95.0,1,96.14,42357.875,0,False,97.84200000000256,98.45571428570335,100.77320000000178,-19.79706026,-0.32308025745397967,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_long,292715.908,114.50999999998848,115.12,do_nothing,114.76,do_nothing,0,go_long,0,go_short,116.1420000000033,120.6,111.9439709515089,111.00840000000184,False,0,121.5,go_short,113.8295182898986
267,BCH/USDT:USDT,2022-06-14 02:00:00+00:00,second_buy,stop_loss,119.66,121.27,123.7703779235257,126.57837267791115,117.48,1,118.03,21912.829,0,False,121.402000000002,122.88428571427407,127.91000000000199,-17.91317123,-0.2923021878497847,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_long,34591.483,143.88142857141693,146.01,do_nothing,145.22,do_nothing,0,go_long,0,go_short,144.63400000000155,147.11,143.32097652996566,144.1896000000019,False,0,147.49,go_short,144.15521885561233
262,BCH/USDT:USDT,2021-04-16 16:15:00+00:00,second_buy,stop_loss,1003.4,1077.76,932.3351928415746,910.8244238973981,983.94,0,1073.81,112831.969,0,False,960.9139999999994,936.1485714285706,897.4980000000005,-15.96103446,-0.26103169729088066,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_long,18889.3,1320.7928571428567,1324.88,do_nothing,1322.85,do_nothing,0,go_long,0,go_short,1329.6879999999978,1352.23,1276.3431050909776,1277.9600000000003,False,0,1354.0,go_short,1309.1050414598537
218,OP/USDT:USDT,2024-07-11 07:15:00+00:00,first_buy,stop_loss,1.6893,1.6905000000000001,1.672255707426763,1.667385804246791,1.6815,0,1.6885,604498.9,0,False,1.6783000000000357,1.673057142857182,1.6651879999999988,-17.2835048,-0.2817187602822592,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,go_long,6855105.1,1.3132142857143236,1.29,do_nothing,1.2495,do_nothing,1,go_long,0,go_long,1.3032000000000274,1.2649,1.3370817811320255,1.3459519999999991,False,1,1.3042,go_long,1.3205506111415193
261,BCH/USDT:USDT,2021-04-14 16:30:00+00:00,second_buy,stop_loss,824.48,847.89,800.9410069062786,798.9285162247121,820.25,0,837.33,77473.04,0,False,806.6099999999993,799.5985714285702,799.7684000000002,-16.69206092,-0.27324601392348496,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_long,158873.857,906.6628571428563,940.64,do_nothing,937.89,do_nothing,0,go_long,0,go_short,921.3379999999994,1003.57,897.7855778091899,890.4848000000004,False,0,1032.0,go_short,906.6125006309518
259,BCH/USDT:USDT,2021-03-03 00:15:00+00:00,second_buy,stop_loss,517.48,517.62,513.2372870321386,513.0686609686609,511.22,0,515.35,6665.137,0,False,515.6940000000001,513.9057142857141,512.45,-13.49400331,-0.22025515531699225,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_long,17599.223,637.3714285714287,648.37,do_nothing,640.3,do_nothing,0,go_long,0,go_short,638.3120000000001,641.34,627.3938521742737,625.088000000001,False,0,650.69,go_short,634.559974862277
257,ALGO/USDT:USDT,2024-11-23 00:45:00+00:00,second_buy,stop_loss,0.2727,0.2796,0.2620816873721145,0.255183315079208,0.2725,0,0.2776,34765165.8,0,False,0.2676599999999948,0.26515714285714415,0.25309200000001203,-16.79576802,-0.2740708102757779,0,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,11028004.8,0.33957142857143024,0.3396,do_nothing,0.33580000000000004,go_long,0,go_long,0,go_short,0.34091999999999445,0.3458,0.3243941609044095,0.32097200000001214,False,0,0.3462,go_short,0.33414008500655057
256,ALGO/USDT:USDT,2024-11-16 09:15:00+00:00,second_buy,stop_loss,0.20570000000000002,0.21580000000000002,0.19956225046051065,0.1948418082733299,0.20550000000000002,0,0.2147,54292944.7,0,False,0.20257999999999435,0.2007000000000012,0.1933160000000119,-16.86438698,-0.27517729097630145,0,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,28295122.2,0.26187142857142987,0.2674,do_nothing,0.2666,go_long,0,go_long,0,go_short,0.26359999999999484,0.2727,0.25338998028554466,0.25179600000001207,False,0,0.27340000000000003,go_short,0.2592601759852262
255,ALGO/USDT:USDT,2024-11-15 12:30:00+00:00,second_buy,stop_loss,0.16160000000000002,0.1689,0.16037704454863044,0.15825841743559718,0.1613,0,0.168,38372240.6,0,False,0.16163999999999426,0.1607857142857155,0.1580800000000119,-16.98700718,-0.2772236437373843,0,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,28277107.1,0.19805714285714404,0.19990000000000002,do_nothing,0.19820000000000002,go_long,0,go_long,0,go_short,0.19841999999999435,0.2058,0.1932531529351963,0.1923520000000119,False,0,0.2063,go_short,0.19680993236242167
254,ALGO/USDT:USDT,2024-08-21 05:45:00+00:00,second_buy,stop_loss,0.1297,0.1308,0.12888234805468418,0.12841527289752,0.1296,0,0.1303,2166292.5,0,False,0.12941999999999354,0.12905714285714404,0.12812000000001206,-16.13468475,-0.26327773084897194,0,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,10257011.6,0.1592714285714298,0.159,do_nothing,0.1588,go_long,0,go_long,0,go_short,0.15981999999999424,0.1617,0.15747909083044495,0.15764000000001188,False,0,0.1621,go_short,0.15899105264838143
253,ALGO/USDT:USDT,2024-08-05 02:30:00+00:00,second_buy,stop_loss,0.10020000000000001,0.1028,0.1064462338496306,0.10999440236954079,0.09960000000000001,0,0.1022,12789275.0,0,False,0.10239999999999352,0.10348571428571567,0.11177600000001214,-16.90543067,-0.27583607742325095,1,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,1065782.4,0.1288142857142869,0.1292,do_nothing,0.1291,go_long,0,go_long,1,go_short,0.12897999999999354,0.1297,0.1282644947293216,0.12802800000001205,False,0,0.1301,go_short,0.12862459315553584
260,BCH/USDT:USDT,2021-04-06 00:30:00+00:00,second_buy,stop_loss,641.32,661.88,638.1815171911575,629.6683816428459,641.07,0,658.1,27746.276,0,False,643.8700000000001,641.307142857143,626.724400000001,-15.41394356,-0.2519433810238091,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_long,40408.282,792.1771428571417,795.36,do_nothing,788.9,do_nothing,0,go_long,0,go_short,796.3259999999993,824.46,795.8563975226891,798.1896,False,0,825.0,go_short,794.3248263437838
275,BCH/USDT:USDT,2023-08-17 22:00:00+00:00,second_buy,stop_loss,164.95,181.83,193.89835683242214,199.28248021084775,164.06,1,179.4,251165.213,0,False,188.5080000000018,192.85428571427383,201.01520000000139,-18.47545934,-0.302310296185939,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_long,143463.648,218.50142857141628,220.18,do_nothing,219.91,do_nothing,0,go_long,0,go_short,219.76400000000157,224.27,216.48288342044728,215.79680000000138,False,0,224.92,go_short,218.0148496941842
216,OP/USDT:USDT,2024-06-18 01:45:00+00:00,first_buy,stop_loss,1.8471000000000002,1.8479999999999999,1.8776613556404238,1.9158986364922344,1.647,1,1.7022,11711834.0,1,False,1.8472400000000317,1.8692428571428954,1.9286199999999942,-17.16643453,-0.28021707916266736,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,go_long,9974452.6,1.3554428571428967,1.3644,do_nothing,1.2411,do_nothing,1,go_long,0,go_long,1.3511400000000322,1.2772000000000001,1.417872854663675,1.437583999999998,False,1,1.3678,go_long,1.3726647695165293
214,OP/USDT:USDT,2024-03-17 07:30:00+00:00,first_buy,stop_loss,3.4249,3.4391,3.4981965529406533,3.5277198900971802,3.3562,1,3.4274,3807374.3,0,False,3.4548400000000448,3.4800285714286017,3.545236000000001,-18.24586902,-0.2971241793978989,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,go_long,2345816.5,2.7356142857143166,2.6754,do_nothing,2.605,do_nothing,1,go_long,0,go_long,2.665540000000023,2.6316,2.847362190886392,2.869768,False,1,2.677,go_long,2.7716542632259085
145,TRB/USDT:USDT,2023-11-07 00:15:00+00:00,first_buy,stop_loss,127.765,127.792,126.62758080805338,126.18028033438193,126.504,1,127.397,60983.4,0,False,127.11700000000106,127.05314285714384,125.99515999999998,-12.58762401,-0.24678056065654091,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,go_long,433201.8,103.6660000000011,97.16,do_nothing,95.5,do_nothing,1,go_long,0,go_long,100.02300000000119,96.514,116.36647200834203,119.58695999999998,False,0,97.693,go_long,106.89259396653691
151,TRB/USDT:USDT,2023-12-31 19:00:00+00:00,first_buy,stop_loss,444.802,464.4,362.9556432214385,326.1870196272149,407.17,0,417.808,658608.7,1,False,399.5786000000013,383.8862857142872,302.78415999999976,-11.5625769,-0.2764481334617536,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,go_long,484680.7,441.8261428571445,418.391,do_nothing,346.073,do_nothing,0,go_long,0,go_long,443.0124000000013,361.631,406.2619973139493,409.59787999999986,False,1,420.282,go_long,434.4721293849332
152,TRB/USDT:USDT,2023-12-31 22:45:00+00:00,first_buy,stop_loss,361.637,370.64,402.7601094795589,393.0828864018049,226.0,1,228.344,1150173.9,0,False,395.0414000000013,415.3570000000016,407.31231999999983,-12.6418046,-0.27644756838475404,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,go_long,1150173.9,415.3570000000016,361.637,do_nothing,226.0,do_nothing,0,go_long,0,go_long,395.0414000000013,228.344,393.0828864018049,407.31231999999983,False,1,370.64,go_long,402.7601094795589
