,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),close_date,volume (exit),close (exit),long_jcrosk (exit),long-small-rl (exit),sma-05 (exit),sma-25 (exit),sma-compare (exit),mean-grad-hist (exit),low (exit),open (exit),short-small-rl (exit),sma-07 (exit),short-large-rl (exit),ema-12 (exit),short_kdj (exit),long-large-rl (exit),ema-26 (exit),high (exit)
182,SOL/USDT:USDT,2021-03-02 02:15:00+00:00,first_buy,long-exit-profit,15.0507,15.0507,14.998694468765361,14.967226779966282,14.6643,1,14.7693,121209.0,0,False,14.99593999999999,15.03492857142856,14.920008000000006,23.33486431,0.39480860014434294,0,go_long,go_long,go_short,go_short,2021-04-03 07:00:00+00:00,125459.0,21.5585,0,go_long,21.37113999999996,20.845796000000014,0,1,21.3629,21.37,go_long,21.30901428571423,go_short,20.853831818580513,False,go_short,21.210627221542115,21.5999
183,SOL/USDT:USDT,2021-04-03 07:15:00+00:00,first_buy,long-exit-profit,21.5586,21.6236,21.244684572074096,20.896659091278252,21.4225,1,21.432,91867.0,1,False,21.43329999999996,21.364171428571375,20.89078400000001,16.92932605,0.39459851974026094,0,go_long,go_long,go_short,go_short,2021-04-18 20:15:00+00:00,511028.0,30.8015,0,go_long,30.25329999999994,28.25453599999998,0,0,30.2365,30.2615,go_long,30.030885714285585,go_short,28.466740547714565,False,go_short,29.384647823287445,31.2374
184,SOL/USDT:USDT,2021-04-18 20:30:00+00:00,first_buy,long-exit-profit,30.7971,30.976,29.577302004320146,28.62749309973571,30.4593,1,30.6369,284460.0,1,False,30.41015999999994,30.242085714285587,28.41951999999998,25.24560463,0.4117909571586243,0,go_long,go_long,go_short,go_short,2021-04-25 01:30:00+00:00,216134.0,43.4486,0,go_long,42.546699999999966,41.81088399999999,0,0,42.3588,42.4597,go_long,42.31398571428569,go_short,41.45780026530207,False,go_short,42.12706507203259,43.5898
186,SOL/USDT:USDT,2021-05-19 13:00:00+00:00,first_buy,long-exit-profit,35.826,38.298,41.701772110906035,45.11358786332563,25.228,1,31.506,1055064.0,0,False,39.283399999999965,40.301000000000165,46.24800000000007,16.007903,0.507599145815302,1,go_long,go_long,go_short,go_short,2021-05-19 15:45:00+00:00,289329.0,47.593,0,go_long,43.68019999999997,42.30484000000007,0,0,43.504,43.847,go_long,42.53842857142873,go_short,43.045351106788814,False,go_short,42.295324714182904,47.68
188,SOL/USDT:USDT,2021-05-23 06:45:00+00:00,first_buy,long-exit-profit,28.892,28.899,29.452461653043784,30.190565985463355,28.001,1,28.333,291176.0,1,False,29.15319999999997,29.18600000000019,30.24112000000006,23.31009091,0.4110064616805059,1,go_long,go_long,go_short,go_short,2021-06-03 20:15:00+00:00,324964.0,40.155,0,go_long,39.39119999999993,39.06648000000009,0,0,39.3,39.449,go_long,39.2534285714288,go_short,38.91389934461733,False,go_short,39.30063048729926,40.25
190,SOL/USDT:USDT,2021-06-22 08:45:00+00:00,first_buy,long-exit-profit,25.076,25.431,26.07172625989059,26.586642024808857,24.5,1,24.776,469949.0,0,False,25.68279999999992,25.92657142857164,26.872560000000178,19.82839119,0.39975344299710625,1,go_long,go_long,go_short,go_short,2021-06-29 12:30:00+00:00,208451.0,34.717,0,go_long,34.41659999999994,34.015960000000184,0,0,34.47,34.526,go_long,34.391285714285935,go_short,34.024028081566584,False,go_short,34.28418226441189,34.891
191,SOL/USDT:USDT,2021-06-29 12:45:00+00:00,first_buy,long-exit-profit,34.715,34.95,34.37523114681006,34.08713711256165,34.682,0,34.876,186642.0,0,False,34.55039999999994,34.4614285714288,34.072280000000184,14.07610604,0.4033052455331401,0,go_long,go_long,go_short,go_short,2021-08-15 17:00:00+00:00,455802.0,49.601,0,go_long,48.7214000000002,47.228680000000274,0,0,48.497,48.689,go_long,48.52328571428608,go_short,47.297372334405935,False,go_short,48.1343144757156,49.733
192,SOL/USDT:USDT,2021-08-15 17:15:00+00:00,first_buy,long-exit-profit,49.603,49.716,48.28195840252858,47.43045586519068,48.883,0,49.094,357608.0,0,False,48.7988000000002,48.72871428571465,47.38436000000028,19.58518875,0.39867194667304695,0,go_long,go_long,go_short,go_short,2021-08-16 17:00:00+00:00,643150.0,68.906,0,go_long,67.59420000000016,64.90376000000023,0,0,67.722,68.214,go_long,67.54557142857183,go_short,65.37067615832686,False,go_short,66.95986509610705,68.95
193,SOL/USDT:USDT,2021-08-16 17:15:00+00:00,first_buy,long-exit-profit,68.885,68.892,67.0748089274752,65.54373718363598,67.396,1,67.707,619967.0,0,False,67.71580000000016,67.58957142857183,65.16060000000023,27.55849684,0.40664922563773415,0,go_long,go_long,go_short,go_short,2021-08-28 16:15:00+00:00,928831.0,96.136,0,go_long,93.9582000000003,92.73204000000024,0,0,94.233,94.691,go_long,93.50900000000054,go_short,92.39752999094667,False,go_short,93.57663123853872,96.607
177,ALGO/USDT:USDT,2024-06-18 01:30:00+00:00,first_buy,long-exit-profit,0.1423,0.1423,0.1436205646832649,0.14512165473993494,0.13620000000000002,1,0.1396,25719770.9,0,False,0.14213999999999052,0.1428428571428595,0.14584400000001213,24.1735083,0.3936952144474645,1,go_long,go_long,go_short,go_short,2024-11-16 07:45:00+00:00,19167910.8,0.1981,0,go_long,0.19503999999999153,0.19022000000001185,0,1,0.1945,0.1961,go_long,0.19487142857143078,go_short,0.19061121109236823,False,go_short,0.19339441802063095,0.19970000000000002
197,SOL/USDT:USDT,2022-06-13 09:15:00+00:00,first_buy,long-exit-profit,26.22,27.06,27.426130003513883,28.114912998041454,26.0,0,27.03,2236075.0,0,False,27.007999999997303,27.144285714286088,28.069200000000247,21.51258752,0.3976886828937162,1,go_long,go_long,go_short,go_short,2022-06-21 08:45:00+00:00,1146684.0,37.77,0,go_long,37.263999999997274,36.19960000000021,0,0,37.32,37.36,go_long,37.162857142857526,go_short,36.436889447935094,False,go_short,37.03012852660624,38.0
203,SOL/USDT:USDT,2022-12-29 20:30:00+00:00,first_buy,long-exit-profit,8.656,8.715,8.938932852936098,9.136894410611127,8.511,1,8.517,4005549.0,0,False,8.704799999997263,8.825857142856876,9.221440000000335,25.80583742,0.4323626834373824,1,go_long,go_long,go_short,go_short,2023-01-02 07:15:00+00:00,5650938.0,12.065,0,go_long,10.387599999997272,10.007240000000332,0,0,9.966,9.969,go_long,10.267285714285423,go_short,10.098814802945062,False,go_short,10.280306354189449,12.067
