,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),volume (exit),close (exit),ema-12 (exit),sma-25 (exit),short-bid-rl (exit),ema-26 (exit),short_kdj (exit),sma-07 (exit),sma-compare (exit),long-small-rl (exit),short-large-rl (exit),open (exit),high (exit),mean-grad-hist (exit),long_jcrosk (exit),long-bid-rl (exit),short-small-rl (exit),sma-05 (exit),long-large-rl (exit),low (exit)
457,QTUM/USDT:USDT,2021-03-19 16:00:00+00:00,first_buy,long-exit-proift,7.536,7.571,7.303137947571419,7.160060903322927,7.412,1,7.429,542603.8,1,False,7.409399999999941,7.36771428571429,7.137079999999997,11.40047386,0.18695824168346156,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,702380.6,8.921,8.314576654453914,8.331559999999993,go_short,8.452611318392865,False,8.407428571428573,0,go_long,do_nothing,8.618,8.97,0,0,go_short,do_nothing,8.487599999999938,do_nothing,8.51
482,QTUM/USDT:USDT,2021-08-06 23:15:00+00:00,first_buy,long-exit-proift,8.939,8.956,8.674184792025851,8.616118819692346,8.684,0,8.701,643892.5,1,False,8.717199999999773,8.677714285714346,8.637439999999968,11.74616032,0.1926392273386396,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,1550776.3,10.399000000000001,9.179143923205164,9.055319999999968,go_short,9.508832185350602,False,9.624857142857199,0,go_long,do_nothing,9.975999999999999,10.427,0,0,go_short,do_nothing,9.782399999999772,do_nothing,9.921
454,QTUM/USDT:USDT,2020-03-13 02:00:00+00:00,first_buy,long-exit-proift,1.005,1.007,1.0511397913664053,1.1655382213022096,0.775,1,0.8190000000000001,80237.9,0,False,0.9760000000000076,0.9934285714285744,1.2114000000000018,241.46774378,3.936419088925832,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.0,5.165,5.190253210635561,5.176799999999993,go_short,5.212584390025068,False,5.243571428571427,0,go_long,do_nothing,5.165,5.165,1,0,go_short,do_nothing,5.214599999999938,do_nothing,5.165
489,QTUM/USDT:USDT,2021-10-10 00:15:00+00:00,first_buy,long-exit-proift,14.904,15.055,14.201307391135709,14.044911197135109,14.102,1,14.203,1659004.9,1,False,14.288199999999694,14.251000000000063,13.992919999999986,13.81374139,0.22599033229810953,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,1832140.2,17.663,15.636251222945853,15.341199999999981,go_short,16.128816170147946,False,16.36342857142865,0,go_long,do_nothing,16.74,17.7,0,0,go_short,do_nothing,16.753799999999707,do_nothing,16.615
492,QTUM/USDT:USDT,2022-01-21 12:45:00+00:00,first_buy,long-exit-proift,6.652,6.652,6.703879878722206,6.748861539086427,6.468,1,6.5440000000000005,322326.1,0,False,6.6695999999996785,6.691714285714375,6.7512799999999595,10.67058012,0.1751303252059801,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,478123.6,7.681,7.557078846773119,7.541639999999961,go_short,7.596098055434825,False,7.625000000000086,0,go_long,do_nothing,7.638,7.709,0,0,go_short,do_nothing,7.622599999999688,do_nothing,7.595
493,QTUM/USDT:USDT,2022-02-16 11:00:00+00:00,first_buy,long-exit-proift,7.683,7.764,7.61823681613716,7.570628561826962,7.663,0,7.74,604479.5,0,False,7.6489999999996865,7.643142857142943,7.554359999999962,10.74299125,0.17551857833724183,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,584734.3,9.003,8.627857560637548,8.603199999999951,go_short,8.740306144765462,False,8.80157142857152,0,go_long,do_nothing,8.783,9.088,0,0,go_short,do_nothing,8.808999999999665,do_nothing,8.774000000000001
488,QTUM/USDT:USDT,2021-10-02 14:30:00+00:00,first_buy,long-exit-proift,12.705,12.748,12.557450295178647,12.45226950489154,12.565,1,12.572,136067.8,0,False,12.608999999999696,12.599571428571485,12.427239999999989,10.91428206,0.1806678776166965,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,1379155.4,14.904,14.032264092905917,13.975999999999985,go_short,14.200999644069475,False,14.25614285714292,0,go_long,do_nothing,14.093,14.991,0,0,go_short,do_nothing,14.287599999999694,do_nothing,14.076
481,QTUM/USDT:USDT,2021-06-29 23:45:00+00:00,first_buy,long-exit-proift,7.514,7.67,7.292798712775088,7.230844791319936,7.502,0,7.541,361107.7,0,False,7.33999999999979,7.2908571428572,7.2145599999999845,10.81453769,0.1768957978197589,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,477127.1,8.94,8.609328325267734,8.630639999999968,go_short,8.669309299666915,False,8.660714285714345,0,go_long,do_nothing,8.628,8.958,0,0,go_short,do_nothing,8.699399999999773,do_nothing,8.608
480,QTUM/USDT:USDT,2021-06-21 10:30:00+00:00,first_buy,long-exit-proift,6.436,6.45,6.537220109800111,6.691586862246973,6.313,1,6.322,170551.3,0,False,6.471599999999782,6.504142857142919,6.6730799999999935,11.78746324,0.19217799706645872,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,326942.9,7.515,7.206032374625531,7.200879999999985,go_short,7.247671206006922,False,7.258428571428628,0,go_long,do_nothing,7.279,7.542,0,0,go_short,do_nothing,7.25359999999979,do_nothing,7.276
478,QTUM/USDT:USDT,2021-06-08 14:15:00+00:00,first_buy,long-exit-proift,8.871,8.98,9.050302091148493,9.156660380656609,8.667,1,8.716,312065.5,0,False,8.932999999999769,8.988571428571474,9.214479999999988,12.03735428,0.19709776684994676,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,718562.8,10.445,9.772843102560397,9.73635999999999,go_short,9.894292969471653,False,9.915571428571477,0,go_long,do_nothing,9.928,10.644,0,0,go_short,do_nothing,9.964799999999768,do_nothing,9.87
459,QTUM/USDT:USDT,2021-04-01 08:15:00+00:00,first_buy,long-exit-proift,10.812,10.945,10.412870297273185,10.260425920936468,10.569,0,10.585,609286.7,0,False,10.497599999999945,10.439428571428591,10.28283999999999,10.79117881,0.1787278366041708,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,232981.2,12.654,12.076845271450082,12.037560000000001,go_short,12.32250071379009,False,12.406285714285735,0,go_long,do_nothing,12.495,12.773,1,0,go_short,do_nothing,12.474599999999938,do_nothing,12.483
460,QTUM/USDT:USDT,2021-04-06 02:45:00+00:00,first_buy,long-exit-proift,12.657,12.845,12.350731373207,12.108634510601929,12.477,1,12.506,163338.2,1,False,12.531199999999938,12.459714285714307,12.070640000000003,10.80314307,0.17615936614854427,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,365754.5,14.749,13.793188375814912,13.794759999999998,go_short,14.161564044221558,False,14.377285714285733,0,go_long,do_nothing,14.504,14.797,0,0,go_short,do_nothing,14.446599999999938,do_nothing,14.496
461,QTUM/USDT:USDT,2021-04-06 17:45:00+00:00,first_buy,long-exit-proift,14.75,15.181,14.259323422033626,13.867544792421215,14.75,1,14.797,836472.4,0,False,14.597799999999939,14.457000000000019,13.84216,11.11701491,0.18306131600504055,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,811456.6,17.557,15.838816784154574,15.623600000000001,go_short,16.526821377173892,False,16.758714285714312,0,go_long,do_nothing,17.35,17.831,0,0,go_short,do_nothing,16.952599999999943,do_nothing,17.339
463,QTUM/USDT:USDT,2021-04-23 02:30:00+00:00,first_buy,long-exit-proift,11.616,11.839,12.595543538610576,13.392306312508861,10.01,1,10.595,940466.9,0,False,11.997999999999855,12.364285714285767,13.524879999999973,10.62380149,0.17573976969769425,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,137370.8,12.484,11.776482231993032,11.53291999999998,go_short,11.84461489472023,False,11.968000000000044,0,go_long,do_nothing,12.144,12.523,0,1,go_short,do_nothing,12.145599999999856,do_nothing,12.103
464,QTUM/USDT:USDT,2021-04-23 11:45:00+00:00,first_buy,long-exit-proift,12.483,12.693,11.949135680147887,11.831853918512067,12.352,0,12.524000000000001,149809.5,0,False,12.289599999999856,12.142142857142902,11.577959999999978,11.01010705,0.18301100720885485,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,201337.0,14.874,13.801099971792494,13.671799999999978,go_short,14.090061014437502,False,14.250000000000044,0,go_long,do_nothing,14.506,14.953,0,0,go_short,do_nothing,14.380199999999864,do_nothing,14.377
