,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),nlp-exit-short (entry),close_date,volume (exit),sma-07 (exit),low (exit),mean-grad-hist (exit),imit-exit-short (exit),nlp-enter-short (exit),nlp-enter-long (exit),high (exit),ema-12 (exit),sma-25 (exit),long-small-rl (exit),open (exit),nlp-exit-short (exit),imit-enter-short (exit),short-large-rl (exit),long-bid-rl (exit),ema-26 (exit),long-large-rl (exit),short-bid-rl (exit),long_jcrosk (exit),sma-05 (exit),close (exit),short_kdj (exit),sma-compare (exit),short-small-rl (exit)
2340,BCH/USDT:USDT,2021-05-18 22:45:00+00:00,second_buy,short-exit-profit,1102.31,1112.0,1097.4550798196635,1097.3516924967748,1100.79,0,1111.7,2995.385,0,False,1096.9700000000005,1098.421428571428,1097.6667999999997,8.71506731,0.142665776501303,0,go_short,go_short,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,2021-05-19 04:30:00+00:00,33908.565,996.568571428571,950.1,1,go_short,go_short,go_short,993.87,1036.242695621766,1047.8439999999998,go_long,989.79,go_short,go_short,do_nothing,go_long,1008.5212594170331,do_nothing,go_long,0,993.3200000000004,951.39,False,1,go_long
2339,BCH/USDT:USDT,2021-05-15 17:00:00+00:00,second_buy,short-exit-profit,1198.51,1206.5,1219.5290172054924,1230.2535222511533,1191.59,1,1203.18,6384.654,0,False,1204.4560000000006,1215.387142857144,1231.1264000000003,8.5922119,0.14297276647294102,1,go_short,go_short,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,2021-05-17 03:30:00+00:00,30976.889,1075.7071428571421,1028.31,1,go_short,go_short,go_short,1068.71,1112.0577438711548,1121.2728000000002,go_long,1066.08,go_short,go_short,do_nothing,go_long,1087.1165358083215,do_nothing,go_long,0,1067.578,1029.54,False,1,go_long
1919,EOS/USDT:USDT,2022-05-09 02:45:00+00:00,second_buy,short-exit-profit,1.9140000000000001,1.9220000000000002,1.9445663218610838,1.9546525465878748,1.8900000000000001,1,1.908,2948596.3,0,False,1.9352000000000218,1.9432857142856268,1.9584000000000128,10.35123864,0.16917782219218375,1,go_short,go_short,go_short,go_short,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,go_short,2022-05-10 00:00:00+00:00,14323977.5,1.7202857142856267,1.508,1,go_short,go_short,go_short,1.72,1.752071945235329,1.7492800000000137,do_nothing,1.704,go_short,go_short,do_nothing,go_long,1.7226403793988965,do_nothing,go_long,0,1.7024000000000221,1.5819999999999999,False,1,do_nothing
2338,BCH/USDT:USDT,2021-05-12 20:15:00+00:00,second_buy,short-exit-profit,1444.59,1448.36,1420.5294828655174,1431.1781657726797,1435.27,0,1440.33,7657.014,0,False,1423.2420000000013,1416.4642857142867,1426.9540000000013,8.44434577,0.13971239961919188,0,go_short,go_short,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,2021-05-13 00:00:00+00:00,48232.535,1342.0900000000006,1201.11,1,go_short,go_short,go_short,1312.04,1390.8926331108146,1398.8308000000013,go_long,1295.83,go_short,go_short,do_nothing,go_long,1356.9492188042173,do_nothing,go_long,0,1327.5100000000014,1237.06,False,1,go_long
2331,BCH/USDT:USDT,2021-04-22 21:15:00+00:00,second_buy,short-exit-profit,880.31,886.65,907.1774563578666,921.2138484753128,840.27,1,868.98,60228.427,0,False,893.2880000000005,903.057142857142,929.1843999999998,9.74171968,0.16024608690684863,1,go_short,go_short,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,2021-04-23 02:30:00+00:00,117750.504,814.9299999999997,682.28,1,go_short,go_short,go_short,801.62,853.8435830029878,857.1560000000001,go_long,791.53,go_short,go_short,do_nothing,go_long,822.7976366553347,do_nothing,go_long,0,797.7480000000007,728.67,False,1,go_long
2328,BCH/USDT:USDT,2021-04-16 16:30:00+00:00,second_buy,short-exit-profit,1073.81,1107.69,951.2759324044092,921.5374295346279,1043.4,0,1055.45,141549.846,1,False,996.3180000000006,962.2785714285702,903.3416000000004,8.31819504,0.1360197799767373,0,go_short,go_short,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,2021-04-18 03:30:00+00:00,83754.447,958.4042857142846,851.5,1,go_short,go_short,go_short,953.17,989.1330097669069,997.3255999999997,go_long,951.29,go_short,go_short,do_nothing,go_long,964.6130951234303,do_nothing,go_long,0,955.2320000000005,914.21,False,1,go_long
2126,ALGO/USDT:USDT,2021-09-19 11:45:00+00:00,second_buy,short-exit-profit,2.0259,2.0299,2.0553444090875463,2.0725565995360373,2.0003,1,2.0102,4352878.8,0,False,2.0329400000000035,2.043114285714297,2.0899840000000003,7.72369933,0.12610164816421104,1,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,go_short,2021-09-20 07:45:00+00:00,10239824.8,1.801271428571441,1.7194,1,go_short,go_short,go_short,1.7932000000000001,1.847074652319662,1.8476880000000002,go_short,1.7839,go_short,go_short,do_nothing,go_long,1.811250452393385,do_nothing,go_long,0,1.7911600000000039,1.7530000000000001,False,1,do_nothing
1821,EOS/USDT:USDT,2021-05-23 07:45:00+00:00,second_buy,short-exit-profit,4.896,4.922,4.980542238241949,5.053826046592825,4.834,1,4.837,2048696.4,1,False,4.913200000000006,4.944714285714284,5.075080000000017,9.33105419,0.1532880805431582,1,go_short,go_short,go_short,go_short,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,go_short,2021-05-23 12:45:00+00:00,6688274.2,4.452999999999997,4.083,1,go_short,go_short,go_short,4.392,4.616156959869549,4.6153200000000165,do_nothing,4.311,go_short,go_short,do_nothing,go_long,4.464776386671891,do_nothing,go_long,0,4.404200000000007,4.083,False,1,do_nothing
1820,EOS/USDT:USDT,2021-05-21 15:45:00+00:00,second_buy,short-exit-profit,5.68,5.751,5.937458040568513,6.117521697940756,5.5280000000000005,0,5.639,3155086.9,1,False,5.703400000000007,5.791857142857146,6.204120000000009,7.92869288,0.13034287029662325,1,go_short,go_short,go_short,go_short,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,go_short,2021-05-23 07:30:00+00:00,2410707.9,4.977571428571427,4.837,1,go_short,go_short,go_short,4.958,5.07117213032025,5.093720000000016,do_nothing,4.956,go_short,go_short,do_nothing,go_long,5.006640827013213,do_nothing,go_long,0,4.943000000000007,4.896,False,1,do_nothing
1819,EOS/USDT:USDT,2021-05-20 12:30:00+00:00,second_buy,short-exit-profit,6.409,6.688,6.413222484728512,6.317574203793035,6.402,0,6.688,4475006.5,0,False,6.468400000000005,6.451285714285717,6.334520000000013,8.50425639,0.13989369498566448,0,go_short,go_short,go_short,go_short,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,go_short,2021-05-21 14:30:00+00:00,12606807.8,6.249428571428574,5.545,1,go_short,go_short,go_short,6.313,6.313444783742362,6.328400000000009,do_nothing,6.283,go_short,go_short,do_nothing,go_long,6.252715563745678,do_nothing,go_long,0,6.243200000000007,5.743,False,1,do_nothing
