,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),close_date,high (exit),sma-07 (exit),short-small-rl (exit),long_jcrosk (exit),sma-25 (exit),ema-26 (exit),short_kdj (exit),open (exit),volume (exit),close (exit),mean-grad-hist (exit),sma-compare (exit),low (exit),sma-05 (exit),long-large-rl (exit),ema-12 (exit),long-small-rl (exit),short-large-rl (exit)
65,DYDX/USDT:USDT,2021-10-27 08:15:00+00:00,first_buy,stop_loss,17.974,17.981,17.89317697289194,18.091066578000394,13.704,1,15.335,6429463.7,0,False,17.698200000000003,18.0760000000001,18.176319999999993,-26.14677533,-0.4262508922213557,1,go_short,go_short,go_short,go_short,2021-12-04 05:00:00+00:00,11.699,11.567285714285818,go_short,0,12.000159999999962,11.640856065773292,False,11.531,3153609.0,10.243,1,1,9.509,11.414199999999992,go_short,11.931052937577032,go_short,go_short
129,OP/USDT:USDT,2022-06-12 02:15:00+00:00,first_buy,stop_loss,0.711,0.719,0.7481639232631647,0.762124344264212,0.7058,1,0.7117,5286380.0,0,False,0.7331400000000006,0.7435857142857171,0.7685600000000001,-24.16659277,-0.3937650889719341,1,go_short,go_long,go_short,go_short,2022-06-18 17:30:00+00:00,0.4521,0.4525142857142889,go_long,0,0.4589360000000005,0.45402221266006,False,0.4484,3876627.4,0.44770000000000004,1,1,0.44620000000000004,0.4518000000000006,go_short,0.4592507221587667,go_short,go_short
242,COMP/USDT:USDT,2024-02-29 11:30:00+00:00,first_buy,stop_loss,99.95,100.48,100.26253593542386,99.1185524683188,99.81,1,100.19,9609.603,0,False,100.67400000000096,100.88857142856932,99.37039999999887,-25.76583285,-0.41979214585820857,0,go_long,go_long,go_short,go_short,2024-04-12 18:30:00+00:00,64.38,64.91714285714002,go_long,1,67.23959999999877,65.51263200809781,False,64.36,13529.654,63.36,1,1,62.87,64.14800000000098,go_short,66.90307155644292,go_long,go_short
238,COMP/USDT:USDT,2023-07-13 15:45:00+00:00,first_buy,stop_loss,70.63,72.0,70.31867611405204,70.05315223918626,70.51,0,71.04,338005.896,0,False,70.56800000000067,70.48428571428354,69.99719999999877,-19.65338131,-0.32029531957980906,0,go_long,go_long,go_short,go_short,2023-08-17 21:30:00+00:00,46.22,46.374285714283765,go_long,0,46.16119999999881,46.31738548868848,False,45.96,31212.395,45.97,1,0,45.81,46.232000000000475,go_short,46.29030502746179,go_long,go_short
320,ALGO/USDT:USDT,2022-05-02 10:00:00+00:00,first_buy,stop_loss,0.5913,0.5913,0.5933241659929929,0.5960208341359072,0.5861000000000001,0,0.5876,1764901.6,0,False,0.5900999999999957,0.5910285714285726,0.5979520000000087,-24.23151928,-0.3949176717798273,1,go_short,do_nothing,do_nothing,do_nothing,2022-05-12 07:15:00+00:00,0.3836,0.3806999999999997,do_nothing,1,0.41227200000000935,0.3873285428446318,False,0.379,13417256.9,0.3638,0,0,0.3633,0.3810399999999968,do_nothing,0.4048813014542902,go_short,do_nothing
361,ADA/USDT:USDT,2021-05-13 15:45:00+00:00,first_buy,stop_loss,1.943,1.9623,1.8631180684727773,1.815058373001111,1.9077000000000002,0,1.9551,66247382.0,0,False,1.8940800000000095,1.8759000000000097,1.8037160000000023,-24.10837008,-0.3973976700636217,0,go_short,go_long,go_short,go_short,2021-05-19 12:45:00+00:00,1.5544,1.5451000000000084,go_long,1,1.6900960000000023,1.5874174743406926,False,1.5539,99198879.0,1.3059,1,1,1.2991000000000001,1.5222200000000117,go_short,1.66750364992991,go_short,go_short
8,XLM/USDT:USDT,2021-05-19 13:30:00+00:00,first_buy,stop_loss,0.24463000000000001,0.44389000000000006,0.4362782725294265,0.49569348209384273,0.21848,0,0.41105,29445896.0,0,False,0.3648539999999998,0.40834714285714124,0.521198800000001,-24.3426785,-0.39705746438953016,1,go_short,go_short,go_short,go_short,2021-06-21 21:30:00+00:00,0.2545,0.25842571428571465,go_short,0,0.25805040000000096,0.25765037103606353,False,0.25393000000000004,6605218.0,0.25249000000000005,1,0,0.25176000000000004,0.2579819999999971,go_short,0.258756143040694,go_short,go_short
353,XRP/USDT:USDT,2023-08-14 23:15:00+00:00,first_buy,stop_loss,0.6323000000000001,0.634,0.6312481367970443,0.630386148561356,0.6323000000000001,0,0.6333000000000001,6890626.2,0,False,0.6322799999999941,0.6317857142857177,0.6297759999999937,-32.32936132,-0.526839346303311,0,go_long,go_long,go_short,go_short,2024-07-05 03:00:00+00:00,0.4194,0.4173428571428747,go_long,0,0.43215999999999666,0.4204192899672807,False,0.41850000000000004,112811151.0,0.398,1,1,0.3886,0.4152999999999894,go_short,0.4283289771198468,go_long,go_short
350,XRP/USDT:USDT,2022-05-03 20:30:00+00:00,first_buy,stop_loss,0.5971000000000001,0.6000000000000001,0.6022585275109641,0.6068887567548907,0.5956,0,0.599,6325334.5,0,False,0.59852,0.5996142857142949,0.6086000000000003,-24.21436039,-0.3943775142780321,1,go_long,go_long,go_short,go_short,2022-05-12 04:15:00+00:00,0.3835,0.3851714285714376,go_long,1,0.40574800000000033,0.3920379224442343,False,0.37970000000000004,40853632.3,0.36970000000000003,1,1,0.3679,0.3814599999999995,go_short,0.4020570677027196,go_long,go_short
10,XLM/USDT:USDT,2021-08-11 20:00:00+00:00,first_buy,stop_loss,0.34656000000000003,0.35334000000000004,0.342547284316423,0.33816244761117964,0.34544,0,0.35163000000000005,20627852.0,0,False,0.34445599999999776,0.34337428571428685,0.3377936000000003,-30.33922999,-0.4953763943508257,0,go_short,go_short,go_short,go_short,2022-01-21 20:00:00+00:00,0.21930000000000002,0.2182814285714321,go_short,0,0.22004480000000104,0.21883338846263617,False,0.21841000000000002,5627132.0,0.21657,1,1,0.21637,0.21803199999999956,go_short,0.22009647521465162,go_short,go_short
