,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,long_jcrosk (exit),long-small-rl (exit),high (exit),volume (exit),short-bid-rl (exit),sma-05 (exit),short-large-rl (exit),short-small-rl (exit),ema-26 (exit),short_kdj (exit),sma-25 (exit),mean-grad-hist (exit),sma-07 (exit),long-large-rl (exit),close (exit),ema-12 (exit),sma-compare (exit),long-bid-rl (exit),open (exit),low (exit)
255,SOL/USDT:USDT,2021-02-08 08:00:00+00:00,first_buy,long-exit-profit,7.6008,7.6491,7.272447103241037,7.043836920208668,7.4877,1,7.5769,206267.0,0,False,7.440560000000008,7.3877857142857115,6.939503999999995,24.84858637,0.40973581834705414,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2021-02-19 14:00:00+00:00,0,do_nothing,11.2338,480735.0,go_long,10.839759999999995,go_long,do_nothing,10.471409091468763,False,9.949271999999997,0,10.736399999999993,go_long,11.1302,10.042415587179164,0,go_long,10.8045,10.7958
177,LTC/USDT:USDT,2021-08-09 14:00:00+00:00,first_buy,long-exit-profit,158.58,159.13,155.60134963876334,153.80174007083502,156.16,0,156.56,97896.751,1,False,156.62799999999987,156.10142857142992,153.6220000000014,24.67962188,0.40276048392561087,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2021-09-04 09:00:00+00:00,0,do_nothing,224.8,326002.425,go_long,217.19200000000046,go_long,do_nothing,215.93601040153703,False,213.91520000000185,0,216.02000000000098,go_long,223.34,214.29365916940932,0,go_long,221.01,220.03
254,SOL/USDT:USDT,2021-02-02 09:00:00+00:00,first_buy,long-exit-profit,5.3131,5.3664,5.055642695980348,4.926258953239393,5.2493,0,5.2789,408421.0,1,False,5.142480000000013,5.080699999999993,4.936463999999994,23.92678131,0.4116366948274078,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2021-02-08 07:45:00+00:00,0,do_nothing,7.6552,251221.0,go_long,7.371920000000007,go_long,do_nothing,7.217092031103044,False,6.897275999999994,0,7.359814285714283,go_long,7.6017,7.001191873825362,0,go_long,7.4401,7.4401
189,ETH/USDT:USDT,2019-11-27 14:30:00+00:00,first_buy,long-exit-profit,148.0,148.08,146.61829631659472,142.35257834757832,146.8,0,147.38,2693.24,0,False,147.926,147.84857142857143,141.84359999999998,24.57606756,0.4004754523536396,0,go_long,go_long,go_long,go_long,go_long,go_long,2020-02-06 12:15:00+00:00,0,go_long,213.61,30281.03,go_long,210.54399999999947,go_long,go_long,210.29253867997042,False,209.38759999999976,0,210.52857142857184,go_long,211.95,209.24648356713115,0,go_long,210.79,210.79
252,SOL/USDT:USDT,2021-01-04 20:15:00+00:00,first_buy,long-exit-profit,2.423,2.4476,2.3034433415903894,2.2455528077024693,2.3616,0,2.4097,686736.0,0,False,2.3529600000000244,2.3208714285714143,2.2431199999999962,25.49886738,0.4229879859855368,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2021-01-08 12:30:00+00:00,0,do_nothing,3.3358,1017106.0,go_long,3.1645600000000282,go_long,do_nothing,3.020991295310614,False,2.690775999999996,0,3.1334714285714154,go_long,3.3138,2.789722846056959,0,go_long,3.1382,3.0711
251,SOL/USDT:USDT,2021-01-01 18:30:00+00:00,first_buy,long-exit-profit,1.8048000000000002,1.8072,1.682365338094815,1.6534358154290818,1.7235,0,1.7284000000000002,778928.0,0,False,1.7030000000000272,1.693114285714272,1.6407519999999949,24.84015768,0.4099507262654333,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2021-01-04 20:00:00+00:00,0,do_nothing,2.43,558354.0,go_long,2.3162000000000242,go_long,do_nothing,2.2841239491522782,False,2.2322559999999965,0,2.299042857142843,go_long,2.423,2.232421032318667,0,go_long,2.3814,2.3381
250,SOL/USDT:USDT,2020-12-23 21:15:00+00:00,first_buy,long-exit-profit,1.2610000000000001,1.2666,1.2861747301411723,1.3001118485227292,1.2471,1,1.2513,274069.0,0,False,1.280640000000027,1.2866857142857009,1.2947959999999952,28.9107593,0.47112626476582115,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2021-01-01 18:15:00+00:00,0,do_nothing,1.8204,1240194.0,go_long,1.695620000000027,go_long,do_nothing,1.6739953995665995,False,1.6367839999999947,0,1.6831999999999865,go_long,1.8065,1.6474386806634083,0,go_long,1.6666,1.6455000000000002
429,APT/USDT:USDT,2023-10-25 19:00:00+00:00,first_buy,long-exit-profit,6.741,6.774,6.649320219433631,6.583099550662406,6.699,0,6.742,646187.1,0,False,6.705199999999903,6.687142857142852,6.564039999999976,24.77396871,0.4078779704424913,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2023-12-23 00:15:00+00:00,0,do_nothing,9.671,1603865.8,go_long,9.324999999999894,go_long,go_long,9.246959937753832,False,8.99595999999999,0,9.33385714285715,go_long,9.669,9.07083024073062,0,go_long,9.265,9.239
430,APT/USDT:USDT,2023-12-23 00:30:00+00:00,first_buy,long-exit-profit,9.668,9.723,9.31173533194555,9.115065037713537,9.474,0,9.668,1589430.4,0,False,9.411599999999895,9.369857142857152,9.03175999999999,24.43133105,0.4007566919018248,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2024-03-06 06:30:00+00:00,0,do_nothing,14.364,964584.6,go_long,13.875399999999942,go_long,go_long,13.651588625799565,False,13.376039999999998,0,13.76228571428573,go_long,14.221,13.461906262805272,0,go_long,14.095,14.038
462,MASK/USDT:USDT,2022-01-24 10:15:00+00:00,first_buy,long-exit-profit,5.095,5.108,5.184680163434562,5.310507654896545,4.874,1,4.941,193449.0,0,False,5.093000000000158,5.141142857142938,5.322839999999967,23.36485228,0.3938299043198821,1,do_nothing,go_long,go_long,go_long,go_long,go_long,2022-02-06 01:15:00+00:00,0,do_nothing,6.94,51845.0,go_long,6.7548000000001505,go_long,go_long,6.7111380478771645,False,6.635319999999971,0,6.723714285714374,go_long,6.911,6.669417150042971,0,go_long,6.806,6.803
433,APT/USDT:USDT,2024-07-05 00:45:00+00:00,first_buy,long-exit-profit,5.8100000000000005,5.85,5.9750344569595475,6.0829708520517265,5.573,1,5.645,1372652.8,0,False,5.840400000000053,5.913428571428617,6.141079999999977,25.54644363,0.41853496259713047,1,do_nothing,go_long,go_long,go_long,go_long,go_long,2024-09-21 14:00:00+00:00,0,do_nothing,8.0994,1084970.1,go_long,7.910820000000067,go_long,go_long,7.82849815262929,False,7.696927999999958,0,7.874942857142864,go_long,8.0753,7.701660896497235,0,go_long,7.871,7.8593
259,SOL/USDT:USDT,2021-04-18 23:00:00+00:00,first_buy,long-exit-profit,32.478,32.9442,31.01635264739329,29.99364642898452,31.92,0,32.7712,388842.0,0,False,31.491759999999942,31.09574285714272,29.808403999999985,13.07630744,0.3986196476114453,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2021-04-25 15:45:00+00:00,0,do_nothing,46.14,307913.0,go_long,45.22487999999997,go_long,do_nothing,44.49048926255831,False,43.136684,0,44.970714285714266,go_long,46.0605,43.5220004927565,0,go_long,45.4041,45.0
253,SOL/USDT:USDT,2021-01-08 12:45:00+00:00,first_buy,long-exit-profit,3.325,3.7727,3.1268387883397506,2.85781745005274,3.2879,0,3.709,5128388.0,0,False,3.2759600000000284,3.243028571428558,2.749811999999997,23.36488824,0.393135353112986,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2021-02-02 08:45:00+00:00,0,do_nothing,5.4668,650170.0,go_long,5.0736400000000135,go_long,do_nothing,5.015050458885866,False,4.917667999999994,0,5.036085714285707,go_long,5.3131,4.898047669498545,0,go_long,5.07,5.0592
261,SOL/USDT:USDT,2021-05-19 13:00:00+00:00,first_buy,long-exit-profit,35.826,38.298,41.701772110906035,45.11358786332563,25.228,1,31.506,1055064.0,0,False,39.283399999999965,40.301000000000165,46.24800000000007,16.007903,0.507599145815302,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2021-05-19 15:45:00+00:00,0,do_nothing,47.68,289329.0,go_long,43.68019999999997,go_long,do_nothing,42.295324714182904,False,42.30484000000007,0,42.53842857142873,go_long,47.593,43.045351106788814,0,go_long,43.847,43.504
263,SOL/USDT:USDT,2021-05-23 06:45:00+00:00,first_buy,long-exit-profit,28.892,28.899,29.452461653043784,30.190565985463355,28.001,1,28.333,291176.0,1,False,29.15319999999997,29.18600000000019,30.24112000000006,23.31009091,0.4110064616805059,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2021-06-03 20:15:00+00:00,0,do_nothing,40.25,324964.0,go_long,39.39119999999993,go_long,do_nothing,39.30063048729926,False,39.06648000000009,0,39.2534285714288,go_long,40.155,38.91389934461733,0,go_long,39.449,39.3
278,SOL/USDT:USDT,2023-01-02 07:30:00+00:00,first_buy,long-exit-profit,12.067,12.067,10.393489992006456,10.166754447171353,10.85,0,11.016,11402112.0,0,False,10.59639999999727,10.418428571428281,10.053600000000332,22.00541415,0.39911820477996945,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2023-01-09 01:00:00+00:00,0,do_nothing,15.02,2255448.0,go_long,14.735199999997263,go_long,do_nothing,14.33331840798611,False,13.902960000000324,0,14.493857142856841,go_long,14.957,14.041316799229687,0,go_long,14.722,14.681000000000001
277,SOL/USDT:USDT,2022-12-29 20:30:00+00:00,first_buy,long-exit-profit,8.656,8.715,8.938932852936098,9.136894410611127,8.511,1,8.517,4005549.0,0,False,8.704799999997263,8.825857142856876,9.221440000000335,25.80583742,0.4323626834373824,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2023-01-02 07:15:00+00:00,0,do_nothing,12.067,5650938.0,go_long,10.387599999997272,go_long,do_nothing,10.280306354189449,False,10.007240000000332,0,10.267285714285423,go_long,12.065,10.098814802945062,0,go_long,9.969,9.966
421,APT/USDT:USDT,2023-01-12 21:00:00+00:00,first_buy,long-exit-profit,6.4091000000000005,6.4156,6.001957027603993,5.69145355793519,6.25,1,6.3542,7280307.6,0,False,6.324599999999966,6.238828571428547,5.5276359999999904,24.62850326,0.4033658886650403,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2023-01-20 16:45:00+00:00,0,do_nothing,9.1,13550927.1,go_long,8.498339999999974,go_long,go_long,8.385421499153521,False,8.208167999999986,0,8.441528571428544,go_long,8.9475,8.245367834523885,0,go_long,8.4932,8.4901
275,SOL/USDT:USDT,2022-11-09 18:45:00+00:00,first_buy,long-exit-profit,10.453,10.7,12.306780517982224,13.84764186932353,9.67,1,9.713,8541772.0,0,False,11.123799999997253,11.764285714285483,14.451440000000346,28.979358,0.4967639176431517,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2022-11-10 03:45:00+00:00,0,do_nothing,14.477,4657495.0,go_long,12.482999999997258,go_long,do_nothing,12.1149708694161,False,11.496280000000345,0,12.06899999999977,go_long,14.332,11.839730480179579,0,go_long,13.166,12.852
422,APT/USDT:USDT,2023-01-20 17:00:00+00:00,first_buy,long-exit-profit,8.9476,9.3,8.486125883899133,8.304229476411004,8.9035,0,9.04,11662944.3,1,False,8.648239999999975,8.549214285714257,8.246159999999986,24.03951733,0.3964696993558195,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2023-01-21 10:00:00+00:00,0,do_nothing,12.662,2712207.6,go_long,12.51315999999998,go_long,go_long,12.403083671212494,False,11.96748799999998,1,12.510928571428542,go_long,12.6521,12.02635036249332,0,go_long,12.574300000000001,12.4715
423,APT/USDT:USDT,2023-01-21 10:15:00+00:00,first_buy,long-exit-profit,12.6523,12.89,12.420009260256725,12.062405891197518,12.464,1,12.5131,4334153.2,1,False,12.54361999999998,12.518028571428543,12.01761199999998,26.85399775,0.4374591716786911,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2023-01-25 21:00:00+00:00,0,do_nothing,18.4312,9909600.4,go_long,16.987539999999996,go_long,go_long,16.672006746072764,False,16.214939999999984,0,16.728842857142837,go_long,17.9941,16.19750311241523,0,go_long,17.3017,17.2084
