,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,sma-05 (exit),short-small-rl (exit),short_kdj (exit),close (exit),long_jcrosk (exit),ema-26 (exit),sma-07 (exit),sma-25 (exit),mean-grad-hist (exit),low (exit),high (exit),open (exit),volume (exit),sma-compare (exit),long-small-rl (exit),long-large-rl (exit),ema-12 (exit),long-bid-rl (exit),short-bid-rl (exit),short-large-rl (exit)
1087,ADA/USDT:USDT,2024-11-08 06:45:00+00:00,first_buy,long-exit-profit,0.44160000000000005,0.44380000000000003,0.42981171015901914,0.4219307136419169,0.43810000000000004,1,0.4384,27201466.0,1,False,0.43532000000001075,0.4328571428571447,0.421767999999993,24.3636238,0.3994132442939091,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-10 12:30:00+00:00,0.5916000000000111,go_long,False,0.6151,0,0.5900135160205494,0.5896000000000018,0.5838919999999928,0,0.5917,0.6188,0.5928,132566357.0,0,go_long,go_long,0.5799276823436337,go_long,go_long,go_long
484,LPT/USDT:USDT,2024-09-06 21:15:00+00:00,first_buy,long-exit-profit,10.491,10.608,10.729960504318228,10.875110453222364,10.385,1,10.591,43654.7,0,False,10.66659999999981,10.675285714285597,10.905959999999698,23.57000979,0.38997059174584553,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-09-23 03:30:00+00:00,14.016999999999822,go_long,False,14.703,0,13.865964731539876,13.959999999999848,13.525799999999686,0,14.085,14.921,14.142,202510.7,0,go_long,go_long,13.643265311798256,go_long,go_long,go_long
482,LPT/USDT:USDT,2024-08-03 17:15:00+00:00,first_buy,long-exit-profit,11.854,11.858,12.001286932087078,12.188337311845425,11.628,1,11.703,23296.2,1,False,11.813399999999783,11.863857142857013,12.27363999999966,23.27156531,0.38195900819845224,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-08-24 14:45:00+00:00,15.878599999999796,go_long,False,16.121,0,15.799693283850317,15.848428571428434,15.644679999999699,0,15.906,16.132,15.93,76553.9,0,go_long,go_long,15.684145689575967,go_long,go_long,go_long
475,LPT/USDT:USDT,2024-04-27 01:30:00+00:00,first_buy,long-exit-profit,13.833,13.87,13.982606910033615,14.10060535081561,13.365,1,13.722,138778.2,0,False,13.93199999999968,13.984999999999689,14.126559999999714,23.89898347,0.3954639597173272,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-05-10 04:30:00+00:00,18.397399999999685,go_long,False,19.199,0,18.157045687398302,18.27157142857111,17.62575999999972,0,18.537,19.417,18.598,913656.8,0,go_long,go_long,17.68622243425615,go_long,go_long,go_long
470,LPT/USDT:USDT,2024-03-08 16:45:00+00:00,first_buy,long-exit-profit,18.362,18.88,16.798262380577107,16.378903016214096,17.552,0,17.825,838807.3,1,False,17.21779999999972,16.865571428571155,16.190319999999783,23.49526766,0.38722623804154505,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-09 01:15:00+00:00,23.92699999999972,go_long,False,24.792,0,23.653942670587753,23.807285714285452,23.21423999999978,0,23.677,25.268,23.683,874910.5,0,go_long,go_long,22.70625218881595,go_long,go_long,go_long
469,LPT/USDT:USDT,2024-03-05 20:00:00+00:00,first_buy,long-exit-profit,13.516,13.554,13.741350048618536,14.019628825680687,11.235,1,12.508,700117.3,0,False,13.54679999999972,13.72185714285686,14.056839999999793,28.48793265,0.46490480672153023,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-08 16:30:00+00:00,16.85179999999972,go_long,False,18.359,0,16.611582813409306,16.651999999999727,16.100519999999783,0,16.716,18.433,16.747,567268.9,0,go_long,go_long,16.263215257511224,go_long,go_long,go_long
466,LPT/USDT:USDT,2024-02-16 16:30:00+00:00,first_buy,long-exit-profit,14.461,14.81,13.389850083030792,12.80528811267158,14.162,0,14.456,3600096.6,0,False,13.746999999999748,13.431428571428318,12.817919999999798,22.72153892,0.37385761851925187,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-02-18 17:45:00+00:00,18.943199999999745,go_long,False,19.708,0,18.67079436896022,18.992285714285465,18.089319999999784,0,18.662,20.146,18.696,1488216.5,0,go_long,go_long,18.250692567945627,go_long,go_long,go_long
465,LPT/USDT:USDT,2024-02-16 07:00:00+00:00,first_buy,long-exit-profit,9.725999999999999,10.46,9.252859715187622,8.8666193298829,9.715,0,10.342,2449816.9,0,False,9.467799999999752,9.379999999999743,8.727719999999803,24.48214334,0.4009450091777826,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-02-16 16:15:00+00:00,13.358799999999746,go_long,False,14.46,0,13.196004643581846,13.245714285714033,12.7497599999998,0,13.56,14.632,13.671,5611682.7,0,go_long,go_long,12.673231161685306,go_long,go_long,go_long
464,LPT/USDT:USDT,2024-02-05 01:15:00+00:00,first_buy,long-exit-profit,6.941,6.962,7.0139322249813265,7.072363053663575,6.861,1,6.896,62907.3,0,False,6.9541999999997275,6.983285714285471,7.088679999999794,24.7665352,0.40776902575307217,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-02-16 06:45:00+00:00,9.23119999999975,go_long,False,9.728,0,9.054834208858098,9.246857142856886,8.639919999999801,0,9.251,9.837,9.261,880976.1,0,go_long,go_long,8.748588876273532,go_long,go_long,go_long
460,LPT/USDT:USDT,2023-12-11 02:15:00+00:00,first_buy,long-exit-profit,6.858,6.858,6.761423864525177,6.80678855360083,6.026,1,6.25,633169.4,1,False,6.711599999999754,6.757428571428316,6.847479999999791,24.6858472,0.402567197639986,1,go_long,go_long,go_long,go_long,go_long,go_long,2023-12-20 12:00:00+00:00,8.469999999999752,go_long,False,8.785,0,8.282317841055537,8.402857142856874,8.029239999999783,0,8.397,8.824,8.421,1161624.7,0,go_long,go_long,8.121807489426242,go_long,go_long,go_long
