,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),mean-grad-hist (exit),ema-12 (exit),long-large-rl (exit),sma-05 (exit),sma-07 (exit),long-bid-rl (exit),short-bid-rl (exit),volume (exit),high (exit),short_kdj (exit),short-large-rl (exit),short-small-rl (exit),open (exit),long-small-rl (exit),sma-compare (exit),close (exit),long_jcrosk (exit),low (exit),sma-25 (exit),ema-26 (exit)
86,ETH/USDT:USDT,2021-05-10 03:15:00+00:00,second_buy,short-exit-profit,3980.56,4019.69,3951.0996115015496,3929.5434358815387,3980.56,0,4018.34,65437.287,0,False,3973.6500000000146,3960.3385714285696,3923.521600000002,24.00561655,0.3986682029006517,0,do_nothing,do_nothing,go_short,go_short,go_short,go_short,1,2792.118256955643,go_short,2806.712000000029,2805.624285714227,go_short,go_short,0.0,2802.08,False,go_short,do_nothing,2802.08,do_nothing,0,2802.08,1,2802.08,2793.777600000001,2798.339831593628
88,ETH/USDT:USDT,2022-05-30 19:45:00+00:00,second_buy,short-exit-profit,1928.03,1931.95,1922.4236951881664,1915.5311144564184,1920.94,1,1921.73,18191.938,1,False,1924.3960000000272,1924.1514285713795,1914.7028000000005,23.87383953,0.4011399709417454,0,do_nothing,do_nothing,go_short,go_short,go_short,go_short,1,1207.0972531949683,go_short,1180.0180000000278,1189.7742857142334,go_short,go_short,208959.945,1181.07,False,go_short,do_nothing,1177.11,do_nothing,1,1151.26,0,1148.0,1214.7836000000016,1191.2723258157105
94,ALGO/USDT:USDT,2022-05-01 23:00:00+00:00,first_buy,stop_loss,0.5941000000000001,0.5965,0.5936976868846847,0.5928534962124913,0.5928,0,0.5956,777422.2,1,False,0.5953799999999985,0.5941714285714287,0.5937800000000089,-24.23128898,-0.3949112125415477,0,go_long,do_nothing,go_long,go_long,go_long,go_long,0,0.4048813014542902,go_long,0.3810399999999997,0.3806999999999987,go_long,go_long,13417256.9,0.3836,False,go_long,do_nothing,0.379,go_long,0,0.3638,1,0.3633,0.41227200000000935,0.3873285428446318
104,BCH/USDT:USDT,2023-07-13 18:15:00+00:00,first_buy,stop_loss,280.75,289.33,281.99783880232815,282.7633072534318,280.65,0,285.72,290301.468,0,False,280.67200000000315,280.68999999998783,283.24480000000153,-23.5498815,-0.38479607628509,1,go_long,go_long,go_long,go_long,go_long,go_long,1,203.7389249179328,go_long,201.10600000000184,202.03142857141668,go_long,go_long,68220.846,199.52,False,go_long,go_long,198.32,go_long,1,196.97,0,196.2,203.6156000000014,202.25886202214332
89,ETH/USDT:USDT,2022-06-18 19:30:00+00:00,second_buy,stop_loss,933.77,943.69,955.6825110739483,973.1648303603409,931.14,1,933.41,134025.619,1,False,939.2780000000278,945.371428571374,978.0868000000008,-23.9572209,-0.3952620721886103,1,do_nothing,do_nothing,go_short,go_short,go_short,go_short,0,1230.0542735973006,go_short,1260.754000000025,1253.4985714285174,go_short,go_short,167074.165,1277.0,False,go_short,do_nothing,1263.89,do_nothing,0,1274.16,0,1262.0,1221.2400000000023,1245.6874216910621
103,BCH/USDT:USDT,2022-06-09 09:30:00+00:00,first_buy,stop_loss,179.49,180.73,178.5779163988022,177.8788711323748,179.37,0,180.17,8165.496,0,False,179.23400000000203,179.01857142855965,177.54280000000182,-24.11789798,-0.3933399751825857,0,go_long,go_long,go_long,go_long,go_long,go_long,1,115.29835490576437,go_long,112.76800000000212,112.70714285713117,go_long,go_long,16615.765,112.55,False,go_long,go_long,112.34,go_long,0,112.19,0,111.45,114.98400000000194,113.2573434541851
102,BCH/USDT:USDT,2022-05-01 23:00:00+00:00,first_buy,stop_loss,281.52,281.53,281.39640937822907,281.5550580076477,279.09,1,279.25,8048.968,1,False,281.4360000000014,281.3785714285598,282.6188000000017,-24.20158988,-0.3951859381706861,0,go_long,go_long,go_long,go_long,go_long,go_long,1,188.78627392311284,go_long,179.9260000000016,181.22142857141662,go_long,go_long,16180.137,179.01,False,go_long,go_long,178.66,go_long,1,177.2,0,174.9,190.4832000000019,183.96653062220543
90,ETH/USDT:USDT,2022-07-18 09:45:00+00:00,second_buy,stop_loss,1485.57,1487.95,1467.7968981076656,1444.8976468222108,1476.0,1,1480.26,70839.599,0,False,1478.0460000000228,1478.0328571428038,1444.0632000000032,-22.8830593,-0.3774215878566037,0,do_nothing,do_nothing,go_short,go_short,go_short,go_short,0,2007.7431667967733,go_short,2011.1879999999794,2009.9142857142244,go_short,go_short,96718.243,2026.5,False,go_short,do_nothing,2011.25,do_nothing,0,2019.77,0,2009.0,2009.6339999999989,2010.5266167603295
101,BCH/USDT:USDT,2021-03-03 00:15:00+00:00,first_buy,stop_loss,517.48,517.62,513.2372870321386,513.0686609686609,511.22,0,515.35,6665.137,0,False,515.6940000000001,513.9057142857141,512.45,-40.33887602,-0.6571136274777352,0,go_long,go_long,go_long,go_long,go_long,go_long,1,335.01336841395874,go_long,331.9940000000025,331.48285714284685,go_long,go_long,21020.636,333.61,False,go_long,go_long,333.0,go_long,0,321.68,1,321.31,336.0988000000013,332.5266642263442
79,BNB/USDT:USDT,2022-05-01 23:00:00+00:00,first_buy,stop_loss,387.81,388.8,387.34130688159655,386.75460657891074,387.33,1,388.29,4936.21,0,False,388.263999999994,387.8714285714265,386.7379999999981,-22.73493445,-0.389952908526655,0,go_long,go_long,go_long,go_long,go_long,go_long,1,267.0176865991813,go_long,256.0679999999939,258.2957142857118,go_long,go_long,68385.29,255.88,False,go_long,go_long,254.49,go_long,1,250.02,1,249.21,268.62679999999784,261.71020276762266
83,ETH/USDT:USDT,2021-03-03 00:15:00+00:00,second_buy,stop_loss,1486.24,1491.66,1483.070648869553,1484.1511965811965,1475.0,0,1491.07,32434.218,0,False,1487.2379999999998,1485.3571428571424,1482.1299999999997,-20.7672402,-0.34002741460320285,0,do_nothing,do_nothing,go_short,go_short,go_short,go_short,0,2009.403587525793,go_short,2026.3700000000117,2019.0742857142836,go_short,go_short,108221.619,2066.54,False,go_short,do_nothing,2033.74,do_nothing,0,2058.31,0,2026.7,2005.7312,2018.6316574485295
91,ETH/USDT:USDT,2023-04-16 22:15:00+00:00,second_buy,stop_loss,2128.41,2130.24,2121.117645878915,2114.0221905085305,2124.48,1,2124.65,22334.448,0,False,2122.6899999999773,2123.3685714285134,2112.8747999999996,-19.14698887,-0.3221718000094305,0,do_nothing,do_nothing,go_short,go_short,go_short,go_short,0,2931.658757661441,go_short,2942.0679999999684,2940.5228571428047,go_short,go_short,20447.076,2952.5,False,go_short,do_nothing,2945.27,do_nothing,0,2950.39,0,2940.86,2931.1251999999968,2938.8368812179597
99,ALGO/USDT:USDT,2024-04-12 18:45:00+00:00,first_buy,stop_loss,0.2049,0.2053,0.20814403813708976,0.215358893199382,0.16870000000000002,1,0.18430000000000002,60235017.1,1,False,0.20209999999999226,0.20470000000000077,0.21749600000001149,-25.19774162,-0.4103870817225866,1,go_long,do_nothing,go_long,go_long,go_long,go_long,0,0.11703444334577702,go_long,0.11391999999999358,0.11418571428571564,go_long,go_long,2144049.1,0.114,False,go_long,do_nothing,0.1139,go_long,1,0.113,0,0.11270000000000001,0.11784400000001208,0.11526651107426858
98,ALGO/USDT:USDT,2024-03-12 19:15:00+00:00,first_buy,stop_loss,0.305,0.315,0.29737340905695564,0.292781463151138,0.30410000000000004,0,0.31470000000000004,17977109.6,0,False,0.3023599999999924,0.2994285714285715,0.29194800000001087,-25.10952667,-0.40897415763507783,0,go_long,do_nothing,go_long,go_long,go_long,go_long,1,0.21784360465533256,go_long,0.20619999999999225,0.209585714285715,go_long,go_long,7161924.6,0.2079,False,go_long,do_nothing,0.2079,go_long,1,0.20500000000000002,0,0.2034,0.21928400000001147,0.2124793177983788
97,ALGO/USDT:USDT,2023-12-22 04:00:00+00:00,first_buy,stop_loss,0.2466,0.2506,0.2413839074901315,0.23453878547360435,0.2464,1,0.249,29139385.6,0,False,0.245379999999995,0.2453285714285716,0.2329280000000101,-25.35200475,-0.41296616546458786,0,go_long,do_nothing,go_long,go_long,go_long,go_long,1,0.16125561126829932,go_long,0.15717999999999296,0.15812857142857148,go_long,go_long,13082394.2,0.1569,False,go_long,do_nothing,0.1565,go_long,1,0.15410000000000001,0,0.15380000000000002,0.16245200000001003,0.15930809663160608
