,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,ema-12 (exit),sma-25 (exit),short-bid-rl (exit),sma-05 (exit),close (exit),long-bid-rl (exit),long_jcrosk (exit),short_kdj (exit),ema-26 (exit),short-large-rl (exit),low (exit),sma-07 (exit),mean-grad-hist (exit),long-large-rl (exit),long-small-rl (exit),short-small-rl (exit),sma-compare (exit),high (exit),volume (exit),open (exit)
3924,SC/USDT:USDT,2023-02-09 20:45:00+00:00,second_buy,short-exit-profit,0.004265,0.004307,0.0043665378676084575,0.004430605919619201,0.004262999999999999,0,0.004306,426910.0,0,False,0.004306200000000183,0.0043277142857144095,0.00445288000000005,4.46405919,0.01870821123027347,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2023-02-09 21:30:00+00:00,0.004395521693545191,0.00441508000000005,go_short,0.004271800000000182,0.004216999999999999,go_short,1,False,0.0043236858906631126,do_nothing,0.004199,0.004283857142857267,1,do_nothing,go_short,go_short,1,0.0042769999999999996,2956940.0,0.004267
3922,SC/USDT:USDT,2023-02-09 03:30:00+00:00,second_buy,short-exit-profit,0.004437,0.004477,0.004605564932415501,0.004695986535463456,0.004412999999999999,1,0.0044469999999999996,4756110.0,0,False,0.004542000000000182,0.004573571428571558,0.00475184000000005,4.30566955,0.01805155729149433,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2023-02-09 04:15:00+00:00,0.004629015069685338,0.004691200000000049,go_short,0.004399800000000183,0.004358,go_short,0,False,0.0045129180359786214,do_nothing,0.0043,0.004453142857142985,0,do_nothing,go_short,go_short,1,0.0043879999999999995,13424440.0,0.004379
3921,SC/USDT:USDT,2023-02-09 03:00:00+00:00,second_buy,short-exit-profit,0.0046159999999999994,0.0046159999999999994,0.004670284905605121,0.004738217894964575,0.004556,1,0.004556999999999999,4412780.0,0,False,0.004626200000000183,0.004634000000000129,0.00478480000000005,5.81449428,0.024383830835443744,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2023-02-09 03:15:00+00:00,0.004715905458300532,0.00476804000000005,go_short,0.004581600000000182,0.004437,go_short,0,False,0.00463439492012741,do_nothing,0.004383,0.004604285714285844,1,do_nothing,go_short,go_short,1,0.004565,23515460.0,0.004556999999999999
3920,SC/USDT:USDT,2023-02-08 15:30:00+00:00,second_buy,short-exit-profit,0.004666,0.004742,0.004880201443580408,0.0049997180850183155,0.004646,1,0.004732,9831490.0,0,False,0.004797600000000181,0.004842000000000127,0.005026800000000049,4.83247853,0.020270793097559827,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2023-02-09 02:45:00+00:00,0.0047527153265617406,0.004792840000000049,go_short,0.004647200000000183,0.0046159999999999994,go_short,0,False,0.004690882161169688,do_nothing,0.004605,0.004650857142857272,0,do_nothing,go_short,go_short,1,0.004661,4675680.0,0.004653
3919,SC/USDT:USDT,2023-02-08 13:30:00+00:00,second_buy,short-exit-profit,0.004915,0.004920000000000001,0.00505747752396173,0.005140063092616421,0.004784,1,0.004822,13131580.0,0,False,0.004982600000000182,0.00503785714285727,0.005152800000000048,7.24941376,0.030414487486241943,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2023-02-08 15:15:00+00:00,0.00502113553181978,0.005045200000000048,go_short,0.004841000000000181,0.004666,go_short,0,False,0.004907147160595028,do_nothing,0.004626,0.0048667142857144125,1,do_nothing,go_short,go_short,1,0.004809,12210920.0,0.004801
3918,SC/USDT:USDT,2023-02-08 10:00:00+00:00,second_buy,short-exit-profit,0.005088,0.005105999999999999,0.005204395725584452,0.005256012859678271,0.005026,1,0.005031,14587190.0,0,False,0.00514420000000018,0.005158571428571558,0.0053148000000000474,5.02802014,0.02110120456373686,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2023-02-08 13:15:00+00:00,0.005165508140025735,0.005172480000000047,go_short,0.005050600000000182,0.004915,go_short,0,False,0.0051002916192275,do_nothing,0.004885,0.005092857142857271,1,do_nothing,go_short,go_short,1,0.004972,8934720.0,0.004957
3917,SC/USDT:USDT,2023-02-08 04:00:00+00:00,second_buy,short-exit-profit,0.005267,0.005396,0.005473297401610992,0.005248516174684283,0.00517,1,0.005306,50460200.0,0,False,0.005431400000000181,0.005503428571428701,0.005170080000000046,7.34472343,0.030832564227721414,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2023-02-08 09:45:00+00:00,0.005274013888452533,0.005324240000000047,go_short,0.00518180000000018,0.005088,go_short,1,False,0.005235922221145261,do_nothing,0.005071,0.005178428571428701,1,do_nothing,go_short,go_short,0,0.005215,13601750.0,0.005215
3916,SC/USDT:USDT,2023-02-08 02:45:00+00:00,second_buy,short-exit-profit,0.00583,0.005863999999999999,0.0055623583966342965,0.00516844549494175,0.005520000000000001,1,0.005536999999999999,53227020.0,0,False,0.005949400000000181,0.005923428571428702,0.004967680000000046,11.15579584,0.04685848933636545,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2023-02-08 03:45:00+00:00,0.0052439174686590255,0.0051340000000000465,go_short,0.005477600000000181,0.005267,go_short,0,False,0.005503715110994809,do_nothing,0.005240000000000001,0.005614428571428701,1,do_nothing,go_short,go_short,0,0.005490999999999999,76119610.0,0.00549
3923,SC/USDT:USDT,2023-02-09 04:30:00+00:00,second_buy,short-exit-profit,0.004358,0.0044009999999999995,0.0044944691073665255,0.004611532471930868,0.004352,0,0.004393,3403200.0,0,False,0.004391000000000183,0.004421285714285843,0.0046702400000000486,5.74547815,0.0240835241570993,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2023-02-09 20:30:00+00:00,0.004440574393188737,0.00446588000000005,go_short,0.004313800000000183,0.004265,go_short,0,False,0.004377544752628177,do_nothing,0.004256,0.004350428571428695,1,do_nothing,go_short,go_short,1,0.0043100000000000005,12180280.0,0.004307
3856,SC/USDT:USDT,2022-07-20 07:00:00+00:00,second_buy,short-exit-profit,0.0048200000000000005,0.00483,0.004800485273257062,0.004723715601833142,0.0048200000000000005,1,0.0048200000000000005,37350.0,0,False,0.004844000000000142,0.004857142857142947,0.004718399999999992,5.4599216,0.0229441059316578,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2022-07-20 07:45:00+00:00,0.004728606222559714,0.004734399999999991,go_short,0.0047780000000001415,0.0047,go_short,0,False,0.004778400500093378,do_nothing,0.00468,0.004802857142857234,1,do_nothing,go_short,go_short,0,0.004770000000000001,1899300.0,0.004750000000000001
