,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,long-bid-rl (exit),sma-25 (exit),ema-12 (exit),sma-07 (exit),low (exit),long_jcrosk (exit),mean-grad-hist (exit),long-small-rl (exit),open (exit),long-large-rl (exit),sma-compare (exit),short-small-rl (exit),short_kdj (exit),short-bid-rl (exit),volume (exit),sma-05 (exit),short-large-rl (exit),ema-26 (exit),close (exit),high (exit)
845,STORJ/USDT:USDT,2024-04-14 23:45:00+00:00,first_buy,trailing_stop_loss,0.5475,0.5478000000000001,0.5370989180146474,0.5300183328314606,0.5445,1,0.5466,280915.0,1,False,0.545699999999993,0.5439285714286154,0.5284880000000024,-4.22758699,-0.06900018994859539,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-04-30 11:30:00+00:00,go_long,0.5323800000000019,0.5301893914565652,0.520971428571473,0.5145000000000001,0,1,go_long,0.5186000000000001,go_long,1,go_long,False,go_long,324544.0,0.5202199999999954,go_long,0.5239008585706506,0.5158,0.5195000000000001
754,STORJ/USDT:USDT,2021-12-14 01:45:00+00:00,first_buy,trailing_stop_loss,1.4378,1.4387,1.4476036656365276,1.4607136781059233,1.4113,1,1.4187,742987.0,0,False,1.4439000000000015,1.4446857142857419,1.4540640000000038,22.2031122,0.3636742885650925,1,go_long,go_long,go_long,go_long,go_long,go_long,2021-12-28 04:15:00+00:00,go_long,2.0122680000000046,2.0077702911072675,1.9615285714286048,1.9457,0,1,go_long,1.9636,go_long,1,go_long,False,go_long,235486.0,1.9535799999999994,go_long,1.9734470751071906,1.9483000000000001,1.9636
753,STORJ/USDT:USDT,2021-12-04 05:30:00+00:00,first_buy,trailing_stop_loss,1.699,1.7116,1.8437689639052448,1.9564641442801167,1.3829,1,1.4762,5472202.0,0,False,1.7575800000000044,1.8110285714286012,1.9900040000000023,-2.93238698,-0.048355565427085495,1,go_long,go_long,go_long,go_long,go_long,go_long,2021-12-14 01:30:00+00:00,go_long,1.4556000000000038,1.4640747723543972,1.4494142857143135,1.4354,0,1,go_long,1.4408,go_long,0,go_long,False,go_long,416689.0,1.4506200000000016,go_long,1.4528588775704416,1.438,1.4478
750,STORJ/USDT:USDT,2021-11-18 18:30:00+00:00,first_buy,trailing_stop_loss,1.9473,1.9674,1.9965918437423185,2.018172817229032,1.9136000000000002,0,1.9224,2921352.0,0,False,1.95688,1.9596285714285924,2.0759200000000035,28.43632707,0.4764398922413795,1,go_long,go_long,go_long,go_long,go_long,go_long,2021-11-27 07:30:00+00:00,go_long,3.1001680000000023,3.0000774648859827,2.9395428571428823,2.887,0,0,go_long,2.9464,go_long,1,go_long,False,go_long,1579495.0,2.9312000000000054,go_long,2.9751279354887377,2.8974,2.9645
711,STORJ/USDT:USDT,2020-11-12 00:15:00+00:00,first_buy,trailing_stop_loss,0.3637,0.3645,0.3704145165574578,0.3774742482736911,0.35050000000000003,1,0.3518,686329.0,0,False,0.3644399999999995,0.36774285714285565,0.38074000000000147,-1.72820566,-0.02822040427371721,1,go_long,go_long,go_long,go_long,go_long,go_long,2020-11-24 10:15:00+00:00,go_long,0.3812440000000013,0.3792696144734878,0.3801428571428553,0.363,0,1,go_long,0.3739,go_long,1,go_long,False,go_long,588642.0,0.3749799999999993,go_long,0.37849042089259916,0.3637,0.3745
710,STORJ/USDT:USDT,2020-10-30 05:45:00+00:00,first_buy,trailing_stop_loss,0.31670000000000004,0.31930000000000003,0.3215999238108841,0.32570921098430683,0.3144,0,0.3169,274997.0,0,False,0.31897999999999904,0.3198428571428563,0.32836800000000044,7.20034087,0.11768296637895856,1,go_long,go_long,go_long,go_long,go_long,go_long,2020-11-12 00:00:00+00:00,go_long,0.3824680000000014,0.37952818813558636,0.37104285714285573,0.36360000000000003,0,1,go_long,0.3658,go_long,1,go_long,False,go_long,75281.0,0.3691999999999995,go_long,0.37379897411335916,0.364,0.3662
709,STORJ/USDT:USDT,2020-10-19 22:15:00+00:00,first_buy,trailing_stop_loss,0.3975,0.39790000000000003,0.40194176744105503,0.40689392943950026,0.39330000000000004,0,0.3965,261944.0,0,False,0.39814000000000027,0.3993714285714277,0.40842400000000045,-12.80865192,-0.20955857362205113,1,go_long,go_long,go_long,go_long,go_long,go_long,2020-10-30 05:30:00+00:00,go_long,0.32926400000000045,0.3264139478630514,0.3203142857142849,0.3164,0,0,go_long,0.3205,go_long,1,go_long,False,go_long,219295.0,0.32011999999999907,go_long,0.322454455412863,0.3166,0.32080000000000003
707,STORJ/USDT:USDT,2020-10-02 09:30:00+00:00,first_buy,trailing_stop_loss,0.4354,0.4383,0.44699628479631126,0.4589325219465344,0.4227,1,0.4239,612510.0,1,False,0.43817999999999974,0.4398714285714293,0.46705999999999986,17.52883193,0.28667230815834066,1,go_long,go_long,go_long,go_long,go_long,go_long,2020-10-14 10:30:00+00:00,go_long,0.5790799999999998,0.5765838472746933,0.5671714285714281,0.5521,0,1,go_long,0.5526,go_long,1,go_long,False,go_long,189434.0,0.5618400000000003,go_long,0.5696577999284117,0.5584,0.5608000000000001
706,STORJ/USDT:USDT,2020-09-22 07:45:00+00:00,first_buy,trailing_stop_loss,0.3189,0.31920000000000004,0.33259593722360703,0.3392441014019624,0.3111,1,0.3125,383940.0,0,False,0.32481999999999994,0.3301428571428568,0.3409360000000005,23.48163289,0.3823788015140626,1,go_long,go_long,go_long,go_long,go_long,go_long,2020-10-02 09:15:00+00:00,go_long,0.46951199999999993,0.46173512370225717,0.4447428571428579,0.4338,0,1,go_long,0.4385,go_long,1,go_long,False,go_long,329746.0,0.44089999999999974,go_long,0.4511956093047315,0.4354,0.4399
702,LPT/USDT:USDT,2024-11-10 17:45:00+00:00,first_buy,trailing_stop_loss,12.563,12.635,12.277835165961942,12.129002985256864,12.488,0,12.579,36999.5,0,False,12.378799999999858,12.299285714285592,12.183679999999752,-2.11076722,-0.03492914581906392,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-24 11:45:00+00:00,go_long,12.919959999999767,12.82268848347051,12.632285714285647,12.347,0,1,go_long,12.44,go_long,1,go_long,False,go_long,33683.8,12.544599999999837,go_long,12.691048455525689,12.529,12.529
