,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,short_kdj (exit),long_jcrosk (exit),volume (exit),close (exit),sma-05 (exit),sma-07 (exit),ema-12 (exit),low (exit),ema-26 (exit),open (exit),sma-25 (exit),mean-grad-hist (exit),high (exit)
418,COMP/USDT:USDT,2023-07-18 16:45:00+00:00,first_buy,trailing_stop_loss,70.67,70.79,70.76738926227638,71.1863636458636,70.0,1,70.15,78547.808,1,False,70.72799999999947,70.7128571428551,71.06199999999843,-16.48724862,-0.26864267387402674,False,0,8872.236,54.37,54.42599999999935,54.51142857142655,54.7049996355763,54.32,54.51679272255624,54.48,54.5535999999985,1,54.55
400,COMP/USDT:USDT,2021-10-28 23:15:00+00:00,first_buy,trailing_stop_loss,312.2,313.33,312.6764496395616,313.13962064895895,310.87,0,312.83,1651.441,0,False,312.14399999999983,312.1914285714284,313.18399999999843,-15.10874339,-0.24619059156694867,False,0,13091.089,269.39,276.3020000000005,277.7699999999995,280.54784463486703,266.1,277.88863812309467,274.44,280.8343999999986,1,274.52
419,COMP/USDT:USDT,2023-08-17 21:30:00+00:00,first_buy,trailing_stop_loss,45.96,46.22,46.31738548868848,46.29030502746179,45.81,1,45.97,31212.395,0,False,46.23199999999936,46.374285714283765,46.161199999998516,0.7398984,0.012053347495698105,False,0,31676.068,46.97,47.167999999999374,47.21571428571219,47.67572885750108,46.94,47.38419506560546,47.03,47.82079999999859,1,47.18
421,COMP/USDT:USDT,2023-12-08 16:15:00+00:00,first_buy,trailing_stop_loss,53.78,54.48,53.87722334077296,53.76774197899875,53.75,0,54.43,14193.506,0,False,53.98799999999947,53.9485714285692,53.79799999999864,-0.67369461,-0.010973534711806206,False,0,6678.352,55.34,55.713999999999466,55.67714285714059,55.767645087735865,55.14,55.6806433762134,55.64,55.80999999999867,1,55.69
439,STORJ/USDT:USDT,2021-02-06 03:45:00+00:00,second_buy,trailing_stop_loss,0.5422,0.5756,0.5334523120647114,0.5314152465501897,0.5364,0,0.5614,3911765.0,0,False,0.5389199999999972,0.5311714285714266,0.5315960000000011,-6.72457126,-0.10998231412521443,False,0,348060.0,0.6263000000000001,0.6172799999999977,0.6100999999999976,0.600379842688881,0.6148,0.6079460782367168,0.6206,0.599832000000001,0,0.6286
438,STORJ/USDT:USDT,2021-01-29 16:15:00+00:00,second_buy,trailing_stop_loss,0.4404,0.4433,0.42499166186030873,0.41861708656795665,0.43160000000000004,0,0.43320000000000003,736802.0,0,False,0.4326399999999964,0.427671428571427,0.41658000000000106,-16.51413173,-0.2706966990800675,False,0,597615.0,0.5417000000000001,0.5308999999999973,0.522999999999998,0.5290164662742048,0.5208,0.5283709142582953,0.5215000000000001,0.530220000000001,0,0.543
437,STORJ/USDT:USDT,2021-01-16 11:15:00+00:00,second_buy,trailing_stop_loss,0.39830000000000004,0.40240000000000004,0.39058829854777266,0.38450893358055793,0.3935,0,0.4001,2398702.0,0,False,0.3925399999999962,0.3916714285714265,0.3850360000000017,-5.1846407,-0.08475877307311264,False,0,916969.0,0.44020000000000004,0.42979999999999646,0.42564285714285555,0.41745045349339316,0.42610000000000003,0.4234992367440012,0.4268,0.4153880000000011,0,0.44120000000000004
436,STORJ/USDT:USDT,2021-01-09 14:30:00+00:00,second_buy,trailing_stop_loss,0.4055,0.4389,0.4049484407300205,0.39444135078820824,0.4051,0,0.4299,6145301.0,0,False,0.41225999999999663,0.4096857142857119,0.39186000000000176,4.9329845,0.08088881499501067,False,0,1370465.0,0.39840000000000003,0.39085999999999627,0.3897714285714265,0.38326164826700254,0.38470000000000004,0.3888588982837313,0.3859,0.3841440000000017,0,0.39840000000000003
435,STORJ/USDT:USDT,2021-01-07 12:45:00+00:00,second_buy,trailing_stop_loss,0.3698,0.37770000000000004,0.3681973825239755,0.36515111330644207,0.3688,0,0.3771,459975.0,0,False,0.36923999999999657,0.3700571428571406,0.36309200000000125,-9.20186534,-0.15065844302499257,False,0,715300.0,0.4056,0.4079199999999966,0.4048142857142833,0.3916046588512649,0.39980000000000004,0.4004117935900242,0.4097,0.3895600000000018,0,0.4101
434,STORJ/USDT:USDT,2020-12-27 05:30:00+00:00,second_buy,trailing_stop_loss,0.315,0.31720000000000004,0.3100401453794339,0.30650858120541274,0.3141,0,0.3141,394974.0,0,False,0.31149999999999667,0.31139999999999707,0.30496800000000157,-10.89536206,-0.1781196852576895,False,0,249544.0,0.36960000000000004,0.3685399999999966,0.3684999999999978,0.3641952023709574,0.3643,0.36657872480106196,0.367,0.3623520000000012,0,0.3699
433,STORJ/USDT:USDT,2020-11-25 22:45:00+00:00,second_buy,trailing_stop_loss,0.4047,0.40540000000000004,0.41206077008382497,0.41908803658770216,0.39680000000000004,1,0.39690000000000003,378495.0,0,False,0.4074199999999991,0.40914285714285503,0.4220320000000013,13.46372124,0.22038346908656653,False,0,296685.0,0.3144,0.3107599999999967,0.3109999999999971,0.3059012677018458,0.3084,0.3093019899938765,0.30860000000000004,0.3042120000000016,0,0.31520000000000004
432,STORJ/USDT:USDT,2020-11-06 10:15:00+00:00,second_buy,trailing_stop_loss,0.32580000000000003,0.3304,0.32490830875680643,0.32042671568033293,0.3254,0,0.3294,287257.0,0,False,0.3256599999999993,0.324942857142856,0.3227080000000012,-13.67896197,-0.2232830534214001,False,0,333314.0,0.3972,0.39219999999999944,0.39161428571428364,0.3911102799065804,0.388,0.39328529434783116,0.3904,0.3947200000000013,0,0.3977
431,STORJ/USDT:USDT,2020-10-10 04:30:00+00:00,second_buy,trailing_stop_loss,0.5791000000000001,0.5826,0.5622333953694708,0.547329626805967,0.5678000000000001,1,0.5787,591661.0,0,False,0.572240000000001,0.5713285714285724,0.5419360000000002,26.1477478,0.43000766770532745,False,0,217820.0,0.3271,0.32429999999999926,0.3226714285714274,0.3144178888451369,0.325,0.3212607307217196,0.325,0.3168160000000012,0,0.3272
430,STORJ/USDT:USDT,2020-09-29 05:30:00+00:00,second_buy,trailing_stop_loss,0.5053,0.5137,0.4917299448414721,0.47840044797931686,0.5014000000000001,0,0.509,803768.0,0,False,0.4980400000000003,0.49562857142857214,0.4781520000000002,-9.28149725,-0.15219821830217609,False,0,294101.0,0.5791000000000001,0.5714400000000011,0.5673571428571439,0.5448199969504444,0.5689000000000001,0.5592394672548292,0.5696,0.5395480000000002,1,0.5795
429,STORJ/USDT:USDT,2020-09-26 11:00:00+00:00,second_buy,trailing_stop_loss,0.3869,0.40280000000000005,0.3889356830002848,0.3853820188465616,0.385,0,0.3971,839537.0,0,False,0.3902000000000002,0.39007142857142874,0.38694800000000035,-17.82158745,-0.29245249751435054,False,0,1332589.0,0.5053,0.49448000000000036,0.49312857142857214,0.4759524838176622,0.49210000000000004,0.48858993481264884,0.49310000000000004,0.4753160000000002,0,0.509
