,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),close_date,close (exit),nlp-enter-long (exit),volume (exit),open (exit),low (exit),sma-07 (exit),ema-26 (exit),sma-05 (exit),mean-grad-hist (exit),imit-enter-short (exit),imit-exit-short (exit),short_kdj (exit),long_jcrosk (exit),ema-12 (exit),nlp-enter-short (exit),nlp-exit-short (exit),high (exit),sma-25 (exit)
30,LINK/USDT:USDT,2022-07-23 02:30:00+00:00,second_buy,trailing_stop_loss,6.897,6.905,6.860371633436664,6.863622723261262,6.876,0,6.9030000000000005,99974.25,0,False,6.884400000000222,6.875999999999794,6.830160000000074,-12.47671546,-0.2037435849256144,go_short,go_short,go_short,go_short,go_short,2022-08-07 21:00:00+00:00,8.282,go_short,345382.12,8.273,8.253,8.234857142856928,8.158682705513977,8.268400000000204,1,go_short,go_short,False,0,8.04850461349376,go_short,go_short,8.29,8.013560000000071
29,LINK/USDT:USDT,2022-06-21 08:45:00+00:00,second_buy,trailing_stop_loss,7.378,7.48,7.354284971514151,7.277270529159243,7.3629999999999995,0,7.452,871188.28,0,False,7.367000000000218,7.360999999999821,7.292360000000087,1.72178975,0.02810230535391289,go_short,go_short,go_short,go_short,go_short,2022-07-19 16:00:00+00:00,7.149,go_short,805877.29,7.046,7.046,7.094999999999801,7.08497699657275,7.099600000000224,0,go_short,go_short,False,0,7.040796833456286,go_short,go_short,7.157,7.039960000000076
28,LINK/USDT:USDT,2022-06-16 00:00:00+00:00,second_buy,trailing_stop_loss,7.284,7.369,7.197511440360899,7.005894432186083,7.275,1,7.319,676345.89,0,False,7.2804000000002205,7.276571428571246,7.004560000000083,-0.93462941,-0.015253804952275046,go_short,go_short,go_short,go_short,go_short,2022-06-21 05:30:00+00:00,7.341,go_short,838345.9,7.311,7.265,7.259571428571249,7.209802587777314,7.265600000000218,0,go_short,go_short,False,0,7.118982640191529,go_short,go_short,7.379,7.087080000000086
27,LINK/USDT:USDT,2022-06-07 21:15:00+00:00,second_buy,trailing_stop_loss,8.633,8.746,8.466183466282397,8.200923396230401,8.631,1,8.708,482917.04,0,False,8.72320000000021,8.638285714285539,8.10484000000008,10.42754912,0.17024556472254257,go_short,go_short,go_short,go_short,go_short,2022-06-15 18:45:00+00:00,6.925,go_short,4571724.97,6.328,6.194,6.3745714285712465,6.3976501790419915,6.4324000000002215,0,go_short,go_short,False,0,6.359683699103001,go_short,go_short,6.968,6.377360000000082
26,LINK/USDT:USDT,2022-05-12 15:00:00+00:00,second_buy,trailing_stop_loss,6.346,6.6530000000000005,6.3153164761672125,6.285382344255521,6.304,0,6.643,772835.7,0,False,6.305800000000219,6.292142857142684,6.264960000000064,-13.66352489,-0.22303136338674068,go_short,go_short,go_short,go_short,go_short,2022-06-06 09:15:00+00:00,8.066,go_short,773464.77,7.976,7.97,7.955857142856973,7.969546331613484,7.978200000000216,0,go_short,go_short,False,0,7.939974804520084,go_short,go_short,8.083,7.965560000000083
25,LINK/USDT:USDT,2022-03-30 02:30:00+00:00,second_buy,trailing_stop_loss,16.797,16.882,16.79576517548141,16.8354546178291,16.769,0,16.881,158224.73,0,False,16.72840000000021,16.77014285714271,16.81796000000004,37.62361549,0.6145603230520642,go_short,go_short,go_short,go_short,go_short,2022-05-12 14:45:00+00:00,6.343,go_short,636115.78,6.268,6.23,6.245571428571255,6.255737653652161,6.208400000000219,0,go_short,go_short,False,0,6.256772931795963,go_short,go_short,6.377,6.241600000000065
24,LINK/USDT:USDT,2022-02-27 14:15:00+00:00,second_buy,trailing_stop_loss,14.568,14.671,14.558704189706068,14.495363508439924,14.335,1,14.418,534004.43,0,False,14.568800000000163,14.617999999999856,14.483520000000029,-8.54411862,-0.13955570353742827,go_short,go_short,go_short,go_short,go_short,2022-03-27 20:45:00+00:00,16.435,go_short,1054097.15,16.187,16.181,16.240428571428428,16.2288968837755,16.244200000000212,0,go_short,go_short,False,0,16.149396315174076,go_short,go_short,16.476,16.13204000000002
23,LINK/USDT:USDT,2022-01-31 16:00:00+00:00,second_buy,trailing_stop_loss,17.562,17.566,17.23377605359996,17.11322594464017,17.429,0,17.495,257615.62,1,False,17.41660000000016,17.29342857142849,17.08544000000003,10.6758249,0.1745135445066858,go_short,go_short,go_short,go_short,go_short,2022-02-26 00:30:00+00:00,14.394,go_short,150619.5,14.309,14.27,14.368142857142725,14.267247387902657,14.358200000000172,0,go_short,go_short,False,0,14.130075949229207,go_short,go_short,14.402,14.076440000000034
22,LINK/USDT:USDT,2022-01-12 17:00:00+00:00,second_buy,trailing_stop_loss,26.418,26.475,26.528238314996198,26.50800547717444,26.3,1,26.447,270805.02,0,False,26.406000000000176,26.4745714285713,26.524600000000042,19.87721713,0.32571258724910956,go_short,go_short,go_short,go_short,go_short,2022-01-30 23:00:00+00:00,17.454,go_short,294111.03,17.3,17.296,17.36585714285707,17.323054031387713,17.368200000000172,0,go_short,go_short,False,0,17.29783990236558,go_short,go_short,17.538,17.259560000000025
21,LINK/USDT:USDT,2021-12-27 06:15:00+00:00,second_buy,trailing_stop_loss,23.119,23.156,23.13459516788873,23.110171259707528,23.04,1,23.06,149640.96,0,False,23.17940000000015,23.174857142857036,23.117840000000044,-7.76501595,-0.12673379145600164,go_short,go_short,go_short,go_short,go_short,2022-01-05 04:30:00+00:00,25.648,go_short,309603.49,25.698,25.561,25.528857142857028,25.34278507761763,25.588800000000152,1,go_short,go_short,False,0,24.92820671523109,go_short,go_short,25.736,24.719960000000018
20,LINK/USDT:USDT,2021-12-04 06:00:00+00:00,second_buy,trailing_stop_loss,17.75,18.631,20.154066418757523,21.39986111806176,17.727,0,18.602,3382848.45,0,False,18.57320000000014,19.60542857142843,21.831400000000016,-13.93044169,-0.22783503847184952,go_short,go_short,go_short,go_short,go_short,2021-12-26 17:45:00+00:00,22.741,go_short,212801.8,22.712,22.704,22.58057142857131,22.526666768570095,22.656000000000155,0,go_short,go_short,False,0,22.366092242789065,go_short,go_short,22.796,22.377720000000046
19,LINK/USDT:USDT,2021-11-11 10:00:00+00:00,second_buy,trailing_stop_loss,36.49,36.893,36.14878426329429,35.58293658050597,36.487,1,36.8,262569.27,0,False,36.65380000000022,36.41128571428551,35.311199999999985,29.57294406,0.48456223579072455,go_short,go_short,go_short,go_short,go_short,2021-12-04 05:15:00+00:00,19.281,go_short,3198006.16,20.838,19.001,21.602571428571284,21.747520602562187,21.37860000000014,1,go_short,go_short,False,0,22.376352024755818,go_short,go_short,21.011,22.516640000000017
18,LINK/USDT:USDT,2021-10-21 11:00:00+00:00,second_buy,trailing_stop_loss,28.643,28.749,28.353459160571134,28.080244914873646,28.536,1,28.622,247148.63,0,False,28.556200000000274,28.542999999999843,27.960239999999988,-17.15641945,-0.2803312773974743,go_short,go_short,go_short,go_short,go_short,2021-11-10 14:00:00+00:00,36.624,go_short,679724.11,36.65,36.332,35.757714285714094,35.68300394287278,36.01460000000024,0,go_short,go_short,False,0,35.23545604850541,go_short,go_short,36.872,35.14768
17,LINK/USDT:USDT,2021-09-15 11:30:00+00:00,second_buy,trailing_stop_loss,30.925,31.07,30.766411327672845,30.52060902142543,30.733,1,30.868,320678.59,0,False,31.06720000000023,30.89171428571415,30.41351999999999,5.49160314,0.08993855494659969,go_short,go_short,go_short,go_short,go_short,2021-10-06 16:00:00+00:00,27.73,go_short,300675.81,27.788,27.548000000000002,27.578857142856968,27.31815879229253,27.6878000000003,1,go_short,go_short,False,1,26.858180241108837,go_short,go_short,27.85,26.53287999999998
16,LINK/USDT:USDT,2021-09-06 12:00:00+00:00,second_buy,trailing_stop_loss,34.005,34.208,34.429910648799144,34.32894845597096,33.8,1,33.904,424067.03,0,False,34.347400000000256,34.4372857142856,34.53496000000001,6.11288339,0.10027567840333115,go_short,go_short,go_short,go_short,go_short,2021-09-14 23:30:00+00:00,30.29,go_short,289915.88,30.412,30.156,29.85014285714272,29.712773005463966,30.06380000000025,0,go_short,go_short,False,1,29.333287038185713,go_short,go_short,30.5,29.29815999999999
15,LINK/USDT:USDT,2021-08-17 00:15:00+00:00,second_buy,trailing_stop_loss,27.96,28.159,28.157285961635537,28.467030765544937,27.7,1,27.738,265010.5,0,False,27.943400000000178,28.058142857142716,28.48664000000001,-8.32813525,-0.13601698878954052,go_short,go_short,go_short,go_short,go_short,2021-09-05 16:15:00+00:00,31.615,go_short,809543.76,31.489,31.467,31.11342857142846,31.051871454682836,31.19100000000022,0,go_short,go_short,False,0,30.808543568769153,go_short,go_short,31.887,30.747720000000008
