,pair,open_date,enter_reason,exit_reason,close_date,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),short-small-rl (exit),short_kdj (exit),low (exit),sma-05 (exit),sma-25 (exit),ema-26 (exit),mean-grad-hist (exit),short-bid-rl (exit),open (exit),high (exit),short-large-rl (exit),close (exit),long-small-rl (exit),ema-12 (exit),sma-07 (exit),volume (exit),sma-compare (exit),long-large-rl (exit),long-bid-rl (exit),long_jcrosk (exit)
159,ASTR/USDT:USDT,2024-08-31 17:30:00+00:00,second_buy,roi,2024-09-01 03:15:00+00:00,0.06199,0.06199,0.062295510059742557,0.062449338151811605,0.06199,1,0.06199,331.0,0,False,0.06219999999999874,0.06228285714285676,0.06247040000000052,0.06929698,0.007009533786009129,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06128000000000001,0.061295999999998706,0.061920000000000516,0.06151206643415277,0,go_short,0.06128000000000001,0.06128000000000001,go_long,0.06128000000000001,go_short,0.06176886622787087,0.06125714285714246,0.0,0,go_long,go_short,0
160,ASTR/USDT:USDT,2024-09-01 03:45:00+00:00,second_buy,roi,2024-09-01 06:15:00+00:00,0.061410000000000006,0.061410000000000006,0.06146615407415672,0.061708753624717824,0.061410000000000006,0,0.061410000000000006,800.0,0,False,0.0613559999999987,0.06130999999999961,0.06185000000000052,0.026792,0.0027290396876850803,0,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.060930000000000005,0.0611419999999987,0.06143720000000053,0.061227535502058644,1,go_short,0.060930000000000005,0.060930000000000005,go_long,0.060930000000000005,go_short,0.061445281724015234,0.06120857142857104,0.0,1,go_long,go_short,0
161,ASTR/USDT:USDT,2024-09-01 06:30:00+00:00,second_buy,roi,2024-09-01 13:00:00+00:00,0.061130000000000004,0.061130000000000004,0.06121253004020347,0.061421927522236325,0.061130000000000004,0,0.061130000000000004,49.0,0,False,0.06105999999999869,0.06119142857142818,0.061393600000000534,0.12604072,0.01286996969223181,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06047,0.060571999999998696,0.06094240000000054,0.060666751595681405,0,go_short,0.06047,0.06047,go_long,0.06047,go_short,0.06087904870462159,0.06057714285714249,0.0,1,go_long,go_short,0
162,ASTR/USDT:USDT,2024-09-01 13:15:00+00:00,second_buy,roi,2024-09-01 17:00:00+00:00,0.060360000000000004,0.060360000000000004,0.06061955904249965,0.0608406006524274,0.060360000000000004,1,0.060360000000000004,33.0,0,False,0.06050599999999869,0.060539999999999636,0.060903600000000536,0.0136896,0.0014189139437648384,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06038,0.0605519999999987,0.06028080000000055,0.06030286227710442,1,go_short,0.06038,0.06038,go_long,0.06038,go_short,0.060389835342347695,0.060435714285713926,0.0,0,go_long,go_short,0
163,ASTR/USDT:USDT,2024-09-01 17:15:00+00:00,second_buy,roi,2024-09-01 22:15:00+00:00,0.060160000000000005,0.060160000000000005,0.06027165269601143,0.06036836605772935,0.0601,1,0.0601,1553.0,0,False,0.0604099999999987,0.06043428571428535,0.06026400000000056,0.0,0.0,0,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06069000000000001,0.06072599999999874,0.060746400000000554,0.060875551312762004,1,go_short,0.06069000000000001,0.06069000000000001,go_long,0.06069000000000001,go_short,0.060786238904761924,0.060872857142856826,0.0,0,go_long,go_short,0
164,ASTR/USDT:USDT,2024-09-01 22:30:00+00:00,second_buy,roi,2024-09-02 02:30:00+00:00,0.06,0.06,0.06067162034156785,0.060694665652557336,0.059550000000000006,1,0.059550000000000006,1490.0,0,False,0.06048599999999874,0.060617142857142536,0.06070000000000055,-0.00045335,-4.7805052650830494e-05,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.05951000000000001,0.05953399999999874,0.05981800000000056,0.05950179689305032,1,go_short,0.05951000000000001,0.05951000000000001,go_long,0.05951000000000001,go_short,0.059737522420820324,0.05949714285714252,0.0,0,go_long,go_short,0
165,ASTR/USDT:USDT,2024-09-02 02:45:00+00:00,second_buy,roi,2024-09-02 07:00:00+00:00,0.05944000000000001,0.05944000000000001,0.059441520447965655,0.05969103927853734,0.05911,1,0.05911,1888.0,1,False,0.05945999999999875,0.05946857142857109,0.05972120000000056,0.0,0.0,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.059030000000000006,0.05914999999999876,0.05926160000000052,0.059136254256994855,1,go_short,0.059030000000000006,0.059030000000000006,go_long,0.059030000000000006,go_short,0.05929136463379568,0.059114285714285376,0.0,0,go_long,go_short,0
166,ASTR/USDT:USDT,2024-09-02 07:15:00+00:00,second_buy,roi,2024-09-03 22:15:00+00:00,0.05904,0.05917000000000001,0.059095292063611034,0.059260152438699705,0.05884,1,0.058870000000000006,690.0,0,False,0.05908399999999876,0.05910571428571395,0.05924400000000052,0.04189761,0.004457860283753141,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.058910000000000004,0.059375999999998694,0.05961200000000056,0.05951576918290568,1,go_short,0.058910000000000004,0.058910000000000004,go_long,0.058910000000000004,go_short,0.05979779889571259,0.05952142857142823,0.0,1,go_long,go_short,0
167,ASTR/USDT:USDT,2024-09-03 22:30:00+00:00,second_buy,roi,2024-09-04 07:00:00+00:00,0.05842000000000001,0.05842000000000001,0.059334881616304805,0.05968981379232647,0.05834,1,0.05834,552.0,0,False,0.0590879999999987,0.05927857142857109,0.05956880000000056,0.00839154,0.0008479734239130155,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.05775,0.05772999999999873,0.05777960000000053,0.05798973523733001,1,go_short,0.05775,0.05775,go_long,0.05775,go_short,0.05807558034460371,0.057827142857142536,0.0,0,go_long,go_short,0
143,ASTR/USDT:USDT,2024-08-01 18:00:00+00:00,second_buy,roi,2024-08-02 18:00:00+00:00,0.06625,0.06677000000000001,0.06705001149078951,0.0678265305085467,0.06625,0,0.06677000000000001,2879.0,0,False,0.06638599999999859,0.06643428571428567,0.06830840000000062,0.50904038,0.05137627847650028,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06337000000000001,0.06302199999999854,0.06530120000000066,0.0637044946596523,0,go_short,0.06337000000000001,0.06337000000000001,go_long,0.06337000000000001,go_short,0.06485365007740719,0.06305999999999994,0.0,1,go_long,go_short,0
