,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),open (exit),close (exit),low (exit),short-small-rl (exit),long-large-rl (exit),short-bid-rl (exit),high (exit),long-bid-rl (exit),long_jcrosk (exit),sma-compare (exit),mean-grad-hist (exit),sma-25 (exit),short_kdj (exit),ema-26 (exit),short-large-rl (exit),long-small-rl (exit),volume (exit),sma-07 (exit),sma-05 (exit),ema-12 (exit)
2798,ARPA/USDT:USDT,2025-01-08 06:30:00+00:00,second_buy,force_exit,0.045860000000000005,0.045860000000000005,0.0465831080417096,0.047072104213129025,0.045840000000000006,1,0.045840000000000006,286.0,0,False,0.0463719999999984,0.046397142857143706,0.047155199999998516,-0.37547232,-0.017130103194421726,1,go_long,go_long,go_short,go_short,go_long,go_long,0.04669,0.04648,0.04648,go_long,go_short,go_long,0.0468,go_long,1,0,1,0.046365999999998506,False,0.046507397410195064,go_short,go_long,600.0,0.0465385714285723,0.046545999999998436,0.04640466515086107
2497,ARKM/USDT:USDT,2025-01-07 01:15:00+00:00,first_buy,force_exit,1.6901000000000002,1.6901000000000002,1.69209621301247,1.6959017417280864,1.6741000000000001,1,1.6755,9672.0,1,False,1.689880000000029,1.6922857142857264,1.6985479999999902,-4.13904556,-0.1897566220916656,1,go_long,go_long,go_long,go_long,go_long,go_long,1.3706,1.3644,1.3644,go_long,go_long,go_long,1.3767,go_long,0,0,1,1.3537359999999907,False,1.3608047710573485,go_long,go_long,1167.0,1.3622714285714408,1.3639600000000318,1.3573279779769112
2391,AR/USDT:USDT,2025-01-07 15:15:00+00:00,first_buy,force_exit,18.22,18.288,18.388309134101377,18.51199620726818,17.679,1,17.789,127626.0,0,False,18.312199999998935,18.381999999999657,18.54763999999991,-2.46295232,-0.11544450519733444,1,go_long,go_long,go_long,go_long,go_long,go_long,15.87,15.788,15.781,go_long,go_long,go_long,15.889,go_long,0,0,1,15.68155999999991,False,15.751091940670845,go_long,go_long,1367.0,15.760428571428227,15.77879999999892,15.71544415973736
1971,APT/USDT:USDT,2025-01-07 21:00:00+00:00,first_buy,force_exit,9.657,9.701,9.744153723045502,9.882881584115042,9.575,0,9.687,59398.0,0,False,9.690399999999794,9.696857142857016,9.86443999999993,-1.58820778,-0.07125661465268854,1,go_long,go_long,go_long,go_long,go_long,go_long,9.075,9.022,9.018,go_long,go_long,go_long,9.085,go_long,1,0,1,8.95603999999993,False,9.007940061809038,go_long,go_long,46154.0,9.026142857142725,9.040199999999786,8.979994435689413
336,1INCH/USDT:USDT,2025-01-06 23:00:00+00:00,first_buy,force_exit,0.43570000000000003,0.4379,0.4359185123678722,0.43635320102410957,0.43570000000000003,0,0.4379,161.0,0,False,0.4349000000000059,0.434571428571373,0.43708400000003017,-2.72784414,-0.12249818040739636,0,go_long,go_long,go_long,go_long,go_long,go_long,0.3831,0.38370000000000004,0.3831,go_long,go_long,go_long,0.38380000000000003,go_long,0,0,0,0.3822640000000292,False,0.38275739749287174,go_long,go_long,16.0,0.3824428571428021,0.3825000000000053,0.383030644300275
1863,AMP/USDT:USDT,2025-01-07 11:45:00+00:00,first_buy,force_exit,0.008036999999999999,0.008036999999999999,0.00804517777453794,0.008059092116527155,0.007943,1,0.007943,107.0,1,False,0.00803380000000007,0.00803814285714287,0.00806407999999999,-2.034315,-0.1279130612589827,1,go_long,go_long,go_long,go_long,go_long,go_long,0.006947,0.006947,0.006947,go_long,go_long,go_long,0.006947,go_long,0,1,0,0.0069401199999999915,False,0.006935276035673545,go_long,go_long,0.0,0.006937714285714288,0.0069284000000000515,0.006933983486276666
1770,ALGO/USDT:USDT,2025-01-12 05:45:00+00:00,first_buy,force_exit,0.37270000000000003,0.37270000000000003,0.37430819342731236,0.37439151234885415,0.371,1,0.371,1206.0,0,False,0.37425999999999204,0.3745428571428568,0.3748679999999935,-0.2637595,-0.014193159385726042,1,go_long,go_long,go_long,go_long,go_long,go_long,0.3699,0.36710000000000004,0.36710000000000004,go_long,go_long,go_long,0.3699,go_long,1,0,1,0.3680679999999931,False,0.3685381131073663,go_long,go_long,2380.0,0.3679285714285712,0.368559999999992,0.3687066971066833
1341,AEVO/USDT:USDT,2025-01-08 07:00:00+00:00,first_buy,force_exit,0.3405,0.3407,0.34451258221720527,0.34910326460568714,0.336,1,0.336,31798.0,1,False,0.3416799999999898,0.3433571428571337,0.34991199999999595,-0.82994769,-0.03738810296846011,1,go_long,go_long,go_long,go_long,go_long,go_long,0.3251,0.3255,0.3249,go_long,go_long,go_long,0.3259,go_long,0,0,0,0.32378399999999535,False,0.3244368091110833,go_long,go_long,60.0,0.32441428571427616,0.3244199999999899,0.3242771894389586
1286,ADA/USDT:USDT,2025-01-08 16:45:00+00:00,first_buy,force_exit,0.9631000000000001,0.968,0.9699690646069337,0.9762473832627673,0.9570000000000001,1,0.9585,23711.0,1,False,0.9659199999999858,0.9665714285714228,0.9783000000000235,0.65558976,0.034185970621924265,1,go_long,go_long,go_long,go_long,go_long,go_long,0.9923000000000001,0.9929,0.991,go_long,go_long,go_long,0.9944000000000001,go_long,1,0,1,0.9911080000000233,False,0.9939462062681687,go_long,go_long,7245.0,0.9938428571428531,0.9945399999999847,0.994294051152676
7039,BTC/USDT:USDT,2024-12-30 20:15:00+00:00,second_buy,force_exit,94381.4,94804.3,94019.08528350072,93596.93516727908,94357.2,1,94730.2,2062433.0,0,False,94343.80000000006,94369.02857142918,93101.69999999992,-0.00897296,-0.0004740996925849496,0,go_short,go_short,do_nothing,do_nothing,go_long,go_long,95026.3,94792.7,94788.1,go_short,do_nothing,go_long,95090.0,go_long,0,0,1,94491.34799999991,False,94787.46074320821,do_nothing,go_short,688395.0,94898.01428571487,94941.94000000016,94607.04341345772
