,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,short-small-rl (exit),short_kdj (exit),low (exit),close (exit),long_jcrosk (exit),long-large-rl (exit),ema-12 (exit),ema-26 (exit),long-bid-rl (exit),short-large-rl (exit),mean-grad-hist (exit),short-bid-rl (exit),sma-07 (exit),open (exit),sma-25 (exit),volume (exit),sma-compare (exit),sma-05 (exit),long-small-rl (exit),high (exit)
746,ASTR/USDT:USDT,2023-06-21 02:15:00+00:00,first_buy,roi,0.04437000000000001,0.04456,0.04386724274439376,0.043523442979548174,0.04437000000000001,0,0.04451,2271.0,0,False,0.044236000000001344,0.04407857142857265,0.043440400000000025,0.1610411,0.016548398422125504,0,go_short,go_short,go_long,go_long,go_long,go_long,2023-06-21 19:00:00+00:00,go_short,False,0.04528,0.04528,0,go_long,0.04454848407454587,0.044933460531723084,go_long,go_long,1,go_long,0.04517428571428692,0.04528,0.04433879999999997,0.0,0,0.045342000000001347,go_short,0.04528
745,ASTR/USDT:USDT,2023-06-20 19:15:00+00:00,first_buy,roi,0.04283000000000001,0.04301000000000001,0.04285575213176314,0.042652549940613974,0.04263,1,0.04301000000000001,16828.0,0,False,0.04313800000000134,0.043095714285715556,0.04241160000000001,0.30091245,0.03041675569020228,0,go_short,go_short,go_long,go_long,go_long,go_long,2023-06-21 02:00:00+00:00,go_short,False,0.043910000000000005,0.043910000000000005,0,go_long,0.043444518417912026,0.043750377788828995,go_long,go_long,1,go_long,0.04393857142857265,0.043910000000000005,0.04337320000000002,0.0,0,0.04413200000000135,go_short,0.043910000000000005
744,ASTR/USDT:USDT,2023-06-08 22:00:00+00:00,first_buy,roi,0.042480000000000004,0.042480000000000004,0.04253051068516186,0.04244642568990402,0.042350000000000006,1,0.042350000000000006,2586.0,0,False,0.04253800000000132,0.0425785714285726,0.04243760000000007,0.094009,0.009614468004533626,0,go_short,go_short,go_long,go_long,go_long,go_long,2023-06-20 18:45:00+00:00,go_short,False,0.04309,0.04309,0,go_long,0.042586670250732137,0.04278001744023116,go_long,go_long,1,go_long,0.04300571428571555,0.04309,0.04238640000000001,0.0,0,0.04311400000000134,go_short,0.04309
743,ASTR/USDT:USDT,2023-06-08 06:00:00+00:00,first_buy,roi,0.041,0.041,0.04128936865468836,0.041545261371676974,0.04093,1,0.04096,4136.0,0,False,0.041152000000001326,0.04118714285714404,0.041627200000000066,0.31882966,0.03242437788614188,1,go_short,go_short,go_long,go_long,go_long,go_long,2023-06-08 21:45:00+00:00,go_short,False,0.042550000000000004,0.042550000000000004,0,go_long,0.04245413974509634,0.04256333080973674,go_long,go_long,1,go_long,0.04261571428571546,0.042550000000000004,0.04244160000000007,0.0,0,0.042592000000001316,go_short,0.042550000000000004
741,ASTR/USDT:USDT,2023-05-17 19:15:00+00:00,first_buy,roi,0.053860000000000005,0.05416000000000001,0.05339042325098612,0.05299187110377307,0.05385,1,0.05416000000000001,5044.0,0,False,0.053920000000001,0.053690000000001216,0.052706000000000114,-0.00279252,-0.00028573933441190076,0,go_short,go_short,go_long,go_long,go_long,go_long,2023-05-19 09:15:00+00:00,go_short,False,0.054200000000000005,0.054200000000000005,1,go_long,0.05399414343042598,0.054142971978761036,go_long,go_long,1,go_long,0.05414142857142979,0.054200000000000005,0.054036000000000105,0.0,0,0.05425600000000108,go_short,0.054200000000000005
740,ASTR/USDT:USDT,2023-05-10 22:45:00+00:00,first_buy,roi,0.05301,0.05301,0.05284958989772981,0.05271543458511956,0.05301,0,0.05301,54.0,0,False,0.05278400000000105,0.05286857142857261,0.05261200000000007,0.11214739,0.01173489134461985,0,go_short,go_short,go_long,go_long,go_long,go_long,2023-05-17 19:00:00+00:00,go_short,False,0.053930000000000006,0.053930000000000006,0,go_long,0.052898420792074914,0.05325050020571087,go_long,go_long,1,go_long,0.0535057142857155,0.053930000000000006,0.05262840000000011,0.0,0,0.053732000000001,go_short,0.053930000000000006
739,ASTR/USDT:USDT,2023-05-08 17:45:00+00:00,first_buy,roi,0.052700000000000004,0.052700000000000004,0.05321307026192627,0.05353059261223886,0.05204,1,0.05238,40744.0,0,False,0.0529000000000011,0.05301857142857263,0.053676000000000036,0.10608828,0.011245044743898827,1,go_short,go_short,go_long,go_long,go_long,go_long,2023-05-10 22:30:00+00:00,go_short,False,0.0529,0.0529,0,go_long,0.05269186935192913,0.05282042442458978,go_long,go_long,0,go_long,0.0529142857142869,0.0529,0.05263160000000007,0.0,0,0.05276800000000105,go_short,0.0529
747,ASTR/USDT:USDT,2023-06-21 19:15:00+00:00,first_buy,roi,0.045020000000000004,0.04515,0.04496677429607338,0.04459304080976469,0.045020000000000004,1,0.04515,1534.0,0,False,0.04531800000000134,0.04524714285714406,0.04440679999999997,0.1649472,0.016756397964451653,0,go_short,go_short,go_long,go_long,go_long,go_long,2023-06-21 22:30:00+00:00,go_short,False,0.04488,0.04488,0,go_long,0.044799224409418484,0.04491609364053492,go_long,go_long,0,go_long,0.04488000000000124,0.04488,0.0449584,0.0,0,0.04488000000000135,go_short,0.04488
801,ASTR/USDT:USDT,2024-04-07 19:15:00+00:00,first_buy,roi,0.12923,0.12923,0.1297917138472267,0.12985333113168854,0.12915000000000001,1,0.12915000000000001,595.0,1,False,0.12941799999999917,0.12960857142857254,0.13020720000000002,0.65897712,0.06371649256666677,1,go_short,go_short,go_long,go_long,go_long,go_long,2024-04-08 15:15:00+00:00,go_short,False,0.13720000000000002,0.13720000000000002,0,go_long,0.13464587086992003,0.13607099372326026,go_long,go_long,0,go_long,0.13653714285714397,0.13720000000000002,0.1348888,0.0,0,0.13674399999999906,go_short,0.13720000000000002
802,ASTR/USDT:USDT,2024-04-08 15:30:00+00:00,first_buy,roi,0.13782,0.13782,0.136318533150451,0.13487062117585188,0.13768000000000002,0,0.13768000000000002,378.0,0,False,0.13693199999999908,0.1367757142857154,0.1351052,0.22865654,0.023645089060638655,0,go_short,go_short,go_long,go_long,go_long,go_long,2024-04-08 19:30:00+00:00,go_short,False,0.14101000000000002,0.14101000000000002,0,go_long,0.13913074489825444,0.1407402925640488,go_long,go_long,1,go_long,0.14160857142857258,0.14101000000000002,0.13916560000000003,0.0,0,0.14099799999999907,go_short,0.14101000000000002
803,ASTR/USDT:USDT,2024-04-08 19:45:00+00:00,first_buy,roi,0.14157,0.14243,0.14094947832342591,0.13935068972060596,0.14157,0,0.1421,312.0,0,False,0.14113599999999907,0.1413328571428583,0.13941800000000001,-0.00100114,-0.00010032801269371734,0,go_short,go_short,go_long,go_long,go_long,go_long,2024-04-09 03:45:00+00:00,go_short,False,0.14218,0.14218,0,go_long,0.14192925157509245,0.14196360229290605,go_long,go_long,0,go_long,0.1415400000000012,0.14218,0.14221280000000003,0.0,0,0.141671999999999,go_short,0.14218
865,ASTR/USDT:USDT,2024-12-22 07:15:00+00:00,first_buy,roi,0.060070000000000005,0.060070000000000005,0.05961976492141393,0.05965312809750817,0.059890000000000006,0,0.06004,501.0,0,False,0.05970799999999987,0.05962000000000117,0.059759200000000325,0.07165184,0.0074774632020161,0,go_short,go_short,go_long,go_long,go_long,go_long,2024-12-22 22:45:00+00:00,go_short,False,0.05972,0.05972,0,go_long,0.06001115316404665,0.05990626186688472,go_long,go_long,1,go_long,0.06009428571428689,0.05972,0.06006560000000028,0.0,0,0.06004399999999991,go_short,0.05972
864,ASTR/USDT:USDT,2024-12-20 10:15:00+00:00,first_buy,roi,0.05527000000000001,0.05553,0.056380750613862454,0.057575523652919174,0.053750000000000006,1,0.053750000000000006,55067.0,0,False,0.05531399999999994,0.05559000000000117,0.058076400000000285,1.04678226,0.10772570652044045,1,go_short,go_short,go_long,go_long,go_long,go_long,2024-12-22 07:00:00+00:00,go_short,False,0.0597,0.0597,0,go_long,0.05962217834530882,0.05954335854348919,go_long,go_long,0,go_long,0.059457142857144034,0.0597,0.059778000000000324,0.0,0,0.05963799999999988,go_short,0.0597
862,ASTR/USDT:USDT,2024-12-04 08:45:00+00:00,first_buy,roi,0.09103000000000001,0.09117,0.09063889478540552,0.08970093584785471,0.0908,1,0.09088,1975.0,0,False,0.09112599999999992,0.09099142857142983,0.08977560000000034,0.07458792,0.007449627245074291,0,go_short,go_short,go_long,go_long,go_long,go_long,2024-12-04 23:00:00+00:00,go_short,False,0.09253,0.09253,0,go_long,0.09263352632813235,0.09287281507124405,go_long,go_long,1,go_long,0.09296857142857266,0.09253,0.09241880000000037,0.0,0,0.09303399999999988,go_short,0.09253
861,ASTR/USDT:USDT,2024-12-01 11:30:00+00:00,first_buy,roi,0.08336,0.08336,0.0827397608317056,0.08246355743238466,0.08336,0,0.08336,359.0,0,False,0.08284799999999995,0.08277142857142994,0.08236480000000027,0.8316006,0.08279217792492127,0,go_short,go_short,go_long,go_long,go_long,go_long,2024-12-04 08:30:00+00:00,go_short,False,0.0908,0.0908,0,go_long,0.08960661071568309,0.09059505747366106,go_long,go_long,1,go_long,0.09099428571428698,0.0908,0.08965320000000034,0.0,0,0.09101999999999992,go_short,0.0908
860,ASTR/USDT:USDT,2024-11-30 22:45:00+00:00,first_buy,roi,0.08277000000000001,0.08282,0.08364867860166246,0.08325270681547149,0.08229,1,0.08282,5985.0,0,False,0.08350599999999994,0.08363857142857278,0.08346920000000031,0.07889964,0.00795976926611924,0,go_short,go_short,go_long,go_long,go_long,go_long,2024-12-01 11:15:00+00:00,go_short,False,0.08267000000000001,0.08267000000000001,0,go_long,0.08239184202697544,0.0826269900738339,go_long,go_long,0,go_long,0.0826928571428585,0.08267000000000001,0.08227680000000027,0.0,0,0.08267599999999994,go_short,0.08267000000000001
859,ASTR/USDT:USDT,2024-11-27 23:00:00+00:00,first_buy,roi,0.08134000000000001,0.08134000000000001,0.08119413209273764,0.08088138690858068,0.08134000000000001,0,0.08134000000000001,368.0,0,False,0.08114599999999993,0.08113285714285848,0.08102040000000033,0.04849296,0.004944326952900131,0,go_short,go_short,go_long,go_long,go_long,go_long,2024-11-30 22:30:00+00:00,go_short,False,0.08356000000000001,0.08356000000000001,0,go_long,0.08328732336070921,0.08379934743832836,go_long,go_long,1,go_long,0.0839128571428585,0.08356000000000001,0.08339240000000032,0.0,0,0.08371399999999994,go_short,0.08356000000000001
858,ASTR/USDT:USDT,2024-11-26 07:00:00+00:00,first_buy,roi,0.08125,0.08125,0.08095756476826475,0.08030094514627725,0.08067,1,0.08067,4901.0,0,False,0.08125199999999994,0.08134142857142994,0.08037280000000037,0.0634836,0.006556277118242136,0,go_short,go_short,go_long,go_long,go_long,go_long,2024-11-27 22:45:00+00:00,go_short,False,0.08116000000000001,0.08116000000000001,0,go_long,0.08084469786126713,0.08116761065505357,go_long,go_long,0,go_long,0.08113428571428706,0.08116000000000001,0.08098640000000032,0.0,0,0.08112599999999992,go_short,0.08116000000000001
