,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,open (exit),volume (exit),ema-12 (exit),sma-25 (exit),long_jcrosk (exit),sma-05 (exit),mean-grad-hist (exit),long-large-rl (exit),close (exit),short-small-rl (exit),high (exit),long-bid-rl (exit),short-bid-rl (exit),short-large-rl (exit),short_kdj (exit),low (exit),ema-26 (exit),long-small-rl (exit),sma-compare (exit),sma-07 (exit)
1807,COTI/USDT:USDT,2022-05-09 10:45:00+00:00,second_buy,short-exit-profit,0.17192000000000002,0.17254000000000003,0.1744117942243479,0.1761973514907381,0.16741,1,0.16836,5982876.0,0,False,0.17314799999999483,0.1743085714285735,0.17636920000000214,7.34022468,0.11987432778453624,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2022-05-09 18:45:00+00:00,0.15275000000000002,12105646.0,0.16039348926751987,0.16133360000000213,0,0.15320599999999485,1,do_nothing,0.14784,go_short,0.15326,go_short,go_short,do_nothing,False,0.147,0.15576780522814382,go_short,1,0.1537942857142878
1726,COTI/USDT:USDT,2021-05-19 11:45:00+00:00,second_buy,short-exit-profit,0.28023000000000003,0.28255,0.30748721166084775,0.3180693439572578,0.25792000000000004,1,0.27956000000000003,8927959.0,0,False,0.297665999999998,0.303911428571428,0.318552000000001,10.39129596,0.16989675324201006,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2021-05-19 12:45:00+00:00,0.27718000000000004,7070145.0,0.30468902208016285,0.309640400000001,1,0.27121799999999796,1,do_nothing,0.2316,go_short,0.27729000000000004,go_short,go_short,do_nothing,False,0.23118000000000002,0.2871070832928284,go_short,1,0.277401428571428
1871,COTI/USDT:USDT,2024-02-27 05:00:00+00:00,second_buy,short-exit-profit,0.24196,0.24619000000000002,0.2505129903765921,0.2554811409156786,0.24146,0,0.24577000000000002,19343714.0,0,False,0.2455419999999938,0.2475985714285745,0.2585000000000021,6.19928855,0.10139412843275204,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2024-02-28 02:30:00+00:00,0.22245,13110678.0,0.2255234848189395,0.22383000000000217,0,0.22322399999999365,1,do_nothing,0.22061000000000003,go_short,0.22247000000000003,go_short,go_short,do_nothing,False,0.22025000000000003,0.22346831181348137,go_short,1,0.22337000000000315
1727,COTI/USDT:USDT,2021-05-19 13:00:00+00:00,second_buy,short-exit-profit,0.2316,0.23897000000000002,0.27063214740162406,0.2954542797038545,0.1578,1,0.18002,14247485.0,0,False,0.251309999999998,0.259501428571428,0.304014800000001,10.26400563,0.16760570355952434,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2021-05-19 13:15:00+00:00,0.1819,4128237.0,0.28476211083690234,0.297101200000001,0,0.225235999999998,1,do_nothing,0.15111000000000002,go_short,0.21616000000000002,go_short,go_short,do_nothing,False,0.13425,0.2522441247244511,go_short,1,0.24103142857142804
1872,COTI/USDT:USDT,2024-02-28 02:45:00+00:00,second_buy,short-exit-profit,0.22062,0.22138000000000002,0.2228224176883304,0.22506026372124027,0.21864000000000003,1,0.21927000000000002,15115396.0,0,False,0.22228799999999366,0.22265000000000315,0.22356400000000215,6.18237763,0.10115026151024374,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2024-03-04 17:00:00+00:00,0.20188,17362701.0,0.20635018325286067,0.20661000000000182,0,0.20304599999999345,1,do_nothing,0.19832000000000002,go_short,0.20208,go_short,go_short,do_nothing,False,0.19722,0.20402825761197405,go_short,1,0.20385285714286036
1873,COTI/USDT:USDT,2024-03-04 17:15:00+00:00,second_buy,short-exit-profit,0.19834000000000002,0.19897,0.2026946795178242,0.20553609560450062,0.19396000000000002,1,0.19536,14376267.0,0,False,0.20098799999999345,0.2024500000000032,0.20600400000000182,9.72281137,0.1591238396260294,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2024-03-05 20:00:00+00:00,0.18656,97665535.0,0.1934336607234135,0.19444760000000183,0,0.18733399999999356,1,do_nothing,0.16477,go_short,0.18732000000000001,go_short,go_short,do_nothing,False,0.13761,0.18941694181940788,go_short,1,0.19008571428571752
1806,COTI/USDT:USDT,2022-05-01 23:00:00+00:00,second_buy,short-exit-profit,0.19214,0.19326000000000002,0.19199049100051074,0.19183753191458885,0.19153,0,0.19310000000000002,1263908.0,1,False,0.19273799999999458,0.19250428571428782,0.19226680000000207,6.52272126,0.1066649651217886,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2022-05-09 10:30:00+00:00,0.17406000000000002,3879945.0,0.17682433960999713,0.17685800000000212,0,0.17479799999999485,1,do_nothing,0.17194,go_short,0.17454,go_short,go_short,do_nothing,False,0.17039,0.1755121204469566,go_short,1,0.17558000000000207
2157,GAS/USDT:USDT,2024-08-03 18:15:00+00:00,second_buy,short-exit-profit,3.205,3.215,3.257569525074336,3.299371970422696,3.194,0,3.208,30575.6,0,False,3.222000000000011,3.233714285714271,3.3212000000000703,8.70528501,0.1422164322343521,1,go_short,go_short,go_long,go_long,go_short,go_short,2024-08-05 01:15:00+00:00,2.9050000000000002,1069263.3,3.031369046447491,3.0596800000000686,0,2.934000000000009,1,go_long,2.746,go_short,2.916,go_short,go_short,go_long,False,2.597,2.9812949129643007,go_short,1,2.9659999999999833
1714,COTI/USDT:USDT,2021-04-20 18:30:00+00:00,second_buy,short-exit-profit,0.31833,0.32599,0.31004021922338637,0.3017834726274251,0.31444000000000005,0,0.32343000000000005,4853378.0,0,False,0.31533999999999707,0.3127885714285718,0.3048127999999999,6.83082236,0.11185757457261622,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2021-04-22 21:00:00+00:00,0.29542,4059775.0,0.3087856720770588,0.3127720000000001,0,0.2964979999999968,1,do_nothing,0.28685000000000005,go_short,0.29615,go_short,go_short,do_nothing,False,0.28439000000000003,0.3018968360650872,go_short,1,0.29891999999999985
2159,GAS/USDT:USDT,2024-08-09 09:00:00+00:00,second_buy,short-exit-profit,3.689,3.749,3.6172559648330576,3.568007107297652,3.685,0,3.7279999999999998,439207.8,0,False,3.6542000000000074,3.642571428571413,3.5523200000000683,6.15764217,0.10081594093439196,0,go_short,go_short,go_long,go_long,go_short,go_short,2024-08-11 21:00:00+00:00,3.356,11092.7,3.4222513225800406,3.427320000000066,0,3.35700000000001,0,go_long,3.345,go_short,3.36,go_short,go_short,go_long,False,3.342,3.387198719629487,go_short,1,3.3654285714285566
