,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),mean-grad-hist (exit),sma-25 (exit),open (exit),ema-26 (exit),low (exit),long-large-rl (exit),sma-05 (exit),long_jcrosk (exit),short-small-rl (exit),short_kdj (exit),short-large-rl (exit),volume (exit),long-bid-rl (exit),ema-12 (exit),short-bid-rl (exit),sma-07 (exit),long-small-rl (exit),high (exit),sma-compare (exit),close (exit)
23,UNI/USDT:USDT,2021-01-31 03:30:00+00:00,second_buy,stop_loss,20.0724,20.5829,19.64297525379729,19.245076451836738,20.044,0,20.1573,548718.0,0,False,19.81378,19.686414285714278,19.24849199999997,-18.07345901,-0.29927826292146914,0,go_long,go_long,go_long,go_long,go_short,go_short,0,26.277972000000055,27.2948,26.972809140867263,27.0944,go_long,27.101819999999986,0,go_long,False,go_long,310382.0,go_short,26.086782468269586,go_short,27.059957142857172,go_long,27.63,0,27.63
24,UNI/USDT:USDT,2021-03-02 02:15:00+00:00,second_buy,stop_loss,25.8322,26.2676,25.756483951885656,25.2601802146258,25.349,1,26.2324,309079.0,0,False,25.904079999999944,25.935271428571475,25.05383200000006,-17.50300062,-0.3343304647883618,0,go_long,go_long,go_long,go_long,go_short,go_short,0,33.302812000000074,33.9621,33.50941108370011,33.7229,go_long,33.61055999999992,0,go_long,False,go_long,193822.0,go_short,33.43187412772983,go_short,33.50929999999993,go_long,34.2827,0,34.202
26,UNI/USDT:USDT,2021-05-19 13:00:00+00:00,second_buy,stop_loss,22.541,22.596,25.99935210379855,28.02480724443815,15.745,1,20.06,2121003.0,0,False,24.40080000000006,24.951714285714292,28.668600000000115,-24.34777194,-0.4051490139650922,1,go_long,go_long,go_long,go_long,go_short,go_short,0,26.214200000000105,27.547,26.636139134143612,27.3453,go_long,27.039000000000065,0,go_long,False,go_long,131560.0,go_short,26.114454471844727,go_short,26.788428571428586,go_long,27.635,0,27.492
28,UNI/USDT:USDT,2021-05-23 10:15:00+00:00,second_buy,stop_loss,16.867,17.375,17.9344481734958,18.773860672707094,16.811,0,17.355,413225.0,0,False,17.25340000000008,17.393428571428583,19.070144000000134,-20.55641003,-0.39535394964199694,1,go_long,go_long,go_long,go_long,go_short,go_short,0,21.700920000000124,23.502,22.521716328314703,23.145,go_long,22.981200000000072,0,go_long,False,go_long,232967.0,go_short,21.68253063316271,go_short,22.749000000000024,go_long,23.73,0,23.605
30,UNI/USDT:USDT,2021-06-22 12:30:00+00:00,second_buy,stop_loss,14.485,14.7795,15.107659742369437,15.528283533075806,14.0,1,14.083,577014.0,0,False,14.841800000000038,15.050142857142855,15.65708000000005,-22.05014736,-0.3918516471307268,1,go_long,go_long,go_long,go_long,go_short,go_short,0,19.242640000000048,19.346,19.31517856606378,19.286,go_long,19.374600000000026,0,go_long,False,go_long,20231.0,go_short,19.228665096826376,go_short,19.34799999999999,go_long,19.444,0,19.435
31,UNI/USDT:USDT,2021-07-04 05:45:00+00:00,second_buy,stop_loss,19.436,19.8,19.384381863592427,19.26839360817257,19.419,0,19.765,163733.0,0,False,19.467200000000027,19.42514285714285,19.27716000000005,-23.0034494,-0.38835721304519794,0,go_long,go_long,go_long,go_long,go_short,go_short,0,26.768079999999987,27.088,26.902133385106836,27.072,go_long,27.01959999999996,0,go_long,False,go_long,156579.0,go_short,26.76360342775596,go_short,26.915285714285893,go_long,27.294,0,27.281
39,UNI/USDT:USDT,2022-06-14 02:15:00+00:00,second_buy,stop_loss,3.403,3.445,3.525611572858421,3.5791308454699506,3.368,1,3.42,386819.0,0,False,3.458599999999926,3.5068571428572244,3.6083200000000097,-22.93065036,-0.3949143018076143,1,go_long,go_long,go_long,go_long,go_short,go_short,0,4.527280000000013,4.678,4.5442234468539295,4.647,go_long,4.568999999999928,0,go_long,False,go_long,539471.0,go_short,4.515211380926261,go_short,4.532285714285789,go_long,4.743,0,4.73
80,COMP/USDT:USDT,2021-07-03 01:45:00+00:00,second_buy,stop_loss,371.35,375.25,365.5000956767892,359.9968667976815,369.05,0,373.63,8524.681,0,False,368.6880000000016,367.27571428571383,358.02239999999887,-24.50381677,-0.4001152487164637,0,go_long,do_nothing,go_long,go_long,go_short,go_short,0,497.289999999999,504.63,502.6885141344229,504.11,go_long,506.95800000000173,0,do_nothing,False,go_long,11576.232,go_short,496.3527426704961,go_short,504.70714285714206,go_long,518.5,0,518.39
73,COMP/USDT:USDT,2021-04-15 18:15:00+00:00,second_buy,stop_loss,558.02,568.8,549.7854371571947,543.526918684776,557.81,0,562.98,12888.388,0,False,553.4179999999999,552.2214285714296,544.1803999999998,-23.06657426,-0.3795841565271329,0,go_long,do_nothing,go_long,go_long,go_short,go_short,0,748.899999999999,777.59,759.1407820423925,770.55,go_long,769.2380000000007,0,do_nothing,False,go_long,4048.845,go_short,751.0071123376588,go_short,763.6799999999997,go_long,780.0,0,776.82
86,COMP/USDT:USDT,2022-01-24 11:15:00+00:00,second_buy,stop_loss,112.09,116.22,115.79112386066475,117.96174251874993,111.65,0,115.78,7186.054,0,False,113.62400000000093,114.30428571428577,118.46119999999846,-23.46789139,-0.38354768353076857,1,go_long,do_nothing,go_long,go_long,go_short,go_short,0,146.89759999999845,157.16,152.101554675553,157.12,go_long,156.53200000000078,0,do_nothing,False,go_long,22108.618,go_short,148.53242179512853,go_short,154.18857142857104,go_long,160.01,0,159.89
118,ETC/USDT:USDT,2022-05-29 01:45:00+00:00,first_buy,stop_loss,22.566,22.571,22.6838264357008,22.720596070241832,22.424,1,22.446,224482.76,0,False,22.64299999999897,22.690428571428644,22.74583999999994,-23.8861967,-0.38948319307163737,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,1,14.53908000000002,13.992,14.258006269902276,13.746,go_long,14.18899999999896,0,go_long,False,go_long,317359.11,do_nothing,14.430410978928522,do_nothing,14.223000000000074,go_long,14.042,1,13.908
82,COMP/USDT:USDT,2021-07-20 04:15:00+00:00,second_buy,stop_loss,313.78,315.97,323.0945076914612,330.01242792586464,312.17,1,312.21,5509.102,1,False,317.4220000000029,319.8171428571424,333.182799999999,-24.11945982,-0.3944842442820318,1,go_long,do_nothing,go_long,go_long,go_short,go_short,0,413.7231999999989,423.01,419.6676635605614,422.55,go_long,422.38400000000274,0,do_nothing,False,go_long,9246.106,go_short,412.56130493704063,go_short,421.34000000000003,go_long,432.37,0,432.01
120,ETC/USDT:USDT,2022-10-10 22:15:00+00:00,first_buy,stop_loss,25.099,25.1,25.099926846875572,25.35714272371885,22.837,1,24.09,2346167.79,0,False,24.962599999998815,25.060857142857316,25.354199999999995,-25.12373824,-0.41013382199749593,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,1,16.76923999999986,16.41,16.58514434868183,16.377,go_long,16.470399999999078,0,go_long,False,go_long,108879.37,do_nothing,16.71149455719567,do_nothing,16.482000000000205,go_long,16.493,1,16.485
121,ETC/USDT:USDT,2024-03-05 04:30:00+00:00,first_buy,stop_loss,39.291,39.399,36.830317577859674,36.21712626352354,38.1,0,38.46,1196943.17,0,False,37.40699999999878,36.87157142857185,36.189959999999836,-26.12890479,-0.4267998595147265,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,1,28.27091999999983,27.414,27.569326812400526,24.543,go_long,27.36919999999872,0,go_long,False,go_long,1570636.57,do_nothing,28.103099328891265,do_nothing,27.491428571429015,go_long,27.422,1,25.924
123,BAL/USDT:USDT,2020-09-01 13:45:00+00:00,first_buy,stop_loss,32.942,33.324,33.28805953189665,34.61583903133903,32.913,0,33.247,3029.6,0,False,32.8832,32.702999999999996,34.57364,-21.47827982,-0.35896341907242896,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,1,21.957920000000016,20.684,21.248237674782555,20.414,go_long,20.800599999999985,0,go_short,False,go_long,8222.3,do_nothing,21.731855585758023,do_nothing,20.96942857142857,go_short,20.861,1,20.452
124,BAL/USDT:USDT,2020-09-05 11:30:00+00:00,first_buy,stop_loss,20.479,20.797,21.020508801739084,21.586384801627798,19.676,1,19.768,14270.4,0,False,20.528199999999988,20.701285714285714,21.84692000000002,-15.79164253,-0.26557356805778604,1,go_short,go_short,go_long,go_long,do_nothing,do_nothing,1,12.542959999999985,12.265,12.401078626711826,12.167,go_long,12.312200000000027,0,go_short,False,go_long,7513.3,do_nothing,12.49094565686351,do_nothing,12.340428571428602,go_short,12.389,1,12.176
125,BAL/USDT:USDT,2021-03-14 19:00:00+00:00,first_buy,stop_loss,53.779,54.422,52.16159762670613,50.80177979698769,53.263,1,53.482,30065.8,1,False,53.12060000000001,52.81214285714293,50.32923999999994,-30.54285395,-0.5187867953030804,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,1,42.083480000000094,38.519,39.77980079156247,34.692,go_long,38.36199999999982,1,go_short,False,go_long,42302.2,do_nothing,41.67716602576122,do_nothing,38.718285714285855,go_short,38.529,1,34.705
126,BAL/USDT:USDT,2021-05-19 15:30:00+00:00,first_buy,stop_loss,37.5,38.185,34.66689647964247,36.53998368539797,36.54,0,36.83,17432.0,0,False,35.36379999999982,34.36285714285729,36.82028000000009,-22.35492117,-0.3790838637530313,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,1,24.64584000000007,23.711,23.900637053194036,22.581,go_long,23.59919999999986,0,go_short,False,go_long,34109.8,do_nothing,24.71055845643898,do_nothing,23.884571428571558,go_short,24.09,1,22.653
