,pair,open_date,enter_reason,exit_reason,sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),sma-07 (exit),sma-05 (exit),sma-25 (exit),sma-compare (exit)
1946,UNI/USDT:USDT,2022-07-20 22:30:00+00:00,second_buy,short-exit-profit,6.975799999999917,6.957000000000074,7.055360000000018,0.649192,0.01164925143126778,0,6.9572857142857885,6.953999999999917,7.030040000000017,1
1947,UNI/USDT:USDT,2022-07-20 23:45:00+00:00,second_buy,short-exit-profit,6.876399999999917,6.902142857142931,6.990800000000018,0.24840651,0.004509197105127759,1,6.864571428571502,6.8771999999999185,6.946240000000017,0
1948,UNI/USDT:USDT,2022-07-21 01:15:00+00:00,second_buy,short-exit-profit,6.899599999999919,6.892285714285786,6.929280000000017,0.449184,0.008074156616032785,0,6.9057142857143585,6.9213999999999185,6.907880000000018,0
1949,UNI/USDT:USDT,2022-07-21 02:15:00+00:00,second_buy,short-exit-profit,6.921599999999918,6.907857142857216,6.901800000000019,0.538232,0.009758925713135249,0,6.90414285714293,6.893799999999919,6.902080000000019,0
1950,UNI/USDT:USDT,2022-07-21 09:15:00+00:00,second_buy,short-exit-profit,6.843199999999923,6.844285714285789,6.805560000000017,0.24208,0.004394992787331731,0,6.875857142857217,6.872599999999923,6.830440000000019,0
1942,UNI/USDT:USDT,2022-07-17 10:45:00+00:00,second_buy,short-exit-profit,7.103999999999909,7.118142857142931,7.198920000000021,0.246536,0.0043362170154410806,1,7.089428571428646,7.088199999999908,7.182240000000021,1
1951,UNI/USDT:USDT,2022-07-21 11:00:00+00:00,second_buy,short-exit-profit,6.8479999999999235,6.854285714285789,6.835400000000019,0.265149,0.004342584374980194,0,6.8367142857143595,6.822399999999924,6.832480000000019,0
1953,UNI/USDT:USDT,2022-07-23 00:30:00+00:00,second_buy,short-exit-profit,6.917599999999925,6.940142857142931,6.969120000000012,0.39111306,0.007055661846968075,1,6.986000000000074,6.984199999999921,7.01284000000001,1
1954,UNI/USDT:USDT,2022-07-23 09:30:00+00:00,second_buy,short-exit-profit,6.939799999999922,6.958714285714359,7.00496000000001,0.45812,0.008303972522428267,1,6.901285714285789,6.903799999999923,6.990000000000009,0
1955,UNI/USDT:USDT,2022-07-24 06:30:00+00:00,second_buy,short-exit-profit,7.098199999999923,7.073571428571504,6.99220000000001,0.374408,0.006570525644859446,0,7.0930000000000755,7.094799999999923,6.99616000000001,0
1956,UNI/USDT:USDT,2022-07-27 22:00:00+00:00,second_buy,short-exit-profit,7.8231999999999315,7.821285714285791,7.454200000000009,0.61429713,0.011237633034997752,0,7.994714285714366,7.9609999999999275,8.06652000000001,1
1957,UNI/USDT:USDT,2022-08-18 16:00:00+00:00,second_buy,short-exit-profit,7.8911999999999285,7.927714285714366,8.055000000000009,0.32207819,0.005814572304914433,1,7.888142857142937,7.902999999999928,8.038800000000009,0
1958,UNI/USDT:USDT,2022-08-19 06:30:00+00:00,second_buy,short-exit-profit,7.248599999999925,7.245142857142936,7.24552000000001,1.782536,0.030934818313459088,0,7.206714285714364,7.193399999999924,7.225760000000009,1
1959,UNI/USDT:USDT,2022-08-19 08:45:00+00:00,second_buy,short-exit-profit,7.0471999999999255,7.020714285714367,7.1507200000000095,0.270416,0.0047502226359449435,0,7.036428571428652,7.060199999999926,7.146400000000009,0
1960,UNI/USDT:USDT,2022-08-19 10:30:00+00:00,second_buy,short-exit-profit,7.113199999999926,7.101428571428651,7.117840000000008,0.246344,0.004325543618274463,0,7.109857142857223,7.105799999999927,7.098880000000008,0
1952,UNI/USDT:USDT,2022-07-21 15:15:00+00:00,second_buy,short-exit-profit,6.959599999999924,6.964285714285786,6.883960000000017,0.51098936,0.00915355871261383,0,7.04828571428579,7.046399999999926,7.099440000000015,1
1941,UNI/USDT:USDT,2022-07-16 15:00:00+00:00,second_buy,short-exit-profit,7.073599999999911,7.076000000000076,7.004840000000019,0.31971555,0.005620180977549621,0,7.1314285714286445,7.122399999999908,7.208480000000021,1
1940,UNI/USDT:USDT,2022-07-16 13:45:00+00:00,second_buy,short-exit-profit,7.047999999999911,7.017571428571505,6.968800000000019,0.303104,0.005355256414279289,0,7.0687142857143614,7.06719999999991,6.99740000000002,0
1939,UNI/USDT:USDT,2022-07-15 22:00:00+00:00,second_buy,short-exit-profit,6.925399999999914,6.94928571428579,6.907640000000019,0.248904,0.004470879147881732,0,6.92928571428579,6.925199999999914,6.913720000000019,0
1918,UNI/USDT:USDT,2022-06-11 23:45:00+00:00,second_buy,short-exit-profit,4.411199999999923,4.423285714285794,4.422800000000011,0.36252921,0.005932905570122325,0,4.379285714285795,4.368999999999923,4.4068400000000105,1
1919,UNI/USDT:USDT,2022-06-12 02:15:00+00:00,second_buy,short-exit-profit,4.335999999999923,4.355714285714368,4.39828000000001,1.742454,0.02873283800405571,1,4.326857142857224,4.306399999999923,4.38960000000001,1
1920,UNI/USDT:USDT,2022-06-12 03:15:00+00:00,second_buy,short-exit-profit,4.214799999999923,4.245428571428653,4.36340000000001,0.331352,0.005665158223742633,1,4.219285714285797,4.1779999999999236,4.35296000000001,1
1921,UNI/USDT:USDT,2022-06-12 03:45:00+00:00,second_buy,short-exit-profit,4.179799999999924,4.205714285714367,4.34464000000001,0.288442,0.004895234660247715,1,4.184000000000082,4.181399999999924,4.33460000000001,1
1922,UNI/USDT:USDT,2022-06-12 06:30:00+00:00,second_buy,short-exit-profit,4.143799999999922,4.137857142857225,4.225880000000011,0.52412273,0.008971705211829703,0,4.180428571428654,4.1817999999999245,4.188240000000011,0
1923,UNI/USDT:USDT,2022-06-12 12:00:00+00:00,second_buy,short-exit-profit,4.167199999999925,4.181000000000083,4.192000000000011,0.247016,0.0042141879412220615,1,4.2072857142857965,4.201799999999925,4.20708000000001,0
1924,UNI/USDT:USDT,2022-06-12 18:15:00+00:00,second_buy,short-exit-profit,4.391399999999921,4.389857142857225,4.321920000000011,0.368662,0.00605823014464706,0,4.372714285714368,4.352999999999922,4.329520000000011,0
1925,UNI/USDT:USDT,2022-06-12 20:15:00+00:00,second_buy,short-exit-profit,4.3087999999999225,4.313142857142941,4.355800000000012,0.355908,0.005909764850777391,1,4.298142857142941,4.295199999999923,4.362640000000011,1
1926,UNI/USDT:USDT,2022-06-12 21:15:00+00:00,second_buy,short-exit-profit,4.294199999999923,4.298714285714369,4.359720000000012,0.328188,0.005463437826650865,1,4.286000000000082,4.281199999999923,4.341640000000012,1
1927,UNI/USDT:USDT,2022-06-12 22:15:00+00:00,second_buy,short-exit-profit,4.281599999999924,4.281571428571511,4.3355600000000125,0.69314,0.011595591848282537,0,4.267857142857225,4.257399999999923,4.320000000000012,1
1928,UNI/USDT:USDT,2022-06-12 23:15:00+00:00,second_buy,short-exit-profit,4.228999999999923,4.241571428571511,4.305280000000011,1.14324,0.019393058538966015,1,4.210000000000082,4.189199999999922,4.284520000000011,1
1929,UNI/USDT:USDT,2022-06-13 00:00:00+00:00,second_buy,short-exit-profit,4.156799999999922,4.178714285714368,4.270680000000011,0.41308561,0.0068015315257687154,1,4.111285714285796,4.072999999999923,4.236160000000011,1
1930,UNI/USDT:USDT,2022-06-13 01:45:00+00:00,second_buy,short-exit-profit,3.932999999999923,3.976000000000082,4.17144000000001,0.467985,0.007966895466895467,1,3.923714285714368,3.9011999999999234,4.138680000000011,1
1932,UNI/USDT:USDT,2022-06-26 21:00:00+00:00,second_buy,short-exit-profit,5.8585999999999245,5.8320000000000665,5.682960000000009,0.35053,0.005850940151423727,0,5.854428571428639,5.892199999999924,5.69724000000001,0
1933,UNI/USDT:USDT,2022-07-03 22:15:00+00:00,second_buy,short-exit-profit,4.916399999999925,4.921857142857213,4.852560000000022,0.361992,0.0061163046781843615,0,4.914714285714356,4.913999999999925,4.863200000000021,0
1934,UNI/USDT:USDT,2022-07-03 23:45:00+00:00,second_buy,short-exit-profit,4.903399999999925,4.911000000000072,4.879000000000022,0.72887415,0.012380434292977563,0,4.893000000000073,4.883599999999925,4.912520000000021,1
1936,UNI/USDT:USDT,2022-07-14 18:00:00+00:00,second_buy,short-exit-profit,6.644399999999917,6.556857142857216,6.354480000000023,0.233992,0.004245074420513017,0,6.921142857142931,6.925199999999914,6.752640000000023,0
1937,UNI/USDT:USDT,2022-07-14 23:15:00+00:00,second_buy,short-exit-profit,6.875599999999913,6.862285714285788,6.876960000000023,0.32414088,0.005864396785449417,0,6.910428571428647,6.900599999999915,6.952560000000021,1
1938,UNI/USDT:USDT,2022-07-15 19:45:00+00:00,second_buy,short-exit-profit,6.993599999999914,6.947142857142934,6.882960000000018,0.599976,0.01065456600511951,0,7.019428571428647,7.0351999999999135,6.898000000000019,0
1916,UNI/USDT:USDT,2022-06-11 03:00:00+00:00,second_buy,short-exit-profit,4.860399999999923,4.85785714285722,4.84984000000001,0.85413204,0.01462416233967958,0,4.884428571428651,4.875199999999923,4.889960000000012,1
1872,UNI/USDT:USDT,2022-05-02 12:30:00+00:00,second_buy,short-exit-profit,6.740999999999889,6.752142857142949,6.8951600000000015,0.292194,0.00478622952849757,1,6.7472857142858045,6.752199999999888,6.870520000000003,0
2052,UNI/USDT:USDT,2022-12-25 00:15:00+00:00,second_buy,short-exit-profit,5.198799999999845,5.1942857142858045,5.209200000000005,0.314919,0.005505793978416457,0,5.184428571428663,5.179999999999845,5.200760000000006,1
2054,UNI/USDT:USDT,2022-12-27 22:15:00+00:00,second_buy,short-exit-profit,5.134199999999847,5.133142857142957,5.139160000000003,0.64006928,0.01132316538226336,0,5.134428571428672,5.128599999999847,5.147720000000003,1
2170,UNI/USDT:USDT,2023-10-26 18:00:00+00:00,second_buy,short-exit-profit,4.060199999999823,4.047428571428787,4.141639999999978,0.49964746,0.00819041361840019,0,4.080857142857357,4.0741999999998235,4.097519999999974,1
2171,UNI/USDT:USDT,2023-10-27 02:30:00+00:00,second_buy,short-exit-profit,4.063399999999824,4.0730000000002144,4.096119999999974,0.65276024,0.010676693687151203,1,4.092571428571643,4.088799999999823,4.089119999999974,0
2173,UNI/USDT:USDT,2023-11-11 07:45:00+00:00,second_buy,short-exit-profit,5.373399999999817,5.3551428571430835,5.290399999999989,0.6911437,0.011784549296259996,0,5.3627142857145085,5.348799999999812,5.439599999999992,1
2174,UNI/USDT:USDT,2023-11-12 01:00:00+00:00,second_buy,short-exit-profit,5.330199999999812,5.344428571428793,5.430879999999991,0.45103741,0.007783888745390737,1,5.398142857143073,5.363199999999814,5.455759999999991,1
2175,UNI/USDT:USDT,2023-11-13 23:30:00+00:00,second_buy,short-exit-profit,5.256199999999813,5.250714285714501,5.3808799999999914,0.412148,0.007089887619188186,0,5.252571428571644,5.253199999999814,5.372719999999991,0
2176,UNI/USDT:USDT,2023-11-14 05:45:00+00:00,second_buy,short-exit-profit,5.264999999999813,5.2510000000002135,5.228359999999993,0.258082,0.004442959796724458,0,5.276000000000215,5.270799999999814,5.248799999999994,0
2177,UNI/USDT:USDT,2023-11-14 07:45:00+00:00,second_buy,short-exit-profit,5.270399999999813,5.274857142857358,5.253719999999994,0.34224745,0.005880768333562896,0,5.286285714285929,5.2831999999998125,5.267839999999994,0
