,pair,open_date,enter_reason,exit_reason,sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-07 (exit),sma-05 (exit),sma-25 (exit)
1519,BNB/USDT:USDT,2020-09-12 20:45:00+00:00,first_buy,long-ml-take-profit,27.624600000000004,27.5794285714285,27.37464000000013,8.08323965,0.13176778152472998,30.429428571428502,30.690800000000007,29.07148000000011
1460,LTC/USDT:USDT,2021-03-21 05:00:00+00:00,first_buy,long-ml-take-profit,197.79599999999954,198.14857142857173,199.68480000000048,7.73594733,0.12598363418065214,221.52571428571474,222.72199999999975,220.49600000000044
1456,LTC/USDT:USDT,2021-02-13 16:30:00+00:00,first_buy,long-ml-take-profit,214.25799999999964,212.35428571428594,203.66200000000026,7.76379177,0.12675647007844834,238.62714285714304,239.57599999999942,238.42040000000034
1455,LTC/USDT:USDT,2021-02-10 02:15:00+00:00,first_buy,long-ml-take-profit,185.23999999999947,183.93000000000038,179.09960000000035,8.20298995,0.13365891504161398,210.99714285714307,213.45599999999962,203.21400000000028
1454,LTC/USDT:USDT,2021-02-06 03:15:00+00:00,first_buy,long-ml-take-profit,158.4919999999993,157.17714285714348,155.3968000000004,9.17622409,0.14961728494002996,183.07142857142895,183.52999999999946,178.59200000000033
1453,LTC/USDT:USDT,2021-01-25 10:00:00+00:00,first_buy,long-ml-take-profit,142.33599999999961,142.58142857142892,144.34360000000055,7.8706272,0.12830295671158037,156.58142857142917,156.4739999999993,155.0020000000004
1451,LTC/USDT:USDT,2021-01-11 21:45:00+00:00,first_buy,long-ml-take-profit,129.3939999999995,127.4814285714286,124.92600000000046,8.04170478,0.1311682947813994,146.43999999999997,147.09599999999952,143.51600000000045
1450,LTC/USDT:USDT,2021-01-11 16:45:00+00:00,first_buy,long-ml-take-profit,121.09999999999945,123.77714285714292,133.68120000000047,8.05400925,0.1313026418406816,126.50714285714288,127.78999999999951,124.87640000000044
1458,LTC/USDT:USDT,2021-03-03 03:15:00+00:00,first_buy,long-ml-take-profit,182.72999999999956,182.82142857142847,178.39760000000047,7.58808227,0.1238255607429004,204.48428571428573,204.52999999999963,200.7584000000005
1521,BNB/USDT:USDT,2020-09-24 04:30:00+00:00,first_buy,long-ml-take-profit,23.226600000000015,23.217714285714226,23.069280000000113,8.15527968,0.13329470866822882,26.06071428571423,26.1526,25.739400000000117
1522,BNB/USDT:USDT,2020-09-26 22:00:00+00:00,first_buy,long-ml-take-profit,26.1774,26.117571428571374,25.774760000000118,7.73889028,0.12602663084459287,29.01299999999998,29.01579999999988,28.883600000000104
1523,BNB/USDT:USDT,2020-09-30 22:00:00+00:00,first_buy,long-ml-take-profit,29.03119999999988,29.019571428571407,28.894960000000104,7.88454325,0.12848990941080524,31.49028571428574,31.566799999999933,31.301280000000116
1566,BNB/USDT:USDT,2021-05-24 21:00:00+00:00,first_buy,long-ml-take-profit,342.3360000000008,338.32714285714474,324.30799999999937,7.88306386,0.12883111947599582,377.71285714285915,379.36400000000083,364.25519999999955
1569,BNB/USDT:USDT,2021-06-23 02:00:00+00:00,first_buy,long-ml-take-profit,278.1899999999997,273.7742857142872,267.5899999999998,8.33299052,0.14014942892742835,313.7200000000004,316.1999999999995,306.86879999999985
