,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,mean-grad-hist (exit),long-small-rl (exit),short_kdj (exit),long-large-rl (exit),high (exit),short-small-rl (exit),open (exit),sma-compare (exit),volume (exit),long-bid-rl (exit),close (exit),long_jcrosk (exit),sma-07 (exit),sma-05 (exit),short-large-rl (exit),low (exit),ema-26 (exit),sma-25 (exit),short-bid-rl (exit),ema-12 (exit)
1062,CAKE/USDT:USDT,2023-06-12 05:30:00+00:00,second_buy,roi,1.345,1.345,1.3528751248188118,1.3671151498872138,1.345,0,1.345,1858.0,0,False,1.3482000000000718,1.3470000000002362,1.3711199999997463,0.04190625,0.004164626279294931,0,go_short,go_short,go_short,go_short,go_short,go_short,2023-06-12 18:30:00+00:00,0,go_short,False,go_short,1.335,go_short,1.335,1,0.0,go_short,1.335,0,1.337142857143093,1.3348000000000717,go_short,1.335,1.3397644962203628,1.3441599999997464,go_short,1.343458236027888
1063,CAKE/USDT:USDT,2023-06-12 18:45:00+00:00,second_buy,roi,1.335,1.335,1.3390314968018453,1.342831700025822,1.335,0,1.335,651.0,1,False,1.3356000000000718,1.3357142857145214,1.3431999999997464,0.06634778,0.006555671239605381,1,go_short,go_short,go_short,go_short,go_short,go_short,2023-08-18 02:30:00+00:00,1,go_short,False,go_short,1.337,go_short,1.337,1,0.0,go_short,1.337,0,1.3397142857145201,1.337200000000067,go_short,1.337,1.3415233439748884,1.346799999999746,go_short,1.349050339577602
1096,CAKE/USDT:USDT,2023-10-10 01:00:00+00:00,second_buy,roi,1.143,1.148,1.1462841222562463,1.1485685528745329,1.143,0,1.148,143.0,0,False,1.14400000000007,1.1437142857145304,1.1490399999997458,0.00205501,0.00020133373791910377,0,go_short,go_short,go_short,go_short,go_short,go_short,2023-10-10 16:15:00+00:00,0,go_short,False,go_short,1.147,go_short,1.147,1,0.0,go_short,1.147,0,1.1484285714288163,1.1466000000000707,go_short,1.147,1.1498951240515092,1.1552799999997458,go_short,1.1526685532389909
1097,CAKE/USDT:USDT,2023-10-10 16:30:00+00:00,second_buy,roi,1.145,1.153,1.1503727972743538,1.1526931048509175,1.145,0,1.153,900.0,0,False,1.1474000000000708,1.1482857142859593,1.1547199999997457,0.01613748,0.00157416740244147,1,go_short,go_short,go_short,go_short,go_short,go_short,2023-10-11 00:00:00+00:00,1,go_short,False,go_short,1.155,go_short,1.155,0,0.0,go_short,1.155,0,1.155000000000244,1.1550000000000715,go_short,1.155,1.1540769819333325,1.153719999999746,go_short,1.153536254011527
1098,CAKE/USDT:USDT,2023-10-11 00:15:00+00:00,second_buy,roi,1.149,1.149,1.153295907789743,1.1532002351958583,1.149,1,1.149,3042.0,1,False,1.1538000000000714,1.1541428571431012,1.153599999999746,0.0597279,0.005846577648144228,0,go_short,go_short,go_short,go_short,go_short,go_short,2023-10-11 06:15:00+00:00,1,go_short,False,go_short,1.138,go_short,1.138,1,0.0,go_short,1.138,0,1.141285714285958,1.139800000000071,go_short,1.138,1.1405882887662298,1.1430399999997454,go_short,1.1432082347704737
1099,CAKE/USDT:USDT,2023-10-11 06:30:00+00:00,second_buy,roi,1.1400000000000001,1.1400000000000001,1.1397285520329636,1.1426002173800682,1.135,1,1.135,4231.0,0,False,1.137800000000071,1.1398571428573867,1.1424799999997455,0.1157301,0.011340768080856187,1,go_short,go_short,go_short,go_short,go_short,go_short,2023-10-11 14:45:00+00:00,0,go_short,False,go_short,1.12,go_short,1.12,1,0.0,go_short,1.12,0,1.115857142857387,1.1158000000000714,go_short,1.12,1.121982084531911,1.1295999999997455,go_short,1.1279385573625682
1137,CAKE/USDT:USDT,2024-06-13 22:00:00+00:00,second_buy,roi,2.48,2.483,2.4789081992160114,2.483956013849356,2.478,0,2.483,2523.0,0,False,2.472000000000093,2.474285714285949,2.4807599999997665,0.01596,0.0015356494968929363,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-14 22:00:00+00:00,0,go_short,False,go_short,2.47,go_short,2.47,0,0.0,go_short,2.47,0,2.4398571428573765,2.4460000000000925,go_short,2.47,2.437502908198604,2.423359999999767,go_short,2.439960756967941
1138,CAKE/USDT:USDT,2024-06-14 22:15:00+00:00,second_buy,roi,2.455,2.469,2.442348614629588,2.4421118120073526,2.455,0,2.469,9364.0,0,False,2.4558000000000924,2.4457142857145193,2.423279999999767,0.10958514,0.01057829802260746,0,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-17 12:15:00+00:00,0,go_short,False,go_short,2.442,go_short,2.442,0,0.0,go_short,2.442,1,2.440571428571666,2.4436000000000964,go_short,2.442,2.4451344433879374,2.4593199999997677,go_short,2.457727994334724
1139,CAKE/USDT:USDT,2024-06-17 12:30:00+00:00,second_buy,roi,2.438,2.44,2.443729144405178,2.4561185132728927,2.436,0,2.436,6275.0,0,False,2.442000000000096,2.441714285714523,2.457719999999768,0.66982992,0.06401080883839505,0,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-18 05:30:00+00:00,0,go_short,False,go_short,2.276,go_short,2.276,0,0.0,go_short,2.276,0,2.265428571428809,2.2700000000000964,go_short,2.276,2.2720068221197063,2.307599999999768,go_short,2.3077091369443936
1140,CAKE/USDT:USDT,2024-06-18 06:00:00+00:00,second_buy,roi,2.276,2.276,2.2731409791507957,2.3031854740606943,2.276,0,2.276,534.0,0,False,2.2744000000000963,2.2717142857145234,2.2941599999997675,0.05122698,0.004906446939897643,0,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-19 02:00:00+00:00,0,go_short,False,go_short,2.241,go_short,2.241,0,0.0,go_short,2.241,1,2.230285714285952,2.2394000000000966,go_short,2.241,2.227105163765058,2.213159999999768,go_short,2.2146620708077895
1141,CAKE/USDT:USDT,2024-06-19 02:15:00+00:00,second_buy,roi,2.246,2.257,2.2317043693396643,2.2177982137109162,2.246,0,2.257,8180.0,0,False,2.2472000000000962,2.2377142857145236,2.216119999999768,0.0053061,0.0005104574070091312,0,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-20 23:00:00+00:00,1,go_short,False,go_short,2.2640000000000002,go_short,2.2640000000000002,1,0.0,go_short,2.2640000000000002,0,2.266857142857382,2.2656000000000978,go_short,2.2640000000000002,2.271450476080462,2.2771599999997703,go_short,2.278937454528763
1142,CAKE/USDT:USDT,2024-06-20 23:15:00+00:00,second_buy,roi,2.263,2.267,2.2684580951450064,2.2769420875266326,2.252,1,2.252,59245.0,1,False,2.2620000000000977,2.264285714285953,2.2757999999997702,0.02738886,0.002645388397718624,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-21 08:45:00+00:00,1,go_short,False,go_short,2.253,go_short,2.253,1,0.0,go_short,2.253,0,2.257000000000238,2.251800000000099,go_short,2.253,2.258657695535089,2.264519999999769,go_short,2.2630935214476495
1143,CAKE/USDT:USDT,2024-06-21 09:00:00+00:00,second_buy,roi,2.243,2.243,2.2539411269912293,2.2604940013404162,2.225,1,2.228,2498.0,0,False,2.243400000000099,2.2510000000002384,2.2630399999997692,0.00365425,0.0003497879902374284,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-21 18:15:00+00:00,0,go_short,False,go_short,2.211,go_short,2.211,1,0.0,go_short,2.211,0,2.2188571428573804,2.2142000000000994,go_short,2.211,2.2244641926834903,2.2366399999997686,go_short,2.234750210569586
