,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,short-large-rl (exit),ema-12 (exit),ema-26 (exit),high (exit),sma-05 (exit),sma-compare (exit),sma-07 (exit),long-large-rl (exit),long-small-rl (exit),low (exit),long_jcrosk (exit),sma-25 (exit),mean-grad-hist (exit),short-bid-rl (exit),close (exit),short_kdj (exit),long-bid-rl (exit),volume (exit),short-small-rl (exit),open (exit)
193,RUNE/USDT:USDT,2021-04-09 04:30:00+00:00,first_buy,long-exit-profit,11.2605,11.3727,10.911705530084955,10.675951215857124,11.1241,0,11.3719,226352.0,0,False,11.080480000000014,10.986228571428635,10.622212000000024,22.70855978,0.3989812415883698,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2021-04-14 17:30:00+00:00,go_long,15.05924575488385,15.305259405832526,16.2595,15.554519999999997,0,15.42271428571435,go_long,do_nothing,15.6691,0,15.041288000000014,0,go_long,16.121,False,go_long,694808.0,go_long,15.7349
196,RUNE/USDT:USDT,2021-05-19 13:15:00+00:00,first_buy,long-exit-profit,11.047,12.078,13.562532780923508,15.36479809137299,6.315,1,7.004,458458.0,0,False,12.167800000000037,13.07700000000007,15.927120000000041,48.599176,0.8664803215060212,1,do_nothing,go_long,go_long,go_long,go_long,go_long,2021-05-19 13:45:00+00:00,go_long,14.66444555158864,12.712263115335766,13.2,10.212000000000037,1,11.65085714285721,go_long,do_nothing,7.49,0,15.40224000000004,0,go_long,12.883,False,go_long,116521.0,go_long,7.834
198,RUNE/USDT:USDT,2021-05-21 21:15:00+00:00,first_buy,long-exit-profit,9.036,9.185,9.692508389192234,10.385379164408956,8.159,1,8.174,570328.0,1,False,9.192600000000015,9.385285714285791,10.473000000000024,22.81902119,0.3979232119298102,1,do_nothing,go_long,go_long,go_long,go_long,go_long,2021-05-25 06:45:00+00:00,go_long,10.595774787656268,10.779666334783004,11.376,10.899000000000026,0,10.800571428571493,go_long,do_nothing,11.019,0,10.655040000000026,0,go_long,11.353,False,go_long,158636.0,go_long,11.032
200,RUNE/USDT:USDT,2021-06-12 01:30:00+00:00,first_buy,long-exit-profit,7.117,7.117,7.137365700348281,7.287168987160453,6.801,1,6.83,305658.0,1,False,7.0756000000000485,7.116857142857212,7.251480000000006,21.72913617,0.3972809066848232,1,do_nothing,go_long,go_long,go_long,go_long,go_long,2021-06-15 05:45:00+00:00,go_long,9.206191575819604,9.352134803085375,9.576,9.454800000000045,0,9.404000000000059,go_long,do_nothing,9.47,0,9.166440000000009,0,go_long,9.557,False,go_long,134585.0,go_long,9.517
203,RUNE/USDT:USDT,2021-07-20 01:15:00+00:00,first_buy,long-exit-profit,3.633,3.676,3.681622542722529,3.6909017537097015,3.528,1,3.544,565932.0,0,False,3.6836000000000353,3.69571428571433,3.6842000000000015,23.71634209,0.39347409972032155,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2021-07-29 01:45:00+00:00,go_long,4.592696739725156,4.706047392189494,5.053,4.737400000000032,0,4.724142857142902,go_long,do_nothing,4.788,0,4.584600000000005,0,go_long,4.945,False,go_long,4152166.0,go_long,4.811
204,RUNE/USDT:USDT,2021-07-29 02:00:00+00:00,first_buy,long-exit-profit,4.944,5.045,4.743424716468033,4.619089573819589,4.92,0,4.949,1582591.0,0,False,4.802400000000032,4.757142857142902,4.607320000000005,23.59964452,0.3969837080142192,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2021-08-02 13:45:00+00:00,go_long,6.34072097634989,6.477129075212335,6.98,6.603000000000032,0,6.503000000000036,go_long,do_nothing,6.699,0,6.279360000000012,0,go_long,6.936,False,go_long,3234922.0,go_long,6.699
167,QTUM/USDT:USDT,2021-08-07 05:00:00+00:00,first_buy,long-exit-profit,9.975999999999999,10.427,9.508832185350602,9.179143923205164,9.921,0,10.399000000000001,1550776.3,0,False,9.782399999999772,9.624857142857199,9.055319999999968,25.0731417,0.4152535412200532,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2021-08-14 04:45:00+00:00,go_long,14.033544694975507,14.380067318201863,14.82,14.48079999999976,0,14.440714285714332,go_long,do_nothing,14.459,0,14.179439999999984,0,go_long,14.8,False,go_long,599821.2,go_long,14.486
166,QTUM/USDT:USDT,2021-06-29 10:15:00+00:00,first_buy,long-exit-profit,7.075,7.081,6.923164601287105,6.794397737371255,6.992,1,6.999,85160.5,0,False,7.012199999999791,7.004000000000056,6.772439999999984,25.35219859,0.4161141624159901,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2021-08-07 04:45:00+00:00,go_long,9.081555437061576,9.346983491777983,10.0,9.548999999999772,0,9.459000000000056,go_long,do_nothing,9.594,0,8.984399999999967,0,go_long,9.975,False,go_long,1048774.4,go_long,9.686
165,QTUM/USDT:USDT,2021-06-22 10:30:00+00:00,first_buy,long-exit-profit,5.044,5.142,5.224150452462091,5.3570417607662195,4.921,0,5.074,479369.5,0,False,5.131799999999781,5.1571428571429205,5.399039999999993,24.25499723,0.3977995544972495,1,do_nothing,go_long,go_long,go_long,go_long,go_long,2021-06-29 10:00:00+00:00,go_long,6.778029556360955,6.90937634697567,7.097,7.020399999999791,0,6.981714285714341,go_long,do_nothing,7.005,0,6.757879999999983,1,go_long,7.077,False,go_long,106056.4,go_long,7.017
162,QTUM/USDT:USDT,2021-05-24 11:45:00+00:00,first_buy,long-exit-profit,9.638,9.638,9.195728670252041,8.918739207646032,9.464,0,9.563,221179.1,0,False,9.330199999999765,9.273142857142924,8.906119999999998,24.71323278,0.40330214708187784,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2021-05-27 09:15:00+00:00,go_long,12.886970562010658,13.04763694010302,13.53,13.151199999999756,0,13.06814285714293,go_long,do_nothing,13.29,0,12.812879999999996,0,go_long,13.413,False,go_long,185969.4,go_long,13.291
125,EOS/USDT:USDT,2021-03-02 02:15:00+00:00,first_buy,long-exit-profit,3.672,3.71,3.6861731688857953,3.6718577803771235,3.64,0,3.706,848976.6,0,False,3.680399999999996,3.683000000000029,3.6661599999999726,24.90957742,0.406951752723229,0,go_long,go_short,go_long,go_long,go_long,go_long,2021-04-01 18:30:00+00:00,go_long,5.056481998462222,5.179120728313013,5.453,5.256999999999999,0,5.256571428571467,go_long,go_long,5.151,0,4.997039999999973,0,go_long,5.418,False,go_long,5526553.4,go_short,5.251
126,EOS/USDT:USDT,2021-04-01 18:45:00+00:00,first_buy,long-exit-profit,5.417,5.568,5.230179077803318,5.090149998576131,5.39,0,5.511,8617602.8,0,False,5.307599999999999,5.29842857142861,5.025319999999972,24.34827281,0.3977035833478665,0,go_long,go_short,go_long,go_long,go_long,go_long,2021-04-14 03:15:00+00:00,go_long,7.678224090436304,7.830302824921984,8.021,7.893600000000006,0,7.899428571428614,go_long,go_long,7.888,0,7.604639999999974,0,go_long,8.013,False,go_long,1482803.6,go_short,7.914
128,EOS/USDT:USDT,2021-04-23 02:30:00+00:00,first_buy,long-exit-profit,5.323,5.409,5.587333447565495,5.845800704107775,4.441,1,4.715,16526355.4,0,False,5.394000000000018,5.536714285714315,5.864479999999974,24.33152254,0.3962250040698865,1,go_long,go_short,go_long,go_long,go_long,go_long,2021-05-01 23:30:00+00:00,go_long,6.49700205307874,6.53658456705379,6.668,6.572400000000007,0,6.545571428571449,go_long,go_long,6.582,1,6.481839999999984,0,go_long,6.6370000000000005,False,go_long,1653809.2,go_short,6.585
129,EOS/USDT:USDT,2021-05-01 23:45:00+00:00,first_buy,long-exit-profit,6.6370000000000005,6.658,6.554956172122438,6.508779678776611,6.607,0,6.656,992359.9,0,False,6.598600000000007,6.571428571428592,6.491839999999984,25.03384857,0.4084062717239387,0,go_long,go_short,go_long,go_long,go_long,go_long,2021-05-06 03:00:00+00:00,go_long,8.80389817917787,9.023969894110019,9.5,9.134800000000011,0,9.08071428571431,go_long,go_long,9.108,0,8.78811999999999,0,go_long,9.461,False,go_long,4450797.2,go_short,9.198
130,EOS/USDT:USDT,2021-05-06 03:15:00+00:00,first_buy,long-exit-profit,9.463,9.475,9.074436064246939,8.844498314053583,9.269,0,9.352,2873303.8,0,False,9.219000000000012,9.14614285714288,8.828119999999991,25.07607801,0.41210480659039583,0,go_long,go_short,go_long,go_long,go_long,go_long,2021-05-11 16:30:00+00:00,go_long,11.208661273719688,12.118953175950587,13.493,12.7466,0,12.494857142857198,go_long,go_long,13.05,1,10.840879999999991,0,go_long,13.406,False,go_long,16638341.1,go_short,13.182
133,EOS/USDT:USDT,2021-05-19 13:00:00+00:00,first_buy,long-exit-profit,5.91,6.177,7.005079834355498,7.511703803385968,4.08,1,5.276,20754337.7,0,False,6.6054,6.7648571428571715,7.686839999999984,24.50875323,0.3999834833179602,1,go_long,go_short,go_long,go_long,go_long,go_long,2021-05-27 12:30:00+00:00,go_long,6.829160838572165,7.027411757136772,7.455,7.176000000000004,0,7.08314285714289,go_long,go_long,7.221,0,6.791599999999991,0,go_long,7.385,False,go_long,4733138.4,go_short,7.316
135,EOS/USDT:USDT,2021-06-18 18:30:00+00:00,first_buy,long-exit-profit,4.552,4.577,4.593803766244446,4.655031714083338,4.383,1,4.423,3616401.5,0,False,4.5596000000000245,4.581571428571444,4.665240000000001,24.16649072,0.3955336952692672,1,go_long,go_short,go_long,go_long,go_long,go_long,2021-09-06 11:00:00+00:00,go_long,6.290671091023923,6.33434766998237,6.435,6.363400000000017,0,6.354142857142848,go_long,go_long,6.355,0,6.281639999999994,0,go_long,6.397,False,go_long,2660664.2,go_short,6.378
138,EOS/USDT:USDT,2021-12-04 05:30:00+00:00,first_buy,long-exit-profit,3.156,3.211,3.402800599151813,3.572974087890401,2.366,1,2.66,25854761.2,0,False,3.2660000000000116,3.363571428571384,3.6321599999999874,25.56993903,0.41752851643289696,1,go_long,go_short,go_long,go_long,go_long,go_long,2021-12-08 14:00:00+00:00,go_long,3.591652568221291,3.64551543935756,3.8280000000000003,3.672800000000007,0,3.651142857142816,go_long,go_long,3.6630000000000003,0,3.6381599999999876,0,go_long,3.779,False,go_long,15866751.1,go_short,3.664
142,EOS/USDT:USDT,2022-06-14 01:30:00+00:00,first_buy,long-exit-profit,0.894,0.896,0.9048781534899384,0.9156567411111242,0.867,1,0.872,4610874.6,0,False,0.8980000000000163,0.9041428571428,0.9224399999999797,25.69808028,0.4187885450319057,1,go_long,go_short,go_long,go_long,go_long,go_long,2022-07-24 01:30:00+00:00,go_long,1.1665582891571233,1.1806415756923567,1.249,1.1892000000000227,0,1.183428571428514,go_long,go_long,1.193,0,1.1598799999999805,0,go_long,1.246,False,go_long,18861918.2,go_short,1.195
205,RUNE/USDT:USDT,2021-08-02 14:00:00+00:00,first_buy,long-exit-profit,6.936,7.073,6.561263063641206,6.39133423736101,6.87,0,7.024,2781854.0,0,False,6.741400000000032,6.617714285714322,6.312880000000011,22.91267297,0.40740750368099793,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2021-08-21 12:00:00+00:00,go_long,9.469255402138488,9.60067943889636,10.02,9.712400000000047,0,9.677428571428623,go_long,do_nothing,9.66,0,9.402679999999998,0,go_long,10.009,False,go_long,756017.0,go_long,9.774000000000001
