,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,volume (exit),low (exit),sma-07 (exit),ema-12 (exit),open (exit),mean-grad-hist (exit),sma-05 (exit),close (exit),long_jcrosk (exit),ema-26 (exit),sma-25 (exit),high (exit),short_kdj (exit)
2044,QTUM/USDT:USDT,2023-10-23 22:30:00+00:00,first_buy,trailing_stop_loss,2.403,2.415,2.3928961094274244,2.384286473513117,2.398,0,2.4130000000000003,38710.2,0,False,2.3983999999995946,2.3941428571429855,2.3806399999999126,13.47505462,0.21954597242745777,271128.5,3.004,3.0774285714287055,3.093443314654393,3.084,1,3.072599999999595,3.009,1,3.073652988307596,3.0929199999999097,3.09,False
2045,QTUM/USDT:USDT,2023-11-21 22:45:00+00:00,first_buy,trailing_stop_loss,2.959,2.9779999999999998,3.0016333027186346,3.0224907717105616,2.944,1,2.963,128143.8,0,False,2.9893999999995957,3.0027142857144193,3.0175199999999096,-3.05943654,-0.04983166231900622,254787.0,2.9050000000000002,2.973285714285855,3.01706143752354,2.942,1,2.9587999999995973,2.915,1,2.985894362311196,3.022519999999909,2.958,False
2046,QTUM/USDT:USDT,2024-01-03 11:45:00+00:00,first_buy,trailing_stop_loss,3.59,3.612,3.6626542300349305,3.6814090306058453,3.564,1,3.584,303341.4,0,False,3.6319999999996,3.6601428571430055,3.699079999999908,-11.46521655,-0.18688914322284855,13500.8,3.0,3.005285714285857,2.9918939512759377,3.002,1,3.003399999999607,3.008,0,3.000900547993745,2.992359999999902,3.011,False
2047,QTUM/USDT:USDT,2024-02-14 09:15:00+00:00,first_buy,trailing_stop_loss,3.081,3.103,3.053013429156462,3.041624242811272,3.074,0,3.087,144374.7,0,False,3.062399999999602,3.056857142857286,3.0367199999999057,26.85424353,0.438911566489091,863417.3,4.914,5.18385714285729,5.311121564032586,5.131,1,5.149199999999608,5.0,0,5.211127035628805,5.340439999999905,5.136,False
2048,QTUM/USDT:USDT,2024-03-11 15:45:00+00:00,first_buy,trailing_stop_loss,5.172,5.193,5.153787134471726,5.155608113197073,5.164,0,5.176,70309.8,0,False,5.144799999999613,5.144571428571575,5.182999999999907,-6.41367177,-0.10490504586839038,120400.6,4.782,4.824714285714416,4.864532805856502,4.825,1,4.823599999999599,4.793,0,4.835614891739359,4.872119999999918,4.827,False
2049,QTUM/USDT:USDT,2024-04-12 18:30:00+00:00,first_buy,trailing_stop_loss,4.877,4.888,4.9590843446275095,5.085962289798429,4.792,0,4.843,296720.2,0,False,4.829999999999601,4.874142857142987,5.149919999999921,-15.48900156,-0.25362614215508533,492570.7,3.653,3.7155714285715575,3.744264740385297,3.696,1,3.7119999999995925,3.6710000000000003,0,3.725600929504984,3.758839999999924,3.708,False
2042,QTUM/USDT:USDT,2023-06-10 04:15:00+00:00,first_buy,trailing_stop_loss,2.233,2.25,2.2649602610241364,2.2892386265607203,2.231,1,2.245,86221.5,0,False,2.2475999999995993,2.249142857142979,2.2995999999999226,14.43175089,0.23534200368983235,227953.7,2.791,2.8030000000001256,2.8145686069479448,2.797,1,2.801799999999607,2.793,0,2.807770376773838,2.8142799999999215,2.806,False
2050,QTUM/USDT:USDT,2024-05-13 02:30:00+00:00,first_buy,trailing_stop_loss,3.412,3.415,3.434004336192817,3.456089939685886,3.372,1,3.384,75300.5,0,False,3.411999999999592,3.4240000000001283,3.459159999999922,-3.42133699,-0.05581889086199719,177578.6,3.482,3.553428571428706,3.5806502119930603,3.547,1,3.5395999999995973,3.485,0,3.562451519669371,3.596639999999922,3.5540000000000003,False
2052,QTUM/USDT:USDT,2024-08-01 18:30:00+00:00,first_buy,trailing_stop_loss,2.39,2.41,2.405932496226181,2.437619851267847,2.387,0,2.406,168082.9,0,False,2.386799999999602,2.387000000000131,2.4506399999999084,-2.09285421,-0.03421177120442736,111514.9,2.345,2.4464285714287164,2.464267048489123,2.417,1,2.4319999999996047,2.388,0,2.4503469304213117,2.470199999999904,2.418,False
2053,QTUM/USDT:USDT,2024-09-01 22:30:00+00:00,first_buy,trailing_stop_loss,2.192,2.192,2.2009348218674862,2.204416624940601,2.164,1,2.171,45958.5,0,False,2.1941999999996016,2.199857142857284,2.2030799999999027,11.19926979,0.18274550258389455,40287.8,2.613,2.6441428571429806,2.664947414281219,2.624,1,2.628799999999592,2.616,0,2.6504982576641907,2.670079999999905,2.626,False
2055,API3/USDT:USDT,2023-06-10 04:15:00+00:00,second_buy,trailing_stop_loss,1.035,1.045,1.050960448331141,1.0659120642015218,1.034,1,1.041,150779.5,0,False,1.0430000000000141,1.0425714285714671,1.0697999999999985,3.93499647,0.06424108015189466,789691.5,0.923,0.9361428571428867,0.9150333573948842,0.929,0,0.9348000000000087,0.9430000000000001,0,0.9269738804397595,0.9147999999999993,0.9430000000000001,False
2056,API3/USDT:USDT,2023-08-17 21:30:00+00:00,second_buy,trailing_stop_loss,1.03,1.037,1.039933814950514,1.0440449337134665,1.026,1,1.029,628764.3,0,False,1.0354000000000088,1.0378571428571701,1.0427199999999985,-9.76068206,-0.15942649118891267,4230136.4,1.053,1.0601285714285988,1.0482552568495314,1.0592,0,1.0638200000000064,1.0823,0,1.0552814593417372,1.045843999999998,1.0887,False
2057,API3/USDT:USDT,2023-10-23 22:30:00+00:00,second_buy,trailing_stop_loss,1.1124,1.1149,1.1039201102120326,1.0984704174494884,1.1084,0,1.113,162837.8,0,False,1.1075400000000173,1.104185714285736,1.0985439999999986,-23.6200696,-0.38564348411865373,3323795.5,1.4749,1.4239714285714526,1.377617842043876,1.4776,0,1.45458000000002,1.5117,0,1.4130218157643872,1.3630519999999955,1.5288,False
2058,API3/USDT:USDT,2023-11-09 16:00:00+00:00,second_buy,trailing_stop_loss,1.5887,1.5936,1.586230512688061,1.5836555551143847,1.573,1,1.5745,468418.1,0,False,1.588660000000019,1.5919714285714535,1.5839639999999955,-3.45387019,-0.05646230485674383,280212.8,1.6249,1.6237714285714593,1.6011494109615978,1.6280999999999999,0,1.6352600000000226,1.6436000000000002,0,1.6151375718573409,1.5955959999999991,1.6465,False
2051,QTUM/USDT:USDT,2024-07-06 16:30:00+00:00,first_buy,trailing_stop_loss,2.214,2.245,2.2004416112838134,2.189430038572016,2.214,0,2.239,149317.7,0,False,2.2133999999996012,2.2051428571429885,2.1857599999999144,3.17352879,0.05167776333230802,111408.1,2.373,2.4314285714287025,2.478944617695322,2.416,1,2.4261999999996022,2.392,1,2.4512866392874697,2.4919999999999085,2.418,False
2155,LQTY/USDT:USDT,2024-06-07 12:30:00+00:00,second_buy,trailing_stop_loss,1.2305,1.2356,1.2378368861614266,1.2409661882882497,1.2285,1,1.2346,394375.3,0,False,1.2360599999999717,1.235885714285722,1.2420000000000146,22.21329697,0.3631111503807963,32390.1,0.785,0.786042857142862,0.7788370121493278,0.787,0,0.7867599999999735,0.7901,0,0.7838870106620547,0.7772680000000145,0.7906000000000001,False
