,pair,open_date,enter_reason,exit_reason,sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),sma-25 (exit),sma-07 (exit),sma-compare (exit),sma-05 (exit)
1352,DYDX/USDT:USDT,2022-07-23 23:15:00+00:00,first_buy,long-exit-profit,2.154999999999998,2.1458571428572677,2.1198799999999367,1.32404805,0.02156871747388673,0,2.170279999999937,2.19771428571441,0,2.207399999999998
1353,DYDX/USDT:USDT,2022-07-24 09:30:00+00:00,first_buy,long-exit-profit,2.183199999999998,2.1867142857144097,2.1847599999999376,1.33762881,0.02184198295983193,0,2.1414399999999367,2.2131428571429783,0,2.2149999999999945
1354,DYDX/USDT:USDT,2022-07-28 16:45:00+00:00,first_buy,long-exit-profit,2.3487999999999953,2.3291428571429793,2.256639999999937,1.228136,0.020029206786422404,0,2.341119999999937,2.375285714285836,0,2.384199999999994
1348,DYDX/USDT:USDT,2022-07-16 16:00:00+00:00,first_buy,long-exit-profit,2.127799999999998,2.110714285714411,2.045559999999939,2.18524289,0.03568624801458519,0,2.055679999999939,2.137857142857268,0,2.1641999999999983
1321,DYDX/USDT:USDT,2022-04-02 11:00:00+00:00,first_buy,long-exit-profit,6.920399999999991,6.923428571428699,6.895399999999941,1.29909989,0.021358075306301228,0,6.933359999999937,7.021428571428703,0,7.02199999999999
1339,DYDX/USDT:USDT,2022-06-21 19:00:00+00:00,first_buy,long-exit-profit,1.3747999999999982,1.3817142857144102,1.3908399999999375,1.97451011,0.032162057361140375,1,1.3647599999999371,1.3624285714286966,0,1.3649999999999973
1337,DYDX/USDT:USDT,2022-06-21 06:00:00+00:00,first_buy,long-exit-profit,1.3463999999999987,1.3422857142858378,1.3250399999999367,1.53396268,0.02502147535864794,0,1.3473999999999364,1.3588571428572664,0,1.3597999999999988
3215,DOT/USDT:USDT,2021-08-11 07:15:00+00:00,first_buy,long-exit-profit,21.462999999999887,21.423428571428712,21.148560000000025,1.39180883,0.022986529840240633,0,21.645600000000037,21.78100000000014,0,21.87799999999989
3214,DOT/USDT:USDT,2021-08-08 00:00:00+00:00,first_buy,long-exit-profit,20.79639999999987,20.762285714285888,20.56948000000004,1.28318463,0.02106334809861299,0,21.07000000000003,21.291000000000142,0,21.33559999999989
1325,DYDX/USDT:USDT,2022-05-11 12:45:00+00:00,first_buy,long-exit-profit,2.1590000000000074,2.182714285714416,2.296439999999936,1.37616,0.022474827771541847,1,2.219959999999936,2.0161428571429876,1,1.9356000000000073
1326,DYDX/USDT:USDT,2022-05-11 14:45:00+00:00,first_buy,long-exit-profit,2.0664000000000073,2.0272857142858447,2.1803599999999363,1.51731226,0.024728762197378063,0,2.047639999999936,2.0795714285715587,0,2.082000000000007
1327,DYDX/USDT:USDT,2022-05-13 15:00:00+00:00,first_buy,long-exit-profit,2.1340000000000066,2.1120000000001307,2.0716799999999362,2.60825781,0.04252251510097031,0,1.9843199999999348,2.1245714285715587,0,2.1258000000000035
1328,DYDX/USDT:USDT,2022-05-18 20:30:00+00:00,first_buy,long-exit-profit,2.180600000000003,2.1762857142858443,2.041879999999934,1.43535127,0.023410742666943443,0,2.0885599999999354,2.195285714285841,0,2.203000000000003
1338,DYDX/USDT:USDT,2022-06-21 12:00:00+00:00,first_buy,long-exit-profit,1.4019999999999986,1.4022857142858385,1.3869999999999365,1.303212,0.021245130415436093,0,1.396439999999937,1.3857142857144102,0,1.3911999999999984
1329,DYDX/USDT:USDT,2022-05-22 00:45:00+00:00,first_buy,long-exit-profit,2.1976000000000027,2.200285714285841,2.188759999999935,1.8422439,0.03005000426981431,0,2.2137199999999346,2.2330000000001275,0,2.2472000000000016
3213,DOT/USDT:USDT,2021-08-07 08:45:00+00:00,first_buy,long-exit-profit,20.841799999999868,20.828142857143025,20.915640000000035,1.3479287,0.022275781306723978,0,21.008600000000033,21.11771428571446,0,21.203999999999866
1332,DYDX/USDT:USDT,2022-06-12 23:45:00+00:00,first_buy,long-exit-profit,1.2838000000000003,1.2897142857144086,1.322039999999938,1.7931638,0.029249571023186247,1,1.2316799999999375,1.2781428571429814,0,1.2858000000000005
1333,DYDX/USDT:USDT,2022-06-16 10:45:00+00:00,first_buy,long-exit-profit,1.1634,1.1702857142858385,1.218559999999937,1.474811,0.024036832732484907,1,1.1955599999999371,1.1671428571429812,1,1.1656000000000002
