,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),imit-enter-short (entry),imit-exit-short (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),imit-enter-short (exit),mean-grad-hist (exit),short_kdj (exit),nlp-enter-long (exit),imit-exit-short (exit),high (exit),short-large-rl (exit),sma-05 (exit),sma-25 (exit),sma-compare (exit),long-large-rl (exit),long-bid-rl (exit),long-small-rl (exit),short-bid-rl (exit),sma-07 (exit),close (exit),ema-12 (exit),volume (exit),nlp-enter-short (exit),short-small-rl (exit),ema-26 (exit),nlp-exit-short (exit),open (exit),long_jcrosk (exit),low (exit)
539,ETC/USDT:USDT,2020-11-18 12:15:00+00:00,second_buy,trailing_stop_loss,6.239,6.239,6.127690100336231,6.005208773903947,6.156,1,6.198,194930.0,0,False,6.223999999999963,6.230857142857069,5.923319999999979,-2.00374282,-0.03272115517495562,0,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,go_short,go_short,go_short,0,False,go_short,go_short,6.386,go_long,6.304999999999963,6.159679999999977,0,go_long,go_long,go_long,go_long,6.2807142857142155,6.367,6.1811375195410925,339941.16,go_short,go_long,6.247975741243486,go_short,6.319,0,6.239
557,SXP/USDT:USDT,2020-08-19 04:30:00+00:00,second_buy,trailing_stop_loss,3.4713,3.4713,3.463690133347622,3.568058785337916,2.73,1,3.0249,4645190.2,0,False,3.371259999999996,3.429357142857145,3.6003960000000017,0.62577249,0.010253900530586092,1,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_short,go_short,1,False,go_short,go_short,3.0572,do_nothing,3.050019999999995,3.0790480000000042,1,do_nothing,go_long,go_long,go_long,3.053257142857148,3.0353,3.085141481182024,212554.1,go_short,go_long,3.061085199593996,go_short,3.0455,0,3.0141
559,SXP/USDT:USDT,2020-08-25 16:15:00+00:00,second_buy,trailing_stop_loss,2.6425,2.6743,2.6952026650327654,2.752487041739767,2.6096,0,2.6628,690323.0,0,False,2.648159999999995,2.6614714285714305,2.7870640000000044,-4.0018392,-0.06539034198292612,1,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_short,go_short,0,False,go_short,go_short,2.8373,do_nothing,2.7941399999999943,2.7651040000000062,0,do_nothing,go_long,go_long,go_long,2.784600000000002,2.8246,2.7708903184950695,219471.7,go_short,go_long,2.782822501058895,go_short,2.8341000000000003,0,2.81
560,SXP/USDT:USDT,2020-08-28 09:45:00+00:00,second_buy,trailing_stop_loss,2.862,2.8716,2.854181864273884,2.8537683508786125,2.8451,0,2.854,201596.7,0,False,2.855079999999993,2.846985714285716,2.8656000000000064,7.86734756,0.12891962326712836,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_short,go_short,1,False,go_short,go_short,2.5853,do_nothing,2.59709999999999,2.634624000000006,1,do_nothing,go_long,go_long,go_long,2.614571428571433,2.5525,2.6265188902123913,920009.0,go_short,go_long,2.6117109126594586,go_short,2.5594,0,2.5237
561,SXP/USDT:USDT,2020-09-02 11:30:00+00:00,second_buy,trailing_stop_loss,2.4019,2.4108,2.5216663930875414,2.579813589002393,1.9772,1,2.2037,5741146.5,0,False,2.46377999999999,2.5130571428571473,2.603944000000005,5.85949888,0.0957148869629936,1,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_short,go_short,1,False,go_short,go_short,2.0904,do_nothing,2.099299999999991,2.1257880000000045,1,do_nothing,go_long,go_long,go_long,2.1117714285714353,2.0767,2.1266648467378313,440869.4,go_short,go_long,2.1147853942291315,go_short,2.0866,0,2.0334
562,SXP/USDT:USDT,2020-09-03 23:30:00+00:00,second_buy,trailing_stop_loss,2.0767,2.0772,2.065079948963111,2.1018526358683625,1.7781,1,1.7917,2647086.3,0,False,2.0327599999999912,2.059542857142864,2.111972000000004,0.75036893,0.012254141434403513,1,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_short,go_short,0,False,go_short,go_short,1.767,do_nothing,1.7007799999999917,1.8491320000000042,1,do_nothing,go_long,go_long,go_long,1.7101285714285785,1.7562,1.8304018511156321,611007.9,go_short,go_long,1.7588711123526615,go_short,1.7339,0,1.7082000000000002
563,SXP/USDT:USDT,2020-09-05 14:45:00+00:00,second_buy,trailing_stop_loss,1.7566000000000002,1.7775,1.765147829416173,1.81502421358541,1.7434,0,1.7775,392927.5,0,False,1.7696399999999914,1.7611714285714357,1.813696000000004,1.17418675,0.01916435113784237,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_short,go_short,0,False,go_short,go_short,1.738,do_nothing,1.692459999999992,1.6554600000000042,0,do_nothing,go_long,go_long,go_long,1.6778285714285794,1.7357,1.6718600816007014,293376.3,go_short,go_long,1.676899086495138,go_short,1.7051,0,1.6895
564,SXP/USDT:USDT,2020-09-08 21:30:00+00:00,second_buy,trailing_stop_loss,1.6709,1.6709,1.6707642518074086,1.6777530899494146,1.65,1,1.6565,154483.6,1,False,1.6698199999999914,1.665471428571435,1.6866600000000054,-7.52787056,-0.12296058727391349,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_short,go_short,0,False,go_short,go_short,1.8309000000000002,do_nothing,1.8218599999999898,1.7861760000000049,0,do_nothing,go_long,go_long,go_long,1.8169285714285783,1.8309000000000002,1.7907503891418692,184625.9,go_short,go_long,1.8082222152584917,go_short,1.8235999999999999,0,1.8154
565,SXP/USDT:USDT,2020-09-12 19:00:00+00:00,second_buy,trailing_stop_loss,1.8492000000000002,1.8588,1.8420591642696558,1.824586000765287,1.8389000000000002,1,1.8437000000000001,308751.7,0,False,1.8495599999999897,1.8498428571428642,1.8253080000000055,-0.1547375,-0.0025304732363155345,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_short,go_short,0,False,go_short,go_short,1.7367,do_nothing,1.7306399999999897,1.7402680000000046,1,do_nothing,go_long,go_long,go_long,1.7325000000000068,1.7343000000000002,1.7349924745008083,83233.4,go_short,go_long,1.7335358637657425,go_short,1.7222,0,1.7211
569,SXP/USDT:USDT,2020-09-24 01:30:00+00:00,second_buy,trailing_stop_loss,1.0963,1.1,1.091811956086278,1.1120215099345996,1.0875,0,1.0907,222621.0,0,False,1.0946199999999913,1.0883571428571486,1.1043200000000042,-9.6201732,-0.15699909096812875,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_short,go_short,0,False,go_short,go_short,1.2477,do_nothing,1.2242599999999908,1.184556000000005,0,do_nothing,go_long,go_long,go_long,1.22101428571429,1.2456,1.194448025824078,501650.0,go_short,go_long,1.2109754922123366,go_short,1.2344,0,1.228
558,SXP/USDT:USDT,2020-08-21 18:15:00+00:00,second_buy,trailing_stop_loss,2.7938,2.8056,2.809342905802909,2.861847468699703,2.5300000000000002,1,2.5668,2646174.9,0,False,2.788679999999995,2.810414285714291,2.8464520000000055,-5.75851355,-0.09419591917693056,1,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_short,go_short,0,False,go_short,go_short,2.799,do_nothing,2.7067599999999956,2.634604000000002,0,do_nothing,go_long,go_long,go_long,2.699271428571432,2.7875,2.6539332435163643,720064.9,go_short,go_long,2.681704700740853,go_short,2.7038,0,2.699
