,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),sma-07 (exit),mean-grad-hist (exit),long-small-rl (exit),sma-05 (exit),sma-25 (exit),long-bid-rl (exit),long-large-rl (exit),ema-12 (exit),short-large-rl (exit),low (exit),short-small-rl (exit),volume (exit),high (exit),short_kdj (exit),long_jcrosk (exit),sma-compare (exit),ema-26 (exit),close (exit),short-bid-rl (exit),open (exit)
336,BEAMX/USDT:USDT,2024-01-26 02:15:00+00:00,second_buy,roi,0.016784,0.016881999999999998,0.01671633478370443,0.01671673523698315,0.016784,0,0.016881999999999998,42.0,0,False,0.01672579999999999,0.01671271428571435,0.016709039999999994,0.02406455,0.0028519077296677484,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.01673371428571435,0,go_long,0.01670419999999999,0.016898959999999987,go_short,do_nothing,0.016819560180056398,do_nothing,0.016668,do_nothing,0.0,0.016668,False,0,1,0.016778864523846658,0.016668,go_short,0.016668
335,BEAMX/USDT:USDT,2024-01-25 08:45:00+00:00,second_buy,roi,0.017126,0.017126,0.017110827245801673,0.017141421816565184,0.017088,1,0.017105,322.0,1,False,0.017180999999999978,0.017138428571428627,0.01707811999999999,0.0758601,0.00889910184413876,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.016669571428571495,0,go_long,0.01668579999999999,0.016706479999999992,go_short,do_nothing,0.0167035140559418,do_nothing,0.016738,do_nothing,0.0,0.016738,False,0,0,0.016686213835287057,0.016738,go_short,0.016738
334,BEAMX/USDT:USDT,2024-01-20 23:00:00+00:00,second_buy,roi,0.018435,0.01854,0.018453102184293184,0.01840395167241485,0.018435,1,0.01854,262.0,0,False,0.01848839999999999,0.01850857142857148,0.01835087999999998,0.66131575,0.07167363877519789,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.0171178571428572,0,go_long,0.017180199999999975,0.017083119999999993,go_short,do_nothing,0.0171443355618904,do_nothing,0.01725,do_nothing,0.0,0.01725,False,0,0,0.01711188674503834,0.01725,go_short,0.01725
333,BEAMX/USDT:USDT,2024-01-04 14:00:00+00:00,second_buy,roi,0.02179,0.022796999999999998,0.02154868585168358,0.02111549239632911,0.021367999999999998,0,0.022616999999999998,97325.0,0,False,0.02192420000000004,0.02179385714285709,0.021057839999999994,1.63105962,0.18051170974618705,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.018503714285714335,1,go_long,0.018501799999999992,0.01834491999999998,go_short,do_nothing,0.01839306780620804,do_nothing,0.018442999999999998,do_nothing,0.0,0.018442999999999998,False,0,0,0.018437302581437397,0.018442999999999998,go_short,0.018442999999999998
331,BEAMX/USDT:USDT,2023-12-17 02:00:00+00:00,second_buy,roi,0.018307999999999998,0.018527,0.01870793046480917,0.019027775250875085,0.01822,1,0.018401,27309.0,0,False,0.01863140000000001,0.018698142857142795,0.01891956000000003,0.34998872,0.03797919226614548,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.01781257142857136,1,go_long,0.01780080000000004,0.017732440000000002,go_short,do_nothing,0.01778630248899178,do_nothing,0.017786,do_nothing,0.0,0.017786,False,0,0,0.01776699759474163,0.017786,go_short,0.017786
324,BEAMX/USDT:USDT,2023-11-23 14:00:00+00:00,second_buy,roi,0.008383,0.008388,0.008446796126191421,0.008498322557704706,0.008383,1,0.008388,439.0,1,False,0.008435399999999996,0.008433000000000006,0.008480600000000001,0.00155579,0.00016852402282708197,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.008371857142857148,0,go_long,0.008374399999999995,0.00840136,go_short,do_nothing,0.008409239422069269,do_nothing,0.008381,do_nothing,0.0,0.008381,False,0,0,0.008389630335502305,0.008381,go_short,0.008381
323,BEAMX/USDT:USDT,2023-11-22 16:45:00+00:00,second_buy,roi,0.008516,0.008517,0.008521185722140782,0.008544136752136753,0.008516,0,0.008517,113.0,0,False,0.0084984,0.008485000000000001,0.0085386,0.01585195,0.0017124037185765582,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.008435285714285722,0,go_long,0.008436799999999996,0.008493920000000002,go_short,do_nothing,0.008507148362321082,do_nothing,0.008466,do_nothing,0.0,0.008466,False,0,0,0.008457486330953497,0.008466,go_short,0.008466
320,AVAX/USDT:USDT,2023-09-23 22:45:00+00:00,second_buy,roi,8.8867,8.8867,8.8917360996565,8.895941836219114,8.8454,1,8.8713,8279.0,1,False,8.896660000000027,8.892214285714397,8.892447999999874,0.00952824,0.001075127408359291,0,do_nothing,do_nothing,do_nothing,do_nothing,go_short,go_short,8.839828571428692,1,do_nothing,8.83826000000003,8.825743999999869,go_short,do_nothing,8.831100033432978,do_nothing,8.8492,do_nothing,0.0,8.8492,False,0,0,8.840507900005145,8.8492,go_short,8.8492
319,AVAX/USDT:USDT,2023-09-22 04:00:00+00:00,second_buy,roi,8.8661,8.8666,8.857616395072453,8.852251756004407,8.8661,1,8.8666,93.0,1,False,8.860520000000022,8.856385714285828,8.844019999999873,0.00244275,0.00027573243067153754,0,do_nothing,do_nothing,do_nothing,do_nothing,go_short,go_short,8.895157142857254,1,do_nothing,8.898620000000028,8.892755999999872,go_short,do_nothing,8.897913183116643,do_nothing,8.9002,do_nothing,0.0,8.9002,False,0,0,8.895451754139499,8.9002,go_short,8.9002
318,AVAX/USDT:USDT,2023-09-20 07:30:00+00:00,second_buy,roi,9.0654,9.0773,9.083847236902775,9.104294773221417,9.0636,0,9.0773,89.0,0,False,9.070140000000016,9.0770142857144,9.103267999999874,0.20706937,0.02280697673345363,1,do_nothing,do_nothing,do_nothing,do_nothing,go_short,go_short,8.859228571428686,1,do_nothing,8.854880000000023,8.842215999999873,go_short,do_nothing,8.851103896484759,do_nothing,8.8588,do_nothing,0.0,8.8588,False,0,0,8.855983012358355,8.8588,go_short,8.8588
317,AVAX/USDT:USDT,2023-09-19 05:00:00+00:00,second_buy,roi,9.1535,9.1619,9.132918050479988,9.126302998247168,9.1535,1,9.1619,41.0,0,False,9.141660000000025,9.137600000000115,9.113467999999877,0.05808177,0.006353463583899934,0,do_nothing,do_nothing,do_nothing,do_nothing,go_short,go_short,9.081000000000113,0,do_nothing,9.074520000000016,9.107371999999874,go_short,do_nothing,9.10645435507913,do_nothing,9.072,do_nothing,0.0,9.072,False,0,1,9.08503764361237,9.072,go_short,9.072
316,AVAX/USDT:USDT,2023-09-17 12:45:00+00:00,second_buy,roi,9.2597,9.2649,9.25895073559075,9.262324228779342,9.217600000000001,1,9.2402,10533.0,0,False,9.252700000000027,9.255657142857258,9.258287999999876,0.05451154,0.005909771921555485,1,do_nothing,do_nothing,do_nothing,do_nothing,go_short,go_short,9.136157142857257,1,do_nothing,9.133900000000024,9.112671999999876,go_short,do_nothing,9.12345523810694,do_nothing,9.1379,do_nothing,0.0,9.1379,False,0,0,9.127648605112713,9.1379,go_short,9.1379
