,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),ema-26 (exit),sma-25 (exit),open (exit),long-large-rl (exit),short-bid-rl (exit),long-small-rl (exit),high (exit),long-bid-rl (exit),short-small-rl (exit),volume (exit),sma-05 (exit),mean-grad-hist (exit),short_kdj (exit),long_jcrosk (exit),low (exit),short-large-rl (exit),ema-12 (exit),sma-07 (exit),close (exit),sma-compare (exit)
1038,BAKE/USDT:USDT,2022-04-18 06:45:00+00:00,second_buy,roi,0.732,0.735,0.7402520726234499,0.7547970774999597,0.732,0,0.735,5980.0,0,False,0.7318000000000245,0.7314285714285874,0.7570000000000001,0.4424244,0.049661601900407866,0,do_nothing,go_short,go_short,go_short,go_long,go_long,0.6993482069942213,0.7073600000000012,0.6940000000000001,go_short,go_long,do_nothing,0.6940000000000001,go_long,go_short,0.0,0.6958000000000261,0,False,0,0.6940000000000001,go_short,0.7090199041656845,0.6964285714285857,0.6940000000000001,1
1037,BAKE/USDT:USDT,2022-04-11 22:15:00+00:00,second_buy,roi,0.79,0.79,0.8030760455798561,0.81035816088239,0.789,1,0.789,15631.0,0,False,0.7972000000000273,0.8002857142857296,0.8118399999999991,0.6212976,0.07011177844511177,1,do_nothing,go_short,go_short,go_short,go_long,go_long,0.7412069949186226,0.7583600000000001,0.731,go_short,go_long,do_nothing,0.731,go_long,go_short,0.0,0.7316000000000246,0,False,0,0.731,go_short,0.7563808436999565,0.7307142857143017,0.731,0
1036,BAKE/USDT:USDT,2022-04-11 14:30:00+00:00,second_buy,roi,0.8180000000000001,0.8180000000000001,0.8223847963752026,0.8329817538680074,0.8170000000000001,0,0.8180000000000001,41430.0,0,False,0.818800000000028,0.8192857142857299,0.8319599999999994,0.306612,0.03465660782733953,1,do_nothing,go_short,go_short,go_short,go_long,go_long,0.8056353265943754,0.812799999999999,0.797,go_short,go_long,do_nothing,0.797,go_long,go_short,0.0,0.8008000000000273,1,False,0,0.797,go_short,0.8120668137529812,0.802714285714301,0.797,1
1035,BAKE/USDT:USDT,2022-04-09 01:15:00+00:00,second_buy,roi,0.9,0.903,0.8820210574332025,0.8878700887054077,0.899,0,0.899,51736.0,0,False,0.8822000000000274,0.8777142857143019,0.8899599999999989,0.7354512,0.0831793762442532,0,do_nothing,go_short,go_short,go_short,go_long,go_long,0.8231820320797848,0.8343599999999993,0.8230000000000001,go_short,go_long,do_nothing,0.8230000000000001,go_long,go_short,0.0,0.818800000000028,0,False,0,0.8230000000000001,go_short,0.834180294177448,0.8204285714285872,0.8230000000000001,1
1034,BAKE/USDT:USDT,2022-04-06 22:15:00+00:00,second_buy,roi,0.937,0.937,0.9396473393416999,0.9448429713018105,0.937,1,0.937,25140.0,1,False,0.9378000000000289,0.9394285714285875,0.9390799999999986,0.5469484,0.062160346045084566,0,do_nothing,go_short,go_short,go_short,go_long,go_long,0.8792856091422414,0.8908799999999988,0.877,go_short,go_long,do_nothing,0.877,go_long,go_short,0.0,0.8736000000000275,0,False,0,0.877,go_short,0.8877780714659875,0.8722857142857304,0.877,0
1033,BAKE/USDT:USDT,2022-04-05 22:45:00+00:00,second_buy,roi,1.041,1.042,1.0392986767500154,1.0477094954384953,1.04,0,1.042,7884.0,0,False,1.038600000000029,1.036000000000016,1.0449199999999987,0.8586785,0.09713940645736996,0,do_nothing,go_short,go_short,go_short,go_long,go_long,0.9409731063363745,0.9404799999999987,0.9380000000000001,go_short,go_long,do_nothing,0.9380000000000001,go_long,go_short,0.0,0.9410000000000291,1,False,0,0.9380000000000001,go_short,0.9467134850645463,0.9424285714285876,0.9380000000000001,0
1032,BAKE/USDT:USDT,2022-04-05 07:15:00+00:00,second_buy,roi,1.101,1.104,1.1088731512045416,1.1083796464894828,1.101,1,1.104,6908.0,0,False,1.106600000000029,1.1088571428571599,1.1101199999999987,0.478832,0.054269849559704625,1,do_nothing,go_short,go_short,go_short,go_long,go_long,1.0388075270682,1.0460799999999988,1.043,go_short,go_long,do_nothing,1.043,go_long,go_short,0.0,1.036400000000029,0,False,0,1.043,go_short,1.048166255073575,1.0351428571428734,1.043,0
1031,BAKE/USDT:USDT,2022-04-03 02:45:00+00:00,second_buy,roi,1.19,1.191,1.1986937965086972,1.2135218723529082,1.185,0,1.188,58553.0,0,False,1.1882000000000275,1.1897142857143026,1.2151199999999986,0.58284,0.06570083597110625,1,do_nothing,go_short,go_short,go_short,go_long,go_long,1.1097591786962764,1.1101999999999987,1.106,go_short,go_long,do_nothing,1.106,go_long,go_short,0.0,1.1084000000000287,1,False,0,1.106,go_short,1.1087300182086415,1.1092857142857313,1.106,1
1030,BAKE/USDT:USDT,2022-03-31 23:45:00+00:00,second_buy,roi,1.514,1.6400000000000001,1.409415680422045,1.3345696702464034,1.496,0,1.604,7717139.0,0,False,1.4678000000000266,1.4298571428571587,1.3245599999999993,2.2671165,0.2569213048665104,0,do_nothing,go_short,go_short,go_short,go_long,go_long,1.2006381231466423,1.2172399999999988,1.19,go_short,go_long,do_nothing,1.19,go_long,go_short,0.0,1.1880000000000277,0,False,0,1.19,go_short,1.2155636221411408,1.1940000000000168,1.19,1
1028,BAKE/USDT:USDT,2022-03-30 13:15:00+00:00,second_buy,roi,0.854,0.918,0.807009780687367,0.7889680344202639,0.85,0,0.902,218494.0,0,False,0.8204000000000254,0.8095714285714448,0.7846399999999989,0.659197,0.07464781855025757,0,do_nothing,go_short,go_short,go_short,go_long,go_long,0.8412553201949782,0.8555599999999992,0.8320000000000001,go_short,go_long,do_nothing,0.8320000000000001,go_long,go_short,0.0,0.8354000000000255,0,False,0,0.8320000000000001,go_short,0.8426733562829821,0.8368571428571593,0.8320000000000001,1
