,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,long-large-rl (exit),short-bid-rl (exit),volume (exit),open (exit),low (exit),short-large-rl (exit),sma-compare (exit),short-small-rl (exit),mean-grad-hist (exit),long-small-rl (exit),ema-12 (exit),sma-05 (exit),long-bid-rl (exit),high (exit),long_jcrosk (exit),ema-26 (exit),sma-07 (exit),close (exit),sma-25 (exit),short_kdj (exit)
107,ATOM/USDT:USDT,2020-02-07 18:45:00+00:00,second_buy,roi,4.855,4.888,4.845366540610965,4.781025641025641,4.8469999999999995,0,4.865,16767.52,0,False,4.868599999999999,4.871000000000001,4.787159999999999,35.35071636,0.576812680884475,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2020-04-21 23:30:00+00:00,go_long,go_short,0.0,2.291,2.291,go_long,0,do_nothing,1,do_nothing,2.289145006765732,2.292399999999985,go_short,2.291,1,2.291632539445649,2.292714285714277,2.291,2.2902399999999874,False
71,BCH/USDT:USDT,2021-01-10 05:00:00+00:00,second_buy,roi,596.83,627.56,586.2739626977311,571.4956875011098,596.64,0,620.34,77419.599,0,False,595.7940000000028,589.7257142857169,573.0128000000001,17.97278262,0.29594293322921866,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2021-03-02 01:30:00+00:00,go_long,go_short,0.0,501.8,501.8,go_long,0,do_nothing,1,do_nothing,497.070287420928,504.1760000000013,go_short,501.8,0,500.93496294716186,504.3271428571448,501.8,495.00519999999955,False
91,SOL/USDT:USDT,2022-05-12 07:15:00+00:00,first_buy,roi,40.55,41.02,42.570001226683594,44.75516364431198,39.06,0,39.1,1132192.0,0,False,41.50199999999752,41.80714285714307,45.48640000000022,4.36521122,0.11155923176337604,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2022-05-28 17:00:00+00:00,go_long,go_long,0.0,43.2,43.2,go_long,0,do_nothing,1,do_nothing,42.337087762284405,43.089999999997346,go_long,43.2,0,42.72699247903662,43.005714285714525,43.2,42.20320000000026,False
25,1000SHIB/USDT:USDT,2021-10-27 19:15:00+00:00,second_buy,roi,0.072779,0.078382,0.06892027578381889,0.0655251005737363,0.071536,0,0.076219,8284177927.0,0,False,0.0704725999999999,0.0697572857142858,0.06544547999999996,45.78919856,0.7480088730513857,0,go_short,do_nothing,go_long,go_long,go_short,go_short,2022-05-01 22:45:00+00:00,go_long,go_short,0.0,0.021148,0.021148,go_long,0,do_nothing,0,go_short,0.021213642663466824,0.021193599999999903,go_short,0.021148,0,0.021190126092025342,0.021187142857143133,0.021148,0.021317439999999986,False
38,TRB/USDT:USDT,2020-10-06 10:45:00+00:00,first_buy,roi,15.605,15.654,15.779205131559767,16.027856343977724,15.457,1,15.524000000000001,5485.6,0,False,15.705799999999911,15.73414285714274,15.987120000000113,40.2108258,0.663499612590846,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2021-03-02 01:30:00+00:00,go_long,go_long,0.0,34.223,34.223,go_long,0,do_nothing,1,do_nothing,34.25004591850716,34.42199999999973,go_long,34.223,0,34.37149046359435,34.56614285714274,34.223,34.073960000000106,False
118,ATOM/USDT:USDT,2021-02-16 16:45:00+00:00,second_buy,roi,25.493,26.593,25.4972306631033,25.36849480008458,25.48,0,26.353,422858.36,0,False,25.493399999999973,25.478857142857112,25.513719999999967,19.14399309,0.31343608471989454,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2021-03-02 01:30:00+00:00,go_long,go_short,0.0,18.611,18.611,go_long,0,do_nothing,1,do_nothing,18.493057613573864,18.746200000000023,go_short,18.611,0,18.613796520605305,18.764857142857092,18.611,18.37727999999995,False
135,NEO/USDT:USDT,2022-05-11 21:00:00+00:00,first_buy,roi,10.582,10.600999999999999,10.658843402335103,11.11232527496484,10.0,1,10.047,85163.34,0,False,10.474600000000345,10.514571428570637,11.106280000000284,3.31807775,0.05405389121285037,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2022-05-28 17:00:00+00:00,go_long,go_long,0.0,10.608,10.608,go_long,0,do_nothing,1,do_nothing,10.511203467923828,10.59860000000038,go_long,10.608,0,10.558456411577573,10.586857142856347,10.608,10.50076000000029,False
130,NEO/USDT:USDT,2020-03-13 02:00:00+00:00,first_buy,roi,5.333,5.351,5.45029157301658,5.8190451390428874,4.491,1,4.546,47572.37,0,False,5.220599999999988,5.280428571428577,5.928079999999983,345.65167156,5.631494776241584,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2021-03-02 01:30:00+00:00,go_long,go_long,0.0,37.901,37.901,go_long,0,do_nothing,1,do_nothing,37.89464727839324,38.24459999999994,go_long,37.901,0,38.081615095478824,38.32742857142851,37.901,37.74208000000005,False
14,AAVE/USDT:USDT,2021-05-14 15:30:00+00:00,second_buy,roi,617.03,635.95,597.7385579285685,580.4059429049535,610.81,0,624.15,47317.4,0,False,607.634,606.498571428571,575.8552000000014,51.64486739,0.8281785901437627,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-01 22:45:00+00:00,go_long,go_short,0.0,144.37,144.37,go_long,0,do_nothing,1,do_nothing,144.2048494487384,144.56200000000368,go_short,144.37,0,144.23701776164157,144.44571428571655,144.37,144.73600000000044,False
15,AAVE/USDT:USDT,2022-05-01 23:00:00+00:00,second_buy,roi,144.35,144.36,144.1436304136967,144.1622680080911,143.32,1,143.63,6952.2,1,False,144.47400000000368,144.40571428571656,144.56280000000046,19.67702309,0.34279011155255495,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-28 17:00:00+00:00,go_long,go_short,0.0,94.61,94.61,go_long,0,do_nothing,1,do_nothing,93.86253932153085,94.69600000000399,go_short,94.61,0,94.29213225120868,94.70571428571695,94.61,93.74280000000053,False
