,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),close_date,ema-12 (exit),high (exit),volume (exit),sma-05 (exit),mean-grad-hist (exit),close (exit),sma-25 (exit),short-small-rl (exit),ema-26 (exit),sma-compare (exit),low (exit),short_kdj (exit),long-small-rl (exit),open (exit),long_jcrosk (exit),sma-07 (exit)
478,AR/USDT:USDT,2024-11-23 08:45:00+00:00,first_buy,force_exit,22.18,22.247,21.38800723041222,20.919529855532573,21.626,1,21.78,133965.0,1,False,21.787199999998986,21.544428571428316,20.936519999999895,-3.84561101,-0.29484936151219077,0,go_long,go_long,2025-01-12 16:15:00+00:00,15.71544415973736,15.889,1367.0,15.77879999999892,1,15.788,15.68155999999991,go_long,15.751091940670845,0,15.781,False,go_long,15.87,0,15.760428571428227
632,ASTR/USDT:USDT,2025-01-08 05:15:00+00:00,first_buy,force_exit,0.059590000000000004,0.0596,0.06010659093842263,0.060564205036708826,0.05933000000000001,1,0.05951000000000001,3849.0,0,False,0.05985800000000002,0.05993714285714411,0.06061040000000035,0.21580262,0.016461297815237003,1,go_long,go_long,2025-01-12 16:15:00+00:00,0.06082711014767742,0.06117,2606.0,0.06082600000000034,0,0.06099,0.06075160000000036,go_long,0.06079191203546674,0,0.06094000000000001,False,go_long,0.061090000000000005,0,0.060662857142858406
673,ATOM/USDT:USDT,2024-12-20 09:15:00+00:00,first_buy,force_exit,6.35,6.429,6.5956960856218885,6.730001150533785,6.246,1,6.283,13343.0,0,False,6.447400000000334,6.549857142857315,6.793520000000087,0.35606536,0.028316323065566817,1,go_long,go_long,2025-01-12 16:15:00+00:00,6.529577250757326,6.557,1600.0,6.525000000000316,1,6.51,6.5168800000000875,go_long,6.520432239489998,0,6.51,False,go_long,6.553,1,6.513714285714445
732,AUCTION/USDT:USDT,2025-01-08 03:15:00+00:00,first_buy,force_exit,15.931000000000001,15.931000000000001,16.091046220648654,16.23864322883826,15.734,1,15.862,12342.0,0,False,16.035399999999946,16.047571428571445,16.219640000000098,-0.39072192,-0.030771599742336373,1,go_long,go_long,2025-01-12 16:15:00+00:00,15.365658579929287,15.526,2326.0,15.420999999999916,1,15.419,15.33176000000009,go_long,15.39808785006756,0,15.419,False,go_long,15.526,1,15.415571428571445
787,AUDIO/USDT:USDT,2025-01-08 00:15:00+00:00,first_buy,force_exit,0.15097000000000002,0.15097000000000002,0.15217109329446818,0.1538582749866493,0.15037,1,0.15091000000000002,3370.0,0,False,0.15146600000001506,0.1517471428571354,0.15334760000000303,-0.78713228,-0.05867972977902056,1,go_long,go_long,2025-01-12 16:15:00+00:00,0.14440023694649684,0.14511000000000002,5074.0,0.14443200000001505,1,0.14376,0.1447800000000029,go_long,0.14436099740731603,0,0.14376,False,go_long,0.14511000000000002,1,0.14423999999999257
1134,BBL/USDT:USDT,2025-01-05 08:15:00+00:00,first_buy,force_exit,0.004834,0.0048649999999999995,0.004894977315846212,0.004922621969781864,0.004778999999999999,1,0.0048579999999999995,14845.0,0,False,0.0048694000000003386,0.004888571428572247,0.004904840000000026,-2.46077194,-0.18268188769793908,1,go_long,go_long,2025-01-12 16:15:00+00:00,0.003964981911772786,0.003977,3460.0,0.003949400000000338,1,0.003947,0.003962560000000031,go_long,0.003950952890056669,0,0.003947,False,go_long,0.003965,0,0.003946714285715089
826,AURORA/USDT:USDT,2025-01-08 04:00:00+00:00,first_buy,force_exit,0.1988,0.1988,0.19968649216491924,0.20040613678088848,0.1963,1,0.1966,156.0,0,False,0.19868000000000216,0.1996142857142902,0.20044799999999938,-1.0392084,-0.08801036196763562,1,go_long,go_long,2025-01-12 16:15:00+00:00,0.18073845509340053,0.18080000000000002,30.0,0.18078000000000202,1,0.1799,0.18057199999999937,go_long,0.1808026068968528,0,0.17930000000000001,False,go_long,0.18080000000000002,0,0.18121428571429052
895,AXS/USDT:USDT,2025-01-08 13:00:00+00:00,first_buy,force_exit,6.133,6.14,6.159604105565972,6.2030553744536645,6.085,1,6.088,16588.0,0,False,6.140600000000353,6.145000000000896,6.177400000000272,0.18750498,0.014634764040600204,1,go_long,go_long,2025-01-12 16:15:00+00:00,6.1779219188766445,6.241,62297.0,6.200000000000353,1,6.195,6.164720000000272,go_long,6.186719219707367,0,6.194,False,go_long,6.219,1,6.190571428572322
356,AMP/USDT:USDT,2025-01-07 19:45:00+00:00,first_buy,force_exit,0.007431999999999999,0.007431999999999999,0.007494352410592458,0.0076245754563544306,0.007346999999999999,1,0.007346999999999999,398.0,0,False,0.007416600000000065,0.00745414285714287,0.007651359999999985,-0.48924865,-0.06589724822837942,1,go_long,go_long,2025-01-12 16:15:00+00:00,0.006933983486276666,0.006947,0.0,0.0069284000000000515,0,0.006947,0.0069401199999999915,go_long,0.006935276035673545,1,0.006947,False,go_long,0.006947,0,0.006937714285714288
958,BAIDOGE/USDT:USDT,2025-01-07 19:15:00+00:00,first_buy,force_exit,0.2721,0.2728,0.2778720580070047,0.2843354726170847,0.27040000000000003,0,0.2728,338.0,0,False,0.27373999999999454,0.2749142857142818,0.28655999999999743,-0.8750844,-0.08011457018055258,1,go_long,go_long,2025-01-12 16:15:00+00:00,0.2505867653828896,0.2531,64.0,0.2525599999999943,1,0.2531,0.2497719999999974,go_long,0.25160758781443043,0,0.2529,False,go_long,0.2529,0,0.25204285714285307
