,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),high (exit),long-large-rl (exit),long_jcrosk (exit),sma-07 (exit),short-large-rl (exit),volume (exit),long-small-rl (exit),sma-05 (exit),mean-grad-hist (exit),low (exit),sma-compare (exit),sma-25 (exit),close (exit),ema-12 (exit),ema-26 (exit),open (exit),short_kdj (exit),short-small-rl (exit)
129,EGLD/USDT:USDT,2021-05-19 05:00:00+00:00,first_buy,stop_loss,127.669,128.613,135.1003370210841,138.8515639409295,122.1,1,126.208,23969.5,0,False,131.9956000000003,133.9974285714293,140.6691600000003,-19.91024328,-0.3943118780543845,1,go_long,go_long,go_long,go_long,110.451,go_long,1,110.6021428571436,go_long,36171.0,go_long,108.12220000000039,1,94.817,1,122.14596000000029,95.178,120.73341573969246,114.07177671491321,110.175,False,go_long
163,STORJ/USDT:USDT,2021-05-07 19:15:00+00:00,first_buy,stop_loss,2.4627,2.5700000000000003,2.2930581429949655,2.182526292791345,2.4057,1,2.4059,7873753.0,0,False,2.4020000000000117,2.360228571428587,2.148587999999999,-24.36053886,-0.4039371369325309,0,go_long,do_nothing,go_long,go_long,1.5136,go_long,0,1.509314285714302,go_long,467348.0,go_long,1.5068400000000064,1,1.4705,1,1.547639999999999,1.4779,1.5491016273635871,1.5216428023841384,1.5007000000000001,False,do_nothing
162,STORJ/USDT:USDT,2021-03-27 17:30:00+00:00,first_buy,stop_loss,2.7271,2.8,2.328076030511994,2.1996946489377716,2.6364,0,2.6927,19368520.0,0,False,2.4595399999999965,2.38205714285714,2.126547999999999,-29.17725534,-0.492130586555896,0,go_long,do_nothing,go_long,go_long,2.1874000000000002,go_long,0,2.193028571428582,go_long,3971774.0,go_long,2.167680000000002,1,1.8026,1,2.314207999999999,1.9649,2.2873211543404213,2.2144919593131798,2.1856,False,do_nothing
159,COMP/USDT:USDT,2024-05-25 03:45:00+00:00,first_buy,stop_loss,64.64,64.64,62.745976924926104,61.74970384038152,63.98,0,64.26,14007.432,0,False,63.80999999999972,63.20142857142576,61.40119999999848,-24.3662781,-0.397069037600722,0,go_long,do_nothing,go_long,go_long,40.36,go_long,0,40.564285714282555,go_long,21028.207,go_long,40.36599999999986,1,39.4,1,41.537999999998426,39.48,41.376532437313244,40.7886889898578,40.28,False,do_nothing
158,COMP/USDT:USDT,2024-02-26 02:30:00+00:00,first_buy,stop_loss,74.43,74.51,71.98589605745411,70.66103113660348,73.14,1,73.82,36597.811,0,False,73.56199999999981,72.92571428571216,69.97159999999859,-26.52793243,-0.432472368123465,0,go_long,do_nothing,go_long,go_long,53.0,go_long,0,52.93142857142573,go_long,131682.426,go_long,52.68999999999993,1,46.5,1,54.59079999999849,49.48,54.23584333055743,53.06875424767684,52.91,False,do_nothing
157,COMP/USDT:USDT,2023-07-02 14:30:00+00:00,first_buy,stop_loss,63.94,64.88,61.92978375425169,59.937968418464294,62.7,0,63.2,447465.741,1,False,62.54199999999969,62.449999999997814,59.754399999998405,-17.93477639,-0.2922624874473041,0,go_long,do_nothing,go_long,go_long,46.22,go_long,0,46.374285714283765,go_long,31212.395,go_long,46.23199999999936,1,45.81,0,46.161199999998516,45.97,46.29030502746179,46.31738548868848,45.96,False,do_nothing
156,COMP/USDT:USDT,2023-01-14 07:00:00+00:00,first_buy,stop_loss,47.87,53.22,43.89887993196519,42.222517537971946,47.82,0,52.3,524143.892,0,False,45.13799999999969,44.045714285712336,41.85599999999873,-26.18775415,-0.4264464237152789,0,go_long,do_nothing,go_long,go_long,34.26,go_long,0,34.53714285714055,go_long,41848.029,go_long,34.2679999999997,1,32.54,1,35.0287999999985,32.66,34.87141011461701,34.56618181205503,34.22,False,do_nothing
155,COMP/USDT:USDT,2022-06-25 05:15:00+00:00,first_buy,stop_loss,50.18,51.0,48.10858757649395,47.22189102478094,49.81,0,50.87,86934.306,0,False,48.890000000000114,48.384285714284566,47.075999999998714,-22.4892044,-0.3662826525117508,0,go_long,do_nothing,go_long,go_long,32.2,go_long,0,32.34428571428385,go_long,8740.907,go_long,32.27599999999961,1,31.81,1,32.72919999999878,31.84,32.745070717661655,32.40879841706319,32.18,False,do_nothing
306,MKR/USDT:USDT,2022-10-04 10:30:00+00:00,first_buy,stop_loss,863.8,865.5,849.211650307823,840.4059671568654,857.2,0,860.8,2390.101,0,False,856.3400000000086,853.1857142857107,838.6960000000139,-22.91685599,-0.3745935982900287,0,go_long,go_long,go_long,go_long,532.9,go_long,0,533.9142857142831,go_long,246.951,go_long,533.5200000000048,1,529.2,1,534.7080000000117,529.3,535.505148733171,533.5778690210392,532.9,False,go_long
152,COMP/USDT:USDT,2022-05-02 11:15:00+00:00,first_buy,stop_loss,104.02,104.1,104.68539954693051,105.29959714137641,102.96,1,103.14,4120.731,1,False,104.15200000000065,104.33999999999892,105.8927999999986,-24.23915391,-0.3952481144426779,1,go_long,do_nothing,go_long,go_long,65.68,go_long,0,65.47714285714169,go_long,30614.554,go_long,64.63200000000037,1,62.8,1,68.98599999999854,63.81,68.67249618725158,66.66118214931032,63.17,False,do_nothing
150,COMP/USDT:USDT,2021-12-04 05:00:00+00:00,first_buy,stop_loss,238.42,240.79,242.15548058486073,247.13900275658406,220.0,1,225.84,34279.486,1,False,238.20400000000123,240.4257142857144,248.2431999999985,-24.93245778,-0.4071488413468885,1,go_long,do_nothing,go_long,go_long,148.8,go_long,0,147.82571428571413,go_long,13731.251,go_long,148.10800000000108,1,142.03,0,150.50079999999843,142.91,149.86439356900866,148.50796793064563,148.14,False,do_nothing
149,COMP/USDT:USDT,2021-07-03 08:30:00+00:00,first_buy,stop_loss,383.96,384.24,373.8078237313201,370.309190323281,380.23,0,380.55,6201.691,0,False,377.5620000000015,373.88857142857097,370.20359999999897,-30.25669661,-0.4932143716225864,0,go_long,do_nothing,go_long,go_long,243.51,go_long,0,243.65428571428586,go_long,4205.737,go_long,242.21400000000122,1,238.35,1,249.4239999999985,238.41,248.8429229771108,245.12193160028994,242.18,False,do_nothing
148,COMP/USDT:USDT,2021-05-26 11:15:00+00:00,first_buy,stop_loss,457.28,458.23,448.34028222398456,443.4523103082846,449.72,0,456.22,2109.805,0,False,448.5240000000009,448.61714285714294,444.7635999999987,-24.45878211,-0.399872544072871,0,go_long,do_nothing,go_long,go_long,284.05,go_long,0,285.372857142857,go_long,1163.393,go_long,284.3140000000008,1,280.16,1,289.5843999999993,280.29,289.53677143332885,285.7917289816901,283.58,False,do_nothing
128,EGLD/USDT:USDT,2021-05-06 10:30:00+00:00,first_buy,stop_loss,200.051,204.978,198.55837470822976,196.41739823601867,199.819,0,203.94,13562.9,0,False,199.75400000000053,199.11542857142882,195.56376000000003,-24.64501523,-0.4020535894410342,0,go_long,go_long,go_long,go_long,133.416,go_long,0,135.76728571428646,go_long,17204.9,go_long,134.37800000000033,1,126.326,1,141.5118400000003,127.725,139.86304905620386,136.7171255703721,130.848,False,go_long
147,COMP/USDT:USDT,2021-05-19 17:45:00+00:00,first_buy,stop_loss,552.74,552.74,512.2475324871449,509.4660752700587,524.32,1,527.23,4203.555,0,False,538.8280000000003,527.7285714285717,480.3995999999986,-24.2097624,-0.3951563632165307,0,go_long,do_nothing,go_long,go_long,343.04,go_long,1,347.97571428571456,go_long,3730.795,go_long,342.8880000000002,1,330.0,1,368.3499999999987,330.5,365.1504255431622,353.18102259972005,342.96,False,do_nothing
144,COMP/USDT:USDT,2020-06-30 15:45:00+00:00,first_buy,stop_loss,219.05,219.25,218.84558697542113,220.15118233618227,218.14,0,218.19,985.569,0,False,218.18800000000002,217.87428571428578,219.59839999999994,-22.16405001,-0.36113857640314634,0,go_long,do_nothing,go_long,go_long,140.78,go_long,0,140.46285714285798,go_long,8649.091,go_long,139.78800000000007,1,133.71,1,142.90119999999996,134.76,142.45868132335983,140.78417510359174,140.78,False,do_nothing
142,EGLD/USDT:USDT,2024-04-13 20:00:00+00:00,first_buy,stop_loss,39.62,39.62,39.91859882025201,40.80493565917889,35.27,1,37.51,136154.6,0,False,39.62400000000345,39.77285714285876,41.11000000000121,-25.35442227,-0.421926525466804,1,go_long,go_long,go_long,go_long,26.295,go_long,0,26.485285714287507,go_long,56763.0,go_long,26.335800000003236,1,25.1,1,26.95144000000154,25.479,26.778341424729803,26.580144776371046,26.063,False,go_long
141,EGLD/USDT:USDT,2023-12-10 00:15:00+00:00,first_buy,stop_loss,60.19,60.92,58.362224423950494,57.591888011125455,58.32,0,59.03,233563.2,1,False,59.010000000003274,58.767142857144286,57.534000000001186,-29.10632778,-0.49258428814959393,0,go_long,go_long,go_long,go_long,40.36,go_long,0,40.09285714285876,go_long,17143.2,go_long,40.17200000000345,1,39.58,0,41.31840000000121,39.61,41.068530511913195,40.356525878479644,39.99,False,go_long
140,EGLD/USDT:USDT,2023-02-16 15:45:00+00:00,first_buy,stop_loss,52.47,53.65,48.06103846327825,47.40339270556368,50.72,0,51.83,482000.8,0,False,48.61400000000339,47.90428571428743,47.184000000001525,-23.61299575,-0.4139944953256641,0,go_long,go_long,go_long,go_long,33.26,go_long,0,33.24571428571555,go_long,12753.9,go_long,33.21200000000343,1,32.99,1,34.10280000000128,33.1,33.928621893752336,33.51751786461958,33.08,False,go_long
