,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),short_kdj (exit),long-large-rl (exit),open (exit),ema-26 (exit),short-large-rl (exit),long_jcrosk (exit),sma-07 (exit),sma-25 (exit),short-small-rl (exit),close (exit),mean-grad-hist (exit),sma-05 (exit),long-bid-rl (exit),long-small-rl (exit),short-bid-rl (exit),sma-compare (exit),low (exit),volume (exit),ema-12 (exit),high (exit)
177,BNB/USDT:USDT,2021-11-07 06:15:00+00:00,second_buy,short-exit-profit,659.0,665.403,653.4860262689518,646.4110511813865,658.998,0,662.395,1311181.0,0,False,657.6610000000016,657.1470000000016,645.6323599999979,3.47004051,0.4033747031052264,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,405.743,409.49551456574636,go_long,0,407.0469999999994,416.07983999999925,go_long,394.583,1,406.7974000000015,go_short,go_long,go_short,1,393.921,3031955.0,413.93103563563574,406.67
287,ALGO/USDT:USDT,2022-03-25 15:00:00+00:00,second_buy,short-exit-profit,0.93,0.9442,0.9174401382955524,0.9102870604523411,0.93,0,0.9393,4364.0,0,False,0.9256799999999938,0.9213857142857188,0.9059119999999957,3.780015,0.4029604684556761,0,go_long,do_nothing,go_long,go_long,go_short,go_short,False,go_long,0.5865,0.5939009142141315,go_long,0,0.5924285714285771,0.6025719999999946,do_nothing,0.5599000000000001,1,0.5881799999999944,go_short,go_long,go_short,1,0.5369,42390.0,0.602319966738366,0.5865
62,AAVE/USDT:USDT,2022-01-15 12:15:00+00:00,second_buy,short-exit-profit,235.0,235.351,232.93316515505705,231.56905585729285,233.552,1,233.654,5526.0,0,False,233.48739999999572,233.64457142857137,231.51491999999598,2.83769952,0.40552089678172704,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,143.249,149.46599824145702,go_long,0,147.62099999999973,156.51007999999567,go_long,138.756,1,146.28299999999564,go_short,go_long,go_short,1,134.455,135913.0,155.52605702970914,144.075
197,ALGO/USDT:USDT,2020-03-12 11:15:00+00:00,second_buy,short-exit-profit,0.1736,0.18330000000000002,0.20328976842794974,0.21813870587581688,0.154,1,0.1764,131408.0,0,False,0.19050000000000009,0.1985857142857163,0.2208719999999988,3.5961,0.41115930322098226,1,go_long,do_nothing,go_long,go_long,go_short,go_short,False,go_long,0.113,0.1305285257057347,go_long,0,0.12450000000000198,0.15053599999999867,do_nothing,0.1063,1,0.12114,go_short,go_long,go_short,1,0.1029,6887.0,0.14584648891242305,0.1197
126,BNB/USDT:USDT,2020-03-12 04:30:00+00:00,second_buy,short-exit-profit,15.318,15.384,15.633593799850104,15.865441491125287,15.176,1,15.234,5385.0,0,False,15.462400000000073,15.501285714285743,16.035799999999963,3.98772105,0.39428373509602593,1,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,9.41,10.127285416890098,go_long,0,9.633142857142888,11.062799999999966,go_long,9.236,0,9.320600000000079,go_short,go_long,go_short,1,9.227,121709.0,10.820040299073284,9.89
65,AAVE/USDT:USDT,2022-02-08 06:15:00+00:00,second_buy,short-exit-profit,190.168,192.218,188.35862168645073,186.35070807754286,190.024,0,191.376,12238.0,1,False,189.6553999999958,189.21057142857106,185.60467999999594,3.02497808,0.3948062592685519,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,117.931,120.84280882473142,go_long,1,118.51557142857057,125.80211999999625,go_long,116.544,0,118.24999999999508,go_short,go_long,go_short,1,116.46,6032.0,124.93285168037839,118.277
195,ALGO/USDT:USDT,2020-02-24 13:00:00+00:00,second_buy,short-exit-profit,0.48,0.487,0.4658031007989602,0.4580570852789221,0.48,0,0.4862,8041.0,0,False,0.4748199999999992,0.47177142857142923,0.45220799999999983,3.94251,0.4058470234940823,0,go_long,do_nothing,go_long,go_long,go_short,go_short,False,go_long,0.2978,0.30372826542603787,go_long,0,0.3020571428571444,0.31029199999999874,do_nothing,0.2881,1,0.3002400000000001,go_short,go_long,go_short,1,0.28750000000000003,26801.0,0.3085262162339837,0.2988
86,AAVE/USDT:USDT,2022-11-04 07:45:00+00:00,second_buy,short-exit-profit,91.642,94.948,89.79467063205851,88.17381714624277,91.269,0,94.2,231858.0,0,False,90.88819999999592,90.09514285714181,87.78519999999537,3.35465613,0.3959427411366202,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,57.605,58.2594907837518,go_long,0,58.08957142857052,58.891079999995355,go_long,56.65,1,57.9265999999957,go_short,go_long,go_short,1,55.654,53451.0,58.540410691504015,57.634
173,BNB/USDT:USDT,2021-04-12 03:15:00+00:00,second_buy,short-exit-profit,523.991,540.0,524.2356580947951,518.6112071072272,520.035,0,537.383,9067.0,0,False,525.4990000000004,524.9284285714275,519.5431199999998,3.71633379,0.43286640026109424,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,332.198,375.27096866249514,go_long,0,364.4457142857168,410.90496000000053,go_long,304.721,1,353.1614000000003,go_short,go_long,go_short,1,263.818,8957299.0,402.3299200067469,334.638
190,BNB/USDT:USDT,2024-06-05 01:30:00+00:00,second_buy,short-exit-profit,693.75,718.05,690.1171208716632,681.7701719579212,693.6,0,712.6,6633656.0,1,False,695.3800000000055,692.6928571428571,679.9580000000009,3.15127415,0.4024224451532899,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,439.0,445.9182851206615,go_long,0,442.32857142856943,461.1940000000013,go_long,432.5,1,441.4500000000062,go_short,go_long,go_short,1,426.15,3536632.0,459.40518807159606,439.3
