,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),close_date,grads-ratio (entry),close (exit),long_jcrosk (exit),nlp-enter-short (exit),nlp-exit-short (exit),open (exit),imit-exit-short (exit),short_kdj (exit),ema-26 (exit),mean-grad-hist (exit),sma-25 (exit),low (exit),ema-12 (exit),grads-ratio (exit),volume (exit),sma-05 (exit),imit-enter-short (exit),sma-07 (exit),high (exit),nlp-enter-long (exit)
46,ALT/USDT:USDT,2024-06-07 17:30:00+00:00,first_buy,force_exit,0.3446,0.34590000000000004,0.3490876123381206,0.3514252987923389,0.34240000000000004,1,0.3456,390950.0,0,False,0.34752000000000427,0.3482285714285741,0.3517560000000013,-35.30283372,-0.17179689523439526,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,-0.6226053639846305,0.2871,0,go_short,go_short,0.2872,go_short,False,0.2880592878786612,0,0.2902840000000011,0.28700000000000003,0.2898852288045466,-0.6226053639846305,44641.0,0.2873400000000039,go_short,0.28750000000000264,0.2876,go_short
452,PEOPLE/USDT:USDT,2024-06-08 17:15:00+00:00,second_buy,force_exit,0.13178,0.13519,0.12623009749630587,0.12114035908950009,0.13067,1,0.13469,99688210.0,0,False,0.13030199999999958,0.12862285714285718,0.11887440000000003,11.71952001,0.05663079367659002,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,0.053804520853228364,0.1269,0,go_short,go_short,0.12658,go_short,False,0.12775498174580627,0,0.12878240000000007,0.12652000000000002,0.1286721450996403,0.053804520853228364,6554919.0,0.12702599999999936,go_short,0.12748857142857165,0.1272,go_short
41,ALPACA/USDT:USDT,2024-06-05 16:30:00+00:00,second_buy,force_exit,0.18957000000000002,0.19389,0.1878688372644466,0.18677046039782405,0.18827000000000002,1,0.18867,234847.0,1,False,0.18867199999999787,0.1884042857142849,0.18683639999999888,25.7088809,0.12641348085206522,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,0.12339475153545809,0.16477,1,go_short,go_short,0.16489,go_short,False,0.16501110708037064,0,0.16570919999999867,0.16464,0.16544164862867158,0.12339475153545809,2129.0,0.16484799999999739,go_short,0.16484999999999925,0.16512000000000002,go_short
5,1INCH/USDT:USDT,2024-05-30 19:45:00+00:00,second_buy,force_exit,0.5146000000000001,0.5317000000000001,0.494566152740564,0.4847545183098963,0.5137,0,0.5205000000000001,2660531.3,0,False,0.5055600000000022,0.4991285714285704,0.47940399999999966,35.06125867,0.1693749200393754,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,0.37246680642907937,0.43310000000000004,0,go_short,go_short,0.43410000000000004,go_short,False,0.43490885231893617,0,0.43751599999999974,0.43310000000000004,0.4369407136512568,0.37246680642907937,40898.6,0.43382000000000326,go_short,0.4342285714285695,0.43410000000000004,go_short
487,SUI/USDT:USDT,2024-06-07 18:15:00+00:00,first_buy,force_exit,1.1188,1.1229,1.1217762819958543,1.1381591777753823,0.966,1,0.9941000000000001,31821950.0,0,False,1.1064599999999891,1.1193000000000022,1.1457520000000014,7.2967698,0.036663717531839446,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,-0.11111111111107899,1.0337,0,go_short,go_short,1.0347,go_short,False,1.0380538214316173,1,1.0425880000000016,1.0324,1.0430531025352805,-0.11111111111107899,276710.0,1.0365599999999884,go_short,1.0373714285714317,1.0352,go_short
477,SOL/USDT:USDT,2024-06-07 18:15:00+00:00,first_buy,force_exit,165.38,165.69,166.36113177407887,168.64405720527293,152.2,1,153.55,2008725.7,0,False,164.47600000000057,165.85428571428753,169.65520000000097,6.54783051,0.03276952744422624,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,-0.30721393034828814,159.06,0,go_short,go_short,159.01,go_short,False,159.39910032805798,0,160.24960000000107,158.74,159.8625740022001,-0.30721393034828814,18426.5,159.1000000000006,go_short,159.20428571428778,159.16,go_short
488,VELO/USDT:USDT,2024-05-20 16:30:00+00:00,second_buy,force_exit,0.019396,0.019476,0.019415977950258744,0.019486659544159544,0.019365,0,0.019405,6208930.0,0,False,0.019394,0.01941514285714285,0.019484920000000003,49.11849412,0.22992400400939653,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,2.124367317425903,0.015156999999999999,0,go_short,go_short,0.015212999999999999,go_short,False,0.015258283644684591,1,0.015385280000000008,0.015142,0.015417316386821435,2.124367317425903,735400.0,0.015192999999999974,go_short,0.01521914285714282,0.015214,go_short
482,SSV/USDT:USDT,2024-06-07 18:00:00+00:00,first_buy,force_exit,41.945,42.03,42.28309499901773,42.60857045396103,41.06,1,41.165,5806.79,0,False,41.94499999999975,42.153571428571546,42.706399999999896,-17.75499768,-0.08549247424505532,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,-0.1295465869457101,37.76,0,go_short,go_short,37.975,go_short,False,38.005433829728354,1,38.15459999999988,37.635,38.15978277869941,-0.1295465869457101,3307.01,37.95599999999973,go_short,37.96928571428584,37.985,go_short
36,ALGO/USDT:USDT,2024-04-24 04:45:00+00:00,second_buy,force_exit,0.2097,0.22840000000000002,0.20864253601618077,0.20367224037611112,0.2096,0,0.22740000000000002,21362191.1,0,False,0.21223999999999849,0.20975714285714267,0.20195999999999983,62.35566439,0.2742664376523076,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,0.1561561561561796,0.1665,0,go_short,go_short,0.1668,go_short,False,0.16703096419842073,0,0.1679159999999998,0.16640000000000002,0.16770458007151276,0.1561561561561796,266829.0,0.16673999999999894,go_short,0.16675714285714252,0.1668,go_short
25,AGI/USDT:USDT,2024-06-07 18:15:00+00:00,second_buy,force_exit,0.28778000000000004,0.28843,0.2845674576622125,0.29155405132260387,0.2107,1,0.22973000000000002,11885590.0,0,False,0.2790400000000014,0.28376142857142744,0.294895999999998,-11.70433877,-0.056665819415182186,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,1.1031720828481695,0.24242000000000002,1,go_short,go_short,0.2424,go_short,False,0.24701831890402706,0,0.25283719999999793,0.24221,0.25118126370420696,1.1031720828481695,183050.0,0.24322200000000094,go_short,0.24487571428571295,0.24362000000000003,go_short
