,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),nlp-exit-short (entry),close_date,long-bid-rl (exit),volume (exit),sma-compare (exit),long_jcrosk (exit),sma-07 (exit),close (exit),long-large-rl (exit),nlp-exit-short (exit),short-bid-rl (exit),sma-25 (exit),imit-exit-short (exit),open (exit),ema-12 (exit),nlp-enter-long (exit),low (exit),imit-enter-short (exit),short-large-rl (exit),high (exit),short_kdj (exit),nlp-enter-short (exit),sma-05 (exit),short-small-rl (exit),ema-26 (exit),long-small-rl (exit),mean-grad-hist (exit)
145,ADA/USDT:USDT,2024-04-13 20:30:00+00:00,second_buy,roi,0.42560000000000003,0.4269,0.45977800651829054,0.47628761187085134,0.40190000000000003,1,0.4112,312660.0,0,False,0.44731999999998673,0.457214285714279,0.48236000000002166,0.06381403,0.007769144722440757,1,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-11 15:30:00+00:00,go_short,2187.0,0,0,0.4254428571428512,0.4258,go_short,go_short,go_short,0.42844800000002187,go_short,0.42660000000000003,0.4281405102405905,go_short,0.4254,go_short,go_short,0.4274,False,go_short,0.425839999999989,go_short,0.4265420135595752,go_long,1
144,ADA/USDT:USDT,2024-04-13 17:45:00+00:00,second_buy,roi,0.47690000000000005,0.482,0.49157035341355476,0.4984013094852809,0.4651,1,0.4743,261232.0,0,False,0.48425999999998676,0.48808571428570763,0.5018440000000215,0.483995,0.10201715718666655,1,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2024-04-13 20:15:00+00:00,go_short,909906.0,1,0,0.4670285714285648,0.42610000000000003,go_short,go_short,go_short,0.48617600000002165,go_short,0.4504,0.48149462082051947,go_short,0.3951,go_short,go_short,0.4546,False,go_short,0.46093999999998675,go_short,0.46861037133979794,go_long,1
143,ADA/USDT:USDT,2024-04-12 18:45:00+00:00,second_buy,roi,0.5205000000000001,0.521,0.530489132447653,0.5483111665964844,0.43510000000000004,1,0.4685,1563454.0,0,False,0.5154799999999864,0.5223428571428504,0.5530160000000215,0.020266,0.00432635664028285,1,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2024-04-13 17:30:00+00:00,go_short,184097.0,1,0,0.4920714285714219,0.47690000000000005,go_short,go_short,go_short,0.5033560000000216,go_short,0.4824,0.5003294142441034,go_short,0.47390000000000004,go_short,go_short,0.4863,False,go_short,0.4887199999999868,go_short,0.49471041767056473,go_long,1
126,ADA/USDT:USDT,2022-12-19 20:45:00+00:00,second_buy,roi,0.25535,0.25619000000000003,0.25575910821492753,0.2578077295063892,0.25535,0,0.25565000000000004,2837.0,0,False,0.25511999999999013,0.25466142857142293,0.25858360000002106,0.0642315,0.008378394031247823,0,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2022-12-20 00:45:00+00:00,go_short,2258.0,0,0,0.2526757142857087,0.25329,go_short,go_short,go_short,0.253987600000021,go_short,0.25216,0.2546343644731488,go_short,0.25214000000000003,go_short,go_short,0.25359000000000004,False,go_short,0.25284999999999,go_short,0.2532308202572413,go_long,0
127,ADA/USDT:USDT,2022-12-20 01:00:00+00:00,second_buy,roi,0.25315000000000004,0.25315000000000004,0.25311838637151185,0.2544762634010637,0.25215000000000004,0,0.2525,12240.0,0,False,0.25273999999999003,0.2527971428571373,0.253885200000021,0.0308874,0.004082919778981897,1,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2022-12-21 04:45:00+00:00,go_short,3754.0,1,0,0.25318428571428014,0.25154000000000004,go_short,go_short,go_short,0.25636640000002087,go_short,0.25203000000000003,0.255664911952835,go_short,0.25139,go_short,go_short,0.25216,False,go_short,0.25276599999998994,go_short,0.25414639545823886,go_long,1
128,ADA/USDT:USDT,2022-12-21 05:00:00+00:00,second_buy,roi,0.25103000000000003,0.25171000000000004,0.2533607961569713,0.25517417773410644,0.24846000000000001,1,0.24904,13629.0,0,False,0.2517439999999899,0.2524457142857087,0.25599760000002086,0.0292926,0.0039240300200634225,1,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2022-12-22 15:00:00+00:00,go_short,8747.0,1,0,0.2512742857142801,0.24956000000000003,go_short,go_short,go_short,0.252327200000021,go_short,0.25023,0.25202229454522096,go_short,0.24926,go_short,go_short,0.25027000000000005,False,go_short,0.25087799999998994,go_short,0.25152135632232486,go_long,1
129,ADA/USDT:USDT,2022-12-22 15:15:00+00:00,second_buy,roi,0.24952000000000002,0.24959000000000003,0.2510842245804287,0.2517747171715009,0.24619000000000002,1,0.24868,30192.0,0,False,0.25021199999998994,0.250671428571423,0.25217000000002104,0.0286572,0.00384385028218442,1,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2022-12-28 21:15:00+00:00,go_short,4337.0,1,0,0.25098999999999416,0.25017,go_short,go_short,go_short,0.2514228000000207,go_short,0.25113,0.2514429845050406,go_short,0.25001,go_short,go_short,0.25113,False,go_short,0.2509519999999893,go_short,0.25117079172963885,go_long,1
130,ADA/USDT:USDT,2022-12-28 21:30:00+00:00,second_buy,roi,0.25055,0.25055,0.2507122083866175,0.2512020226898524,0.24704,1,0.24819000000000002,51413.0,0,False,0.2503879999999893,0.2505328571428513,0.2511812000000207,0.0520791,0.007003214878119161,1,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2022-12-29 01:30:00+00:00,go_short,2994.0,1,0,0.24623714285713705,0.24548000000000003,go_short,go_short,go_short,0.2485328000000207,go_short,0.24565,0.2482052734273171,go_short,0.24509000000000003,go_short,go_short,0.24568,False,go_short,0.24566399999998917,go_short,0.24689334344491692,go_long,0
131,ADA/USDT:USDT,2022-12-29 01:45:00+00:00,second_buy,roi,0.2459,0.24606000000000003,0.24674052137646818,0.24803451243270103,0.24555000000000002,0,0.2459,1409.0,0,False,0.24595599999998918,0.24593142857142275,0.24830600000002068,0.0291843,0.00396346527650203,0,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2022-12-29 07:15:00+00:00,go_short,5756.0,0,0,0.24520285714285134,0.24457,go_short,go_short,go_short,0.24507960000002074,go_short,0.24511000000000002,0.2456500809741707,go_short,0.24448000000000003,go_short,go_short,0.24538000000000001,False,go_short,0.24511199999998928,go_short,0.24519251862907296,go_long,1
132,ADA/USDT:USDT,2022-12-29 07:30:00+00:00,second_buy,roi,0.24464000000000002,0.24483000000000002,0.24502443883998481,0.24553526016126917,0.24398000000000003,1,0.2441,5577.0,0,False,0.24485199999998927,0.24506714285713707,0.24500480000002078,0.0280932,0.003840766112338676,0,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2022-12-29 19:45:00+00:00,go_short,3435.0,1,0,0.24446857142856573,0.24359000000000003,go_short,go_short,go_short,0.24523520000002086,go_short,0.24361000000000002,0.24499076188206204,go_short,0.24359000000000003,go_short,go_short,0.24408000000000002,False,go_short,0.24441199999998903,go_short,0.24465203240380226,go_long,1
