,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,mean-grad-hist (exit),high (exit),long_jcrosk (exit),sma-05 (exit),long-small-rl (exit),short_kdj (exit),close (exit),ema-26 (exit),long-large-rl (exit),sma-07 (exit),sma-25 (exit),short-large-rl (exit),long-bid-rl (exit),short-bid-rl (exit),volume (exit),ema-12 (exit),short-small-rl (exit),sma-compare (exit),low (exit),open (exit)
75,LDO/USDT:USDT,2023-01-06 17:30:00+00:00,first_buy,long-exit-profit,1.4568,1.475,1.3968158391328418,1.3545024598795614,1.4518,0,1.4671,7802805.0,0,False,1.4412799999999926,1.4221142857142934,1.3308240000000018,24.33397652,0.40414334655803225,0,go_short,go_long,go_long,go_long,go_long,go_long,2023-01-08 21:15:00+00:00,0,2.08,0,1.9515599999999929,go_short,False,2.0433,1.8133832051471281,go_long,1.864085714285724,1.6866600000000023,go_long,go_long,go_long,12553302.0,1.7233072099816462,go_long,0,1.9252,1.9287
76,LDO/USDT:USDT,2023-01-08 21:30:00+00:00,first_buy,long-exit-profit,2.0416,2.126,1.8554934812783392,1.7502548240570799,2.0006,0,2.0871,14494143.0,0,False,1.9729399999999928,1.9278428571428667,1.705580000000002,23.88878189,0.39429264121685054,0,go_short,go_long,go_long,go_long,go_long,go_long,2023-02-16 17:45:00+00:00,0,2.9501,0,2.8680799999999964,go_short,False,2.9493,2.842910431535938,go_long,2.8527714285714247,2.784980000000004,go_long,go_long,go_long,2447034.0,2.809183648997097,go_long,0,2.8695,2.8739
78,LDO/USDT:USDT,2023-05-06 14:15:00+00:00,first_buy,long-exit-profit,1.8107000000000002,1.8113000000000001,1.818944736408469,1.8362341528760393,1.7772000000000001,0,1.8010000000000002,2379055.0,0,False,1.8071399999999698,1.8106142857142853,1.8368000000000049,24.84367091,0.4052891216469357,1,go_short,go_long,go_long,go_long,go_long,go_long,2023-11-22 21:15:00+00:00,0,2.65,1,2.575939999999998,go_short,False,2.635,2.550437680883096,go_long,2.5623571428571514,2.5092800000000057,go_long,go_long,go_long,2552312.0,2.516436829826344,go_long,0,2.5755,2.5784000000000002
79,LDO/USDT:USDT,2023-11-22 21:30:00+00:00,first_buy,long-exit-profit,2.6348000000000003,2.6498,2.56177034536262,2.524411879468837,2.6048,0,2.6241,1168477.0,0,False,2.592419999999998,2.5763571428571512,2.5162000000000058,24.86899361,0.41162274648571096,0,go_short,go_long,go_long,go_long,go_long,go_long,2024-01-10 01:00:00+00:00,1,3.8017000000000003,0,3.7292199999999993,go_short,False,3.7984,3.650104142771716,go_long,3.687071428571437,3.506024000000015,go_long,go_long,go_long,2743879.0,3.5392480866398555,go_long,0,3.7171000000000003,3.7411
81,LDO/USDT:USDT,2024-03-19 07:30:00+00:00,first_buy,long-exit-profit,2.2772,2.3398,2.3646480111168238,2.4001050525184358,2.253,0,2.3398,1352093.0,0,False,2.3374400000000124,2.3542428571428715,2.404624000000017,24.54742166,0.40312365426926466,1,go_short,go_long,go_long,go_long,go_long,go_long,2024-03-25 07:00:00+00:00,1,3.2992,0,3.278520000000017,go_short,False,3.2987,3.256319676649971,go_long,3.2764142857143,3.2031520000000175,go_long,go_long,go_long,388189.0,3.218544330866843,go_long,0,3.2707,3.2749
65,OGN/USDT:USDT,2023-09-30 20:00:00+00:00,first_buy,long-exit-profit,0.1394,0.14350000000000002,0.13027990973919812,0.12439266648494217,0.1393,0,0.1421,249769130.0,0,False,0.13786000000001006,0.13360000000000014,0.12263599999999988,25.58062667,0.41696560836183144,0,go_short,go_long,do_nothing,do_nothing,go_long,go_long,2024-01-11 18:45:00+00:00,1,0.203,1,0.19546000000001057,go_short,False,0.2005,0.19119949645605025,do_nothing,0.19405714285714235,0.18339999999999995,do_nothing,go_long,go_long,21352174.0,0.1851479820874624,go_long,0,0.1965,0.1967
64,OGN/USDT:USDT,2023-09-08 04:30:00+00:00,first_buy,long-exit-profit,0.0976,0.1027,0.08956840943299292,0.08515315232335664,0.0964,0,0.1024,148752776.0,0,False,0.09416000000001032,0.09158571428571452,0.0833039999999999,24.1813403,0.3938397184905037,0,go_short,go_long,do_nothing,do_nothing,go_long,go_long,2023-09-30 19:45:00+00:00,0,0.1418,1,0.13474000000001007,go_short,False,0.1394,0.12813080241905234,do_nothing,0.12985714285714298,0.12171999999999988,do_nothing,go_long,go_long,206045067.0,0.12297607980373754,go_long,0,0.1376,0.1379
84,LDO/USDT:USDT,2024-08-04 17:15:00+00:00,first_buy,long-exit-profit,1.2565,1.2570999999999999,1.2746122350069817,1.297119042818178,1.1972,1,1.2166000000000001,5056635.0,0,False,1.2559400000000278,1.2629285714285916,1.3094720000000064,24.82023618,0.4076521288822152,1,go_short,go_long,go_long,go_long,go_long,go_long,2024-11-25 16:00:00+00:00,0,1.7862,0,1.648860000000025,go_short,False,1.75,1.6384302237237853,go_long,1.6368142857143149,1.6058600000000025,go_long,go_long,go_long,11636862.0,1.6060132984246702,go_long,0,1.6824,1.6892
145,SXP/USDT:USDT,2020-07-27 15:15:00+00:00,first_buy,long-exit-profit,1.4114,1.4189,1.5051653857158058,1.5654142720986473,1.2407,1,1.3647,5748787.5,0,False,1.4560599999999975,1.4786142857142863,1.5820319999999994,24.60184012,0.4012739475980861,1,do_nothing,go_short,do_nothing,do_nothing,go_long,go_long,2020-08-04 00:15:00+00:00,0,1.9876,0,1.919840000000001,do_nothing,False,1.9717,1.902526320676212,do_nothing,1.908085714285718,1.8692760000000006,do_nothing,go_long,go_long,1066704.4,1.8794003594436783,go_short,0,1.9276,1.9298000000000002
63,OGN/USDT:USDT,2023-08-17 21:45:00+00:00,first_buy,long-exit-profit,0.0815,0.0815,0.0800829829895311,0.08163547850373108,0.0655,1,0.06670000000000001,47300484.0,0,False,0.07898000000001046,0.080157142857144,0.08199600000000005,28.17926666,0.4589461700210886,1,go_short,go_long,do_nothing,do_nothing,go_long,go_long,2023-09-08 04:15:00+00:00,0,0.0979,0,0.09130000000001032,go_short,False,0.0976,0.08723539296626436,do_nothing,0.08857142857142881,0.08233999999999991,do_nothing,go_long,go_long,117387947.0,0.08377340450922517,go_long,0,0.09190000000000001,0.093
60,OGN/USDT:USDT,2023-06-10 04:30:00+00:00,first_buy,long-exit-profit,0.077,0.077,0.07603065239366343,0.07828570575528877,0.060700000000000004,1,0.06420000000000001,38970207.0,0,False,0.07458000000001105,0.07555714285714372,0.07913199999999913,29.98529653,0.4885802089153852,1,go_short,go_long,do_nothing,do_nothing,go_long,go_long,2023-07-23 12:30:00+00:00,0,0.099,0,0.0868000000000109,go_short,False,0.0964,0.08407729270052253,do_nothing,0.08472857142857258,0.08020400000000003,do_nothing,go_long,go_long,360282271.0,0.0811946160475812,go_long,0,0.0886,0.0888
