,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),mean-grad-hist (exit),ema-26 (exit),imit-exit-short (exit),ema-12 (exit),volume (exit),sma-05 (exit),sma-25 (exit),open (exit),nlp-exit-short (exit),high (exit),close (exit),nlp-enter-long (exit),nlp-enter-short (exit),long_jcrosk (exit),low (exit),short_kdj (exit),imit-enter-short (exit),sma-07 (exit)
184,BAL/USDT:USDT,2022-07-16 16:15:00+00:00,second_buy,trailing_stop_loss,4.897,5.168,4.905842026182301,4.849812523568568,4.897,0,5.124,8219.0,0,False,4.947599999999893,4.924285714285711,4.82448000000002,-2.278026,-0.24560621109671132,go_short,go_short,go_short,go_short,go_short,0,6.272721414779346,go_short,6.233127002994248,0.0,6.312599999999885,6.202040000000018,6.329,go_short,6.329,6.329,go_short,go_short,0,6.329,False,go_short,6.3058571428571355
183,BAL/USDT:USDT,2022-06-24 19:30:00+00:00,second_buy,trailing_stop_loss,5.902,6.1,5.503976309310704,5.406128356504588,5.7059999999999995,0,5.816,211692.0,0,False,5.572999999999897,5.508000000000002,5.3674800000000085,1.0641024,0.11466237163791418,go_short,go_short,go_short,go_short,go_short,0,4.866176940033628,go_short,4.827877525454054,244.0,4.900199999999893,4.80900000000002,4.893,go_short,4.911,4.902,go_short,go_short,0,4.89,False,go_short,4.8874285714285675
182,BAL/USDT:USDT,2022-06-21 14:00:00+00:00,second_buy,trailing_stop_loss,4.771,4.855,4.704113927503509,4.683283931987633,4.747,0,4.855,3736.0,0,False,4.7247999999999015,4.694714285714284,4.694240000000011,-2.2855556,-0.2474574862573218,go_short,go_short,go_short,go_short,go_short,0,5.447244729185377,go_short,5.373338625024956,75469.0,5.483199999999898,5.345720000000008,5.432,go_short,5.977,5.898,go_short,go_short,0,5.426,False,go_short,5.443285714285715
181,BAL/USDT:USDT,2022-06-09 01:15:00+00:00,second_buy,trailing_stop_loss,7.659,8.343,7.736117690482066,7.7473257480856015,7.651,0,8.007,59837.0,0,False,7.713599999999919,7.6981428571428605,7.757200000000019,3.4981793,0.3971735928067806,go_short,go_short,go_short,go_short,go_short,0,4.676680096140511,go_short,4.669546646546643,108.0,4.6805999999999015,4.686760000000011,4.676,go_short,4.767,4.766,go_short,go_short,0,4.676,False,go_short,4.657999999999997
180,BAL/USDT:USDT,2022-05-11 14:00:00+00:00,second_buy,trailing_stop_loss,10.778,11.449,10.580554318479859,10.73703962028288,10.193,0,10.872,18665.0,0,False,10.246999999999932,10.341571428571427,10.839880000000024,2.1590736,0.24698697600507805,go_short,go_short,go_short,go_short,go_short,0,7.686866361478805,go_short,7.72655180793245,500.0,7.644599999999919,7.747040000000018,7.603,go_short,7.67,7.648,go_short,go_short,0,7.5969999999999995,False,go_short,7.653714285714289
179,BAL/USDT:USDT,2022-04-08 01:15:00+00:00,second_buy,trailing_stop_loss,19.754,20.696,19.634462497939225,19.34450900026747,19.754,0,20.228,66973.0,1,False,19.866199999999942,19.730714285714274,19.397840000000027,3.541772,0.4381695319998662,go_short,go_short,go_short,go_short,go_short,0,10.527564194567105,go_short,10.72624278990551,17060.0,10.115599999999931,10.816560000000022,10.377,go_short,10.769,10.112,go_short,go_short,0,10.112,False,go_short,10.376857142857142
178,BAL/USDT:USDT,2022-03-30 15:00:00+00:00,second_buy,trailing_stop_loss,16.169,16.407,15.826659142633229,15.57388356747261,16.169,0,16.2,11666.0,0,False,15.929399999999973,15.911714285714265,15.529400000000011,-2.2369155,-0.27649004811442296,go_short,go_short,go_short,go_short,go_short,0,19.52654658847363,go_short,19.273829720288866,18600.0,19.71419999999994,19.341760000000026,19.869,go_short,20.09,19.813,go_short,go_short,0,19.715,False,go_short,19.611142857142845
177,BAL/USDT:USDT,2022-03-23 21:45:00+00:00,second_buy,trailing_stop_loss,12.449,12.449,12.423489654111238,12.390232721325313,12.449,0,12.449,4.0,0,False,12.5036,12.428857142857137,12.373080000000002,-2.6990075,-0.3100316960868009,go_short,go_short,go_short,go_short,go_short,0,15.758778986748363,go_short,15.523794252870418,565.0,15.849999999999971,15.488240000000012,15.996,go_short,16.168,16.168,go_short,go_short,0,15.97,False,go_short,15.874857142857122
200,BAL/USDT:USDT,2024-03-05 11:00:00+00:00,second_buy,trailing_stop_loss,5.532,5.567,5.48182137179738,5.441432203286522,5.52,1,5.52,587.0,1,False,5.510399999999955,5.508571428571508,5.433280000000192,-0.59093988,-0.07621256073637024,go_short,go_short,go_short,go_short,go_short,0,5.885249208656999,go_short,5.858213674060347,842.0,5.902399999999955,5.864320000000196,5.929,go_short,5.929,5.929,go_short,go_short,0,5.929,False,go_short,5.894714285714367
201,BAL/USDT:USDT,2024-03-11 18:30:00+00:00,second_buy,trailing_stop_loss,5.93,5.982,5.899980099632845,5.867308957463284,5.93,0,5.981,3996.0,0,False,5.922199999999956,5.910714285714368,5.870320000000196,2.5770633,0.3330548380900848,go_short,go_short,go_short,go_short,go_short,0,3.9069341954710914,go_short,3.8750269557789263,0.0,3.9553999999999605,3.8670800000002092,3.955,go_short,3.955,3.955,go_short,go_short,1,3.955,False,go_short,3.922714285714347
202,BAL/USDT:USDT,2024-04-14 23:30:00+00:00,second_buy,trailing_stop_loss,4.013,4.013,3.923252011552462,3.8852471812767835,4.013,0,4.013,154.0,0,False,3.9665999999999597,3.9472857142857753,3.8742000000002097,-0.09580819,-0.01194917693671743,go_short,go_short,go_short,go_short,go_short,0,4.072279089490477,go_short,4.057812243372926,0.0,4.078399999999947,4.054880000000236,4.084,go_short,4.084,4.084,go_short,go_short,0,4.084,False,go_short,4.076571428571468
203,BAL/USDT:USDT,2024-05-26 15:00:00+00:00,second_buy,trailing_stop_loss,4.099,4.122,4.079620768030404,4.06241874386382,4.099,0,4.12,445.0,0,False,4.087999999999947,4.083428571428611,4.058840000000236,3.06008804,0.36967791349157514,go_short,go_short,go_short,go_short,go_short,1,2.5922199959482284,go_short,2.586734997644947,0.0,2.588599999999974,2.58108000000022,2.583,go_short,2.583,2.583,go_short,go_short,0,2.583,False,go_short,2.595000000000058
230,BNB/USDT:USDT,2022-11-09 18:30:00+00:00,first_buy,trailing_stop_loss,283.624,285.22,288.7001786991213,293.3851833878943,280.216,1,280.669,939473.0,0,False,285.5830000000069,287.10671428571396,294.42959999999914,-0.12181399,-0.013135774507870868,go_long,go_long,go_long,go_long,go_long,1,283.0406219942569,go_long,282.7252149474622,25184.0,283.50160000000704,282.11691999999874,283.637,go_long,283.637,283.23,go_long,go_long,0,282.706,False,go_long,283.51357142857137
229,BNB/USDT:USDT,2022-10-21 00:30:00+00:00,first_buy,trailing_stop_loss,268.659,268.735,268.4668899723429,269.00498806442585,265.352,1,266.407,1208172.0,1,False,268.34220000000715,268.4530000000005,268.7197999999997,0.5229819,0.05449267713418656,go_long,go_long,go_long,go_long,go_long,1,290.16039300805244,go_long,294.40247805892585,1207259.0,287.8484000000069,295.44991999999917,287.692,go_long,288.517,283.589,go_long,go_long,0,282.719,False,go_long,288.82114285714255
228,BNB/USDT:USDT,2022-09-13 13:00:00+00:00,first_buy,trailing_stop_loss,286.618,287.658,292.1224175009754,292.75380239545154,281.368,1,283.118,993476.0,0,False,291.7910000000054,292.8941428571433,293.1582399999995,-0.55106862,-0.058927678035545536,go_long,go_long,go_long,go_long,go_long,1,268.84141542185984,go_long,269.2128271095799,316028.0,268.7572000000072,268.8068799999997,268.817,go_long,268.817,268.652,go_long,go_long,0,268.197,False,go_long,268.7358571428576
227,BNB/USDT:USDT,2022-08-12 11:00:00+00:00,first_buy,trailing_stop_loss,322.328,322.418,323.56699720203727,323.7431052780907,318.899,1,319.593,580303.0,0,False,323.48780000000545,324.24414285714226,323.6412399999996,-1.02990339,-0.1110748929852903,go_long,go_long,go_long,go_long,go_long,1,293.7595843193346,go_long,293.52466658708767,3321827.0,294.29400000000544,293.5485599999995,297.576,go_long,297.899,286.867,go_long,go_long,1,286.0,False,go_long,294.5702857142862
226,BNB/USDT:USDT,2022-07-10 04:15:00+00:00,first_buy,trailing_stop_loss,235.368,235.395,237.46437688202437,239.45515589185106,234.624,0,234.902,262045.0,0,False,235.78420000000415,235.930714285713,240.40555999999958,3.36806624,0.3582610222643614,go_long,go_long,go_long,go_long,go_long,1,324.2895421478622,go_long,324.07511370033797,232369.0,324.8924000000054,323.79623999999956,323.534,go_long,324.0,322.392,go_long,go_long,0,322.304,False,go_long,324.91257142857086
449,ATOM/USDT:USDT,2024-08-27 22:15:00+00:00,first_buy,trailing_stop_loss,4.663,4.663,4.723497939020705,4.79438591187608,4.507,1,4.519,13386.0,0,False,4.661600000000367,4.695142857143088,4.814800000000093,0.36109024,0.07949085731368676,go_long,go_long,go_long,go_long,go_long,1,4.979224974402976,go_long,5.007697505450846,3237.0,4.950000000000362,5.0177600000001,4.95,go_long,4.957,4.925,go_long,go_long,0,4.925,False,go_long,4.9664285714288
224,BNB/USDT:USDT,2022-05-12 07:30:00+00:00,first_buy,trailing_stop_loss,220.678,242.633,236.38174325310692,246.0083330136173,215.957,0,239.154,5772197.0,0,False,233.20540000000477,232.4028571428567,248.74623999999952,1.35082155,0.1446565558187632,go_long,go_long,go_long,go_long,go_long,1,281.94705552340014,go_long,282.96206900179124,1091538.0,281.336600000005,282.16683999999907,281.972,go_long,282.209,279.046,go_long,go_long,0,278.069,False,go_long,281.4805714285701
222,BNB/USDT:USDT,2022-04-11 03:00:00+00:00,first_buy,trailing_stop_loss,413.93,413.93,416.38862710793023,418.99322197906713,410.501,1,412.104,328905.0,0,False,414.6056000000035,415.6570000000006,419.7741999999985,-1.2062437,-0.13289649044738264,go_long,go_long,go_long,go_long,go_long,1,363.71116700070365,go_long,366.734090552539,537903.0,362.38600000000486,367.2388399999994,361.399,go_long,362.237,358.621,go_long,go_long,1,358.495,False,go_long,362.8135714285714
221,BNB/USDT:USDT,2022-03-10 06:00:00+00:00,first_buy,trailing_stop_loss,374.642,375.658,379.4927898011954,383.8877894430068,373.174,0,374.755,80201.0,0,False,375.47500000000383,376.4129999999996,385.77327999999886,0.9263135,0.09875810270677005,go_long,go_long,go_long,go_long,go_long,1,417.167650218463,go_long,419.5443597373925,138723.0,415.7772000000035,420.4179199999985,414.811,go_long,415.381,413.761,go_long,go_long,0,413.6,False,go_long,416.6354285714292
220,BNB/USDT:USDT,2022-02-08 08:45:00+00:00,first_buy,trailing_stop_loss,430.615,430.973,435.1709923886583,435.67762802971185,427.369,1,427.861,916710.0,0,False,433.75720000000285,435.0051428571423,436.0764000000001,-1.21798956,-0.12926563696756804,go_long,go_long,go_long,go_long,go_long,0,380.35420612868546,go_long,384.6184125984473,82766.0,375.8864000000038,386.52079999999887,375.86,go_long,376.12,374.642,go_long,go_long,0,374.582,False,go_long,377.7292857142853
219,BNB/USDT:USDT,2022-01-05 20:00:00+00:00,first_buy,trailing_stop_loss,502.187,502.187,504.9983197845793,507.90747171054295,491.225,1,492.516,4265793.0,0,False,502.78559999999953,504.25714285714304,509.23811999999947,-1.23173403,-0.131497305619223,go_long,go_long,go_long,go_long,go_long,1,436.5000819138689,go_long,436.3029582720888,613363.0,435.8410000000028,436.30060000000003,432.749,go_long,432.749,430.783,go_long,go_long,0,430.263,False,go_long,436.682428571428
175,BAKE/USDT:USDT,2024-08-17 13:15:00+00:00,second_buy,trailing_stop_loss,0.3543,0.37,0.34888617371282515,0.3430138103821995,0.3541,0,0.3654,4557626.0,0,False,0.3544600000000401,0.3505428571428698,0.34226000000000056,2.25189529,0.2393181307498569,go_short,go_short,go_short,go_short,go_short,0,0.2772566632142182,go_short,0.2753944185800073,247895.0,0.27888000000004076,0.27503600000000056,0.2791,go_short,0.2808,0.2805,go_short,go_short,0,0.27890000000000004,False,go_short,0.27822857142858387
218,BNB/USDT:USDT,2021-12-04 05:15:00+00:00,first_buy,trailing_stop_loss,546.711,550.999,566.9389231704005,577.4761470660123,516.176,1,530.107,10785596.0,0,False,559.4900000000001,564.0332857142859,580.7468399999991,-0.48718816,-0.0540814911891946,go_long,go_long,go_long,go_long,go_long,1,507.26783247268463,go_long,509.1387894473864,559572.0,505.94739999999956,510.01311999999945,506.815,go_long,507.423,502.189,go_long,go_long,0,502.189,False,go_long,506.15614285714304
216,BNB/USDT:USDT,2021-10-08 12:15:00+00:00,first_buy,trailing_stop_loss,425.403,426.638,431.84815901910616,433.7431484667247,421.323,1,422.792,1204266.0,0,False,429.65360000000254,431.5435714285739,434.55007999999884,4.4817887,0.4813690129376142,go_long,go_long,go_long,go_long,go_long,1,635.0464756879397,go_long,636.4315837263817,960889.0,634.116400000001,635.8469599999991,634.61,go_long,634.676,630.611,go_long,go_long,0,630.61,False,go_long,635.177428571429
215,BNB/USDT:USDT,2021-09-07 14:30:00+00:00,first_buy,trailing_stop_loss,467.477,467.477,467.40876877525176,472.9744271310013,445.976,1,449.152,1086907.0,0,False,466.011600000002,467.5445714285739,471.18991999999963,-0.59477989,-0.06299550563598623,go_long,go_long,go_long,go_long,go_long,1,433.4947333862164,go_long,434.61924034406263,1009357.0,432.28920000000255,435.09323999999884,432.899,go_long,433.121,425.26,go_long,go_long,0,424.082,False,go_long,433.30414285714534
214,BNB/USDT:USDT,2021-08-12 06:45:00+00:00,first_buy,trailing_stop_loss,382.804,382.85,388.9253617264127,393.2883183968248,377.878,0,382.85,478917.0,0,False,383.9300000000022,384.94228571428783,396.59891999999957,1.67721055,0.1750692232527417,go_long,go_long,go_long,go_long,go_long,1,470.728181279843,go_long,474.88022130148136,118906.0,470.38120000000197,472.8004799999996,468.452,go_long,471.0,467.865,go_long,go_long,0,467.865,False,go_long,470.3971428571453
213,BNB/USDT:USDT,2021-07-14 01:15:00+00:00,first_buy,trailing_stop_loss,301.912,302.849,304.89070915483376,306.61247544006665,296.156,1,296.573,617432.0,0,False,303.29680000000246,304.86542857143235,306.74596000000025,2.64671315,0.2787559250869436,go_long,go_long,go_long,go_long,go_long,0,390.0299729493968,go_long,394.1233838685708,172220.0,384.2122000000022,397.1637999999995,382.766,go_long,384.744,382.801,go_long,go_long,1,382.032,False,go_long,386.4932857142879
212,BNB/USDT:USDT,2021-06-16 17:15:00+00:00,first_buy,trailing_stop_loss,346.057,347.814,349.37740530198187,351.96960958482447,342.927,1,347.814,314427.0,0,False,348.8320000000016,348.81857142857325,351.2092000000002,-1.39989881,-0.14898809668897173,go_long,go_long,go_long,go_long,go_long,1,306.4030199102581,go_long,307.415633475272,375530.0,305.7650000000025,307.17808000000025,303.321,go_long,303.536,302.093,go_long,go_long,0,301.865,False,go_long,306.66800000000376
211,BNB/USDT:USDT,2021-05-19 13:00:00+00:00,first_buy,trailing_stop_loss,342.195,356.359,388.09823569203974,410.13863360728664,277.693,1,334.581,8634162.0,0,False,371.2098000000001,376.63028571428794,415.80232000000086,0.29367726,0.03045378173132269,go_long,go_long,go_long,go_long,go_long,1,349.6616608114331,go_long,352.3020583516104,450910.0,349.22520000000156,351.6608400000002,348.966,go_long,348.966,346.142,go_long,go_long,0,343.555,False,go_long,348.67942857143044
