,pair,open_date,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,exit_reason,action,nlp-exit-short (entry),grads-ratio (entry)
444,BEAM/USDT:USDT,2024-03-05 21:30:00+00:00,0.0367749999999999,0.040412,0.0362646568151973,0.036737985619162,0.0365529999999999,0,0.040181,68405100.0,0.0368151599999999,0,0,go_short,0.0359613999999999,0.0352617142857143,go_short,go_long,go_short,21.69268041,second_buy,trailing_stop_loss,go_short,go_short,0.4771593855974363
445,BEAM/USDT:USDT,2024-02-28 00:15:00+00:00,0.036412,0.03664,0.0361645640594712,0.036032594017094,0.0361509999999999,0,0.036253,4916700.0,0.0360577599999999,0,0,go_short,0.0362276,0.0362505714285714,go_short,go_long,go_short,-12.25733849,second_buy,trailing_stop_loss,do_nothing,go_short,0.4771593855974363
446,BCH/USDT:USDT,2024-04-29 06:45:00+00:00,459.05,459.05,461.82141798634,465.3132213684101,454.6,1,456.3,2575.28,465.8160000000017,0,0,go_short,460.4599999999996,460.98571428571177,go_short,go_short,go_short,4.53561424,first_buy,trailing_stop_loss,go_short,go_short,-0.0386215092097441
447,BCH/USDT:USDT,2024-03-29 16:30:00+00:00,608.75,609.7,613.5363068955968,612.212818097477,604.1,1,604.6,4325.98,620.6880000000001,0,0,go_short,610.290000000001,611.9071428571424,go_short,go_short,go_short,-54.83088241,first_buy,trailing_stop_loss,do_nothing,go_short,-0.0386215092097441
448,BCH/USDT:USDT,2024-02-28 00:15:00+00:00,293.25,293.65,294.3390737625444,295.5315527065527,288.3,0,289.7,13146.91,295.732,0,0,go_short,293.28000000000014,294.10714285714283,go_short,go_short,go_short,246.27391448,first_buy,trailing_stop_loss,go_short,go_short,-0.0386215092097441
449,BB/USDT:USDT,2024-06-02 02:00:00+00:00,0.767,0.7762,0.7401523942133047,0.7282425446543493,0.7523000000000001,0,0.7557,3260886.0,0.7261959999999997,1,0,go_short,0.7509600000000001,0.7457714285714288,go_short,go_short,go_short,-31.39055677,second_buy,trailing_stop_loss,do_nothing,go_short,0.2087029995775092
450,BB/USDT:USDT,2024-05-26 19:30:00+00:00,0.6835,0.7399,0.674868372709884,0.6451819233680783,0.6809000000000001,0,0.7185,17062936.0,0.6473079999999999,1,0,go_short,0.6862600000000002,0.6811571428571427,go_short,go_short,go_short,-15.0309152,second_buy,trailing_stop_loss,do_nothing,go_short,0.2087029995775092
451,BB/USDT:USDT,2024-05-26 10:30:00+00:00,0.5424,0.5601,0.5319171116418174,0.5298462597407745,0.5336000000000001,0,0.5354,12389500.0,0.5258400000000001,0,0,go_short,0.5335000000000002,0.5330714285714285,go_short,go_short,go_short,-78.20610112,second_buy,trailing_stop_loss,do_nothing,go_short,0.2087029995775092
452,BB/USDT:USDT,2024-05-25 05:15:00+00:00,0.3868,0.4116,0.3823678235686961,0.377558289378289,0.386,0,0.4087,2490619.0,0.3772280000000004,0,0,go_short,0.3878799999999999,0.3845142857142857,go_short,go_short,go_short,-78.20619191,second_buy,trailing_stop_loss,do_nothing,go_short,0.2087029995775092
453,BB/USDT:USDT,2024-05-14 18:45:00+00:00,0.3696,0.371,0.3705293752586178,0.3789403133903134,0.3672,0,0.3693,318231.0,0.37836,0,0,go_short,0.3669799999999998,0.3651571428571429,go_short,go_short,go_short,-24.03379758,second_buy,trailing_stop_loss,do_nothing,go_short,0.2087029995775092
