,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),exit_reason,action
35,1.3901,1.3901,1.396662634273406,1.4064393508005877,1.3757,1,1.3796,16126.0,1.4080839999999903,0,0,1.3921800000000242,1.3948857142857254,-0.21896469,first_buy,go_long,go_long,force_exit,go_long
36,0.2362,0.2362,0.2420807076582966,0.2478198501281372,0.2348,0,0.2355,261.0,0.2500480000000061,0,0,0.2375400000000083,0.2384999999999952,-1.1476085,first_buy,go_long,go_long,force_exit,go_long
37,12.58,12.58,12.788794977134504,12.918731894770458,12.51,1,12.55,6339.0,12.960799999999814,0,0,12.663999999999104,12.725714285714002,-1.24979427,first_buy,go_long,go_long,force_exit,go_long
38,0.15149,0.1515,0.1501115738920916,0.1488321405641782,0.15149,1,0.1515,28.0,0.1487544000000038,0,0,0.1507320000000104,0.1506771428571411,3.0423564,first_buy,go_long,go_long,long-exit-profit,go_long
39,0.16481,0.16871,0.1584809362157129,0.152643078798996,0.1644,0,0.16617,25841.0,0.1550156000000001,0,0,0.1620079999999966,0.160189999999999,3.41711649,first_buy,go_long,go_long,long-exit-profit,go_long
40,0.1948,0.1968,0.1991859517275899,0.2012528355591042,0.1934,1,0.1968,811.0,0.201375999999997,0,0,0.1977599999999978,0.1982571428571455,4.82996792,first_buy,go_long,go_long,long-exit-profit,go_long
41,0.19588,0.21716,0.1905931086977698,0.1859300933406371,0.19531,0,0.21164,10886.0,0.1838443999999992,0,0,0.1956319999999955,0.1922528571428564,3.7903541,first_buy,go_long,go_long,long-exit-profit,go_long
42,0.29014,0.29144,0.2788802505235072,0.2748455634955029,0.28183,0,0.28576,5806.0,0.2746683999999991,0,0,0.2824239999999963,0.2802071428571419,3.75880547,first_buy,go_long,go_long,long-exit-profit,go_long
43,0.38174,0.40448,0.3580624480230453,0.3491183447031257,0.38174,0,0.39778,7417.0,0.3487659999999992,0,0,0.3667359999999963,0.3591642857142848,4.29605738,first_buy,go_long,go_long,long-exit-profit,go_long
44,0.54271,0.5538000000000001,0.467935717453876,0.4402877455722017,0.49208,0,0.5449700000000001,19787.0,0.4305743999999991,0,0,0.4889819999999963,0.4728785714285707,3.82061913,first_buy,go_long,go_long,long-exit-profit,go_long
