,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),exit_reason,action
820,0.3395,0.3396,0.3417000475499805,0.3436584875532075,0.3326,1,0.333,1458353.0,0.3458599999999996,1,0,go_short,0.3385399999999995,0.3405142857142852,go_short,roi,go_short
821,37.49,37.53,37.713161388271054,37.84008807326242,37.2,1,37.26,5943.9,37.93160000000016,0,0,go_short,37.499999999999794,37.59714285714275,go_short,roi,go_short
822,24.998,25.032,25.120907661990437,25.178526610938725,24.819,1,24.836,102151.38,25.16664,0,0,go_short,25.045799999999947,25.095142857142907,go_short,roi,go_short
823,22.452,22.524,22.53471983621089,22.5126638069041,22.37,1,22.499,22974.6,22.33987999999991,0,0,go_short,22.533199999999944,22.591428571428533,go_short,roi,go_short
824,0.4507,0.4522,0.4524625819274364,0.4535562692346448,0.4477,1,0.4518,508319.9,0.4538800000000006,0,0,go_short,0.4526600000000002,0.4523857142857128,go_short,roi,go_short
825,12.399,12.423,12.531734402434276,12.715517707556602,12.312,0,12.383,22222.7,12.75435999999993,0,0,go_short,12.424399999999943,12.444142857142811,go_short,roi,go_short
826,13.305,13.364,13.306540943453408,13.24785326827241,13.145,1,13.15,22374.1,13.221719999999925,0,0,go_short,13.332999999999938,13.347428571428525,go_short,roi,go_short
827,15.397,15.445,15.55496621187119,15.665264491185436,15.304,1,15.438,24125.6,15.698919999999928,0,0,go_short,15.501599999999977,15.509999999999962,go_short,roi,go_short
828,15.636,15.648,15.629932870704632,15.595131809689745,15.591,1,15.61,7990.3,15.588519999999937,1,0,go_short,15.635399999999976,15.637999999999964,go_short,roi,go_short
829,15.432,15.517,15.686511389439096,15.750412774892682,15.426,1,15.473,11224.8,15.84187999999994,0,0,go_short,15.553599999999976,15.601714285714246,go_short,roi,go_short
830,15.459,15.46,15.47730723109754,15.524657822860242,15.381,1,15.387,7384.2,15.499399999999934,0,0,go_short,15.47339999999997,15.486285714285671,go_short,roi,go_short
831,15.305,15.336,15.456511795276157,15.512463582358604,15.223,1,15.266,12782.7,15.517879999999932,0,0,go_short,15.42699999999996,15.462857142857104,go_short,roi,go_short
832,14.8,14.86,14.898427917406195,15.090765493640305,14.662,1,14.668,34971.1,15.156079999999932,1,0,go_short,14.802399999999954,14.82714285714282,go_short,roi,go_short
833,11.902,12.042,12.792551738438586,13.649301359568204,11.667,0,11.766,143756.6,13.939559999999933,0,0,go_short,11.818399999999952,12.304428571428534,go_short,roi,go_short
834,3.7597,3.776,3.7501668204676792,3.764711590464168,3.7532,0,3.7619,349436.6,3.772036000000001,0,0,go_short,3.734140000000013,3.726157142857149,go_short,roi,go_short
835,12.068,12.078,12.246507204806765,12.348314228832436,11.76,1,11.794,94925.1,12.416239999999934,0,0,go_short,12.102799999999954,12.207999999999965,go_short,roi,go_short
836,11.684,11.727,11.99690811238163,12.272692248592648,11.558,1,11.643,33961.0,12.382359999999936,0,0,go_short,11.776199999999944,11.852714285714251,go_short,roi,go_short
837,11.71,11.863,11.843156904150815,11.905039027618953,11.574,1,11.596,41044.5,11.934679999999933,0,0,go_short,11.744199999999944,11.831428571428544,go_short,roi,go_short
838,11.521,11.522,11.5732925760049,11.667870568970535,11.337,1,11.406,56737.8,11.704399999999938,1,0,go_short,11.521999999999949,11.526428571428529,go_short,roi,go_short
839,11.739,11.962,11.745768760250336,11.711448836386896,11.727,0,11.96,27081.6,11.733919999999936,0,0,go_short,11.751599999999955,11.75114285714282,go_short,roi,go_short
840,13.098,13.103,13.167212929102456,13.206973220286631,12.935,1,12.939,24166.3,13.225959999999928,0,0,go_short,13.104399999999949,13.162142857142811,go_short,roi,go_short
841,15.316,15.385,15.473676111310734,15.256937878786225,15.264,1,15.343,36373.8,15.350359999999933,0,0,go_short,15.41319999999995,15.485142857142822,go_short,roi,go_short
842,15.63,15.9,15.622374567453427,15.51454451524297,15.621,0,15.864,47871.1,15.494039999999933,0,0,go_short,15.670599999999942,15.643285714285668,go_short,roi,go_short
843,15.305,15.431,15.492922405765135,15.599374601117416,15.297,0,15.301,26974.0,15.74375999999993,0,0,go_short,15.294999999999936,15.35642857142852,go_short,roi,go_short
844,15.361,15.361,15.36976006262445,15.379906877554344,15.295,1,15.32,10760.8,15.363759999999935,0,0,go_short,15.364399999999929,15.391999999999951,go_short,roi,go_short
845,14.608,14.66,14.83479777720886,15.006951396355843,14.517,1,14.527,26308.2,15.064319999999936,0,0,go_short,14.652999999999938,14.75499999999994,go_short,roi,go_short
846,14.083,14.191,14.229088328719072,14.347926646984304,14.018,1,14.05,13016.2,14.343479999999936,0,0,go_short,14.152999999999938,14.2121428571428,go_short,roi,go_short
847,14.235,14.263,14.141475857073766,14.18780812223639,14.175,0,14.222,12416.9,14.17231999999994,0,0,go_short,14.10659999999994,14.093857142857084,go_short,roi,go_short
848,14.199,14.221,14.092330575607548,14.180776079981566,14.076,0,14.11,25108.4,14.199319999999933,0,0,go_short,14.049199999999932,14.022428571428522,go_short,roi,go_short
849,13.993,14.041,13.973489935092516,13.958186345113122,13.917,1,13.944,6466.0,13.876879999999936,0,0,go_short,13.992999999999938,14.039999999999951,go_short,roi,go_short
850,13.823,13.825,13.839475143219738,13.881498720386686,13.765,0,13.801,5721.9,13.925199999999933,1,0,go_short,13.802599999999938,13.792714285714233,go_short,roi,go_short
851,13.71,13.712,13.77780617108746,13.842314237079892,13.578,1,13.619,16595.5,13.865639999999935,0,0,go_short,13.729399999999952,13.76114285714281,go_short,roi,go_short
852,13.38,13.422,13.40308323178136,13.50239545947366,13.352,0,13.402,13304.1,13.486319999999928,0,0,go_short,13.330599999999944,13.340857142857091,go_short,roi,go_short
853,13.219,13.225,13.186974295624736,13.240513306535805,13.166,1,13.175,9757.3,13.223639999999932,0,0,go_short,13.192399999999935,13.190571428571372,go_short,roi,go_short
854,13.104,13.131,13.064446144663378,13.087866314422358,13.038,1,13.097,15259.5,13.070359999999926,0,0,go_short,13.085999999999936,13.078571428571374,go_short,roi,go_short
855,15.149,15.237,15.1480364903533,15.142391531691905,15.116,1,15.116,17326.6,15.079559999999931,0,0,go_short,15.165599999999936,15.158999999999963,go_short,roi,go_short
856,15.813,15.913,15.84801166245922,15.967435254918346,15.799,0,15.901,8434.9,15.974839999999936,0,0,go_short,15.827599999999972,15.807857142857104,go_short,roi,go_short
857,0.4585,0.4585,0.460503929864128,0.4630929762886442,0.4532,1,0.4532,1406301.6,0.4655280000000006,1,0,go_short,0.4568400000000004,0.4591428571428557,go_short,roi,go_short
858,0.3669,0.3669,0.3710452564125612,0.3744515406066515,0.3614,1,0.3634,1861807.8,0.3759400000000006,0,0,go_short,0.3679400000000004,0.3704999999999985,go_short,roi,go_short
859,0.7020000000000001,0.706,0.709949115103304,0.7150200673481373,0.7020000000000001,1,0.704,1670803.0,0.7164800000000011,1,0,go_short,0.7056000000000013,0.7070000000000008,go_short,roi,go_short
860,0.7010000000000001,0.7030000000000001,0.6996321496269998,0.7001618498951137,0.7000000000000001,1,0.7000000000000001,459971.5,0.6987200000000019,1,0,go_short,0.7006000000000012,0.6998571428571436,go_short,roi,go_short
861,0.71,0.712,0.7117767555129856,0.7111705771367576,0.71,1,0.712,595678.6,0.7106400000000009,0,0,go_short,0.7116000000000019,0.7117142857142873,go_short,roi,go_short
862,80.56,80.9,81.51074385053239,82.39869053064321,79.88,1,80.84,149208.425,82.654,0,0,go_short,81.07199999999982,80.95714285714287,go_short,roi,go_short
863,99.59,99.88,99.24939583720614,98.8901094087232,99.03,0,99.81,64228.237,98.82360000000004,1,0,go_short,99.54599999999937,99.34428571428565,go_short,roi,go_short
864,96.38,96.64,96.60445619189215,96.87288036858386,95.56,1,96.45,60563.79,97.0016,1,0,go_short,96.57999999999916,96.5585714285714,go_short,roi,go_short
865,94.86,94.86,95.50939645445943,96.13612939017256,94.19,1,94.34,57794.166,96.2596000000001,1,0,go_short,95.09199999999916,95.29285714285716,go_short,roi,go_short
866,85.68,85.96,86.43946491872937,89.11407627010831,85.3,0,85.72,57120.127,89.9940000000001,0,0,go_short,85.73599999999915,85.28428571428574,go_short,roi,go_short
867,86.03,86.24,85.73667586927793,85.73907620767847,85.5,1,85.53,32328.068,85.78280000000004,0,0,go_short,85.7079999999992,85.66714285714288,go_short,roi,go_short
868,81.99,82.0,82.51208862263269,83.5264936932327,81.43,0,81.59,47742.779,84.00320000000004,1,0,go_short,82.01799999999919,81.8714285714286,go_short,roi,go_short
869,75.13,75.14,75.33269450501284,78.19570302036612,73.81,0,74.22,132168.787,79.05760000000004,0,0,go_short,73.39399999999918,73.43428571428574,go_short,roi,go_short
870,78.06,78.07,77.82411220624338,78.12139877744345,77.12,1,77.55,88041.177,78.13240000000005,1,0,go_short,77.84799999999919,77.66571428571446,go_short,roi,go_short
871,87.36,87.49,87.56328169971474,87.62787176085602,86.5,1,86.86,87455.648,87.87279999999991,0,0,go_short,87.47599999999919,87.61857142857147,go_short,roi,go_short
872,0.715,0.721,0.7292824541750946,0.7506199724718865,0.715,0,0.72,1072750.2,0.7618400000000013,0,0,go_short,0.7182000000000016,0.7167142857142863,go_short,roi,go_short
873,82.41,82.69,82.88743863010038,83.03784226267518,82.3,1,82.32,36310.288,83.08039999999991,0,0,go_short,82.75599999999932,82.90285714285707,go_short,roi,go_short
874,79.03,79.12,79.17171899785365,79.21279778723138,78.52,1,78.58,23139.623,79.19679999999993,0,0,go_short,79.06999999999934,79.16571428571415,go_short,roi,go_short
875,77.35,77.4,77.15279940888027,77.23871465011156,77.11,1,77.11,18729.015,76.67999999999991,0,0,go_short,77.31799999999936,77.3842857142856,go_short,roi,go_short
876,79.33,79.64,79.94624685966657,81.14292559836336,79.28,0,79.63,18731.02,81.63000000000017,1,0,go_short,79.51999999999931,79.37999999999984,go_short,roi,go_short
877,545.43,548.0,547.8451737825675,550.4947477092708,544.66,1,547.06,11511.8,545.5823999999984,0,0,go_short,547.4320000000012,548.0514285714268,go_short,roi,go_short
878,565.91,566.51,568.219238005592,570.1431157517286,562.25,1,562.59,15681.01,570.3815999999971,0,0,go_short,566.6240000000018,567.2685714285697,go_short,roi,go_short
879,293.1,293.6,294.1786870249148,295.3784757834757,288.23,0,289.47,43587.862,295.5844,0,0,go_short,293.1339999999999,293.9642857142858,go_short,roi,go_short
880,295.77,300.5,303.1739717584549,303.33423157740805,292.67,1,298.46,43144.499,303.7851999999999,0,0,go_short,303.57999999999976,304.4014285714287,go_short,roi,go_short
