,pair,open_date,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,exit_reason,action,regbot_long_-1 (entry),regbot_short_1 (entry),long_signal,short_signal
112,CVC/USDT:USDT,2023-01-26 08:45:00+00:00,0.10632,0.10659,0.1064308779740383,0.1063398858321997,0.1062,0,0.10659,30151.0,0.1063211999999996,0,0,0.1063720000000027,0.1064514285714287,13.1531661,first_buy,roi,go_long,-1,-1,1.0,0.0
113,CVC/USDT:USDT,2023-08-17 01:00:00+00:00,0.07519,0.07542,0.0761690624360813,0.0767737424657153,0.0745,1,0.07521,914616.0,0.0767647999999994,0,0,0.0759880000000019,0.076042857142857,5.47828046,first_buy,roi,go_long,-1,-1,1.0,0.0
114,DYDX/USDT:USDT,2022-10-22 00:45:00+00:00,1.435,1.44,1.4354101220790525,1.4329637766278782,1.435,0,1.44,7115.4,1.432399999999965,0,0,1.4359999999999888,1.4371428571428824,22.23758158,first_buy,roi,go_long,-1,-1,1.0,0.0
115,DASH/USDT:USDT,2022-02-12 06:45:00+00:00,101.45,101.5,101.97031713439416,102.8337751256158,100.05,1,100.35,415.08,102.64400000000003,0,0,101.64999999999836,101.88571428571508,51.39304914,first_buy,roi,go_long,-1,-1,1.0,0.0
116,DYDX/USDT:USDT,2022-09-18 21:15:00+00:00,1.32,1.32,1.3060653852270032,1.3246888229142126,1.1,1,1.19,999801.4,1.3271999999999662,0,0,1.29499999999999,1.3057142857143271,42.37902372,first_buy,roi,go_long,-1,-1,1.0,0.0
117,EGLD/USDT:USDT,2023-06-14 11:30:00+00:00,30.7,30.7,30.63889375687247,30.626767852931053,30.65,1,30.65,63.65,30.61600000000068,0,0,30.66000000000049,30.66428571428343,2.98251121,second_buy,roi,,1,1,1.0,0.0
118,MANA/USDT:USDT,2022-02-26 00:45:00+00:00,2.7465,2.88,2.735688140062236,2.707968583910685,2.7385,0,2.814,1166518.0,2.6932000000000142,0,0,2.7549000000000103,2.7499999999999774,28.55210482,second_buy,roi,,1,1,1.0,0.0
119,BSV/USDT:USDT,2023-05-25 17:15:00+00:00,31.85,31.9,31.82466775480295,31.828010385690888,31.85,0,31.85,168.11,31.84000000000018,0,0,31.829999999999124,31.79285714285579,5.50273704,first_buy,roi,go_long,-1,-1,1.0,0.0
120,BSV/USDT:USDT,2023-05-08 01:45:00+00:00,32.2,32.3,31.9335773543068,32.23740852015151,29.4,1,29.4,10036.67,32.36400000000016,0,0,31.74999999999916,31.935714285713026,7.61268998,first_buy,roi,go_long,-1,-1,1.0,0.0
121,BICO/USDT:USDT,2022-11-04 08:15:00+00:00,0.44,0.445,0.4429369281977717,0.4437933789329316,0.44,0,0.44,6157.7,0.448200000000003,0,0,0.4410000000000328,0.4407142857142863,9.47600177,first_buy,roi,go_long,-1,-1,1.0,0.0
122,BICO/USDT:USDT,2022-12-15 15:15:00+00:00,0.2983,0.3012,0.2995841317014928,0.300999274992628,0.2943,0,0.2981,47460.9,0.3012200000000019,0,0,0.2986400000000326,0.2984285714285712,7.88389503,first_buy,roi,go_long,-1,-1,1.0,0.0
123,BICO/USDT:USDT,2023-01-13 11:30:00+00:00,0.3083,0.3083,0.3088090943966312,0.3087092930038712,0.3078,1,0.3078,1500.1,0.3085040000000017,0,0,0.3085800000000341,0.3090428571428578,7.94426613,first_buy,roi,go_long,-1,-1,1.0,0.0
124,BICO/USDT:USDT,2023-01-15 11:00:00+00:00,0.3193,0.3208,0.3197131518183614,0.3215174893903779,0.3193,0,0.3208,5420.2,0.3218920000000018,0,0,0.3197200000000337,0.3189428571428574,14.98290249,first_buy,roi,go_long,-1,-1,1.0,0.0
125,BICO/USDT:USDT,2023-01-16 22:15:00+00:00,0.3432,0.3432,0.3437904852410743,0.3410298909756666,0.3432,1,0.3432,1001.6,0.3415520000000012,0,0,0.3437400000000336,0.3445999999999999,28.0280802,first_buy,roi,go_long,-1,-1,1.0,0.0
126,BICO/USDT:USDT,2023-07-24 10:00:00+00:00,0.229,0.229,0.2287985227567887,0.2302825656654957,0.2153,1,0.2205,356511.2,0.2305960000000015,0,0,0.2276000000000343,0.2283714285714263,20.91135223,first_buy,roi,go_long,-1,-1,1.0,0.0
127,BICO/USDT:USDT,2023-08-11 08:00:00+00:00,0.2432,0.2433,0.2434177892210391,0.2431390181258791,0.2425,0,0.2427,14426.5,0.2434960000000017,0,0,0.2431200000000342,0.2433428571428543,8.74085385,first_buy,roi,go_long,-1,-1,1.0,0.0
128,BICO/USDT:USDT,2023-11-09 16:15:00+00:00,0.2666,0.2682,0.2659725235434348,0.2651482680066952,0.2308,1,0.2485,2317193.6,0.2651480000000014,0,0,0.2643400000000343,0.2678428571428534,14.99236909,first_buy,roi,go_long,-1,-1,1.0,0.0
129,FLOW/USDT:USDT,2021-11-26 16:15:00+00:00,11.91,12.03,11.892474498341835,11.83480056980057,11.86,0,11.89,3650.7,11.828,0,0,11.888000000000002,11.90714285714286,55.50918603,second_buy,roi,,1,1,1.0,0.0
