,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,long-bid-rl (entry),short-bid-rl (entry),exit_reason,action,nlp-exit-short (entry)
44,111.75,112.25,113.67421122182805,114.99194879098164,109.75,1,111.0,223260.0,115.70199999999876,0,0,go_short,112.40000000000018,112.85714285716476,go_short,go_short,go_short,1.5262944,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
45,126.1,126.2,126.99792082295384,127.98597390118762,121.55,1,123.9,198203.0,128.25799999999873,0,0,go_short,126.2000000000007,126.80714285716468,go_short,go_short,go_short,-0.9341213,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
46,115.1,121.3,113.7380174136604,111.88172850108458,114.8,0,120.45,665554.0,110.95599999999872,0,0,go_short,116.00000000000124,114.39285714287892,go_short,go_short,go_short,0.1481648,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
47,107.15,107.15,107.13679032449488,107.65313772307374,105.4,1,106.25,71174.0,107.76399999999876,0,0,go_short,106.840000000001,106.91428571430744,go_short,go_short,go_short,0.718264,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
48,109.15,109.25,112.20583292284655,112.73493306348136,104.95,1,106.9,1019177.0,112.88799999999874,0,0,go_short,111.02000000000116,112.36428571430746,go_short,go_short,go_short,-0.1034096,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
49,108.5,108.5,109.15594069250363,109.99226167314472,105.45,1,106.6,530849.0,110.14999999999876,0,0,go_short,108.35000000000056,108.82857142859316,go_short,go_short,go_short,-0.0098552,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
50,119.8,119.8,120.03080983560986,121.74865172669269,117.1,1,117.4,95417.0,120.93199999999874,0,0,go_short,119.44000000000116,119.77857142859318,go_short,go_short,go_short,-0.8150226,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
51,127.1,127.35,125.87774744491972,126.82386659014372,117.15,1,121.15,1511925.0,126.03799999999876,1,0,go_short,125.65000000000109,125.95714285716475,go_short,go_short,go_short,-0.2428279,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
52,121.1,121.25,122.7806841172332,123.64351764627132,120.35,1,120.45,63262.0,123.73799999999872,0,0,go_short,122.21000000000032,122.60714285716467,go_short,go_short,go_short,-0.1021986,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
53,1.2695,1.2727,1.3014012627730398,1.3242851601520569,1.2352,1,1.2482,413.0,1.3279679999999987,1,0,go_short,1.280100000000007,1.2923285714285764,go_short,go_short,go_short,-0.32683,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
