,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),exit_reason,action
36,0.30409,0.30526,0.3021877730195509,0.3023693277064416,0.29983,0,0.30334,8787030.0,0.303611599999999,0,0,0.3026239999999986,0.3016000000000001,-21.97727254,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
37,0.20773,0.21003,0.2013832442090251,0.1986645146499419,0.20435,0,0.20571,28635958.0,0.1976511999999988,1,0,0.2036159999999988,0.2024557142857146,-24.0241962,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
38,0.14307,0.14529,0.1402196505047952,0.1385411754229741,0.14149,0,0.1452,65748943.0,0.1383359999999996,0,0,0.1416740000000002,0.1408171428571431,-14.99775806,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
39,0.10077,0.1043,0.0995499521148152,0.0989130717267442,0.09975,0,0.10402,80991839.0,0.0986427999999996,0,0,0.100106,0.0996342857142858,-23.412127,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
40,42.635,42.954,42.6092412175957,42.75290809331653,42.6,0,42.949,21370.76,42.74432000000028,0,0,42.66179999999997,42.57800000000018,-24.50020209,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
41,2.0866,2.1154,2.0295245163035784,2.0039010417873,2.0778,0,2.1152,223518.0,2.010156000000005,0,0,2.050859999999996,2.030685714285722,-24.40043991,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
42,33.424,33.511,33.28997409014561,33.29162051042825,33.35,1,33.401,31937.59,33.13924000000011,0,0,33.36659999999989,33.32914285714287,-18.75075214,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
43,175.33,176.52,175.68335421845438,174.7081985163344,173.66,1,176.26,36661.848,174.2624000000004,0,0,175.51599999999956,175.7671428571428,-18.53160415,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
44,63.4,63.43,63.265469011376354,63.188974208633255,62.66,1,62.78,61413.818,63.33920000000143,1,0,63.29800000000055,63.295714285716194,-22.53003027,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
45,0.08212,0.0835,0.080250650077181,0.0789610053943327,0.08212,0,0.08273,17577294.0,0.0789108000000002,1,0,0.0812600000000013,0.0807414285714293,-22.73688108,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
46,0.11371,0.1153,0.1086432515696664,0.1063159961406013,0.11167,0,0.11254,32694201.0,0.1055252000000007,0,0,0.1108780000000011,0.1100914285714291,-23.79007962,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
47,0.1501,0.15972,0.1384382360769064,0.1300318132046597,0.14818,0,0.15819,108714820.0,0.1267828000000007,0,0,0.1457880000000013,0.1416257142857149,-23.92396722,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
48,0.18398,0.18428,0.1846607948638589,0.1848013729358507,0.18371,0,0.18405,765869.0,0.1853440000000001,0,0,0.1841640000000008,0.1841685714285714,-23.28177977,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
49,0.2899,0.29033,0.292825666071454,0.2930643170106248,0.28208,1,0.28927,20158530.0,0.2906648000000007,0,0,0.291586000000001,0.2937214285714285,-18.19041343,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
50,0.39399,0.39399,0.394731687052565,0.3953044832666674,0.39111,1,0.39204,4468003.0,0.3953648000000004,0,0,0.3936060000000012,0.3945714285714276,-22.59760084,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
51,0.54927,0.55,0.5509535175938483,0.5435702587477041,0.53207,1,0.5416300000000001,28821827.0,0.5429756000000008,0,0,0.5483420000000001,0.5560871428571403,-19.24874331,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
52,1.9061,1.9469,1.8642944470582603,1.842118059134364,1.9001,0,1.94,2408355.0,1.8310360000000008,0,0,1.896539999999994,1.8813714285714356,-23.30625307,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
53,2.2861,2.2937,2.311188663551756,2.3166233417521203,2.2715,1,2.2838,1119933.0,2.322123999999997,0,0,2.3044599999999846,2.3082857142857067,-18.21838068,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
54,1.729,1.73,1.7198045229111685,1.7110481119961545,1.6960000000000002,1,1.712,878733.1,1.7107999999999344,1,0,1.7249999999999983,1.7224285714286969,-25.51391567,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
55,1.719,1.723,1.7232796211331527,1.726595158838359,1.713,1,1.714,359110.1,1.7256799999999402,0,0,1.7189999999999734,1.722428571428715,-24.11746412,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
