,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,exit_reason,action,nlp-exit-short (entry)
47,303.05,314.7,302.7891987708072,302.17595747598864,302.75,0,304.55,120319.0,303.31199999999893,0,0,go_short,301.8100000000038,301.97857142858874,go_short,go_short,go_short,-0.418592,second_buy,trailing_stop_loss,go_short,go_short
48,486.25,502.45,482.3555921627111,478.1943382956021,486.25,0,489.0,140304.0,476.90599999999927,1,0,go_short,484.9699999999977,484.19285714287406,go_short,go_short,go_short,1.7998308,second_buy,trailing_stop_loss,go_short,go_short
49,131.15,137.3,131.28522242379412,130.39988995968383,131.05,0,134.7,272359.0,130.32199999999816,0,0,go_short,132.0300000000017,131.70000000001815,go_short,go_short,go_short,0.653493,second_buy,trailing_stop_loss,go_short,go_short
50,673.2,685.8,673.8071876234953,670.8835263924944,672.45,0,683.1,36105.0,670.9780000000001,0,0,go_short,674.0100000000015,673.8571428571577,go_short,go_short,go_short,2.5024406,second_buy,trailing_stop_loss,go_short,go_short
51,247.3,249.5,234.20564339317065,231.13515929232608,243.3,0,243.9,100454.0,229.4979999999983,1,0,go_short,239.74000000000083,236.82142857144692,go_short,go_short,go_short,0.7979508,second_buy,trailing_stop_loss,go_short,go_short
52,122.9,124.0,121.93044971258269,121.32460802259604,122.6,0,123.45,133263.0,121.30799999999812,0,0,go_short,122.3700000000014,122.32857142858953,go_short,go_short,go_short,0.3554754,second_buy,trailing_stop_loss,go_short,go_short
53,116.6,118.4,115.40841812680334,113.18587622030508,116.55,0,118.35,32888.0,112.44999999999816,0,0,go_short,116.57000000000122,116.45000000001812,go_short,go_short,go_short,0.1768382,second_buy,trailing_stop_loss,go_short,go_short
54,113.15,117.15,111.42052911931772,110.51468557355828,113.05,0,115.85,445195.0,110.01599999999814,0,0,go_short,111.9100000000016,111.70000000001812,go_short,go_short,go_short,-2.5667056,second_buy,trailing_stop_loss,go_short,go_short
55,779.35,784.8,765.1835908906646,757.5605179491446,776.2,0,784.8,21997.0,754.4560000000005,0,0,go_short,774.520000000002,768.3357142857203,go_short,go_short,go_short,1.8300519,second_buy,trailing_stop_loss,go_short,go_short
56,147.6,148.9,141.3903969566128,139.52658904070168,146.2,0,146.45,157737.0,138.92599999999814,0,0,go_short,143.17000000000115,141.71428571430403,go_short,go_short,go_short,0.4963805,second_buy,trailing_stop_loss,go_short,go_short
57,644.45,648.4,638.6168725183027,632.5324332792044,643.0,1,647.2,14953.0,630.3880000000007,0,0,go_short,643.6000000000007,642.3214285714358,go_short,go_short,go_short,-1.3717024,second_buy,trailing_stop_loss,go_short,go_short
58,472.2,490.05,461.03988349465584,454.0370600307733,471.55,0,484.6,229350.0,450.2340000000007,0,0,go_short,468.97999999999945,464.5142857142933,go_short,go_short,go_short,-1.6444251,second_buy,trailing_stop_loss,go_short,go_short
59,483.6,485.0,475.08256223328806,473.05418205264783,480.15,0,484.65,10236.0,473.39000000000055,0,0,go_short,476.49999999999983,474.68571428572216,go_short,go_short,go_short,-0.0085469,second_buy,trailing_stop_loss,go_short,go_short
60,642.7,650.65,623.3835883170775,610.5812980615017,637.65,0,645.25,54224.0,611.7900000000012,0,0,go_short,628.269999999998,626.3714285714335,go_short,go_short,go_short,1.6002966,second_buy,trailing_stop_loss,go_short,go_short
61,596.95,604.0,596.6698842824927,591.8670544388204,596.95,0,604.0,59645.0,593.2160000000005,0,0,go_short,597.3200000000037,596.9357142857233,go_short,go_short,go_short,-0.7833505,second_buy,trailing_stop_loss,go_short,go_short
62,0.2418,0.2446,0.2411929776946589,0.2388145254368759,0.2408,0,0.2445,24845.0,0.2383239999999936,0,0,go_short,0.2424999999999934,0.2423000000000015,go_short,go_short,go_short,-0.44776844,second_buy,trailing_stop_loss,go_short,go_short
63,0.1627,0.1641,0.1615717833074419,0.1599921208179965,0.1627,1,0.1631,37912.0,0.1600359999999935,0,0,go_short,0.1623599999999939,0.1624285714285749,go_short,go_short,go_short,-2.1143292,second_buy,trailing_stop_loss,go_short,go_short
64,0.2193,0.2193,0.2195239086565775,0.2236177869176416,0.1603,1,0.1872,382408.0,0.2255599999999938,0,0,go_short,0.2152599999999938,0.2190428571428597,go_short,go_short,go_short,-0.05832694,second_buy,trailing_stop_loss,go_short,go_short
65,1.1652,1.1652,1.1778654265647033,1.1981947214620912,1.1381,1,1.1404,1211.0,1.186715999999994,0,0,go_short,1.1670000000000085,1.178100000000008,go_short,go_short,go_short,1.018292,second_buy,trailing_stop_loss,go_short,go_short
66,1.1751,1.1751,1.195141527662877,1.216819381041422,1.175,1,1.175,10.0,1.2177759999999975,0,0,go_short,1.1853000000000098,1.189700000000004,go_short,go_short,go_short,-1.16032,second_buy,trailing_stop_loss,go_short,go_short
67,1.2052,1.2052,1.2178613506508162,1.2343263830827642,1.2026,1,1.2026,168.0,1.2322559999999976,1,0,go_short,1.2105200000000025,1.21351428571429,go_short,go_short,go_short,-1.38924,second_buy,trailing_stop_loss,go_short,go_short
68,1.0774,1.0774,1.0763430948032278,1.0709390313390312,1.0771,0,1.0771,167.0,1.0691400000000002,0,0,go_short,1.0847999999999995,1.0821571428571424,go_short,go_short,go_short,-2.827383,second_buy,trailing_stop_loss,go_short,go_short
69,498.45,511.1,495.4743836070596,492.3154458276557,498.3,0,506.9,1215988.0,491.2640000000016,0,0,go_short,497.990000000006,496.8285714285692,go_short,go_short,go_short,-1.00719377,second_buy,trailing_stop_loss,go_short,go_short
70,562.2,566.25,560.9772395133916,558.932383764246,562.2,0,563.9,330098.0,559.5940000000014,0,0,go_short,561.5800000000044,561.1571428571427,go_short,go_short,go_short,0.60364338,second_buy,trailing_stop_loss,go_short,go_short
71,693.75,718.05,690.1171208716632,681.7701719579212,693.6,0,712.6,6633656.0,679.9580000000012,1,0,go_short,695.3800000000053,692.6928571428568,go_short,go_short,go_short,1.19915482,second_buy,trailing_stop_loss,go_short,go_short
72,606.3,620.25,605.6193120302374,604.500293411338,606.1,0,610.0,13893527.0,604.1260000000012,0,0,go_short,606.7800000000091,606.7214285714266,go_short,go_short,go_short,-1.11408404,second_buy,trailing_stop_loss,go_short,go_short
73,625.55,635.8,615.2068357586624,605.7629458851247,623.3,0,631.75,3491143.0,603.0540000000013,0,0,go_short,623.930000000007,621.292857142855,go_short,go_short,go_short,0.2113967,second_buy,trailing_stop_loss,go_short,go_short
74,452.25,458.6,449.97490343905565,445.4932597934203,451.95,0,457.85,3427955.0,445.1020000000012,0,0,go_short,452.5900000000065,451.5214285714257,go_short,go_short,go_short,-2.24786005,second_buy,trailing_stop_loss,go_short,go_short
75,334.4,338.65,333.8361497986152,333.25056463997475,334.3,0,336.15,2382699.0,333.0960000000014,0,0,go_short,334.1600000000059,333.85714285713993,go_short,go_short,go_short,-2.29029222,second_buy,trailing_stop_loss,go_short,go_short
76,273.65,276.8,270.2718911623822,268.9781297532224,273.4,0,276.75,3467845.0,268.90400000000136,0,0,go_short,271.6900000000079,270.4571428571406,go_short,go_short,go_short,-1.63597061,second_buy,trailing_stop_loss,go_short,go_short
77,241.7,243.3,240.02755999020223,238.76788616335736,241.15,0,242.85,421281.0,238.44400000000127,0,0,go_short,240.82000000000704,240.3285714285689,go_short,go_short,go_short,-1.0404457,second_buy,trailing_stop_loss,go_short,go_short
78,218.931,237.139,219.7155797673553,218.62710430674767,218.788,0,229.858,13212423.0,218.0729200000012,1,0,go_short,220.44740000000843,219.74371428571104,go_short,go_short,go_short,-0.40042621,second_buy,trailing_stop_loss,go_short,go_short
79,248.531,248.549,250.63073350388905,254.6947277417208,224.482,1,234.298,21156916.0,256.43108000000103,0,0,go_short,247.2372000000063,248.80842857142653,go_short,go_short,go_short,-0.03466647,second_buy,trailing_stop_loss,go_short,go_short
80,294.625,309.58,290.57679352724074,287.87933517934965,293.223,0,303.449,5354582.0,288.3990399999999,0,0,go_short,291.5306000000068,290.159428571427,go_short,go_short,go_short,1.54395211,second_buy,trailing_stop_loss,go_short,go_short
81,264.369,267.697,263.1650275580112,262.2091410023798,264.24,0,266.869,4499223.0,261.8092399999989,0,0,go_short,264.1034000000073,263.5764285714271,go_short,go_short,go_short,-1.35894657,second_buy,trailing_stop_loss,go_short,go_short
82,365.97,398.0,337.93651207573583,331.9740740422069,356.024,0,377.691,20945738.0,328.70127999999914,0,0,go_short,343.0886000000069,337.6281428571427,go_short,go_short,go_short,2.55793444,second_buy,trailing_stop_loss,go_short,go_short
83,286.68,287.299,282.7145742772019,279.5607604274116,286.423,1,286.88,443164.0,278.19847999999985,1,0,go_short,285.33600000000735,284.31457142857226,go_short,go_short,go_short,-3.29064163,second_buy,trailing_stop_loss,go_short,go_short
84,274.517,278.569,270.63869134826683,269.27450551272443,273.786,0,276.288,662167.0,268.6547199999997,0,0,go_short,272.4796000000049,271.00099999999884,go_short,go_short,go_short,-0.35969354,second_buy,trailing_stop_loss,go_short,go_short
85,222.325,224.741,219.8486985141061,218.17521521247392,222.325,0,224.127,473171.0,217.63071999999931,0,0,go_short,221.6012000000047,220.44299999999905,go_short,go_short,go_short,-2.12528678,second_buy,trailing_stop_loss,go_short,go_short
86,294.997,300.589,283.02786199301266,276.85733366288684,293.415,0,299.451,1084887.0,273.25975999999946,0,0,go_short,290.42700000000457,287.2305714285709,go_short,go_short,go_short,2.2679094,second_buy,trailing_stop_loss,go_short,go_short
87,323.778,327.584,317.0468167809304,313.09672796183526,323.221,0,327.181,513635.0,310.05671999999964,0,0,go_short,321.7412000000049,319.3997142857138,go_short,go_short,go_short,0.74179414,second_buy,trailing_stop_loss,go_short,go_short
88,0.9031,1.0461,1.0139636218348564,1.0856765937747228,0.9031,0,1.0461,1439.0,1.111567999999994,0,0,go_short,0.9232800000000084,0.9673000000000082,go_short,go_short,go_short,0.587927,second_buy,trailing_stop_loss,go_short,go_short
89,0.1904,0.1911,0.1885084408489226,0.1875896842520889,0.1901,0,0.1908,16651.0,0.1873599999999935,0,0,go_short,0.1892799999999938,0.1887142857142871,go_short,go_short,go_short,-1.5585054,second_buy,trailing_stop_loss,go_short,go_short
90,0.9152,0.9303,0.8834633623767164,0.8618586604261266,0.9152,0,0.9286,1143.0,0.8578919999999937,0,0,go_short,0.9083800000000088,0.8902714285714365,go_short,go_short,go_short,-1.324945,second_buy,trailing_stop_loss,go_short,go_short
91,0.8502000000000001,0.8676,0.8412582679472008,0.830577281117228,0.8502000000000001,0,0.8676,310.0,0.8297879999999925,0,0,go_short,0.8467800000000032,0.8442857142857224,go_short,go_short,go_short,0.144828,second_buy,trailing_stop_loss,go_short,go_short
92,0.2273,0.2302,0.2207245599899767,0.2158857581018501,0.227,0,0.2287,46674.0,0.2153439999999937,1,0,go_short,0.2239199999999937,0.2223571428571455,go_short,go_short,go_short,0.51242809,second_buy,trailing_stop_loss,go_short,go_short
93,0.2128,0.2176,0.206063767438001,0.2021669733043232,0.2109,0,0.2172,83177.0,0.2017839999999935,0,0,go_short,0.2088199999999939,0.2068714285714317,go_short,go_short,go_short,-0.34698981,second_buy,trailing_stop_loss,go_short,go_short
94,196.95,197.8,196.4900350780596,200.8574317531795,161.4,1,164.75,3160697.0,201.99999999999812,0,0,go_short,193.27000000000425,196.37857142858945,go_short,go_short,go_short,-3.36094708,second_buy,trailing_stop_loss,go_short,go_short
95,0.1327,0.1335,0.1318788103198062,0.1305636801244129,0.1327,1,0.1334,6280.0,0.1300719999999933,0,0,go_short,0.132859999999994,0.1325285714285749,go_short,go_short,go_short,-1.481541,second_buy,trailing_stop_loss,go_short,go_short
96,0.0964,0.0989,0.0957184033574792,0.0951185743293309,0.0962,0,0.0977,70930.0,0.0949439999999933,1,0,go_short,0.0962199999999935,0.0959000000000035,go_short,go_short,go_short,-2.83263881,second_buy,trailing_stop_loss,go_short,go_short
97,0.1002,0.1003,0.0984171854340299,0.1003163257693726,0.081,1,0.0823,177102.0,0.1008959999999932,0,0,go_short,0.0970599999999939,0.0984285714285749,go_short,go_short,go_short,-1.49446837,second_buy,trailing_stop_loss,go_short,go_short
98,0.1331,0.1342,0.1318064295976268,0.1301905314224614,0.133,1,0.1342,2752.0,0.1296279999999931,0,0,go_short,0.1330399999999942,0.1328428571428604,go_short,go_short,go_short,2.41930454,second_buy,trailing_stop_loss,go_short,go_short
99,0.2081,0.2139,0.2071884437666272,0.2045286221185817,0.2071,0,0.2116,140472.0,0.2032199999999923,1,0,go_short,0.2083599999999907,0.2080428571428598,go_short,go_short,go_short,3.41407077,second_buy,trailing_stop_loss,go_short,go_short
100,0.2481,0.249,0.2453319305375554,0.2433314844262382,0.2468,1,0.2473,6954.0,0.2427679999999925,0,0,go_short,0.2467199999999914,0.2461285714285737,go_short,go_short,go_short,1.051245,second_buy,trailing_stop_loss,go_short,go_short
101,0.185,0.1869,0.1832078773746034,0.1825844466303441,0.1832,1,0.1836,20505.0,0.1820999999999925,0,0,go_short,0.1840399999999914,0.1837142857142877,go_short,go_short,go_short,-3.25161,second_buy,trailing_stop_loss,go_short,go_short
102,0.4022,0.4115,0.3990069633878134,0.3952143496695412,0.4021,0,0.4113,12516.0,0.3946719999999931,0,0,go_short,0.4013599999999925,0.3999285714285743,go_short,go_short,go_short,4.49606,second_buy,trailing_stop_loss,go_short,go_short
