,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),exit_reason,action,nlp-exit-short (entry)
33,13.277,13.277,13.265485555256667,13.242631054131053,13.276,0,13.276,8.0,13.2452,0,0,go_short,13.277399999999991,13.27785714285714,go_short,go_short,go_short,-3.6741383,second_buy,go_long,go_short,go_long,go_long,go_long,go_long,stop_loss,go_short,go_short
34,0.02569,0.02749,0.0243735458945526,0.0227935185185185,0.02562,0,0.0274,216194.0,0.0228464,0,0,go_long,0.025328,0.02495,go_long,go_long,go_long,-3.23651495,first_buy,go_long,go_long,do_nothing,do_nothing,go_long,go_long,stop_loss,go_long,go_long
35,0.0002845,0.0002859,0.0003023047547426,0.0003199481296508,0.0002418,1,0.0002426,161885.0,0.000320908,0,0,go_long,0.0002934799999999,0.0003021571428571,go_long,go_long,go_long,-2.87075094,first_buy,go_long,go_long,do_nothing,do_nothing,go_long,go_long,stop_loss,go_long,go_long
36,367.333,368.289,355.5220112264992,341.8654131054131,360.536,0,362.085,1742.0,341.26624,0,0,go_short,360.9034,359.4914285714285,go_short,go_short,go_short,-2.82119548,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,stop_loss,go_short,go_short
37,0.01043,0.01043,0.0104621056005003,0.0105649326978589,0.01005,1,0.01012,35157.0,0.0105411999999999,0,0,go_long,0.0104380000000003,0.0104642857142865,go_long,go_long,go_long,-3.31440829,first_buy,go_long,go_long,do_nothing,do_nothing,go_long,go_long,stop_loss,go_long,go_long
38,0.9689,0.96965,0.940861855818548,0.931838703703704,0.93488,0,0.93676,404.0,0.9303200000000004,1,0,go_short,0.9473320000000004,0.9427399999999998,go_short,go_short,go_short,-3.6530111,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,stop_loss,go_short,go_short
39,1.2375,1.24194,1.2395515695231634,1.2213836876268025,1.18773,1,1.19459,13612.0,1.2344160000000002,0,0,go_short,1.243424,1.2439657142857143,go_short,go_short,go_short,-4.6770093,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,stop_loss,go_short,go_short
40,1.19967,1.21991,1.2538651746299574,1.3070815343198363,1.12576,1,1.12876,12789.0,1.3110288000000028,0,0,go_short,1.2260539999999918,1.2469728571428695,go_short,go_short,go_short,-4.4574835,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,stop_loss,go_short,go_short
41,1.1721,1.18065,1.1976429994757638,1.225259682100163,1.14956,1,1.15263,6572.0,1.234274000000006,0,0,go_short,1.1807879999999835,1.1825714285714335,go_short,go_short,go_short,-4.5543692,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,stop_loss,go_short,go_short
42,1.12077,1.12782,1.1445188575219494,1.1552722416762555,1.1168,1,1.11879,8566.0,1.1607728000000226,0,0,go_short,1.1329739999999922,1.1389585714285624,go_short,go_short,go_short,-4.4155292,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,stop_loss,go_short,go_short
