,sma-05 (entry),sma-07 (entry),sma-25 (entry),sma-compare (entry),is_short,action,imit-action,nlpreds,reward
3496,30.97853999999992,30.8958285714285,30.503288000000083,0,1,do_nothing,go_short,do_nothing,0.12932363
3497,30.578619999999887,30.587757142857072,30.978300000000083,1,1,do_nothing,go_short,do_nothing,2.4758482
3498,28.88983999999989,28.83655714285708,29.844056000000084,0,1,do_nothing,go_short,do_nothing,2.00679025
3499,26.68027999999989,26.90241428571423,27.713124000000075,1,1,do_nothing,go_short,do_nothing,0.21176977
3500,263.5687999999997,265.2028571428572,253.9270000000007,0,1,do_nothing,go_short,do_nothing,0.6894718
3501,28.901199999999942,28.91055714285709,28.72454400000008,0,1,do_nothing,go_short,do_nothing,0.5615284
3502,27.707799999999946,27.887157142857088,28.315176000000083,1,1,do_nothing,go_short,do_nothing,0.26423547
3503,40.46119999999998,40.574571428571446,41.193760000000005,1,1,do_nothing,go_short,do_nothing,0.7609665
3504,469.26519999999925,469.2497142857148,484.204840000001,0,1,do_nothing,go_short,do_nothing,0.25732295
3505,462.8359999999992,464.84800000000047,465.8060400000011,1,1,do_nothing,go_short,do_nothing,0.40101495
3506,182.75419999999983,183.0861428571427,180.56868000000048,0,1,do_nothing,go_short,do_nothing,0.22876907
3507,40.3442000000001,40.08557142857132,39.93736000000003,0,1,do_nothing,go_short,do_nothing,0.25109761
3508,180.58999999999983,182.15971428571416,187.2470000000003,1,1,do_nothing,go_short,do_nothing,0.25229949
3509,184.98799999999983,186.72614285714263,190.12072000000032,1,1,do_nothing,go_short,do_nothing,0.24159975
3510,78.90819999999997,79.00071428571427,76.95283999999992,0,1,do_nothing,go_short,do_nothing,1.91280222
3511,74.76079999999997,74.80699999999992,75.79991999999991,1,1,do_nothing,go_short,do_nothing,0.2767658
3512,74.36039999999993,75.20628571428567,77.14295999999993,1,1,do_nothing,go_short,do_nothing,0.54999654
3513,192.03199999999984,191.9451428571427,194.14428000000032,0,1,do_nothing,go_short,do_nothing,2.02453377
