,open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-25,long_jcrosk,short_kdj,sma-compare,is_short,nlpreds,reward
678,1.5345,1.5369000000000002,1.500704303400131,1.4605189636555955,1.5121,1,1.5139,581436.0,1.4437160000000049,0,0,0,1,go_short,0.04860385
679,0.989,1.0126,0.9784784700060936,0.978252489458645,0.9889,0,1.0023,4510291.7,0.977832000000001,0,0,0,1,go_short,-7.03548569
680,0.3097,0.3154,0.307146362158254,0.3053663755587558,0.3097,0,0.3135,3273135.5,0.3056000000000107,0,0,0,1,go_short,-6.60409765
681,0.2795,0.2844,0.2796993723498129,0.2793524349623367,0.2792,0,0.2833,461562.4,0.2795600000000105,0,0,0,1,go_short,7.59938249
682,0.3205,0.3213,0.3186632390305836,0.3168531632150418,0.3194,0,0.32,248900.6,0.3161320000000102,1,0,0,1,go_short,24.29235823
683,0.5302,0.5417000000000001,0.5215573368969778,0.5119192611857414,0.5284,0,0.5408000000000001,4527676.8,0.5082880000000092,0,0,0,1,go_short,1.44936882
684,0.5014000000000001,0.5062,0.4952295213179838,0.4936788125778457,0.4994,0,0.5058,1311459.2,0.4930560000000091,0,0,0,1,go_short,18.02125316
685,0.4437,0.4458,0.4392337246004411,0.4363076236748276,0.442,0,0.4448,1193319.9,0.4355040000000088,0,0,0,1,go_short,-14.80633958
686,0.3681,0.3687,0.3705252732029891,0.3723829604528143,0.3578,1,0.3616,4131195.9,0.3736960000000071,0,0,1,1,go_short,11.08349521
687,0.2207,0.2213,0.2186382020510891,0.2173648027871763,0.2201,0,0.2212,1235722.2,0.2170440000000081,1,0,0,1,go_short,-10.66435582
688,0.9035,0.9137,0.9107215758243145,0.9105894088095812,0.903,0,0.9136,439308.9,0.9123120000000086,1,0,0,1,go_short,-5.2824725
689,1.205,1.2104,1.1690651646126111,1.1573999074396923,1.1868,0,1.2039,2276402.6,1.1573120000000054,0,0,0,1,go_short,-4.84215094
690,1.2733,1.2744,1.2636284745518451,1.2561461964584473,1.2618,0,1.266,248556.7,1.254540000000007,0,0,0,1,go_short,-14.47984026
691,0.7464000000000001,0.7704000000000001,0.7489530589881327,0.7399363520957858,0.7447,0,0.7661,1568543.4,0.7370440000000056,0,0,0,1,go_short,-12.90423592
692,1.0334,1.0742,1.0580440093631989,1.1703649953984212,0.945,0,1.0435,743430.7,1.215860000000009,0,0,0,1,go_short,-18.97229031
693,0.4087,0.4093,0.4069851999594162,0.4049599263081095,0.4022,1,0.4025,507574.6,0.4060240000000007,0,0,0,1,go_short,9.03441423
694,0.5337000000000001,0.548,0.525615735587575,0.519605626139397,0.5327000000000001,0,0.5469,1285726.8,0.5197720000000008,0,0,0,1,go_short,-16.28284355
695,0.422,0.4256,0.4208836453823026,0.4183868620451843,0.4208,0,0.425,225023.3,0.4186799999999996,0,0,0,1,go_short,21.3527551
696,0.5044000000000001,0.5209,0.4917617125248419,0.4805778289937283,0.4979,0,0.5162,1594220.6,0.479196000000003,0,0,0,1,go_short,-9.01852335
