,pair,open_date,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),exit_reason,action
14,EDU/USDT:USDT,2024-02-23 16:15:00+00:00,0.8181,0.8226,0.8256255783033308,0.8283908117834867,0.8017000000000001,1,0.8025,488364.9,0.8289199999999987,0,0,0.821419999999993,0.8261714285714172,3.79857162,first_buy,go_short,go_long,go_short,go_short,go_short,do_nothing,force_exit,go_long
15,DASH/USDT:USDT,2024-01-03 12:15:00+00:00,32.2,32.2,32.192877051437854,32.70456245096261,23.0,1,27.76,103536.09,32.98840000000048,0,0,31.67399999999588,32.15285714285818,-30.77833353,second_buy,do_nothing,go_long,do_nothing,go_long,go_long,go_long,force_exit,do_nothing
16,COMP/USDT:USDT,2024-02-23 16:45:00+00:00,65.07,66.12,64.39281770081959,62.38150614601872,63.83,1,65.51,34333.99,61.3739999999996,0,0,67.0059999999997,66.22857142857865,64.83605366,first_buy,go_long,go_long,do_nothing,go_long,go_short,go_short,force_exit,go_long
17,BSW/USDT:USDT,2024-02-15 23:30:00+00:00,0.10832,0.11666,0.1087496502467094,0.1081794118675939,0.1081,0,0.11418,2195748.0,0.108278000000002,0,0,0.1091240000000053,0.1084614285714336,-25.39563246,second_buy,do_nothing,go_long,go_long,go_long,do_nothing,go_long,force_exit,do_nothing
18,BAL/USDT:USDT,2024-02-19 15:30:00+00:00,4.256,4.326,4.224631578047159,4.223792996275777,4.253,0,4.267,67982.07,4.2243200000000005,0,0,4.2219999999997615,4.217857142857124,-30.5882412,second_buy,go_short,go_long,do_nothing,go_long,do_nothing,go_long,force_exit,do_nothing
19,MANA/USDT:USDT,2024-02-17 00:45:00+00:00,0.5147,0.5189,0.5017718248194005,0.4984946555468361,0.5115000000000001,0,0.5134000000000001,661347.8,0.4960320000000278,1,0,0.505140000000007,0.5030142857142931,-23.62913396,second_buy,go_long,do_nothing,go_long,go_short,do_nothing,go_long,force_exit,do_nothing
20,CFX/USDT:USDT,2024-02-20 05:15:00+00:00,0.26192,0.26431,0.2573883000951145,0.2532709017617314,0.26057,0,0.26329,2365672.0,0.2516975999999985,0,0,0.2602240000000049,0.2591128571428566,16.43753711,second_buy,do_nothing,go_long,go_long,do_nothing,do_nothing,go_long,force_exit,go_short
21,SOL/USDT:USDT,2024-01-30 01:30:00+00:00,101.75,102.7,101.51486577603458,101.0603256543756,101.432,0,102.593,205508.5,101.19652000000018,0,0,101.72180000000093,101.63285714285752,-10.02746623,second_buy,do_nothing,do_nothing,go_long,go_long,do_nothing,go_long,force_exit,do_nothing
22,BIGTIME/USDT:USDT,2024-02-12 04:15:00+00:00,0.3903,0.3911,0.3942276767863618,0.3987423469552635,0.3797,1,0.3844,5119258.0,0.3990719999999988,0,0,0.390420000000001,0.3914142857142862,33.46736726,first_buy,do_nothing,go_long,go_long,do_nothing,go_short,do_nothing,force_exit,go_long
23,1INCH/USDT:USDT,2024-01-03 12:00:00+00:00,0.472,0.4728,0.4746894512394646,0.4761769560007171,0.458,1,0.4625,2476562.5,0.4775120000000068,0,0,0.4716800000000071,0.4742142857142872,6.1338001,first_buy,go_long,go_long,go_short,go_long,go_short,do_nothing,force_exit,go_long
24,MKR/USDT:USDT,2023-12-11 02:15:00+00:00,1414.0,1414.2,1395.5904085491768,1406.6846511058866,1225.2,1,1301.5,2100.719,1412.9759999999997,0,0,1386.3599999999992,1393.6571428571428,137.34902591,first_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_short,do_nothing,force_exit,go_long
25,SSV/USDT:USDT,2024-02-19 18:00:00+00:00,35.25,35.395,34.64015778298544,34.48595568740652,34.955,0,35.3,4637.56,34.48940000000014,0,0,34.71299999999993,34.67357142857145,8.80661257,second_buy,go_short,go_long,go_long,go_long,do_nothing,go_long,force_exit,go_short
26,BCH/USDT:USDT,2024-02-14 09:30:00+00:00,284.55,293.95,275.3864164352739,272.1621568503859,283.6,0,288.45,50788.47,270.66200000000254,1,0,278.72999999999087,276.0857142857132,-2.76753291,second_buy,do_nothing,do_nothing,go_short,go_long,do_nothing,go_long,force_exit,do_nothing
27,ORBS/USDT:USDT,2024-01-03 12:15:00+00:00,0.03977,0.03977,0.0393040231745876,0.0400642164938782,0.02622,1,0.03214,123840870.0,0.0404136000000002,0,0,0.0385340000000002,0.039274285714286,59.60786898,first_buy,go_short,go_long,go_long,go_long,go_short,go_short,force_exit,go_long
28,OG/USDT:USDT,2024-02-11 06:15:00+00:00,4.8092,4.8092,4.814627581547203,4.811994494594679,4.8068,1,4.8068,5.4,4.817347999999992,0,0,4.811039999999983,4.813985714285702,13.95003072,first_buy,go_short,go_short,go_short,do_nothing,go_short,do_nothing,force_exit,go_long
29,CTC/USDT:USDT,2022-11-20 23:00:00+00:00,0.36595,0.3698,0.365085482999499,0.3663492449011394,0.3525,1,0.36005,14923.0,0.3662340000000014,0,0,0.364770000000002,0.3649642857142837,8.06135438,second_buy,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short
30,CRO/USDT:USDT,2023-06-10 04:45:00+00:00,0.0521,0.05235,0.0548645753151664,0.0558595126750355,0.0508,1,0.05225,3619710.0,0.0562239999999999,0,0,0.0541599999999969,0.0545928571428544,10.00895541,first_buy,go_long,do_nothing,go_short,go_long,go_short,go_short,roi,go_long
31,CTC/USDT:USDT,2022-11-01 08:45:00+00:00,0.5833,0.63,0.5692307044060319,0.5571991018087536,0.5833,0,0.6143000000000001,713374.0,0.5537780000000011,1,0,0.5824200000000034,0.5735714285714274,28.42172208,second_buy,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short
32,CRO/USDT:USDT,2023-06-11 19:15:00+00:00,0.0548,0.05485,0.0547726767608894,0.0547589110262691,0.05465,1,0.0547,129439.0,0.054742,0,0,0.0547999999999968,0.0547857142857115,1.49672929,first_buy,go_long,do_nothing,go_short,go_long,go_short,go_short,roi,go_long
33,CRO/USDT:USDT,2022-02-17 15:00:00+00:00,0.4599,0.4599,0.4631493633030654,0.4676379031297875,0.4547,1,0.4553,349556.0,0.4681520000000003,0,0,0.4597099999999997,0.4606214285714274,7.81194386,first_buy,go_long,do_nothing,go_short,go_long,go_short,go_short,roi,go_long
34,CTC/USDT:USDT,2022-11-24 18:00:00+00:00,0.3409,0.34095,0.3412044402802697,0.343030776634623,0.335,1,0.33525,19439.0,0.3429460000000014,0,0,0.3397900000000026,0.3406999999999981,8.19844173,second_buy,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short
35,CTC/USDT:USDT,2022-12-09 00:15:00+00:00,0.4188,0.4293,0.4190377912972657,0.4165865260304438,0.41655,1,0.4221,51975.0,0.4167740000000012,0,0,0.4197200000000023,0.4196285714285692,8.93737699,second_buy,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short
36,CRO/USDT:USDT,2023-01-18 16:30:00+00:00,0.07395,0.07425,0.0755998203918596,0.0762628502648607,0.07175,1,0.07205,3545894.0,0.0762860000000002,0,0,0.0749399999999969,0.0756571428571408,9.3552587,first_buy,go_long,do_nothing,go_short,go_long,go_short,go_short,roi,go_long
37,CTC/USDT:USDT,2022-11-22 07:15:00+00:00,0.3479,0.3498,0.3489475781004515,0.3492696743797714,0.34675,1,0.3498,3.0,0.3488700000000013,0,0,0.3486800000000022,0.3490285714285692,8.25991338,second_buy,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short
38,CRO/USDT:USDT,2023-06-24 01:45:00+00:00,0.05845,0.0585,0.0584234409967896,0.0583519141011903,0.05835,1,0.05845,4090.0,0.058376,0,0,0.0584599999999965,0.0584571428571401,2.03390388,first_buy,go_long,do_nothing,go_short,go_long,go_short,go_short,roi,go_long
39,CRO/USDT:USDT,2023-07-14 22:45:00+00:00,0.0591,0.05915,0.0591572947569099,0.0593725252568017,0.059,0,0.05915,1443.0,0.059444,0,0,0.0591199999999964,0.0591071428571399,4.21621463,first_buy,go_long,do_nothing,go_short,go_long,go_short,go_short,roi,go_long
40,CTC/USDT:USDT,2022-11-20 17:45:00+00:00,0.36875,0.36875,0.3700849363619769,0.3703058006798046,0.3679,1,0.3679,2.0,0.3694280000000011,0,0,0.368880000000002,0.3703285714285692,7.9705535,second_buy,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short
41,CTC/USDT:USDT,2022-11-13 17:00:00+00:00,0.37375,0.37375,0.3747908904713764,0.3756875071241894,0.3727,1,0.3727,57.0,0.3751500000000012,0,0,0.3731100000000021,0.3745428571428555,5.76508478,second_buy,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short
42,CTC/USDT:USDT,2022-11-12 10:00:00+00:00,0.38635,0.38965,0.3878570062381317,0.3917150682138072,0.38625,0,0.3883,12401.0,0.3910900000000012,0,0,0.3865800000000022,0.3863571428571413,10.0080956,second_buy,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short
