,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),exit_reason,action,nlp-exit-short (entry)
42,2.141,2.2,2.132479069391735,2.1207455807440274,2.141,0,2.184,4753017.2,2.114000000000012,0,0,go_short,2.141600000000023,2.1339999999999124,go_short,go_short,go_short,4.47691488,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
43,1.423,1.434,1.424584098934473,1.4285599286076534,1.415,0,1.419,5222536.8,1.444480000000015,0,0,go_short,1.4140000000000377,1.415285714285625,go_short,go_short,go_short,0.05271088,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
44,1.77,1.77,1.7856899626102212,1.7797240112812909,1.761,1,1.761,2045922.4,1.8028400000000144,1,0,go_short,1.7758000000000371,1.7808571428570528,go_short,go_short,go_short,2.78398949,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
45,1.475,1.477,1.4748294377718898,1.476773840670125,1.464,1,1.465,2033574.7,1.4771200000000153,0,0,go_short,1.4736000000000335,1.47457142857134,go_short,go_short,go_short,1.32619136,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
46,1.4,1.406,1.412744258874667,1.417339712012409,1.398,0,1.404,2266139.0,1.419640000000016,0,0,go_short,1.404000000000033,1.4072857142856257,go_short,go_short,go_short,1.16678186,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
47,1.362,1.364,1.3678856414531646,1.3807184327079465,1.355,1,1.358,2009743.6,1.3795200000000158,0,0,go_short,1.3630000000000344,1.3661428571427696,go_short,go_short,go_short,0.90258726,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
48,1.333,1.334,1.3345836366067765,1.3330116148662574,1.32,1,1.324,3574168.0,1.3357200000000156,0,0,go_short,1.332200000000034,1.3344285714284847,go_short,go_short,go_short,3.15532902,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
49,1.21,1.214,1.2087537026009327,1.214073711983678,1.202,1,1.206,4234183.1,1.2114800000000148,0,0,go_short,1.2090000000000345,1.2081428571427717,go_short,go_short,go_short,0.39970705,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
50,1.427,1.429,1.4432404935952965,1.4560980557439405,1.416,1,1.42,5241048.7,1.4590800000000146,0,0,go_short,1.435000000000036,1.4375714285713386,go_short,go_short,go_short,0.0790618,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
51,1.177,1.177,1.1806555539909465,1.185678468935232,1.172,1,1.173,749123.7,1.1867600000000151,0,0,go_short,1.1770000000000338,1.1788571428570565,go_short,go_short,go_short,1.08973833,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
